admin3Name_en,admin3Name_th,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_th,admin3AltName2_th,admin2Name_en,admin2Name_th,admin2Pcode,admin1Name_en,admin1Name_th,admin1Pcode,admin0Name_en,admin0Name_th,admin0Pcode,date,validOn,validTo
Sakat,สะกาด,TH321010,,,,,,Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tatum,ตาตุม,TH321011,,,,,,Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Thapthan,ทับทัน,TH321012,,,,,,Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ta Khong,ตาคง,TH321013,,,,,,Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ban Chop,บ้านชบ,TH321015,,,,,,Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Thep Raksa,เทพรักษา,TH321017,,,,,,Sangkha,สังขะ,TH3210,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lamduan,ลำดวน,TH321101,,,,,,Lamduan,ลำดวน,TH3211,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chok Nuea,โชคเหนือ,TH321102,,,,,,Lamduan,ลำดวน,TH3211,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
U Lok,อู่โลก,TH321103,,,,,,Lamduan,ลำดวน,TH3211,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tramdom,ตรำดม,TH321104,,,,,,Lamduan,ลำดวน,TH3211,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Trapiang Tia,ตระเปียงเตีย,TH321105,,,,,,Lamduan,ลำดวน,TH3211,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Samrong Thap,สำโรงทาบ,TH321201,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Phai Lom,หนองไผ่ล้อม,TH321202,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kra-Om,กระออม,TH321203,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Ha,หนองฮะ,TH321204,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Si Suk,ศรีสุข,TH321205,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ko Kaeo,เกาะแก้ว,TH321206,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Muen Si,หมื่นศรี,TH321207,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Samet,เสม็จ,TH321208,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sano,สะโน,TH321209,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Pradu,ประดู่,TH321210,,,,,,Samrong Thap,สำโรงทาบ,TH3212,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Buachet,บัวเชด,TH321301,,,,,,Buachet,บัวเชด,TH3213,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sadao,สะเดา,TH321302,,,,,,Buachet,บัวเชด,TH3213,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Charat,จรัส,TH321303,,,,,,Buachet,บัวเชด,TH3213,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ta Wang,ตาวัง,TH321304,,,,,,Buachet,บัวเชด,TH3213,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
A Phon,อาโพน,TH321305,,,,,,Buachet,บัวเชด,TH3213,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Samphao Lun,สำเภาลูน,TH321306,,,,,,Buachet,บัวเชด,TH3213,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bak Dai,บักได,TH321401,,,,,,Phanom Dong Rak,พนมดงรัก,TH3214,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khok Klang,โคกกลาง,TH321402,,,,,,Phanom Dong Rak,พนมดงรัก,TH3214,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chik Daek,จีกแดก,TH321403,,,,,,Phanom Dong Rak,พนมดงรัก,TH3214,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ta Miang,ตาเมียง,TH321404,,,,,,Phanom Dong Rak,พนมดงรัก,TH3214,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Narong,ณรงค์,TH321501,,,,,,Si Narong,ศรีณรงค์,TH3215,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chaen Waen,แจนแวน,TH321502,,,,,,Si Narong,ศรีณรงค์,TH3215,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Truat,ตรวจ,TH321503,,,,,,Si Narong,ศรีณรงค์,TH3215,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Waeng,หนองแวง,TH321504,,,,,,Si Narong,ศรีณรงค์,TH3215,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Si Suk,ศรีสุข,TH321505,,,,,,Si Narong,ศรีณรงค์,TH3215,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khwao Sin Rin,เขวาสินรินทร์,TH321601,,,,,,Khwao Sin Rin,เขวาสินรินทร์,TH3216,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bueng,บึง,TH321602,,,,,,Khwao Sin Rin,เขวาสินรินทร์,TH3216,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ta Kuk,ตากูก,TH321603,,,,,,Khwao Sin Rin,เขวาสินรินทร์,TH3216,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Prasat Thong,ปราสาททอง,TH321604,,,,,,Khwao Sin Rin,เขวาสินรินทร์,TH3216,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ban Rae,บ้านแร่,TH321605,,,,,,Khwao Sin Rin,เขวาสินรินทร์,TH3216,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Luang,หนองหลวง,TH321701,,,,,,Non Narai,โนนนารายณ์,TH3217,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kham Phong,คำผง,TH321702,,,,,,Non Narai,โนนนารายณ์,TH3217,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Non,โนน,TH321703,,,,,,Non Narai,โนนนารายณ์,TH3217,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Rawiang,ระเวียง,TH321704,,,,,,Non Narai,โนนนารายณ์,TH3217,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Thep,หนองเทพ,TH321705,,,,,,Non Narai,โนนนารายณ์,TH3217,Surin,สุรินทร์,TH32,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Nuea,เมืองเหนือ,TH330101,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Tai,เมืองใต้,TH330102,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khu Sot,คูซอด,TH330103,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sam,ซำ,TH330104,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chan,จาน,TH330105,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tadop,ตะดอบ,TH330106,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Khrok,หนองครก,TH330107,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phon Kha,โพนข่า,TH330111,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phon Kho,โพนค้อ,TH330112,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phon Khwao,โพนเขวา,TH330115,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ya Plong,หญ้าปล้อง,TH330116,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Thum,ทุ่ม,TH330118,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Hai,หนองไฮ,TH330119,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Kaeo,หนองแก้ว,TH330121,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nam Kham,น้ำคำ,TH330122,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Pho,โพธิ์,TH330123,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mak Khiap,หมากเขียบ,TH330124,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Phai,หนองไผ่,TH330127,,,,,,Mueang Si Sa Ket,เมืองศรีสะเกษ,TH3301,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Yang Chum Noi,ยางชุมน้อย,TH330201,,,,,,Yang Chum Noi,ยางชุมน้อย,TH3302,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lin Fa,ลิ้นฟ้า,TH330202,,,,,,Yang Chum Noi,ยางชุมน้อย,TH3302,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khon Kam,คอนกาม,TH330203,,,,,,Yang Chum Noi,ยางชุมน้อย,TH3302,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Non Khun,โนนคูณ,TH330204,,,,,,Yang Chum Noi,ยางชุมน้อย,TH3302,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kut Mueang Ham,กุดเมืองฮาม,TH330205,,,,,,Yang Chum Noi,ยางชุมน้อย,TH3302,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bueng Bon,บึงบอน,TH330206,,,,,,Yang Chum Noi,ยางชุมน้อย,TH3302,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Yang Chum Yai,ยางชุมใหญ่,TH330207,,,,,,Yang Chum Noi,ยางชุมน้อย,TH3302,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Dun,ดูน,TH330301,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Non Sang,โนนสัง,TH330302,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Hua Chang,หนองหัวช้าง,TH330303,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Yang,ยาง,TH330304,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Waeng,หนองแวง,TH330305,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Kaeo,หนองแก้ว,TH330306,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Tham,ทาม,TH330307,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lathai,ละทาย,TH330308,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang Noi,เมืองน้อย,TH330309,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
I Pat,อีปาด,TH330310,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bua Noi,บัวน้อย,TH330311,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Bua,หนองบัว,TH330312,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Du,ดู่,TH330313,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phak Phaeo,ผักแพว,TH330314,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chan,จาน,TH330315,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kham Niam,คำเนียม,TH330320,,,,,,Kanthararom,กันทรารมย์,TH3303,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Bueng Malu,บึงมะลู,TH330401,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kut Salao,กุดเสลา,TH330402,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Mueang,เมือง,TH330403,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sang Mek,สังเม็ก,TH330405,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nam Om,น้ำอ้อม,TH330406,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lalai,ละลาย,TH330407,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Rung,รุง,TH330408,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Trakat,ตระกาจ,TH330409,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chan Yai,จานใหญ่,TH330411,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phu Ngoen,ภูเงิน,TH330412,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Cham,ชำ,TH330413,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Krachaeng,กระแชง,TH330414,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Non Samran,โนนสำราญ,TH330415,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Ya Lat,หนองหญ้าลาด,TH330416,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sao Thong Chai,เสาธงชัย,TH330419,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khanun,ขนุน,TH330420,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Suan Kluai,สวนกล้วย,TH330421,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Wiang Nuea,เวียงเหนือ,TH330423,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Thung Yai,ทุ่งใหญ่,TH330424,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phu Pha Mok,ภูผาหมอก,TH330425,,,,,,Kantharalak,กันทรลักษ์,TH3304,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kanthararom,กันทรารมย์,TH330501,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Cha Kong,จะกง,TH330502,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Chai Di,ใจดี,TH330503,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Dong Kammet,ดองกำเม็ด,TH330504,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sano,โสน,TH330505,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Prue Yai,ปรือใหญ่,TH330506,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Sadao Yai,สะเดาใหญ่,TH330507,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ta Ut,ตาอุด,TH330508,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Huai Nuea,ห้วยเหนือ,TH330509,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Huai Tai,ห้วยใต้,TH330510,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Hua Suea,หัวเสือ,TH330511,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Takhian,ตะเคียน,TH330513,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nikhom Phatthana,นิคมพัฒนา,TH330515,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Khok Phet,โคกเพชร,TH330517,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Prasat,ปราสาท,TH330518,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Samrong Ta Chen,สำโรงตาเจ็น,TH330521,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Huai Samran,ห้วยสำราญ,TH330522,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Kritsana,กฤษณา,TH330524,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Lom Sak,ลมศักดิ์,TH330525,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Nong Chalong,หนองฉลอง,TH330526,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Si Trakun,ศรีตระกูล,TH330527,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Si Sa-At,ศรีสะอาด,TH330528,,,,,,Khukhan,ขุขันธ์,TH3305,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phrai Bueng,ไพรบึง,TH330601,,,,,,Phrai Bueng,ไพรบึง,TH3306,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Din Daeng,ดินแดง,TH330602,,,,,,Phrai Bueng,ไพรบึง,TH3306,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Prasat Yoe,ปราสาทเยอ,TH330603,,,,,,Phrai Bueng,ไพรบึง,TH3306,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Samrong Phlan,สำโรงพลัน,TH330604,,,,,,Phrai Bueng,ไพรบึง,TH3306,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Suk Sawat,สุขสวัสดิ์,TH330605,,,,,,Phrai Bueng,ไพรบึง,TH3306,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Non Pun,โนนปูน,TH330606,,,,,,Phrai Bueng,ไพรบึง,TH3306,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Phimai,พิมาย,TH330701,,,,,,Prang Ku,ปรางค์กู่,TH3307,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
Ku,กู่,TH330702,,,,,,Prang Ku,ปรางค์กู่,TH3307,Si Sa Ket,ศรีสะเกษ,TH33,Thailand,ประเทศไทย,TH,2017-08-17,2022-01-27,
