admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Bangka Tengah,ID1904,,,,Kepulauan Bangka Belitung,ID19,Indonesia,ID,2019-12-20,2020-04-01,
Bangka Selatan,ID1905,,,,Kepulauan Bangka Belitung,ID19,Indonesia,ID,2019-12-20,2020-04-01,
Belitung Timur,ID1906,,,,Kepulauan Bangka Belitung,ID19,Indonesia,ID,2019-12-20,2020-04-01,
Kota Pangkal Pinang,ID1971,,,,Kepulauan Bangka Belitung,ID19,Indonesia,ID,2019-12-20,2020-04-01,
Karimun,ID2101,,,,Kepulauan Riau,ID21,Indonesia,ID,2019-12-20,2020-04-01,
Bintan,ID2102,,,,Kepulauan Riau,ID21,Indonesia,ID,2019-12-20,2020-04-01,
Natuna,ID2103,,,,Kepulauan Riau,ID21,Indonesia,ID,2019-12-20,2020-04-01,
Lingga,ID2104,,,,Kepulauan Riau,ID21,Indonesia,ID,2019-12-20,2020-04-01,
Kepulauan Anambas,ID2105,,,,Kepulauan Riau,ID21,Indonesia,ID,2019-12-20,2020-04-01,
Kota Batam,ID2171,,,,Kepulauan Riau,ID21,Indonesia,ID,2019-12-20,2020-04-01,
Kota Tanjung Pinang,ID2172,,,,Kepulauan Riau,ID21,Indonesia,ID,2019-12-20,2020-04-01,
Kepulauan Seribu,ID3101,,,,Dki Jakarta,ID31,Indonesia,ID,2019-12-20,2020-04-01,
Kota Jakarta Selatan,ID3171,,,,Dki Jakarta,ID31,Indonesia,ID,2019-12-20,2020-04-01,
Kota Jakarta Timur,ID3172,,,,Dki Jakarta,ID31,Indonesia,ID,2019-12-20,2020-04-01,
Kota Jakarta Pusat,ID3173,,,,Dki Jakarta,ID31,Indonesia,ID,2019-12-20,2020-04-01,
Kota Jakarta Barat,ID3174,,,,Dki Jakarta,ID31,Indonesia,ID,2019-12-20,2020-04-01,
Kota Jakarta Utara,ID3175,,,,Dki Jakarta,ID31,Indonesia,ID,2019-12-20,2020-04-01,
Bogor,ID3201,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Sukabumi,ID3202,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Cianjur,ID3203,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Bandung,ID3204,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Garut,ID3205,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Tasikmalaya,ID3206,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Ciamis,ID3207,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Kuningan,ID3208,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Cirebon,ID3209,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Majalengka,ID3210,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Sumedang,ID3211,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Indramayu,ID3212,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Subang,ID3213,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Purwakarta,ID3214,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Karawang,ID3215,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Bekasi,ID3216,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Bandung Barat,ID3217,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Pangandaran,ID3218,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Kota Bogor,ID3271,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Kota Sukabumi,ID3272,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Kota Bandung,ID3273,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Kota Cirebon,ID3274,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
Kota Bekasi,ID3275,,,,Jawa Barat,ID32,Indonesia,ID,2019-12-20,2020-04-01,
