admin3Name_en,admin3Name_ru,admin3Name_ky,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin3AltName1_ru,admin3AltName2_ru,admin3AltName1_ky,admin3AltName2_ky,admin2Name_en,admin2Name_ru,admin2Name_ky,admin2Pcode,admin1Name_en,admin1Name_ru,admin1Name_ky,admin1Pcode,admin0Name_en,admin0Name_ru,admin0Name_ky,admin0Pcode,date,validOn,validTo,admin3Type_en,admin3Type_ru,admin3Type_ky
Cholpon-Ata (city),Чолпон-Ата,Чолпон-Ата,KG02215600010,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,город районного значения,шаар
Anan'evo,Ананьевский,Ананьево,KG02215805000,Ananevo,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Bosteri,Бостеринский,Бостери,KG02215808000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Sadyr Ake,Садыр аке,Садыр Аке,KG02215810000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kara-Oy,Кара-Ойский,Кара-Ой,KG02215815000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Kum-Bel,Кум-Бельский,Кум-Бел,KG02215820000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Semenovka,Семеновский,Семеновка,KG02215825000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Tamchy,Тамчынский,Тамчы,KG02215830000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Abdrakhmanov,Абдрахмановский,Абдрахманов,KG02215835000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Temir,Темировский,Темир,KG02215840000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Toru-Aygyr,Тору-Айгырский,Тору-Айгыр,KG02215845000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Oryukti,Орюктинский,Өрүктү,KG02215850000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
Chon-Sary-Oy,Чон-Сары-Ойский,Чоң-Сары-Ой,KG02215855000,,,,,,,,Issyk-Kul,Иссык-Кульский,Ысык-Көл,KG02215000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,community,айылный аймак,айыл аймаг
,,,KG02220000901,,,,,,,,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Forestry,Лесхоз,Токой чарба
,,,KG02220000902,,,,,,,,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Government reserved land,Госземзапас,Мамлекеттик жер запасы
,,,KG02220000907,,,,,,,,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG02220000908,,,,,,,,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG02220000909,,,,,,,,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG02220000910,,,,,,,,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG02220000911,,,,,,,,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG02220000912,,,,,,,,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
,,,KG02220000913,,,,,,,,Ton,Тонский,Тоӊ,KG02220000000,Issyk-Kul,Иссык-Кульская,Ысык-Көл,KG02000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,Unknown,Неизвестно,Белгисиз
