admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
California,SV1403,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Concepción Batres,SV1404,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
El Triunfo,SV1405,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Ereguayquín,SV1406,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Estanzuelas,SV1407,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Jiquilisco,SV1408,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Jucuapa,SV1409,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Jucuarán,SV1410,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Mercedes Umaña,SV1411,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Nueva Granada,SV1412,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Ozatlán,SV1413,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Puerto El Triunfo,SV1414,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
San Agustín,SV1415,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
San Buenaventura,SV1416,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
San Dionisio,SV1417,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
San Francisco Javier,SV1418,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Santa Elena,SV1419,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Santa María,SV1420,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Santiago de María,SV1421,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Tecapán,SV1422,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
Usulután,SV1423,,,,Usulután,SV14,El Salvador,SV,2020-05-29,2021-02-08,
