admin2Name_en,admin2Name_bg,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_bg,admin2AltName2_bg,admin1Name_en,admin1Name_bg,admin1Pcode,admin0Name_en,admin0Name_bg,admin0Pcode,date,validOn,validTo
Loznitsa,,BG014003,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
Razgrad,,BG014004,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
Samuil,,BG014005,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
Tsar Kaloian,,BG014006,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
Zavet,,BG014007,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
Biala,,BG015001,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
Borovo,,BG015002,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
Dve Mogili,,BG015003,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
Ivanovo,,BG015004,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
Ruse,,BG015005,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
Slivo Pole,,BG015006,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
Tsenovo,,BG015007,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
Vetovo,,BG015008,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
Hitrino,,BG016001,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kaolinovo,,BG016002,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
Kaspichan,,BG016003,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
Nikola Kozlevo,,BG016004,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
