admin2Name_en,admin2Name_ru,admin2Name_uz,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_ru,admin2AltName2_ru,admin2AltName1_uz,admin2AltName2_uz,admin1Name_en,admin1Name_ru,admin1Name_uz,admin1Pcode,admin0Name_en,admin0Name_ru,admin0Name_uz,admin0Pcode,date,validOn,validTo
Mirzo Ulugbek,Мирзо-Улугбекский,Mirzo Ulug'bek,UZ26269,,,,,,,,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Mirabad,Мирабадский,Mirobod,UZ26273,,,,,,,,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Shaykhantokhur,Шайхантахурский,Shayxontoxur,UZ26277,,,,,,,,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Almazar,Алмазарский,Olmazor,UZ26280,,,,,,,,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Sergeli,Сергелийский,Sirg'ali,UZ26283,,,,,,,,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Yakkasaray,Яккасарайский,Yakkasaroy,UZ26287,,,,,,,,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Yashnobod,Яшнободский,Yashnobod,UZ26290,,,,,,,,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Chilanzar,Чиланзарский,Chilonzor,UZ26294,,,,,,,,Tashkent city,г.Ташкент,Toshkent ш.,UZ26,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Akkurgan,Аккурганский,Oqqo'rg'on,UZ27206,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Akhangaran,Ахангаранский,Ohangaron,UZ27212,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Bekabad,Бекабадский,Bekobod,UZ27220,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Bostanlik,Бостанлыкский,Bo'stonliq,UZ27224,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Buka,Букинский,Bo'ka,UZ27228,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kuyichirchik,Куйичирчикский,Qiyichirchiq,UZ27233,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Zangiata,Зангиатинский,Zangiota,UZ27237,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Yukarichirchik,Юкоричирчикский,Yuqorichirchiq,UZ27239,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kibray,Кибрайский,Qibray,UZ27248,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Parkent,Паркентский,Parkent,UZ27249,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Pskent,Пскентский,Pskent,UZ27250,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Urtachirchik,Уртачирчикский,O'rtachirchiq,UZ27253,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Chinaz,Чиназский,Chinoz,UZ27256,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Yangiyul,Янгиюльский,Yangiyo'l,UZ27259,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Tashkent,Ташкентский,Toshkent,UZ27265,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Nurafshon city,г.Нурафшон,Nurafshon ш.,UZ27401,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Almalik city,г.Алмалык,Olmaliq ш.,UZ27404,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Angren city,г.Ангрен,Angren ш.,UZ27407,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Bekabad city,г.Бекабад,Bekobod ш.,UZ27413,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Akhangaran city,г.Ахангаран,Ohangaron ш.,UZ27415,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Chirchik city,г.Чиpчик,Chirchiq ш.,UZ27419,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Yangiyul city,г.Янгиюль,Yangiyo'l ш.,UZ27424,,,,,,,,Tashkent,Ташкентская,Toshkent,UZ27,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Altiarik,Алтыарыкский,Oltiariq,UZ30203,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kushtepa,Куштепинский,Qo'shtepa,UZ30206,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Bagdad,Багдадский,Bog'dod,UZ30209,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Buvayda,Бувайдинский,Buvayda,UZ30212,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Besharik,Бешарыкский,Beshariq,UZ30215,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kuva,Кувинский,Quva,UZ30218,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Uchkuprik,Учкуприкский,Uchko'prik,UZ30221,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Rishtan,Риштанский,Rishton,UZ30224,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Sokh,Сохский,So'x,UZ30226,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Tashlak,Ташлакский,Toshloq,UZ30227,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Uzbekistan,Узбекистанский,O'zbekiston,UZ30230,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Fergana,Ферганский,Farg'ona,UZ30233,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Dangara,Дангаринский,Dang'ara,UZ30236,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Furkat,Фуркатский,Furqat,UZ30238,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Yazyavan,Язъяванский,Yozyovon,UZ30242,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Fergana city,г.Фергана,Farg'ona ш.,UZ30401,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kokand city,г.Коканд,Qo'qon ш.,UZ30405,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kuvasay city,г.Кувасай,Quvasoy ш.,UZ30408,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Margilan city,г.Маpгилан,Marg'ilon ш.,UZ30412,,,,,,,,Fergana,Ферганская,Farg'ona,UZ30,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Bagat,Багатский,Bog'ot,UZ33204,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Gurlen,Гурленский,Gurlan,UZ33208,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Koshkupir,Кошкупырский,Qo'shko'pir,UZ33212,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Urgench,Ургенчский,Urganch,UZ33217,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Khazarasp,Хазараспский,Xazorasp,UZ33220,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Khanka,Ханкинский,Xonqa,UZ33223,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Khiva,Хивинский,Xiva,UZ33226,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Shavat,Шаватский,Shovot,UZ33230,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Yangiarik,Янгиарыкский,Yangiariq,UZ33233,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Yangibazar,Янгибазарский,Yangibozor,UZ33236,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Urgench city,г.Ургенч,Urganch ш.,UZ33401,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Khiva city,г.Хивинский,Xiva ш.,UZ33406,,,,,,,,Khorezm,Хорезмская,Xorazm,UZ33,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Amudarya,Амударьинский,Amudaryo,UZ35204,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Beruniy,Берунийский,Beruniy,UZ35207,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Karauzyak,Караузякский,Qorao'zak,UZ35211,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kegeyli,Кегейлийский,Kegeyli,UZ35212,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kungrad,Кунградский,Qo'ng'irot,UZ35215,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Kanlikul,Канлыкульский,Qanliko'l,UZ35218,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Muynak,Муйнакский,Mo'ynoq,UZ35222,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Nukus,Нукусский,Nukus,UZ35225,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Takhtakupir,Тахтакупырский,Taxtako'pir,UZ35230,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Turtkul,Турткульский,To'rtko'l,UZ35233,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Khojeyli,Ходжейлийский,Xo'jayli,UZ35236,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Chimbay,Чимбайский,Chimboy,UZ35240,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Shumanay,Шуманайский,Shumanay,UZ35243,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Ellikkala,Элликкалинский,Ellikkala,UZ35250,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
Nukus city,г.Нукус,Nukus ш.,UZ35401,,,,,,,,Republic of Karakalpakstan,Республика Каракалпакстан,Qoraqalpog'iston Respublikasi,UZ35,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2021-09-29,
