admin2Name_en,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Mewang,BT01406,,,,Thimphu,BT014,Bhutan,BT,2019-02-01,2020-10-30,
Naro,BT01407,,,,Thimphu,BT014,Bhutan,BT,2019-02-01,2020-10-30,
Soe,BT01408,,,,Thimphu,BT014,Bhutan,BT,2019-02-01,2020-10-30,
Bartsham,BT01501,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Bidung,BT01502,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Kanglung,BT01503,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Kangpara,BT01504,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Khaling,BT01505,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Lumang,BT01506,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Merak,BT01507,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Phongme,BT01508,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Radi,BT01509,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Sakteng,BT01510,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Samkhar,BT01511,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Shongphu,BT01512,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Thrimshing,BT01513,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Udzorong,BT01514,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Yangnyer,BT01515,,,,Trashigang,BT015,Bhutan,BT,2019-02-01,2020-10-30,
Bumdeling,BT01601,,,,Yangtse,BT016,Bhutan,BT,2019-02-01,2020-10-30,
Jamkhar,BT01602,,,,Yangtse,BT016,Bhutan,BT,2019-02-01,2020-10-30,
Khamdang,BT01603,,,,Yangtse,BT016,Bhutan,BT,2019-02-01,2020-10-30,
Ramjar,BT01604,,,,Yangtse,BT016,Bhutan,BT,2019-02-01,2020-10-30,
Toetsho,BT01605,,,,Yangtse,BT016,Bhutan,BT,2019-02-01,2020-10-30,
Tomzhangtshen,BT01606,,,,Yangtse,BT016,Bhutan,BT,2019-02-01,2020-10-30,
