admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
TMS,SL020411,TMS,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Koya,SL020412,Koya,,,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbonkolenken,SL020501,Gbonkolenken,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kafe Simiria,SL020502,Kafe Simiria,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kalansogoia,SL020503,Kalansogoia,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kholifa Mabang,SL020504,Kholifa Mabang,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kholifa Rowala,SL020505,Kholifa Rowala,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kunike Barina,SL020506,Kunike Barina,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kunike,SL020507,Kunike,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Malal Mara,SL020508,Malal Mara,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sambaya,SL020509,Sambaya,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Tane,SL020510,Tane,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Yoni,SL020511,Yoni,,,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Badjia,SL030101,Badjia,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bagbo,SL030102,Bagbo,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bagbwe(Bagbe),SL030103,Bagbwe(Bagbe),,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Boama,SL030104,Boama,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bumpe Ngao,SL030105,Bumpe Ngao,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo,SL030106,Gbo,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Jaiama Bongor,SL030107,Jaiama Bongor,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Kakua,SL030108,Kakua,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Komboya,SL030109,Komboya,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Lugbu,SL030110,Lugbu,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Niawa Lenga,SL030111,Niawa Lenga,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Selenga,SL030112,Selenga,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Tikonko,SL030113,Tikonko,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Valunia,SL030114,Valunia,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Wonde,SL030115,Wonde,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bo Town,SL030191,Bo Town,,,Bo,SL0301,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bendu-Cha,SL030201,Bendu-Cha,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bum,SL030202,Bum,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Dema,SL030203,Dema,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Imperri,SL030204,Imperri,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Jong,SL030205,Jong,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Kpanda Kemo,SL030206,Kpanda Kemo,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Kwamebai Krim,SL030207,Kwamebai Krim,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Nongoba Bullom,SL030208,Nongoba Bullom,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Sittia,SL030209,Sittia,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Sogbeni,SL030210,Sogbeni,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Yawbeko,SL030211,Yawbeko,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bonthe Urban,SL030291,Bonthe Urban,,,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bagruwa,SL030301,Bagruwa,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Bumpeh,SL030302,Bumpeh,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Dasse,SL030303,Dasse,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Fakunya,SL030304,Fakunya,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Kagboro,SL030305,Kagboro,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
Kaiyamba,SL030306,Kaiyamba,,,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,2016-08-01,2017-08-16,
