admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_en,admin3AltName2_en,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Foho-ai-Lico,TL010402,,,,Hatu-Udo,TL0104,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Foholau,TL100410,,,,Turiscai,TL1004,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Foholulic,TL050601,,,,Tilomar,TL0506,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Fohoren,TL050301,,,,Forohem,TL0503,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Fuat,TL090303,,,,Iliomar,TL0903,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Fuiloro,TL090102,,,,Lospalos,TL0901,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Funar,TL110602,,,,Laclubar,TL1106,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Gildapil,TL040507,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Goulolo,TL040202,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Goulolo,TL070306,,,,Letefoho,TL0703,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Gricenfor,TL060206,,,,Nain Feto,TL0602,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Grotu,TL100106,,,,Same,TL1001,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Guda,TL040503,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Guenu Lai,TL040207,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Gugleur,TL080307,,,,Maubara,TL0803,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Guiço,TL080302,Guico,,,Maubara,TL0803,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Guruca,TL030309,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Haeconi,TL030404,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Hataz,TL040404,,,,Atabae,TL0404,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Hatolia,TL070508,,,,Hatolia,TL0705,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Hatugau,TL070308,,,,Letefoho,TL0703,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Hatuquessi,TL080205,,,,Liquiçá,TL0802,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Haturalan,TL110202,,,,Laleia,TL1102,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Haupu,TL070302,,,,Letefoho,TL0703,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Hautoho,TL020307,,,,Remexio,TL0203,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Hera,TL060604,,,,Cristo Rei,TL0606,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Hoholau,TL020107,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Hohorai,TL110304,,,,Laclo,TL1103,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Holarua,TL100102,,,,Same,TL1001,Manufahi,TL10,Timor-Leste,TL,2006-12-10,2020-09-11,
Holpilat,TL050401,,,,Maukatar,TL0504,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Holsa,TL040105,,,,Maliana,TL0401,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Home,TL090103,,,,Lospalos,TL0901,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Horai-Quic,TL010307,,,,Maubisse,TL0103,Ainaro,TL01,Timor-Leste,TL,2006-12-10,2020-09-11,
Humboe,TL070206,,,,Ermera,TL0702,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Ilat-Laun,TL040618,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Iliheu,TL110105,,,,Manatuto,TL1101,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Ililai,TL090205,,,,Lautém,TL0902,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Iliomar I,TL090304,,,,Iliomar,TL0903,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Iliomar II,TL090305,,,,Iliomar,TL0903,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Irabin de Baixo,TL130101,,,,Uatucarbau,TL1301,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Irabin de Cima,TL130102,,,,Uatucarbau,TL1301,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Kampung Alor,TL060502,,,,Dom Aleixo,TL0605,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Labarai,TL050505,,,,Suai,TL0505,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Lacawa,TL090404,,,,Luro,TL0904,Lautém,TL09,Timor-Leste,TL,2006-12-10,2020-09-11,
Laclo,TL070411,,,,Atsabe,TL0704,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Lactos,TL050302,,,,Forohem,TL0503,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Lacumesac,TL110301,,,,Laclo,TL1103,Manatuto,TL11,Timor-Leste,TL,2006-12-10,2020-09-11,
Lahae,TL020105,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Lahane Ocidental,TL060101,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Lahane Oriental,TL060204,,,,Nain Feto,TL0602,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-11,
Lahomea,TL040101,,,,Maliana,TL0401,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Laisorolai de Baixo,TL030312,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Laisorolai de Cima,TL030311,,,,Quelicai,TL0303,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Lalawa,TL050602,,,,Tilomar,TL0506,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-11,
Laline,TL130501,,,,Lacluta,TL1305,Viqueque,TL13,Timor-Leste,TL,2006-12-10,2020-09-11,
Lalisuc,TL120106,,,,Pante Macassar,TL1201,Oecussi,TL12,Timor-Leste,TL,2006-12-10,2020-09-11,
Lari Sula,TL030406,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Lasaun,TL070405,,,,Atsabe,TL0704,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Lauala,TL070208,,,,Ermera,TL0702,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Lauana,TL070303,,,,Letefoho,TL0703,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Laubono,TL070408,,,,Atsabe,TL0704,Ermera,TL07,Timor-Leste,TL,2006-12-10,2020-09-11,
Lauhata,TL080106,,,,Bazartete,TL0801,Liquiçá,TL08,Timor-Leste,TL,2006-12-10,2020-09-11,
Lausi,TL020106,,,,Aileu Vila,TL0201,Aileu,TL02,Timor-Leste,TL,2006-12-10,2020-09-11,
Lavateri,TL030409,,,,Baguia,TL0304,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-11,
Leber,TL040609,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
Lebos,TL040505,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-11,
