#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_bul+is_cyrl+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:100:2:12002,12002,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12002,Cherven Briag,,BG012002,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12003,12003,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12003,Dolna Mitropolia,,BG012003,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12004,12004,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12004,Dolni Dabnik,,BG012004,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12005,12005,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12005,Guliantsi,,BG012005,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12006,12006,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12006,Iskar,,BG012006,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12007,12007,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12007,Knezha,,BG012007,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12008,12008,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12008,Levski,,BG012008,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12009,12009,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12009,Nikopol,,BG012009,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12010,12010,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12010,Pleven,,BG012010,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:12011,12011,1603:45:16:100:0,1603:45:16:100:1:12,1603:45:16:100:2:12011,Pordim,,BG012011,,,,,,Pleven,Плевен,BG012,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13001,13001,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13001,Asenovgrad,,BG013001,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13002,13002,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13002,Brezovo,,BG013002,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13003,13003,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13003,Hisaria,,BG013003,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13004,13004,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13004,Kaloianovo,,BG013004,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13005,13005,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13005,Karlovo,,BG013005,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13006,13006,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13006,Krichim,,BG013006,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13007,13007,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13007,Kuklen,,BG013007,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13008,13008,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13008,Laki,,BG013008,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13009,13009,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13009,Maritsa,,BG013009,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13010,13010,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13010,Parvomai,,BG013010,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13011,13011,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13011,Perushtitsa,,BG013011,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13012,13012,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13012,Plovdiv,,BG013012,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13013,13013,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13013,Rakovski,,BG013013,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13014,13014,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13014,Rodopi,,BG013014,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13015,13015,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13015,Sadovo,,BG013015,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13016,13016,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13016,Saedinenie,,BG013016,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13017,13017,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13017,Sopot,,BG013017,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:13018,13018,1603:45:16:100:0,1603:45:16:100:1:13,1603:45:16:100:2:13018,Stamboliiski,,BG013018,,,,,,Plovdiv,Пловдив,BG013,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:14001,14001,1603:45:16:100:0,1603:45:16:100:1:14,1603:45:16:100:2:14001,Isperih,,BG014001,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:14002,14002,1603:45:16:100:0,1603:45:16:100:1:14,1603:45:16:100:2:14002,Kubrat,,BG014002,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:14003,14003,1603:45:16:100:0,1603:45:16:100:1:14,1603:45:16:100:2:14003,Loznitsa,,BG014003,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:14004,14004,1603:45:16:100:0,1603:45:16:100:1:14,1603:45:16:100:2:14004,Razgrad,,BG014004,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:14005,14005,1603:45:16:100:0,1603:45:16:100:1:14,1603:45:16:100:2:14005,Samuil,,BG014005,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:14006,14006,1603:45:16:100:0,1603:45:16:100:1:14,1603:45:16:100:2:14006,Tsar Kaloian,,BG014006,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:14007,14007,1603:45:16:100:0,1603:45:16:100:1:14,1603:45:16:100:2:14007,Zavet,,BG014007,,,,,,Razgrad,Разград,BG014,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:15001,15001,1603:45:16:100:0,1603:45:16:100:1:15,1603:45:16:100:2:15001,Biala,,BG015001,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:15002,15002,1603:45:16:100:0,1603:45:16:100:1:15,1603:45:16:100:2:15002,Borovo,,BG015002,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:15003,15003,1603:45:16:100:0,1603:45:16:100:1:15,1603:45:16:100:2:15003,Dve Mogili,,BG015003,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:15004,15004,1603:45:16:100:0,1603:45:16:100:1:15,1603:45:16:100:2:15004,Ivanovo,,BG015004,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:15005,15005,1603:45:16:100:0,1603:45:16:100:1:15,1603:45:16:100:2:15005,Ruse,,BG015005,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:15006,15006,1603:45:16:100:0,1603:45:16:100:1:15,1603:45:16:100:2:15006,Slivo Pole,,BG015006,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:15007,15007,1603:45:16:100:0,1603:45:16:100:1:15,1603:45:16:100:2:15007,Tsenovo,,BG015007,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:15008,15008,1603:45:16:100:0,1603:45:16:100:1:15,1603:45:16:100:2:15008,Vetovo,,BG015008,,,,,,Ruse,Русе,BG015,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16001,16001,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16001,Hitrino,,BG016001,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16002,16002,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16002,Kaolinovo,,BG016002,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16003,16003,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16003,Kaspichan,,BG016003,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16004,16004,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16004,Nikola Kozlevo,,BG016004,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16005,16005,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16005,Novi Pazar,,BG016005,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16006,16006,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16006,Shumen,,BG016006,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16007,16007,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16007,Smiadovo,,BG016007,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16008,16008,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16008,Varbitsa,,BG016008,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16009,16009,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16009,Veliki Preslav,,BG016009,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:16010,16010,1603:45:16:100:0,1603:45:16:100:1:16,1603:45:16:100:2:16010,Venets,,BG016010,,,,,,Shumen,Шумен,BG016,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:17001,17001,1603:45:16:100:0,1603:45:16:100:1:17,1603:45:16:100:2:17001,Alfatar,,BG017001,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:17002,17002,1603:45:16:100:0,1603:45:16:100:1:17,1603:45:16:100:2:17002,Dulovo,,BG017002,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:17003,17003,1603:45:16:100:0,1603:45:16:100:1:17,1603:45:16:100:2:17003,Glavnitsa,,BG017003,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:17004,17004,1603:45:16:100:0,1603:45:16:100:1:17,1603:45:16:100:2:17004,Kainardzha,,BG017004,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:17005,17005,1603:45:16:100:0,1603:45:16:100:1:17,1603:45:16:100:2:17005,Silistra,,BG017005,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:17006,17006,1603:45:16:100:0,1603:45:16:100:1:17,1603:45:16:100:2:17006,Sitovo,,BG017006,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:17007,17007,1603:45:16:100:0,1603:45:16:100:1:17,1603:45:16:100:2:17007,Tutrakan,,BG017007,,,,,,Silistra,Силистра,BG017,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:18001,18001,1603:45:16:100:0,1603:45:16:100:1:18,1603:45:16:100:2:18001,Kotel,,BG018001,,,,,,Sliven,Сливен,BG018,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:18002,18002,1603:45:16:100:0,1603:45:16:100:1:18,1603:45:16:100:2:18002,Nova Zagora,,BG018002,,,,,,Sliven,Сливен,BG018,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:18003,18003,1603:45:16:100:0,1603:45:16:100:1:18,1603:45:16:100:2:18003,Sliven,,BG018003,,,,,,Sliven,Сливен,BG018,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:18004,18004,1603:45:16:100:0,1603:45:16:100:1:18,1603:45:16:100:2:18004,Tvarditsa,,BG018004,,,,,,Sliven,Сливен,BG018,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19001,19001,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19001,Banite,,BG019001,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19002,19002,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19002,Borino,,BG019002,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19003,19003,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19003,Chepelare,,BG019003,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19004,19004,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19004,Devin,,BG019004,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19005,19005,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19005,Dospat,,BG019005,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19006,19006,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19006,Madan,,BG019006,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19007,19007,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19007,Nedelino,,BG019007,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19008,19008,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19008,Rudozem,,BG019008,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19009,19009,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19009,Smolian,,BG019009,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:19010,19010,1603:45:16:100:0,1603:45:16:100:1:19,1603:45:16:100:2:19010,Zlatograd,,BG019010,,,,,,Smolyan,Смолян,BG019,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20001,20001,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20001,Anton,,BG020001,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20002,20002,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20002,Botevgrad,,BG020002,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20003,20003,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20003,Bozhurishte,,BG020003,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20004,20004,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20004,Chavdar,,BG020004,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20005,20005,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20005,Chelopech,,BG020005,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20006,20006,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20006,Dolna Bania,,BG020006,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20007,20007,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20007,Dragoman,,BG020007,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20008,20008,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20008,Elin Pelin,,BG020008,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20009,20009,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20009,Etropole,,BG020009,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20010,20010,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20010,Godech,,BG020010,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20011,20011,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20011,Gorna Malina,,BG020011,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20012,20012,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20012,Ihtiman,,BG020012,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20013,20013,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20013,Koprivshtitsa,,BG020013,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20014,20014,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20014,Kostenets,,BG020014,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20015,20015,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20015,Kostinbrod,,BG020015,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20016,20016,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20016,Mirkovo,,BG020016,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20017,20017,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20017,Pirdop,,BG020017,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20018,20018,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20018,Pravets,,BG020018,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20019,20019,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20019,Samokov,,BG020019,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20020,20020,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20020,Slivnitsa,,BG020020,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20021,20021,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20021,Svoge,,BG020021,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:20022,20022,1603:45:16:100:0,1603:45:16:100:1:20,1603:45:16:100:2:20022,Zlatitsa,,BG020022,,,,,,Sofia,Софийска,BG020,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:21001,21001,1603:45:16:100:0,1603:45:16:100:1:21,1603:45:16:100:2:21001,Sofia City,,BG021001,,,,,,Sofia-City,София-град,BG021,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22001,22001,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22001,Bratya Daskalovi,,BG022001,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22002,22002,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22002,Chirpan,,BG022002,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22003,22003,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22003,Galabovo,,BG022003,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22004,22004,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22004,Gurkovo,,BG022004,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22005,22005,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22005,Kazanlak,,BG022005,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22006,22006,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22006,Maglizh,,BG022006,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22007,22007,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22007,Nikolaevo,,BG022007,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22008,22008,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22008,Opan,,BG022008,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22009,22009,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22009,Pavel Bania,,BG022009,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22010,22010,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22010,Radnevo,,BG022010,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:22011,22011,1603:45:16:100:0,1603:45:16:100:1:22,1603:45:16:100:2:22011,Stara Zagora,,BG022011,,,,,,Stara Zagora,Стара Загора,BG022,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:23001,23001,1603:45:16:100:0,1603:45:16:100:1:23,1603:45:16:100:2:23001,Antonovo,,BG023001,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:23002,23002,1603:45:16:100:0,1603:45:16:100:1:23,1603:45:16:100:2:23002,Omurtag,,BG023002,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:23003,23003,1603:45:16:100:0,1603:45:16:100:1:23,1603:45:16:100:2:23003,Opaka,,BG023003,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:23004,23004,1603:45:16:100:0,1603:45:16:100:1:23,1603:45:16:100:2:23004,Popovo,,BG023004,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:23005,23005,1603:45:16:100:0,1603:45:16:100:1:23,1603:45:16:100:2:23005,Targovishte,,BG023005,,,,,,Targovishte,Търговище,BG023,Bulgaria,България,BG,2019-09-16,2019-09-16,
1603:45:16:100:2:24001,24001,1603:45:16:100:0,1603:45:16:100:1:24,1603:45:16:100:2:24001,Aksakovo,,BG024001,,,,,,Varna,Варна,BG024,Bulgaria,България,BG,2019-09-16,2019-09-16,
