#meta,#meta+archivum,#meta+caput
1603.45.16:,bgd.xlsx,admin2Pcode
1603.45.16:,bgd.xlsx,admin2RefName
1603.45.16:,bgd.xlsx,admin2AltName1_en
1603.45.16:,bgd.xlsx,admin2AltName2_en
1603.45.16:,bgd.xlsx,admin1Name_en
1603.45.16:,bgd.xlsx,admin1Pcode
1603.45.16:,bgd.xlsx,admin0Name_en
1603.45.16:,bgd.xlsx,admin0Pcode
1603.45.16:,bgd.xlsx,date
1603.45.16:,bgd.xlsx,validOn
1603.45.16:,bgd.xlsx,validTo
1603.45.16:,bgd.xlsx,admin1Name_en
1603.45.16:,bgd.xlsx,admin1Pcode
1603.45.16:,bgd.xlsx,admin1RefName
1603.45.16:,bgd.xlsx,admin1AltName1_en
1603.45.16:,bgd.xlsx,admin1AltName2_en
1603.45.16:,bgd.xlsx,admin0Name_en
1603.45.16:,bgd.xlsx,admin0Pcode
1603.45.16:,bgd.xlsx,date
1603.45.16:,bgd.xlsx,validOn
1603.45.16:,bgd.xlsx,validTo
1603.45.16:,bgd.xlsx,admin0Name_en
1603.45.16:,bgd.xlsx,admin0Pcode
1603.45.16:,bgd.xlsx,admin0RefName
1603.45.16:,bgd.xlsx,admin0AltName1_en
1603.45.16:,bgd.xlsx,admin0AltName2_en
1603.45.16:,bgd.xlsx,date
1603.45.16:,bgd.xlsx,validOn
1603.45.16:,bgd.xlsx,validTo
1603.45.16:,bgr.xlsx,admin2Name_en
1603.45.16:,bgr.xlsx,admin2Name_bg
1603.45.16:,bgr.xlsx,admin2Pcode
1603.45.16:,bgr.xlsx,admin2RefName
1603.45.16:,bgr.xlsx,admin2AltName1_en
1603.45.16:,bgr.xlsx,admin2AltName2_en
1603.45.16:,bgr.xlsx,admin2AltName1_bg
1603.45.16:,bgr.xlsx,admin2AltName2_bg
1603.45.16:,bgr.xlsx,admin1Name_en
1603.45.16:,bgr.xlsx,admin1Name_bg
1603.45.16:,bgr.xlsx,admin1Pcode
1603.45.16:,bgr.xlsx,admin0Name_en
1603.45.16:,bgr.xlsx,admin0Name_bg
1603.45.16:,bgr.xlsx,admin0Pcode
1603.45.16:,bgr.xlsx,date
1603.45.16:,bgr.xlsx,validOn
1603.45.16:,bgr.xlsx,validTo
1603.45.16:,bgr.xlsx,admin1Name_en
1603.45.16:,bgr.xlsx,admin1Name_bg
1603.45.16:,bgr.xlsx,admin1Pcode
1603.45.16:,bgr.xlsx,admin1RefName
1603.45.16:,bgr.xlsx,admin1AltName1_en
1603.45.16:,bgr.xlsx,admin1AltName2_en
1603.45.16:,bgr.xlsx,admin1AltName1_bg
1603.45.16:,bgr.xlsx,admin1AltName2_bg
1603.45.16:,bgr.xlsx,admin0Name_en
1603.45.16:,bgr.xlsx,admin0Name_bg
1603.45.16:,bgr.xlsx,admin0Pcode
1603.45.16:,bgr.xlsx,date
1603.45.16:,bgr.xlsx,validOn
1603.45.16:,bgr.xlsx,validTo
1603.45.16:,bgr.xlsx,admin0Name_en
1603.45.16:,bgr.xlsx,admin0Name_bg
1603.45.16:,bgr.xlsx,admin0Pcode
1603.45.16:,bgr.xlsx,admin0RefName
1603.45.16:,bgr.xlsx,admin0AltName1_en
1603.45.16:,bgr.xlsx,admin0AltName2_en
1603.45.16:,bgr.xlsx,admin0AltName1_bg
1603.45.16:,bgr.xlsx,admin0AltName2_bg
1603.45.16:,bgr.xlsx,date
1603.45.16:,bgr.xlsx,validOn
1603.45.16:,bgr.xlsx,validTo
1603.45.16:,blr.xlsx,admin2Name_en
1603.45.16:,blr.xlsx,admin2Pcode
1603.45.16:,blr.xlsx,admin2RefName
1603.45.16:,blr.xlsx,admin2AltName1_en
1603.45.16:,blr.xlsx,admin2AltName2_en
1603.45.16:,blr.xlsx,admin1Name_en
1603.45.16:,blr.xlsx,admin1Pcode
1603.45.16:,blr.xlsx,admin0Name_en
1603.45.16:,blr.xlsx,admin0Pcode
1603.45.16:,blr.xlsx,date
1603.45.16:,blr.xlsx,validOn
1603.45.16:,blr.xlsx,validTo
1603.45.16:,blr.xlsx,admin1Name_en
1603.45.16:,blr.xlsx,admin1Pcode
1603.45.16:,blr.xlsx,admin1RefName
1603.45.16:,blr.xlsx,admin1AltName1_en
1603.45.16:,blr.xlsx,admin1AltName2_en
1603.45.16:,blr.xlsx,admin0Name_en
1603.45.16:,blr.xlsx,admin0Pcode
1603.45.16:,blr.xlsx,date
1603.45.16:,blr.xlsx,validOn
1603.45.16:,blr.xlsx,validTo
1603.45.16:,blr.xlsx,admin0Name_en
1603.45.16:,blr.xlsx,admin0Pcode
1603.45.16:,blr.xlsx,admin0RefName
1603.45.16:,blr.xlsx,admin0AltName1_en
1603.45.16:,blr.xlsx,admin0AltName2_en
1603.45.16:,blr.xlsx,date
1603.45.16:,blr.xlsx,validOn
1603.45.16:,blr.xlsx,validTo
1603.45.16:,bmu.xlsx,admin2Name_en
1603.45.16:,bmu.xlsx,admin2Pcode
1603.45.16:,bmu.xlsx,admin2RefName
1603.45.16:,bmu.xlsx,admin2AltName1_en
1603.45.16:,bmu.xlsx,admin2AltName2_en
1603.45.16:,bmu.xlsx,admin1Name_en
1603.45.16:,bmu.xlsx,admin1Pcode
1603.45.16:,bmu.xlsx,admin0Name_en
1603.45.16:,bmu.xlsx,admin0Pcode
1603.45.16:,bmu.xlsx,date
1603.45.16:,bmu.xlsx,validOn
1603.45.16:,bmu.xlsx,validTo
1603.45.16:,bmu.xlsx,admin1Name_en
1603.45.16:,bmu.xlsx,admin1Pcode
1603.45.16:,bmu.xlsx,admin1RefName
1603.45.16:,bmu.xlsx,admin1AltName1_en
1603.45.16:,bmu.xlsx,admin1AltName2_en
1603.45.16:,bmu.xlsx,admin0Name_en
1603.45.16:,bmu.xlsx,admin0Pcode
1603.45.16:,bmu.xlsx,date
1603.45.16:,bmu.xlsx,validOn
1603.45.16:,bmu.xlsx,validTo
1603.45.16:,bmu.xlsx,admin0Name_en
1603.45.16:,bmu.xlsx,admin0Pcode
1603.45.16:,bmu.xlsx,admin0RefName
1603.45.16:,bmu.xlsx,admin0AltName1_en
1603.45.16:,bmu.xlsx,admin0AltName2_en
1603.45.16:,bmu.xlsx,date
1603.45.16:,bmu.xlsx,validOn
1603.45.16:,bmu.xlsx,validTo
1603.45.16:,bol.xlsx,admin3Name_es
1603.45.16:,bol.xlsx,admin3Pcode
1603.45.16:,bol.xlsx,admin3RefName
1603.45.16:,bol.xlsx,admin3AltName1_es
1603.45.16:,bol.xlsx,admin3AltName2_es
1603.45.16:,bol.xlsx,admin2Name_es
1603.45.16:,bol.xlsx,admin2Pcode
1603.45.16:,bol.xlsx,admin1Name_es
1603.45.16:,bol.xlsx,admin1Pcode
1603.45.16:,bol.xlsx,admin0Name_es
1603.45.16:,bol.xlsx,admin0Pcode
1603.45.16:,bol.xlsx,date
1603.45.16:,bol.xlsx,validOn
1603.45.16:,bol.xlsx,validTo
1603.45.16:,bol.xlsx,admin2Name_es
1603.45.16:,bol.xlsx,admin2Pcode
1603.45.16:,bol.xlsx,admin2RefName
1603.45.16:,bol.xlsx,admin2AltName1_es
1603.45.16:,bol.xlsx,admin2AltName2_es
1603.45.16:,bol.xlsx,admin1Name_es
1603.45.16:,bol.xlsx,admin1Pcode
1603.45.16:,bol.xlsx,admin0Name_es
1603.45.16:,bol.xlsx,admin0Pcode
1603.45.16:,bol.xlsx,date
1603.45.16:,bol.xlsx,validOn
1603.45.16:,bol.xlsx,validTo
1603.45.16:,bol.xlsx,admin1Name_es
1603.45.16:,bol.xlsx,admin1Pcode
