#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_ara+is_arab+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:504:2:8001,8001,1603:45:16:504:0,1603:45:16:504:1:8,1603:45:16:504:2:8001,Prefecture de Skhirate Temara, ,MA008001,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:8002,8002,1603:45:16:504:0,1603:45:16:504:1:8,1603:45:16:504:2:8002,Prefecture of Rabat, ,MA008002,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:8003,8003,1603:45:16:504:0,1603:45:16:504:1:8,1603:45:16:504:2:8003,Prefecture of Sale, ,MA008003,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:8004,8004,1603:45:16:504:0,1603:45:16:504:1:8,1603:45:16:504:2:8004,Province de Kenitra, ,MA008004,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:8005,8005,1603:45:16:504:0,1603:45:16:504:1:8,1603:45:16:504:2:8005,Province de Khemisset, ,MA008005,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:8006,8006,1603:45:16:504:0,1603:45:16:504:1:8,1603:45:16:504:2:8006,Province de Sidi Kacem, ,MA008006,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:8007,8007,1603:45:16:504:0,1603:45:16:504:1:8,1603:45:16:504:2:8007,Province de Sidi Slimane, ,MA008007,,,,,,Rabat Sale Kenitra,الرباط - سلا -القنيطرة,MA008,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:9001,9001,1603:45:16:504:0,1603:45:16:504:1:9,1603:45:16:504:2:9001,Agadir Ida Outanane Prefecture, ,MA009001,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:9002,9002,1603:45:16:504:0,1603:45:16:504:1:9,1603:45:16:504:2:9002,Chtouka Ait Baha Province, ,MA009002,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,2020-12-07,2020-12-07,
1603:45:16:504:2:9003,9003,1603:45:16:504:0,1603:45:16:504:1:9,1603:45:16:504:2:9003,Inezgane Ait Melloul Prefecture, ,MA009003,,,,,,Souss Massa,سوس - ماسة,MA009,Morocco,المغرب,MA,2020-12-07,2020-12-07,
