qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,zho-Zyyy-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,zho-Zyyy-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,zho-Zyyy-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:156:2:35030,35030,1603:45:16:156:0,1603:45:16:156:1:35,1603:45:16:156:2:35030,Nanping,南平市,CN035030,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:35040,35040,1603:45:16:156:0,1603:45:16:156:1:35,1603:45:16:156:2:35040,Ningde,宁德市,CN035040,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:35050,35050,1603:45:16:156:0,1603:45:16:156:1:35,1603:45:16:156:2:35050,Putian,莆田市,CN035050,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:35060,35060,1603:45:16:156:0,1603:45:16:156:1:35,1603:45:16:156:2:35060,Quanzhou,泉州市,CN035060,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:35070,35070,1603:45:16:156:0,1603:45:16:156:1:35,1603:45:16:156:2:35070,Sanming,三明市,CN035070,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:35080,35080,1603:45:16:156:0,1603:45:16:156:1:35,1603:45:16:156:2:35080,Xiamen,厦门市,CN035080,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:35090,35090,1603:45:16:156:0,1603:45:16:156:1:35,1603:45:16:156:2:35090,Zhangzhou,漳州市,CN035090,Fujian Province,福建省,CN035,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36010,36010,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36010,Fuzhou,抚州市,CN036010,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36020,36020,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36020,Ganzhou,赣州市,CN036020,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36030,36030,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36030,Ji'an,吉安市,CN036030,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36040,36040,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36040,Jingdezhen,景德镇市,CN036040,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36050,36050,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36050,Jiujiang,九江市,CN036050,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36060,36060,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36060,Nanchang,南昌市,CN036060,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36070,36070,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36070,Pingxiang,萍乡市,CN036070,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36080,36080,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36080,Shangrao,上饶市,CN036080,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36090,36090,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36090,Xinyu,新余市,CN036090,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36100,36100,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36100,Yichun,宜春市,CN036100,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:36110,36110,1603:45:16:156:0,1603:45:16:156:1:36,1603:45:16:156:2:36110,Yingtan,鹰潭市,CN036110,Jiangxi Province,江西省,CN036,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37010,37010,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37010,Binzhou,滨州市,CN037010,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37020,37020,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37020,Dezhou,德州市,CN037020,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37030,37030,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37030,Dongying,东营市,CN037030,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37040,37040,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37040,Heze,菏泽市,CN037040,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37050,37050,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37050,Jinan,济南市,CN037050,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37060,37060,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37060,Jining,济宁市,CN037060,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37070,37070,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37070,Laiwu,莱芜市,CN037070,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37080,37080,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37080,Liaocheng,聊城市,CN037080,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37090,37090,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37090,Linyi,临沂市,CN037090,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37100,37100,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37100,Qingdao,青岛市,CN037100,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37110,37110,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37110,Rizhao,日照市,CN037110,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37120,37120,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37120,Tai'an,泰安市,CN037120,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37130,37130,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37130,Weifang,潍坊市,CN037130,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37140,37140,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37140,Weihai,威海市,CN037140,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37150,37150,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37150,Yantai,烟台市,CN037150,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37160,37160,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37160,Zaozhuang,枣庄市,CN037160,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:37170,37170,1603:45:16:156:0,1603:45:16:156:1:37,1603:45:16:156:2:37170,Zibo,淄博市,CN037170,Shandong Province,山东省,CN037,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41010,41010,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41010,Anyang,安阳市,CN041010,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41020,41020,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41020,Hebi,鹤壁市,CN041020,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41030,41030,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41030,Jiaozuo,焦作市,CN041030,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41040,41040,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41040,Jiyuan,济源市〔1〕,CN041040,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41050,41050,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41050,Kaifeng,开封市,CN041050,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41060,41060,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41060,Luohe,漯河市,CN041060,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41070,41070,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41070,Luoyang,洛阳市,CN041070,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41080,41080,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41080,Nanyang,南阳市,CN041080,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41090,41090,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41090,Pingdingshan,平顶山市,CN041090,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41100,41100,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41100,Puyang,濮阳市,CN041100,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41110,41110,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41110,Sanmenxia,三门峡市,CN041110,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41120,41120,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41120,Shangqiu,商丘市,CN041120,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41130,41130,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41130,Xinxiang,新乡市,CN041130,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41140,41140,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41140,Xinyang,信阳市,CN041140,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41150,41150,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41150,Xuchang,许昌市,CN041150,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41160,41160,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41160,Zhengzhou,郑州市,CN041160,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41170,41170,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41170,Zhoukou,周口市,CN041170,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:41180,41180,1603:45:16:156:0,1603:45:16:156:1:41,1603:45:16:156:2:41180,Zhumadian,驻马店市,CN041180,Henan Province,河南省,CN041,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42010,42010,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42010,Enshi Tujia and Miao Autonomous Prefecture,恩施土家族苗族自治州,CN042010,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42020,42020,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42020,Ezhou,鄂州市,CN042020,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42030,42030,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42030,Huanggang,黄冈市,CN042030,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42040,42040,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42040,Huangshi,黄石市,CN042040,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42050,42050,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42050,Jingmen,荆门市,CN042050,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42060,42060,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42060,Jingzhou,荆州市,CN042060,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42070,42070,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42070,Qianjiang,潜江市[1],CN042070,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42080,42080,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42080,Shennongjia Forestry District,神农架林区[3],CN042080,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42090,42090,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42090,Shiyan,十堰市,CN042090,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42100,42100,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42100,Suizhou,随州市,CN042100,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42110,42110,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42110,Tianmen,天门市[1],CN042110,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42120,42120,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42120,Wuhan,武汉市,CN042120,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42130,42130,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42130,Xiangyang,襄阳市,CN042130,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42140,42140,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42140,Xianning,咸宁市,CN042140,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42150,42150,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42150,Xiantao,仙桃市[1],CN042150,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42160,42160,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42160,Xiaogan,孝感市,CN042160,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:42170,42170,1603:45:16:156:0,1603:45:16:156:1:42,1603:45:16:156:2:42170,Yichang,宜昌市,CN042170,Hubei Province,湖北省,CN042,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43010,43010,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43010,Changde,常德市,CN043010,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43020,43020,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43020,Changsha,长沙市,CN043020,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43030,43030,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43030,Chenzhou,郴州市,CN043030,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43040,43040,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43040,Hengyang,衡阳市,CN043040,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43050,43050,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43050,Huaihua,怀化市,CN043050,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43060,43060,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43060,Loudi,娄底市,CN043060,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43070,43070,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43070,Shaoyang,邵阳市,CN043070,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43080,43080,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43080,Xiangtan,湘潭市,CN043080,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43090,43090,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43090,Xiangxi Tujia and Miao Autonomous Prefecture,湘西土家族苗族自治州,CN043090,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43100,43100,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43100,Yiyang,益阳市,CN043100,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43110,43110,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43110,Yongzhou,永州市,CN043110,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43120,43120,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43120,Yueyang,岳阳市,CN043120,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43130,43130,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43130,Zhangjiajie,张家界市,CN043130,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:43140,43140,1603:45:16:156:0,1603:45:16:156:1:43,1603:45:16:156:2:43140,Zhuzhou,株州市,CN043140,Hunan Province,湖南省,CN043,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44010,44010,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44010,Chaozhou,潮州市,CN044010,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44020,44020,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44020,Dongguan,东莞市,CN044020,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44030,44030,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44030,Foshan,佛山市,CN044030,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44040,44040,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44040,Guangzhou,广州市,CN044040,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44050,44050,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44050,Heyuan,河源市,CN044050,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44060,44060,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44060,Huizhou,惠州市,CN044060,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44070,44070,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44070,Jiangmen,江门市,CN044070,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44080,44080,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44080,Jieyang,揭阳市,CN044080,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44090,44090,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44090,Maoming,茂名市,CN044090,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44100,44100,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44100,Meizhou,梅州市,CN044100,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44110,44110,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44110,Qingyuan,清远市,CN044110,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44120,44120,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44120,Shantou,汕头市,CN044120,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44130,44130,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44130,Shanwei,汕尾市,CN044130,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44140,44140,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44140,Shaoguan,韶关市,CN044140,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44150,44150,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44150,Shenzhen,深圳市,CN044150,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44160,44160,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44160,Yangjiang,阳江市,CN044160,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44170,44170,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44170,Yunfu,云浮市,CN044170,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44180,44180,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44180,Zhanjiang,湛江市,CN044180,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44190,44190,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44190,Zhaoqing,肇庆市,CN044190,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44200,44200,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44200,Zhongshan,中山市,CN044200,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:44210,44210,1603:45:16:156:0,1603:45:16:156:1:44,1603:45:16:156:2:44210,Zhuhai,珠海市,CN044210,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45010,45010,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45010,Baise,百色市,CN045010,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45020,45020,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45020,Beihai,北海市,CN045020,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45030,45030,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45030,Chongzuo,崇左市,CN045030,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45040,45040,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45040,Fangchenggang,防城港市,CN045040,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45050,45050,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45050,Guigang,贵港市,CN045050,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45060,45060,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45060,Guilin,桂林市,CN045060,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45070,45070,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45070,Hechi,河池市,CN045070,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45080,45080,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45080,Hezhou,贺州市,CN045080,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45090,45090,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45090,Laibin,来宾市,CN045090,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45100,45100,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45100,Liuzhou,柳州市,CN045100,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45110,45110,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45110,NanNing,南宁市,CN045110,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45120,45120,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45120,Qinzhou,钦州市,CN045120,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45130,45130,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45130,Wuzhou,梧州市,CN045130,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:45140,45140,1603:45:16:156:0,1603:45:16:156:1:45,1603:45:16:156:2:45140,Yulin,玉林市,CN045140,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
1603:45:16:156:2:46010,46010,1603:45:16:156:0,1603:45:16:156:1:46,1603:45:16:156:2:46010,Baisha Li Autonomous County,白沙黎族自治县[2],CN046010,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
