#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5003,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5002,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5001,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_sin+is_sinh+rdf_p_skos_preflabel_s5000,#item+rem+i_tam+is_taml+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:144:3:2127,2127,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2127,Kundasale,කුන්ඩසාලේ,குண்டசாலை,LK2127,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2130,2130,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2130,Gangawata Korale,ගඟවටකෝරලේ,கண்டி,LK2130,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2133,2133,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2133,Harispattuwa,හාරිස්පත්තුව,கரிஸ்பத்துவை,LK2133,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2134,2134,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2134,Hatharaliyadda,හතරලියද්ද,கத்தராலியட்டை,LK2134,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2136,2136,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2136,Yatinuwara,යටිනුවර,யட்டிநுவரை,LK2136,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2139,2139,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2139,Udunuwara,උඩුනුවර,உடுநுவரை,LK2139,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2142,2142,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2142,Doluwa,දොලුව,டொலுவை,LK2142,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2145,2145,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2145,Pathahewaheta,පාතහේවාහැට,பாத்ததேவாகிட்டை,LK2145,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2148,2148,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2148,Deltota,දෙල්තොට,தெல்தோட்டை,LK2148,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2151,2151,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2151,Udapalatha,උඩපළාත,உடபத்தளை,LK2151,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2154,2154,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2154,Ganga Ihala Korale,ගඟඉහළකෝරලේ,கங்கா இகலை,LK2154,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2157,2157,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:21,1603:45:16:144:3:2157,Pasbagekorale,පස්බාගේකෝරලේ,பஸ்பாகே கோரளை,LK2157,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2203,2203,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2203,Galewela,ගලේවෙල,கலேவளை,LK2203,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2206,2206,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2206,Dambulla,දඹුල්ල,தம்புள்ளை,LK2206,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2209,2209,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2209,Naula,නාඋල,நாவுலை,LK2209,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2212,2212,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2212,Pallepola,පල්ලේපොල,பல்லேபொளை,LK2212,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2215,2215,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2215,Yatawatta,යටවත්ත,யட்டவத்தை,LK2215,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2218,2218,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2218,Matale,මාතලේ,மாத்தளை,LK2218,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2221,2221,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2221,Ambanganga,අඹන්ගඟ,அம்பன்கங்கை கோரளை,LK2221,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2224,2224,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2224,Laggala,ලග්ගල,லக்கலை-பல்லேகமை,LK2224,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2227,2227,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2227,Wilgamuwa,විල්ගමුව,வில்கமுவை,LK2227,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2230,2230,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2230,Rattota,රත්තොට,ரத்தோட்டை,LK2230,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2233,2233,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:22,1603:45:16:144:3:2233,Ukuwela,උකුවෙල,உக்குவெலை,LK2233,,,,,,,,Matale,මාතලේ දිස්ත්‍රික්කය,மாத்தளை மாவட்டம்,LK22,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2303,2303,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:23,1603:45:16:144:3:2303,Kothmale,කොත්මලේ,கொத்மலை,LK2303,,,,,,,,Nuwara Eliya,නුවරඑළිය දිස්ත්‍රික්කය,நுவரேலியா மாவட்டம்,LK23,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2306,2306,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:23,1603:45:16:144:3:2306,Hanguranketa,හගුරන්කේත,ஹங்குரன்கெத்தை,LK2306,,,,,,,,Nuwara Eliya,නුවරඑළිය දිස්ත්‍රික්කය,நுவரேலியா மாவட்டம்,LK23,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2309,2309,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:23,1603:45:16:144:3:2309,Walapane,වලපනේ,வலப்பனை,LK2309,,,,,,,,Nuwara Eliya,නුවරඑළිය දිස්ත්‍රික්කය,நுவரேலியா மாவட்டம்,LK23,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2312,2312,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:23,1603:45:16:144:3:2312,Nuwara Eliya,නුවර එළිය,நுவரெலியா,LK2312,,,,,,,,Nuwara Eliya,නුවරඑළිය දිස්ත්‍රික්කය,நுவரேலியா மாவட்டம்,LK23,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:2315,2315,1603:45:16:144:0,1603:45:16:144:1:2,1603:45:16:144:2:23,1603:45:16:144:3:2315,Ambagamuwa,අඹගමුව,அம்பகமுவை,LK2315,,,,,,,,Nuwara Eliya,නුවරඑළිය දිස්ත්‍රික්කය,நுவரேலியா மாவட்டம்,LK23,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3103,3103,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3103,Bentota,බෙන්තොට,பெந்தோட்டை,LK3103,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3106,3106,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3106,Balapitiya,බලපිටිය,பலப்பிட்டி,LK3106,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3109,3109,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3109,Karandeniya,කරන්දෙනිය,கரந்தெனிய,LK3109,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3112,3112,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3112,Elpitiya,ඇල්පිටිය,எல்பிட்டி,LK3112,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3115,3115,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3115,Niyagama,නියාගම,நியாகமை,LK3115,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3118,3118,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3118,Thawalama,තවලම,தவலமை,LK3118,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3121,3121,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3121,Neluwa,නෙළුව,நெலுவை,LK3121,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3124,3124,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3124,Nagoda,නාගොඩ,நாகொடை,LK3124,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3127,3127,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3127,Baddegama,බද්දේගම,பத்தேகமை,LK3127,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3130,3130,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3130,Welivitiya-Divitura,වැලිවිටිය-දිවිතුර,வெலிவிட்டிய திவிதுரை,LK3130,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3133,3133,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3133,Ambalangoda,අම්බලන්ගොඩ,அம்பலாங்கொடை,LK3133,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3134,3134,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3134,Gonapinuwala,ගෝනපීනුවල,கோனபின்னுவலை,LK3134,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3136,3136,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3136,Hikkaduwa,හික්කඩුව,இக்கடுவை,LK3136,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3139,3139,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3139,Galle4Gravets,කඩවත්සතර,காலி,LK3139,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3142,3142,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3142,Bope-Poddala,බෝපෙ-පෝද්දල,போப்பே பொட்டலை,LK3142,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3145,3145,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3145,Akmeemana,අක්මීමණ,அக்மீமனை,LK3145,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3148,3148,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3148,Yakkalamulla,යක්කලමුල්ල,யக்கலமுல்லை,LK3148,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3151,3151,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3151,Imaduwa,ඉමදුව,இமதுவை,LK3151,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3154,3154,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:31,1603:45:16:144:3:3154,Habaraduwa,හබරාදුව,கபராதுவை,LK3154,,,,,,,,Galle,ගාල්ල දිස්ත්‍රික්කය,காலி மாவட்டம்,LK31,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3203,3203,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:32,1603:45:16:144:3:3203,Pitabaddara,පිටබැද්දර,பிட்டபத்தறை,LK3203,,,,,,,,Matara,මාතර දිස්ත්‍රික්කය,மாத்தறை மாவட்டம்,LK32,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3206,3206,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:32,1603:45:16:144:3:3206,Kotapola,කොටපොල,கொட்டப்பொலை,LK3206,,,,,,,,Matara,මාතර දිස්ත්‍රික්කය,மாத்தறை மாவட்டம்,LK32,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3209,3209,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:32,1603:45:16:144:3:3209,Pasgoda,පස්ගොඩ,பஸ்கொடை,LK3209,,,,,,,,Matara,මාතර දිස්ත්‍රික්කය,மாத்தறை மாவட்டம்,LK32,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3212,3212,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:32,1603:45:16:144:3:3212,Mulatiyana,මුලටියන,முலட்டியானை,LK3212,,,,,,,,Matara,මාතර දිස්ත්‍රික්කය,மாத்தறை மாவட்டம்,LK32,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3215,3215,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:32,1603:45:16:144:3:3215,Athuraliya,අතුරලිය,அத்துரலிய,LK3215,,,,,,,,Matara,මාතර දිස්ත්‍රික්කය,மாத்தறை மாவட்டம்,LK32,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3218,3218,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:32,1603:45:16:144:3:3218,Akuressa,අකුරැස්ස,அக்குரசை,LK3218,,,,,,,,Matara,මාතර දිස්ත්‍රික්කය,மாத்தறை மாவட்டம்,LK32,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3221,3221,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:32,1603:45:16:144:3:3221,Welipitiya,වැලිපිටිය,வெலிபிட்டிய,LK3221,,,,,,,,Matara,මාතර දිස්ත්‍රික්කය,மாத்தறை மாவட்டம்,LK32,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
1603:45:16:144:3:3224,3224,1603:45:16:144:0,1603:45:16:144:1:3,1603:45:16:144:2:32,1603:45:16:144:3:3224,Malimbada,මාලිම්බඩ,மாலிம்படை,LK3224,,,,,,,,Matara,මාතර දිස්ත්‍රික්කය,மாத்தறை மாவட்டம்,LK32,Southern,දකුණු පළාත,தென் மாகாணம்,LK3,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
