#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+ERROR+adm2+code+v_pcode,#meta+ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_tur+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:792:2:20003,20003,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20003,Baklan,Baklan,TR020003,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20004,20004,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20004,Bekilli,Bekilli,TR020004,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20005,20005,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20005,Beyagac,Beyağaç,TR020005,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20006,20006,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20006,Bozkurt,Bozkurt,TR020006,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20007,20007,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20007,Buldan,Buldan,TR020007,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20008,20008,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20008,Cal,Çal,TR020008,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20009,20009,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20009,Cameli,Çameli,TR020009,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20010,20010,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20010,Cardak,Çardak,TR020010,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20011,20011,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20011,Civril,Çivril,TR020011,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20012,20012,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20012,Guney,Güney,TR020012,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20013,20013,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20013,Honaz,Honaz,TR020013,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20014,20014,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20014,Kale,Kale,TR020014,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20015,20015,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20015,Merkezefendi,Merkezefendi,TR020015,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20016,20016,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20016,Pamukkale,Pamukkale,TR020016,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20017,20017,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20017,Saraykoy,Sarayköy,TR020017,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20018,20018,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20018,Serinhisar,Serinhisar,TR020018,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:20019,20019,1603:45:16:792:0,1603:45:16:792:1:20,1603:45:16:792:2:20019,Tavas,Tavas,TR020019,,,,,,Denizli,Denizli,TR020,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21001,21001,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21001,Baglar,Bağlar,TR021001,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21002,21002,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21002,Bismil,Bismil,TR021002,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21003,21003,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21003,Cermik,Çermik,TR021003,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21004,21004,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21004,Cinar,Çinar,TR021004,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21005,21005,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21005,Cungus,Çüngüş,TR021005,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21006,21006,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21006,Dicle,Dicle,TR021006,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21007,21007,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21007,Egil,Eğil,TR021007,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21008,21008,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21008,Ergani,Ergani,TR021008,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21009,21009,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21009,Hani,Hani,TR021009,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21010,21010,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21010,Hazro,Hazro,TR021010,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21011,21011,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21011,Kayapinar,Kayapinar,TR021011,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21012,21012,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21012,Kocakoy,Kocaköy,TR021012,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21013,21013,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21013,Kulp,Kulp,TR021013,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21014,21014,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21014,Lice,Lice,TR021014,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21015,21015,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21015,Silvan,Silvan,TR021015,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21016,21016,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21016,Sur,Sur,TR021016,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:21017,21017,1603:45:16:792:0,1603:45:16:792:1:21,1603:45:16:792:2:21017,Yenisehir,Yenişehir,TR021017,,,,,,Diyarbakir,Diyarbakir,TR021,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:22001,22001,1603:45:16:792:0,1603:45:16:792:1:22,1603:45:16:792:2:22001,Edirne,Edirne,TR022001,,,,,,Edirne,Edirne,TR022,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:22002,22002,1603:45:16:792:0,1603:45:16:792:1:22,1603:45:16:792:2:22002,Enez,Enez,TR022002,,,,,,Edirne,Edirne,TR022,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:22003,22003,1603:45:16:792:0,1603:45:16:792:1:22,1603:45:16:792:2:22003,Havsa,Havsa,TR022003,,,,,,Edirne,Edirne,TR022,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:22004,22004,1603:45:16:792:0,1603:45:16:792:1:22,1603:45:16:792:2:22004,Ipsala,Ipsala,TR022004,,,,,,Edirne,Edirne,TR022,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:22005,22005,1603:45:16:792:0,1603:45:16:792:1:22,1603:45:16:792:2:22005,Kesan,Keşan,TR022005,,,,,,Edirne,Edirne,TR022,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:22006,22006,1603:45:16:792:0,1603:45:16:792:1:22,1603:45:16:792:2:22006,Lalapasa,Lalapaşa,TR022006,,,,,,Edirne,Edirne,TR022,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:22007,22007,1603:45:16:792:0,1603:45:16:792:1:22,1603:45:16:792:2:22007,Meric,Meriç,TR022007,,,,,,Edirne,Edirne,TR022,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:22008,22008,1603:45:16:792:0,1603:45:16:792:1:22,1603:45:16:792:2:22008,Suloglu,Süloğlu,TR022008,,,,,,Edirne,Edirne,TR022,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:22009,22009,1603:45:16:792:0,1603:45:16:792:1:22,1603:45:16:792:2:22009,Uzunkopru,Uzunköprü,TR022009,,,,,,Edirne,Edirne,TR022,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23001,23001,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23001,Agin,Ağin,TR023001,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23002,23002,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23002,Alacakaya,Alacakaya,TR023002,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23003,23003,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23003,Aricak,Aricak,TR023003,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23004,23004,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23004,Baskil,Baskil,TR023004,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23005,23005,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23005,Elazig,Elaziğ,TR023005,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23006,23006,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23006,Karakocan,Karakoçan,TR023006,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23007,23007,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23007,Keban,Keban,TR023007,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23008,23008,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23008,Kovancilar,Kovancilar,TR023008,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23009,23009,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23009,Maden,Maden,TR023009,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23010,23010,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23010,Palu,Palu,TR023010,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:23011,23011,1603:45:16:792:0,1603:45:16:792:1:23,1603:45:16:792:2:23011,Sivrice,Sivrice,TR023011,,,,,,Elazig,Elaziğ,TR023,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:24001,24001,1603:45:16:792:0,1603:45:16:792:1:24,1603:45:16:792:2:24001,Cayirli,Çayirli,TR024001,,,,,,Erzincan,Erzincan,TR024,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:24002,24002,1603:45:16:792:0,1603:45:16:792:1:24,1603:45:16:792:2:24002,Erzincan,Erzincan,TR024002,,,,,,Erzincan,Erzincan,TR024,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:24003,24003,1603:45:16:792:0,1603:45:16:792:1:24,1603:45:16:792:2:24003,Ilic,Iliç,TR024003,,,,,,Erzincan,Erzincan,TR024,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:24004,24004,1603:45:16:792:0,1603:45:16:792:1:24,1603:45:16:792:2:24004,Kemah,Kemah,TR024004,,,,,,Erzincan,Erzincan,TR024,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:24005,24005,1603:45:16:792:0,1603:45:16:792:1:24,1603:45:16:792:2:24005,Kemaliye,Kemaliye,TR024005,,,,,,Erzincan,Erzincan,TR024,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:24006,24006,1603:45:16:792:0,1603:45:16:792:1:24,1603:45:16:792:2:24006,Otlukbeli,Otlukbeli,TR024006,,,,,,Erzincan,Erzincan,TR024,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:24007,24007,1603:45:16:792:0,1603:45:16:792:1:24,1603:45:16:792:2:24007,Refahiye,Refahiye,TR024007,,,,,,Erzincan,Erzincan,TR024,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:24008,24008,1603:45:16:792:0,1603:45:16:792:1:24,1603:45:16:792:2:24008,Tercan,Tercan,TR024008,,,,,,Erzincan,Erzincan,TR024,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:24009,24009,1603:45:16:792:0,1603:45:16:792:1:24,1603:45:16:792:2:24009,Uzumlu,Üzümlü,TR024009,,,,,,Erzincan,Erzincan,TR024,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25001,25001,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25001,Askale,Aşkale,TR025001,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25002,25002,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25002,Aziziye,Aziziye,TR025002,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25003,25003,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25003,Cat,Çat,TR025003,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25004,25004,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25004,Hinis,Hinis,TR025004,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25005,25005,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25005,Horasan,Horasan,TR025005,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25006,25006,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25006,Ispir,Ispir,TR025006,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25007,25007,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25007,Karacoban,Karaçoban,TR025007,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25008,25008,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25008,Karayazi,Karayazi,TR025008,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25009,25009,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25009,Koprukoy,Köprüköy,TR025009,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25010,25010,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25010,Narman,Narman,TR025010,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25011,25011,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25011,Oltu,Oltu,TR025011,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25012,25012,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25012,Olur,Olur,TR025012,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25013,25013,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25013,Palandoken,Palandöken,TR025013,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25014,25014,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25014,Pasinler,Pasinler,TR025014,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25015,25015,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25015,Pazaryolu,Pazaryolu,TR025015,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25016,25016,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25016,Senkaya,Şenkaya,TR025016,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25017,25017,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25017,Tekman,Tekman,TR025017,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25018,25018,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25018,Tortum,Tortum,TR025018,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25019,25019,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25019,Uzundere,Uzundere,TR025019,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:25020,25020,1603:45:16:792:0,1603:45:16:792:1:25,1603:45:16:792:2:25020,Yakutiye,Yakutiye,TR025020,,,,,,Erzurum,Erzurum,TR025,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26001,26001,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26001,Alpu,Alpu,TR026001,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26002,26002,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26002,Beylikova,Beylikova,TR026002,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26003,26003,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26003,Cifteler,Çifteler,TR026003,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26004,26004,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26004,Gunyuzu,Günyüzü,TR026004,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26005,26005,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26005,Han,Han,TR026005,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26006,26006,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26006,Inonu,Inönü,TR026006,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26007,26007,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26007,Mahmudiye,Mahmudiye,TR026007,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26008,26008,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26008,Mihalgazi,Mihalgazi,TR026008,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26009,26009,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26009,Mihaliccik,Mihaliççik,TR026009,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26010,26010,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26010,Odunpazari,Odunpazari,TR026010,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26011,26011,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26011,Saricakaya,Saricakaya,TR026011,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26012,26012,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26012,Seyitgazi,Seyitgazi,TR026012,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26013,26013,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26013,Sivrihisar,Sivrihisar,TR026013,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:26014,26014,1603:45:16:792:0,1603:45:16:792:1:26,1603:45:16:792:2:26014,Tepebasi,Tepebaşi,TR026014,,,,,,Eskisehir,Eskişehir,TR026,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:27001,27001,1603:45:16:792:0,1603:45:16:792:1:27,1603:45:16:792:2:27001,Araban,Araban,TR027001,,,,,,Gaziantep,Gaziantep,TR027,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:27002,27002,1603:45:16:792:0,1603:45:16:792:1:27,1603:45:16:792:2:27002,Islahiye,Islahiye,TR027002,,,,,,Gaziantep,Gaziantep,TR027,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:27003,27003,1603:45:16:792:0,1603:45:16:792:1:27,1603:45:16:792:2:27003,Karkamis,Karkamiş,TR027003,,,,,,Gaziantep,Gaziantep,TR027,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:27004,27004,1603:45:16:792:0,1603:45:16:792:1:27,1603:45:16:792:2:27004,Nizip,Nizip,TR027004,,,,,,Gaziantep,Gaziantep,TR027,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:27005,27005,1603:45:16:792:0,1603:45:16:792:1:27,1603:45:16:792:2:27005,Nurdagi,Nurdaği,TR027005,,,,,,Gaziantep,Gaziantep,TR027,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:27006,27006,1603:45:16:792:0,1603:45:16:792:1:27,1603:45:16:792:2:27006,Oguzeli,Oğuzeli,TR027006,,,,,,Gaziantep,Gaziantep,TR027,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:27007,27007,1603:45:16:792:0,1603:45:16:792:1:27,1603:45:16:792:2:27007,Sahinbey,Şahinbey,TR027007,,,,,,Gaziantep,Gaziantep,TR027,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:27008,27008,1603:45:16:792:0,1603:45:16:792:1:27,1603:45:16:792:2:27008,Sehitkamil,Şehitkamil,TR027008,,,,,,Gaziantep,Gaziantep,TR027,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:27009,27009,1603:45:16:792:0,1603:45:16:792:1:27,1603:45:16:792:2:27009,Yavuzeli,Yavuzeli,TR027009,,,,,,Gaziantep,Gaziantep,TR027,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
1603:45:16:792:2:28001,28001,1603:45:16:792:0,1603:45:16:792:1:28,1603:45:16:792:2:28001,Alucra,Alucra,TR028001,,,,,,Giresun,Giresun,TR028,Turkey,Türkiye,TR,2022-01-01,2022-03-15,
