#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:72:3:120116,120116,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120116,Lerala,BW120116,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120117,120117,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120117,Majwaneng,BW120117,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120118,120118,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120118,Ratholo,BW120118,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120119,120119,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120119,Moeng,BW120119,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120120,120120,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120120,Gootau,BW120120,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120121,120121,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120121,Goo-Sekgweng,BW120121,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120122,120122,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120122,Matlhakola,BW120122,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120123,120123,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120123,Topisi,BW120123,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120124,120124,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120124,Paje,BW120124,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120125,120125,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120125,Mabeleapudi,BW120125,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120126,120126,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120126,Tshimoyapula,BW120126,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120127,120127,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120127,Mmashoro,BW120127,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120128,120128,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120128,Mogorosi,BW120128,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120129,120129,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120129,Thabala,BW120129,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120130,120130,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120130,Moiyabana,BW120130,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120131,120131,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120131,Gamabuo,BW120131,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120132,120132,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120132,Radisele,BW120132,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120133,120133,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120133,Mogome,BW120133,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120134,120134,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120134,Mokgware,BW120134,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120135,120135,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120135,Motshegaletau,BW120135,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120136,120136,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120136,Malatswai,BW120136,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120137,120137,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120137,Mokhungwana,BW120137,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120138,120138,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120138,Serule,BW120138,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120139,120139,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120139,Moreomabele,BW120139,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120140,120140,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120140,Gojwane,BW120140,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120141,120141,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120141,Manaledi,BW120141,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120142,120142,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120142,Dimajwe,BW120142,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120143,120143,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120143,Majwanaadipitse,BW120143,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120144,120144,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120144,Sehunou,BW120144,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120145,120145,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1201,1603:45:16:72:3:120145,Tuli,BW120145,,,,Serowe Palapye,BW1201,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120201,120201,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120201,Mahalapye,BW120201,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120202,120202,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120202,Palla Road/Dinokwe,BW120202,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120203,120203,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120203,Mookane,BW120203,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120204,120204,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120204,Mmaphashalala,BW120204,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120205,120205,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120205,Taupye,BW120205,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120206,120206,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120206,Dibete Station,BW120206,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120207,120207,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120207,Dovedale,BW120207,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120208,120208,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120208,Kudumatse,BW120208,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120209,120209,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120209,Makwate,BW120209,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120210,120210,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120210,Shakwe,BW120210,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120211,120211,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120211,Moshopha,BW120211,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120212,120212,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120212,Machaneng,BW120212,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120213,120213,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120213,Sefhare,BW120213,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120214,120214,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120214,Chadibe,BW120214,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120215,120215,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120215,Bonwapitse,BW120215,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120216,120216,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120216,Mmutlana,BW120216,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120217,120217,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120217,Mokobeng,BW120217,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120218,120218,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120218,Ngwapa,BW120218,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120219,120219,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120219,Tumasera,BW120219,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120220,120220,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120220,Ramokgonami,BW120220,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120221,120221,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120221,Maape,BW120221,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120222,120222,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120222,Pilikwe,BW120222,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120223,120223,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120223,Mhalapitsa,BW120223,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120224,120224,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120224,Borotsi,BW120224,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120225,120225,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120225,Tewane,BW120225,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120226,120226,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120226,Kalamare,BW120226,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120227,120227,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120227,Mokgenene,BW120227,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120228,120228,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120228,Shoshong,BW120228,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120229,120229,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120229,Moralane,BW120229,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120230,120230,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120230,Mosolotshane,BW120230,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120231,120231,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120231,Kodibeleng,BW120231,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120232,120232,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120232,Ikongwe,BW120232,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120233,120233,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120233,Poloka,BW120233,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120234,120234,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120234,Otse,BW120234,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120235,120235,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120235,Matlhako,BW120235,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120236,120236,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120236,Mokoswane,BW120236,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120237,120237,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120237,Seleka,BW120237,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120238,120238,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1202,1603:45:16:72:3:120238,Tuli,BW120238,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120301,120301,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120301,Bobonong,BW120301,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120302,120302,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120302,Tsetsebjwe,BW120302,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120303,120303,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120303,Tshokwe,BW120303,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120304,120304,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120304,Mathathane,BW120304,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120305,120305,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120305,Lentswelemoriti,BW120305,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120306,120306,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120306,Semolale,BW120306,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120307,120307,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120307,Kobojango,BW120307,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120308,120308,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120308,Lepokole,BW120308,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120309,120309,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120309,Molalatau,BW120309,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120310,120310,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120310,Tobane,BW120310,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120311,120311,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120311,Sefophe,BW120311,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120312,120312,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120312,Mabolwe,BW120312,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120313,120313,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120313,Mmadinare,BW120313,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120314,120314,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120314,Robelela,BW120314,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120315,120315,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120315,Damochojena,BW120315,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120316,120316,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120316,Motlhabaneng,BW120316,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120317,120317,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120317,Moletemane,BW120317,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120318,120318,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1203,1603:45:16:72:3:120318,Tuli,BW120318,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120401,120401,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120401,Letlhakane,BW120401,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120402,120402,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120402,Mosu,BW120402,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120403,120403,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120403,Mmatshumo,BW120403,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120404,120404,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120404,Mopipi,BW120404,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120405,120405,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120405,Xhumo,BW120405,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120406,120406,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120406,Kedia,BW120406,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120407,120407,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120407,Tsienyane/Rakops,BW120407,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120408,120408,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120408,Toromoja,BW120408,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120409,120409,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120409,Moreomaoto,BW120409,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120410,120410,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120410,Makalamabedi,BW120410,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120411,120411,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120411,Khwee,BW120411,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120412,120412,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120412,Kumaga,BW120412,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120413,120413,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120413,Motopi,BW120413,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120414,120414,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120414,Mmadikola,BW120414,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120415,120415,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120415,Mokoboxane,BW120415,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120416,120416,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1204,1603:45:16:72:3:120416,Xere,BW120416,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120501,120501,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1205,1603:45:16:72:3:120501,Maitengwe,BW120501,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120502,120502,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1205,1603:45:16:72:3:120502,Nata,BW120502,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
1603:45:16:72:3:120503,120503,1603:45:16:72:0,1603:45:16:72:1:12,1603:45:16:72:2:1205,1603:45:16:72:3:120503,Dagwi,BW120503,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
