#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_mon+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:496:2:4334,4334,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4334,Sant,Сант,MN4334,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4337,4337,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4337,Tu'shig,Түшиг,MN4337,Tushig,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4340,4340,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4340,Xu'der,Хүдэр,MN4340,Xuder,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4343,4343,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4343,Xushaat,Хушаат,MN4343,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4346,4346,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4346,Cagaannuur,Цагааннуур,MN4346,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4349,4349,1603:45:16:496:0,1603:45:16:496:1:43,1603:45:16:496:2:4349,Shaamar,Шаамар,MN4349,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4401,4401,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4401,Sainshand,Сайншанд,MN4401,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4404,4404,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4404,Airag,Айраг,MN4404,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4407,4407,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4407,Altanshiree,Алтанширээ,MN4407,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4410,4410,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4410,Dalanjargalan,Даланжаргалан,MN4410,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4413,4413,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4413,Delgerex,Дэлгэрэх,MN4413,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4416,4416,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4416,Zamyn U'ud,Замын-Үүд,MN4416,Zamyn Uud,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4419,4419,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4419,Ix xet,Иххэт,MN4419,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4422,4422,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4422,Mandax,Мандах,MN4422,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4425,4425,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4425,O'rgon,Өргөн,MN4425,Orgon,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4428,4428,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4428,Saixandulaan,Сайхандулаан,MN4428,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4431,4431,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4431,Ulaanbadrax,Улаанбадрах,MN4431,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4434,4434,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4434,Xatanbulag,Хатанбулаг,MN4434,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4437,4437,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4437,Xo'vsgol,Хөвсгөл,MN4437,Xovsgol,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4440,4440,1603:45:16:496:0,1603:45:16:496:1:44,1603:45:16:496:2:4440,Erdene,Эрдэнэ,MN4440,,,,,,Dornogovi,Дорноговь,MN44,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4501,4501,1603:45:16:496:0,1603:45:16:496:1:45,1603:45:16:496:2:4501,Darxan,Дархан,MN4501,,,,,,Darkhan-Uul,Дархан-Уул,MN45,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4504,4504,1603:45:16:496:0,1603:45:16:496:1:45,1603:45:16:496:2:4504,Orxon,Орхон,MN4504,,,,,,Darkhan-Uul,Дархан-Уул,MN45,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4507,4507,1603:45:16:496:0,1603:45:16:496:1:45,1603:45:16:496:2:4507,Xongor,Хонгор,MN4507,,,,,,Darkhan-Uul,Дархан-Уул,MN45,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4510,4510,1603:45:16:496:0,1603:45:16:496:1:45,1603:45:16:496:2:4510,Sharyngol,Шарын гол,MN4510,,,,,,Darkhan-Uul,Дархан-Уул,MN45,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4601,4601,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4601,Dalanzadgad,Даланзадгад,MN4601,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4604,4604,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4604,Bayandalai,Баяндалай,MN4604,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4607,4607,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4607,Bayan-Ovoo,Баян-Овоо,MN4607,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4610,4610,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4610,Bulgan,Булган,MN4610,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4613,4613,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4613,Gurvantes,Гурвантэс,MN4613,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4616,4616,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4616,Mandal-Ovoo,Мандал-Овоо,MN4616,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4619,4619,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4619,Manlai,Манлай,MN4619,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4622,4622,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4622,Noyon,Ноён,MN4622,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4625,4625,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4625,Nomgon,Номгон,MN4625,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4628,4628,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4628,Sevrei,Сэврэй,MN4628,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4631,4631,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4631,Xanbogd,Ханбогд,MN4631,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4634,4634,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4634,Xanxongor,Ханхонгор,MN4634,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4637,4637,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4637,Xu'rmen,Хүрмэн,MN4637,Xurmen,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4640,4640,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4640,Cogt-Ovoo,Цогт-Овоо,MN4640,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4643,4643,1603:45:16:496:0,1603:45:16:496:1:46,1603:45:16:496:2:4643,Cogt-Cecii,Цогтцэций,MN4643,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4801,4801,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4801,Saintsagaan,Сайнцагаан,MN4801,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4804,4804,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4804,Adaacag,Адаацаг,MN4804,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4807,4807,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4807,Bayanjargalan,Баянжаргалан,MN4807,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4810,4810,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4810,Govi-Ugtaal,Говь-Угтаал,MN4810,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4813,4813,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4813,Gurvansaixan,Гурвансайхан,MN4813,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4816,4816,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4816,Delgerxangai,Дэлгэрхангай,MN4816,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4819,4819,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4819,Delgercogt,Дэлгэрцогт,MN4819,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4822,4822,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4822,Deren,Дэрэн,MN4822,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4825,4825,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4825,Luus,Луус,MN4825,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4828,4828,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4828,O'lziit,Өлзийт,MN4828,Olziit,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4831,4831,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4831,O'ndorshil,Өндөршил,MN4831,Ondorshil,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4834,4834,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4834,Saixan-Ovoo,Сайхан-Овоо,MN4834,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4837,4837,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4837,Xuld,Хулд,MN4837,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4840,4840,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4840,Cagaandelger,Цагаандэлгэр,MN4840,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:4843,4843,1603:45:16:496:0,1603:45:16:496:1:48,1603:45:16:496:2:4843,Erdenedalai,Эрдэнэдалай,MN4843,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6101,6101,1603:45:16:496:0,1603:45:16:496:1:61,1603:45:16:496:2:6101,Bayan-O'ndor,Баян-Өндөр,MN6101,Bayan-Ondor,,,,,Orkhon,Орхон,MN61,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6104,6104,1603:45:16:496:0,1603:45:16:496:1:61,1603:45:16:496:2:6104,Jargalant,Жаргалант,MN6104,,,,,,Orkhon,Орхон,MN61,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6201,6201,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6201,Arvaixeer,Арвайхээр,MN6201,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6204,6204,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6204,Baruunbayan-Ulaan,Баруунбаян-Улаан,MN6204,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6207,6207,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6207,Bat-O'lzii,Бат-Өлзий,MN6207,Bat-Olzii,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6210,6210,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6210,Bayangol,Баянгол,MN6210,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6213,6213,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6213,Bayan-O'ndor,Баян-Өндөр,MN6213,Bayan-Ondor,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6216,6216,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6216,Bogd,Богд,MN6216,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6219,6219,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6219,Bu'rd,Бүрд,MN6219,Burd,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6222,6222,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6222,Guchin-Us,Гучин-Ус,MN6222,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6225,6225,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6225,Yeso'nzu'il,Есөн зүйл,MN6225,Yesonzuil,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6228,6228,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6228,Zu'unbayan-Ulaan,Зүүнбаян-Улаан,MN6228,Zuunbayan-Ulaan,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6231,6231,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6231,Nariinteel,Нарийнтээл,MN6231,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6234,6234,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6234,O'lziit,Өлзийт,MN6234,Olziit,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6237,6237,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6237,Sant,Сант,MN6237,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6240,6240,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6240,Taragt,Тарагт,MN6240,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6243,6243,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6243,To'grog,Төгрөг,MN6243,Togrog,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6246,6246,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6246,Uyanga,Уянга,MN6246,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6249,6249,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6249,Xairxandulaan,Хайрхандулаан,MN6249,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6252,6252,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6252,Xarxorin,Хархорин,MN6252,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6255,6255,1603:45:16:496:0,1603:45:16:496:1:62,1603:45:16:496:2:6255,Xujirt,Хужирт,MN6255,,,,,,Ovorkhangai,Өвөрхангай,MN62,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6301,6301,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6301,Bulgan,Булган,MN6301,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6304,6304,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6304,Bayan agt,Баян-Агт,MN6304,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6307,6307,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6307,Bayannuur,Баяннуур,MN6307,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6310,6310,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6310,Bugat,Бугат,MN6310,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6313,6313,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6313,Bu'regxangai,Бүрэгхангай,MN6313,Buregxangai,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6316,6316,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6316,Gurvanbulag,Гурван булаг,MN6316,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6319,6319,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6319,Dashinchilen,Дашинчилэн,MN6319,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6322,6322,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6322,Mogod,Могод,MN6322,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6325,6325,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6325,Orxon,Орхон,MN6325,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6328,6328,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6328,Rashaant,Рашаант,MN6328,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6331,6331,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6331,Saixan,Сайхан,MN6331,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6334,6334,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6334,Selenge,Сэлэнгэ,MN6334,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6337,6337,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6337,Teshig,Тэшиг,MN6337,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6340,6340,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6340,Xangal,Хангал,MN6340,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6343,6343,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6343,Xishig-O'ndor,Хишиг-өндөр,MN6343,Xishig-Ondor,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6346,6346,1603:45:16:496:0,1603:45:16:496:1:63,1603:45:16:496:2:6346,Xutag-O'ndor,Хутаг-Өндөр,MN6346,Xutag-Ondor,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6401,6401,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6401,Bayanxongor,Баянхонгор,MN6401,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6404,6404,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6404,Baacagaan,Баацагаан,MN6404,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6407,6407,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6407,Bayanbulag,Баянбулаг,MN6407,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6410,6410,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6410,Bayangovi,Баянговь,MN6410,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6413,6413,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6413,Bayanlig,Баянлиг,MN6413,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6416,6416,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6416,Bayan-Ovoo,Баян-Овоо,MN6416,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6419,6419,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6419,Bayan-O'ndor,Баян-Өндөр,MN6419,Bayan-Ondor,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6422,6422,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6422,Bayancagaan,Баянцагаан,MN6422,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6425,6425,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6425,Bogd,Богд,MN6425,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6428,6428,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6428,Bo'mbogor,Бөмбөгөр,MN6428,Bombogor,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
1603:45:16:496:2:6431,6431,1603:45:16:496:0,1603:45:16:496:1:64,1603:45:16:496:2:6431,Buucagaan,Бууцагаан,MN6431,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2020-10-26,2021-02-11,
