Codicem,/Educated guess on comprehensibility (1-100) of concept/,/Educated guess on stability (1-100) of local identifier if dictionary still in use in a century/,Unique identifier (Latin script),Normalized CSV-like identifier; suffix affinity (lat: suffīxum),HXL Standard attribute,Significātum in Lingua Latina,Wikidata QID; language,Wikidata Q Code for writting system,Wikidata Language ID,Glottocode Langoid,Glottolog IRI,ISO 639-3 a3,ISO 639-3 a3 IRI,Cōdex factō,Cōdex factō; meta,q
179,60,19,urd-Arab,__i_urd__is_arab,+i_urd+is_arab,Lingua Urdu (Abecedarium Arabicum),Q1617,Q8196,ur,urdu1245,https://glottolog.org/resource/languoid/id/urdu1245,urd,https://iso639-3.sil.org/code/urd,,,
180,5,5,,,,/Malaysian Mandarin/ (/ISO 15924 Zyyy/),,,,,,,,,,
181,11,11,gan-Zyyy,__i_gan__is_zyyy,+i_gan+is_zyyy,Lingua Gan (/ISO 15924 Zyyy/),Q33475,,gan,ganc1239,https://glottolog.org/resource/languoid/id/ganc1239,gan,https://iso639-3.sil.org/code/gan,,,
182,60,19,lit-Latn,__i_lit__is_latn,+i_lit+is_latn,Lingua Lithuanica (Abecedarium Latinum),Q9083,Q8229,lt,lith1251,https://glottolog.org/resource/languoid/id/lith1251,lit,https://iso639-3.sil.org/code/lit,,,
183,60,19,gan-Hans,__i_gan__is_hans,+i_gan+is_hans,Lingua Gan (/ISO 15924 Hans/),Q64427344,,gan-hans,ganc1239,https://glottolog.org/resource/languoid/id/ganc1239,gan,https://iso639-3.sil.org/code/gan,,,
184,60,19,hbs-Latn,__i_hbs__is_latn,+i_hbs+is_latn,Macrolingua Serbocroatica (Abecedarium Latinum),Q9301,Q8229,sh,sout1528,https://glottolog.org/resource/languoid/id/sout1528,hbs,https://iso639-3.sil.org/code/hbs,,,
185,60,19,lav-Latn,__i_lav__is_latn,+i_lav+is_latn,Macrolingua Lettonica (Abecedarium Latinum),Q9078,Q8229,lv,latv1249,https://glottolog.org/resource/languoid/id/latv1249,lav,https://iso639-3.sil.org/code/lav,,,
186,60,19,bos-Latn,__i_bos__is_latn,+i_bos+is_latn,Lingua Bosnica (Abecedarium Latinum),Q9303,Q8229,bs,bosn1245,https://glottolog.org/resource/languoid/id/bosn1245,bos,https://iso639-3.sil.org/code/bos,,,
187,60,19,srn-Latn,__i_srn__is_latn,+i_srn+is_latn,/Sranan Tongo/ (Abecedarium Latinum),Q33989,Q8229,srn,sran1240,https://glottolog.org/resource/languoid/id/sran1240,srn,https://iso639-3.sil.org/code/srn,,,
188,60,19,azb-Arab,__i_azb__is_arab,+i_azb+is_arab,/South Azerbaijani/ (Abecedarium Arabicum),Q3449805,Q8196,azb,sout2697,https://glottolog.org/resource/languoid/id/sout2697,azb,https://iso639-3.sil.org/code/azb,,,
189,60,19,jav-Latn,__i_jav__is_latn,+i_jav+is_latn,Lingua Iavanica (Abecedarium Latinum),Q33549,Q8229,jv,java1254,https://glottolog.org/resource/languoid/id/java1254,jav,https://iso639-3.sil.org/code/jav,,,
190,60,19,ell-Grek,__i_ell__is_grek,+i_ell+is_grek,Lingua Neograeca (Alphabetum Graecum),Q36510,Q8216,el,mode1248,https://glottolog.org/resource/languoid/id/mode1248,ell,https://iso639-3.sil.org/code/ell,,,
191,60,19,sun-Latn,__i_sun__is_latn,+i_sun+is_latn,/Sundanese language/ (Abecedarium Latinum),Q34002,Q8229,su,sund1252,https://glottolog.org/resource/languoid/id/sund1252,sun,https://iso639-3.sil.org/code/sun,,,
192,60,19,fry-Latn,__i_fry__is_latn,+i_fry+is_latn,Lingua Frisice occidentalis (Abecedarium Latinum),Q27175,Q8229,fy,west2354,https://glottolog.org/resource/languoid/id/west2354,fry,https://iso639-3.sil.org/code/fry,,,
193,60,19,ace-Latn,__i_ace__is_latn,+i_ace+is_latn,/Acehnese language/ (Abecedarium Latinum),Q27683,Q8229,ace,achi1257,https://glottolog.org/resource/languoid/id/achi1257,ace,https://iso639-3.sil.org/code/ace,,,
194,60,19,jam-Latn,__i_jam__is_latn,+i_jam+is_latn,Lingua creola Iamaicana (Abecedarium Latinum),Q35939,Q8229,jam,jama1262,https://glottolog.org/resource/languoid/id/jama1262,jam,https://iso639-3.sil.org/code/jam,,,
195,60,19,che-Cyrl,__i_che__is_cyrl,+i_che+is_cyrl,Lingua Tsetsenica (Abecedarium Cyrillicum),Q33350,Q8209,ce,chec1245,https://glottolog.org/resource/languoid/id/chec1245,che,https://iso639-3.sil.org/code/che,,,
196,60,19,bel-Cyrl,__i_bel__is_cyrl,+i_bel+is_cyrl,Lingua Ruthenica Alba (Abecedarium Cyrillicum),Q9091,Q8209,be,bela1254,https://glottolog.org/resource/languoid/id/bela1254,bel,https://iso639-3.sil.org/code/bel,,,
197,60,19,kab-Latn,__i_kab__is_latn,+i_kab+is_latn,/Kabyle language/ (Abecedarium Latinum),Q35853,Q8229,kab,kaby1243,https://glottolog.org/resource/languoid/id/kaby1243,kab,https://iso639-3.sil.org/code/kab,,,
198,60,19,fao-Latn,__i_fao__is_latn,+i_fao+is_latn,Lingua Faeroensis (Abecedarium Latinum),Q25258,Q8229,fo,faro1244,https://glottolog.org/resource/languoid/id/faro1244,fao,https://iso639-3.sil.org/code/fao,,,
199,60,19,vmf-Latn,__i_vmf__is_latn,+i_vmf+is_latn,/East Franconian German/ (Abecedarium Latinum),Q497345,Q8229,vmf,main1267,https://glottolog.org/resource/languoid/id/main1267,vmf,https://iso639-3.sil.org/code/vmf,,,
200,60,19,bam-Zyyy,__i_bam__is_zyyy,+i_bam+is_zyyy,/Bambara language/ (/ISO 15924 Zyyy/),Q33243,,bm,bamb1269,https://glottolog.org/resource/languoid/id/bamb1269,bam,https://iso639-3.sil.org/code/bam,,,
201,60,19,frc-Latn,__i_frc__is_latn,+i_frc+is_latn,Lingua Francogallica Ludoviciana (Abecedarium Latinum),Q3083213,Q8229,frc,caju1236,https://glottolog.org/resource/languoid/id/caju1236,frc,https://iso639-3.sil.org/code/frc,,,
202,60,19,prg-Latn,__i_prg__is_latn,+i_prg+is_latn,Lingua Prussica (Abecedarium Latinum),Q35501,Q8229,prg,prus1238,https://glottolog.org/resource/languoid/id/prus1238,prg,https://iso639-3.sil.org/code/prg,,,
203,60,19,lmo-Latn,__i_lmo__is_latn,+i_lmo+is_latn,Langobardus sermo (Abecedarium Latinum),Q33754,Q8229,lmo,lomb1257,https://glottolog.org/resource/languoid/id/lomb1257,lmo,https://iso639-3.sil.org/code/lmo,,,
204,60,19,mar-Deva,__i_mar__is_deva,+i_mar+is_deva,Lingua Marathica (Devanāgarī),Q1571,Q38592,mr,mara1378,https://glottolog.org/resource/languoid/id/mara1378,mar,https://iso639-3.sil.org/code/mar,,,
205,60,19,ady-Cyrl,__i_ady__is_cyrl,+i_ady+is_cyrl,Lingua Adygeica (Abecedarium Cyrillicum),Q27776,Q8209,ady,adyg1241,https://glottolog.org/resource/languoid/id/adyg1241,ady,https://iso639-3.sil.org/code/ady,,,
206,60,19,ary-Arab,__i_ary__is_arab,+i_ary+is_arab,/Moroccan Arabic/ (Abecedarium Arabicum),Q56426,Q8196,ary,moro1292,https://glottolog.org/resource/languoid/id/moro1292,ary,https://iso639-3.sil.org/code/ary,,,
207,60,19,awa-Deva,__i_awa__is_deva,+i_awa+is_deva,/Awadhi/ (Devanāgarī),Q29579,Q38592,awa,awad1243,https://glottolog.org/resource/languoid/id/awad1243,awa,https://iso639-3.sil.org/code/awa,,,
208,60,19,ban-Latn,__i_ban__is_latn,+i_ban+is_latn,/Balinese/ (Abecedarium Latinum),Q33070,Q8229,ban,bali1278,https://glottolog.org/resource/languoid/id/bali1278,ban,https://iso639-3.sil.org/code/ban,,,
209,60,19,ast-Latn,__i_ast__is_latn,+i_ast+is_latn,Lingua Asturiana (Abecedarium Latinum),Q29507,Q8229,ast,astu1245,https://glottolog.org/resource/languoid/id/astu1245,ast,https://iso639-3.sil.org/code/ast,,,
210,60,19,bcl-Latn,__i_bcl__is_latn,+i_bcl+is_latn,/Central Bikol/  (Abecedarium Latinum),Q33284,Q8229,bcl,cent2087,https://glottolog.org/resource/languoid/id/cent2087,bcl,https://iso639-3.sil.org/code/bcl,,,
211,60,19,bho-Deva,__i_bho__is_deva,+i_bho+is_deva,Lingua Bhojpuri (Devanāgarī),Q33268,Q38592,bho,bhoj1244,https://glottolog.org/resource/languoid/id/bhoj1244,bho,https://iso639-3.sil.org/code/bho,,,
212,60,19,bpy-Beng,__i_bpy__is_beng,+i_bpy+is_beng,Lingua Bisnupriya (/ISO 15924 Beng/),Q37059,Q756802,bpy,bish1244,https://glottolog.org/resource/languoid/id/bish1244,bpy,https://iso639-3.sil.org/code/bpy,,,
213,60,19,bxr-Cyrl,__i_bxr__is_cyrl,+i_bxr+is_cyrl,Lingua Buriatica (Abecedarium Cyrillicum),Q33120,Q8209,bxr,russ1264,https://glottolog.org/resource/languoid/id/russ1264,bxr,https://iso639-3.sil.org/code/bxr,,,
214,11,11,cdo-Zyyy,__i_cdo__is_zyyy,+i_cdo+is_zyyy,/Min Dong Chinese/ (/ISO 15924 Zyyy/),Q36455,,cdo,mind1253,https://glottolog.org/resource/languoid/id/mind1253,cdo,https://iso639-3.sil.org/code/cdo,,,
216,60,19,diq-Latn,__i_diq__is_latn,+i_diq+is_latn,Lingua Zazaca (Abecedarium Latinum),Q10199,Q8229,diq,diml1238,https://glottolog.org/resource/languoid/id/diml1238,diq,https://iso639-3.sil.org/code/diq,,,
217,60,19,dsb-Latn,__i_dsb__is_latn,+i_dsb+is_latn,/Lower Sorbian/ (Abecedarium Latinum),Q13286,Q8229,dsb,lowe1385,https://glottolog.org/resource/languoid/id/lowe1385,dsb,https://iso639-3.sil.org/code/dsb,,,
219,60,19,ext-Latn,__i_ext__is_latn,+i_ext+is_latn,Lingua Extremadurensis (Abecedarium Latinum),Q30007,Q8229,ext,extr1243,https://glottolog.org/resource/languoid/id/extr1243,ext,https://iso639-3.sil.org/code/ext,,,
220,60,19,gcr-Latn,__i_gcr__is_latn,+i_gcr+is_latn,/Guianese Creole French/ (Abecedarium Latinum),Q1363072,Q8229,gcr,guia1246,https://glottolog.org/resource/languoid/id/guia1246,gcr,https://iso639-3.sil.org/code/gcr,,,
221,11,11,gom-Zyyy,__i_gom__is_zyyy,+i_gom+is_zyyy,/Goan Konkani/ (/ISO 15924 Zyyy/),Q5575236,,gom,goan1235,https://glottolog.org/resource/languoid/id/goan1235,gom,https://iso639-3.sil.org/code/gom,,,
222,60,19,frr-latn,__i_frr__is_latn,+i_frr+is_latn,/Northern Frisian/ (Abecedarium Latinum),Q28224,Q8229,frr,nort2626,https://glottolog.org/resource/languoid/id/nort2626,frr,https://iso639-3.sil.org/code/frr,,,
223,11,11,hak-Zyyy,__i_hak__is_zyyy,+i_hak+is_zyyy,/Hakka Chinese/ (/ISO 15924 Zyyy/),Q33375,,hak,hakk1236,https://glottolog.org/resource/languoid/id/hakk1236,hak,https://iso639-3.sil.org/code/hak,,,
224,11,11,hif-Zyyy,__i_hif__is_zyyy,+i_hif+is_zyyy,Lingua Hindi Vitiensis (/ISO 15924 Zyyy/),Q46728,,hif,fiji1242,https://glottolog.org/resource/languoid/id/fiji1242,hif,https://iso639-3.sil.org/code/hif,,,
225,60,19,hsb-Latn,__i_hsb__is_latn,+i_hsb+is_latn,/Upper Sorbian/ (Abecedarium Latinum),Q13248,Q8229,hsb,uppe1395,https://glottolog.org/resource/languoid/id/uppe1395,hsb,https://iso639-3.sil.org/code/hsb,,,
226,60,19,hyw-Armn,__i_hyw__is_armn,+i_hyw+is_armn,/Western Armenian/ (Alphabetum Armenium),Q180945,Q11932,hyw,homs1234,https://glottolog.org/resource/languoid/id/homs1234,hyw,https://iso639-3.sil.org/code/hyw,,,
227,60,19,ilo-Latn,__i_ilo__is_latn,+i_ilo+is_latn,Lingua Ilocana (Abecedarium Latinum),Q35936,Q8229,ilo,ilok1237,https://glottolog.org/resource/languoid/id/ilok1237,ilo,https://iso639-3.sil.org/code/ilo,,,
228,60,19,inh-Cyrl,__i_inh__is_cyrl,+i_inh+is_cyrl,Lingua Ingussica (Abecedarium Cyrillicum),Q33509,Q8209,inh,ingu1240,https://glottolog.org/resource/languoid/id/ingu1240,inh,https://iso639-3.sil.org/code/inh,,,
229,60,19,kaa-Latn,__i_kaa__is_latn,+i_kaa+is_latn,Lingua Karakalpakensis (Abecedarium Latinum),Q33541,Q8229,kaa,kara1467,https://glottolog.org/resource/languoid/id/kara1467,kaa,https://iso639-3.sil.org/code/kaa,,,
230,60,19,kbd-Cyrl,__i_kbd__is_cyrl,+i_kbd+is_cyrl,Lingua Cabardino-Circassica (Abecedarium Cyrillicum),Q33522,Q8209,kbd,kaba1278,https://glottolog.org/resource/languoid/id/kaba1278,kbd,https://iso639-3.sil.org/code/kbd,,,
231,60,19,kbp-Latn,__i_kbp__is_latn,+i_kbp+is_latn,/Kabiye language/ (Abecedarium Latinum),Q35475,Q8229,kbp,kabi1261,https://glottolog.org/resource/languoid/id/kabi1261,kbp,https://iso639-3.sil.org/code/kbp,,,
232,60,19,mai-Deva,__i_mai__is_deva,+i_mai+is_deva,Lingua Maithili (Devanāgarī),Q36109,Q38592,mai,mait1250,https://glottolog.org/resource/languoid/id/mait1250,mai,https://iso639-3.sil.org/code/mai,,,
233,60,19,mhr-Cyrl,__i_mhr__is_cyrl,+i_mhr+is_cyrl,Lingua Mari pratensis (Abecedarium Cyrillicum),Q3906614,Q8209,mhr,east2328,https://glottolog.org/resource/languoid/id/east2328,mhr,https://iso639-3.sil.org/code/mhr,,,
234,60,19,mwl-Latn,__i_mwl__is_latn,+i_mwl+is_latn,Lingua Mirandica (Abecedarium Latinum),Q13330,Q8229,mwl,mira1251,https://glottolog.org/resource/languoid/id/mira1251,mwl,https://iso639-3.sil.org/code/mwl,,,
235,60,19,mzn-Arab,__i_mzn__is_arab,+i_mzn+is_arab,/Mazanderani language/ (Abecedarium Arabicum),Q13356,Q8196,mzn,maza1291,https://glottolog.org/resource/languoid/id/maza1291,mzn,https://iso639-3.sil.org/code/mzn,,,
236,60,19,nah-Latn,__i_nah__is_latn,+i_nah+is_latn,Lingua Navatlaca (Abecedarium Latinum),Q13300,Q8229,nah,,,nah,https://iso639-3.sil.org/code/nah,,,
237,60,19,nan-Latn,__i_nan__is_latn,+i_nan+is_latn,/Min Nan Chinese/ (Abecedarium Latinum),Q36495,Q8229,nan,minn1241,https://glottolog.org/resource/languoid/id/minn1241,nan,https://iso639-3.sil.org/code/nan,,,
238,60,19,new-Deva,__i_new__is_deva,+i_new+is_deva,Lingua Newari (Devanāgarī),Q33979,Q38592,new,newa1246,https://glottolog.org/resource/languoid/id/newa1246,new,https://iso639-3.sil.org/code/new,,,
239,60,19,pam-Latn,__i_pam__is_latn,+i_pam+is_latn,/Kapampangan language/ (Abecedarium Latinum),Q36121,Q8229,pam,pamp1243,https://glottolog.org/resource/languoid/id/pamp1243,pam,https://iso639-3.sil.org/code/pam,,,
240,60,19,pfl-Latn,__i_pfl__is_latn,+i_pfl+is_latn,/Palatine German language/ (Abecedarium Latinum),Q23014,Q8229,pfl,pala1330,https://glottolog.org/resource/languoid/id/pala1330,pfl,https://iso639-3.sil.org/code/pfl,,,
241,60,19,pnb-Arab,__i_pnb__is_arab,+i_pnb+is_arab,Lingua Paniabica occidentalis (Abecedarium Arabicum),Q1389492,Q8196,pnb,west2386,https://glottolog.org/resource/languoid/id/west2386,pnb,https://iso639-3.sil.org/code/pnb,,,
242,60,19,rue-Cyrl,__i_rue__is_cyrl,+i_rue+is_cyrl,Lingua Rusinica (Abecedarium Cyrillicum),Q26245,Q8209,rue,rusy1239,https://glottolog.org/resource/languoid/id/rusy1239,rue,https://iso639-3.sil.org/code/rue,,,
243,60,19,rup-Latn,__i_rup__is_latn,+i_rup+is_latn,Lingua aromanian (Abecedarium Latinum),Q29316,Q8229,rup,arom1237,https://glottolog.org/resource/languoid/id/arom1237,rup,https://iso639-3.sil.org/code/rup,,,
244,60,19,sah-Cyrl,__i_sah__is_cyrl,+i_sah+is_cyrl,Lingua Iacutica (Abecedarium Cyrillicum),Q34299,Q8209,sah,yaku1245,https://glottolog.org/resource/languoid/id/yaku1245,sah,https://iso639-3.sil.org/code/sah,,,
245,60,19,sgs-Latn,__i_sgs__is_latn,+i_sgs+is_latn,Lingua Samogitica (Abecedarium Latinum),Q213434,Q8229,sgs,samo1265,https://glottolog.org/resource/languoid/id/samo1265,sgs,https://iso639-3.sil.org/code/sgs,,,
246,11,11,shi-Zyyy,__i_shi__is_zyyy,+i_shi+is_zyyy,Shilha language (/ISO 15924 Zyyy/),Q34152,,shi,tach1250,https://glottolog.org/resource/languoid/id/tach1250,shi,https://iso639-3.sil.org/code/shi,,,
247,60,19,shn-Mymr,__i_shn__is_mymr,+i_shn+is_mymr,Lingua Shan (/ISO 15924 Mymr/),Q56482,Q43887939,shn,shan1277,https://glottolog.org/resource/languoid/id/shan1277,shn,https://iso639-3.sil.org/code/shn,,,
248,60,19,smn-Latn,__i_smn__is_latn,+i_smn+is_latn,/Inari Sami/ (Abecedarium Latinum),Q33462,Q8229,smn,inar1241,https://glottolog.org/resource/languoid/id/inar1241,smn,https://iso639-3.sil.org/code/smn,,,
249,60,19,stq-Latn,__i_stq__is_latn,+i_stq+is_latn,/Saterland Frisian language/ (Abecedarium Latinum),Q27154,Q8229,stq,sate1242,https://glottolog.org/resource/languoid/id/sate1242,stq,https://iso639-3.sil.org/code/stq,,,
250,60,19,szl-Latn,__i_szl__is_latn,+i_szl+is_latn,Lingua Silesica (Abecedarium Latinum),Q30319,Q8229,szl,sile1253,https://glottolog.org/resource/languoid/id/sile1253,szl,https://iso639-3.sil.org/code/szl,,,
251,11,11,tcy-Zyyy,__i_tcy__is_zyyy,+i_tcy+is_zyyy,Lingua Tuluva (/ISO 15924 Zyyy/),Q34251,,tcy,tulu1258,https://glottolog.org/resource/languoid/id/tulu1258,tcy,https://iso639-3.sil.org/code/tcy,,,
252,60,19,udm-Cyrl,__i_udm__is_cyrl,+i_udm+is_cyrl,Lingua Udmurtica (Abecedarium Cyrillicum),Q13238,Q8209,udm,udmu1245,https://glottolog.org/resource/languoid/id/udmu1245,udm,https://iso639-3.sil.org/code/udm,,,
253,60,19,vep-Latn,__i_vep__is_latn,+i_vep+is_latn,Lingua Vepsica (Abecedarium Latinum),Q32747,Q8229,vep,veps1250,https://glottolog.org/resource/languoid/id/veps1250,vep,https://iso639-3.sil.org/code/vep,,,
254,60,19,vro-Latn,__i_vro__is_latn,+i_vro+is_latn,Lingua Voruvica (Abecedarium Latinum),Q32762,Q8229,vro,sout2679,https://glottolog.org/resource/languoid/id/sout2679,vro,https://iso639-3.sil.org/code/vro,,,
255,11,11,yue-Zyyy,__i_yue__is_zyyy,+i_yue+is_zyyy,Lingua Yue (/ISO 15924 Zyyy/),Q7033959,,yue,yuec1235,https://glottolog.org/resource/languoid/id/yuec1235,yue,https://iso639-3.sil.org/code/yue,,,
256,60,19,crh-Latn,__i_crh__is_latn,+i_crh+is_latn,Lingua Tatarica Crimensis (Abecedarium Latinum),Q107557485,Q8229,crh-latn,crim1257,https://glottolog.org/resource/languoid/id/crim1257,crh,https://iso639-3.sil.org/code/crh,,,
257,60,19,crh-Cyrl,__i_crh__is_cyrl,+i_crh+is_cyrl,Lingua Tatarica Crimensis (Abecedarium Cyrillicum),Q107557467,Q8209,crh-cyrl,crim1257,https://glottolog.org/resource/languoid/id/crim1257,,,,,
258,11,11,lad-Zyyy,__i_lad__is_zyyy,+i_lad+is_zyyy,Lingua Iudaeo-Hispanica (/ISO 15924 Zyyy/),Q36196,,lad,ladi1251,https://glottolog.org/resource/languoid/id/ladi1251,lad,https://iso639-3.sil.org/code/lad,,,
259,60,19,lez-Cyrl,__i_lez__is_cyrl,+i_lez+is_cyrl,Lingua Lesghica (Abecedarium Cyrillicum),Q31746,Q8209,lez,lezg1247,https://glottolog.org/resource/languoid/id/lezg1247,lez,https://iso639-3.sil.org/code/lez,,,
260,60,19,swa-Latn,__i_swa__is_latn,+i_swa+is_latn,Macrolingua Suahelica (Abecedarium Latinum),Q7838,Q8229,sw,,,swa,https://iso639-3.sil.org/code/swa,,,
261,11,11,zha-Zyyy,__i_zha__is_zyyy,+i_zha+is_zyyy,/Zhuang languages/ (/ISO 15924 Zyyy/),Q13216,,za,nort3180,https://glottolog.org/resource/languoid/id/nort3180,zha,https://iso639-3.sil.org/code/zha,,,
262,60,19,yor-Latn,__i_yor__is_latn,+i_yor+is_latn,Lingua yoruba (Abecedarium Latinum),Q34311,Q8229,yo,yoru1245,https://glottolog.org/resource/languoid/id/yoru1245,yor,https://iso639-3.sil.org/code/yor,,,
263,60,19,yid-Hebr,__i_yid__is_hebr,+i_yid+is_hebr,Macrolingua Iudaeo-Germanica (Alphabetum Hebraicum),Q8641,Q33513,yi,yidd1255,https://glottolog.org/resource/languoid/id/yidd1255,yid,https://iso639-3.sil.org/code/yid,,,
264,60,19,xho-Latn,__i_xho__is_latn,+i_xho+is_latn,Lingua Xosana (Abecedarium Latinum),Q13218,Q8229,xh,xhos1239,https://glottolog.org/resource/languoid/id/xhos1239,xho,https://iso639-3.sil.org/code/xho,,,
265,60,19,uzb-Latn,__i_uzb__is_latn,+i_uzb+is_latn,Macrolingua Uzbecica (Abecedarium Latinum),Q9264,Q8229,uz,uzbe1247,https://glottolog.org/resource/languoid/id/uzbe1247,uzb,https://iso639-3.sil.org/code/uzb,,,
266,11,11,uig-Zyyy,__i_uig__is_zyyy,+i_uig+is_zyyy,Lingua Uigurica (/ISO 15924 Zyyy/),Q13263,,ug,uigh1240,https://glottolog.org/resource/languoid/id/uigh1240,uig,https://iso639-3.sil.org/code/uig,,,
267,60,19,uig-Arab,__i_uig__is_arab,+i_uig+is_arab,Lingua Uigurica (Abecedarium Arabicum),Q22338135,Q8196,ug-arab,uigh1240,https://glottolog.org/resource/languoid/id/uigh1240,uig,https://iso639-3.sil.org/code/uig,,,
268,60,19,uig-Latn,__i_uig__is_latn,+i_uig+is_latn,Lingua Uigurica (Abecedarium Latinum),Q22338145,Q8229,ug-latn,uigh1240,https://glottolog.org/resource/languoid/id/uigh1240,uig,https://iso639-3.sil.org/code/uig,,,
269,11,11,tat-Zyyy,__i_tat__is_zyyy,+i_tat+is_zyyy,Lingua Tatarica (/ISO 15924 Zyyy/),Q25285,,tt,tata1255,https://glottolog.org/resource/languoid/id/tata1255,tat,https://iso639-3.sil.org/code/tat,,,
270,60,19,tat-Cyrl,__i_tat__is_cyrl,+i_tat+is_cyrl,Lingua Tatarica (Abecedarium Cyrillicum),Q39132549,Q8209,tt-cyrl,tata1255,https://glottolog.org/resource/languoid/id/tata1255,tat,https://iso639-3.sil.org/code/tat,,,
271,60,19,tat-Latn,__i_tat__is_latn,+i_tat+is_latn,Lingua Tatarica (Abecedarium Latinum),Q39134544,Q8229,tt-latn,tata1255,https://glottolog.org/resource/languoid/id/tata1255,tat,https://iso639-3.sil.org/code/tat,,,
272,60,19,tso-Latn,__i_tso__is_latn,+i_tso+is_latn,/Tsonga language/ (Abecedarium Latinum),Q34327,Q8229,ts,tson1249,https://glottolog.org/resource/languoid/id/tson1249,tso,https://iso639-3.sil.org/code/tso,,,
273,60,19,tgl-Latn,__i_tgl__is_latn,+i_tgl+is_latn,Lingua Tagalog (Abecedarium Latinum),Q34057,Q8229,tl,taga1270,https://glottolog.org/resource/languoid/id/taga1270,tgl,https://iso639-3.sil.org/code/tgl,,,
274,60,19,tuk-Latn,__i_tuk__is_latn,+i_tuk+is_latn,Lingua Turcomannica (Abecedarium Latinum),Q9267,Q8229,tk,turk1304,https://glottolog.org/resource/languoid/id/turk1304,tuk,https://iso639-3.sil.org/code/tuk,,,
275,60,19,abk-Cyrl,__i_abk__is_cyrl,+i_abk+is_cyrl,Lingua Abasgica (Abecedarium Cyrillicum),Q5111,Q8209,ab,abkh1244,https://glottolog.org/resource/languoid/id/abkh1244,abk,https://iso639-3.sil.org/code/abk,,,
276,60,19,asm-Beng,__i_asm__is_beng,+i_asm+is_beng,Lingua Assamica (/ISO 15924 Beng/),Q29401,Q756802,as,assa1263,https://glottolog.org/resource/languoid/id/assa1263,asm,https://iso639-3.sil.org/code/asm,,,
277,60,19,ava-Cyrl,__i_ava__is_cyrl,+i_ava+is_cyrl,Lingua Avarica (Abecedarium Cyrillicum),Q29561,Q8209,av,avar1256,https://glottolog.org/resource/languoid/id/avar1256,ava,https://iso639-3.sil.org/code/ava,,,
278,11,11,aze-Latn,__i_aze__is_latn,+i_aze+is_latn,Macrolingua Atropatenica (Abecedarium Latinum),Q9292,Q8229,az,,,aze,https://iso639-3.sil.org/code/aze,,,
279,11,11,aze-Cyrl,__i_aze__is_cyrl,+i_aze+is_cyrl,Macrolingua Atropatenica (Abecedarium Cyrillicum),Q107549766,Q8209,az-cyrl,,,aze,https://iso639-3.sil.org/code/aze,,,
280,60,19,bak-Cyrl,__i_bak__is_cyrl,+i_bak+is_cyrl,Lingua Baschkirica (Abecedarium Cyrillicum),Q13389,Q8209,ba,bash1264,https://glottolog.org/resource/languoid/id/bash1264,bak,https://iso639-3.sil.org/code/bak,,,
281,60,19,bis-Latn,__i_bis__is_latn,+i_bis+is_latn,Lingua Bislama (Abecedarium Latinum),Q35452,Q8229,bi,bisl1239,https://glottolog.org/resource/languoid/id/bisl1239,bis,https://iso639-3.sil.org/code/bis,,,
282,60,19,chv-Cyrl,__i_chv__is_cyrl,+i_chv+is_cyrl,Lingua Tschuvaschica (Abecedarium Cyrillicum),Q33348,Q8209,cv,chuv1255,https://glottolog.org/resource/languoid/id/chuv1255,chv,https://iso639-3.sil.org/code/chv,,,
283,11,11,grn-Latn,__i_grn__is_latn,+i_grn+is_latn,Macrolingua Guaranica (Abecedarium Latinum),Q35876,Q8229,gn,,,grn,https://iso639-3.sil.org/code/grn,,,
284,60,19,glv-Latn,__i_glv__is_latn,+i_glv+is_latn,Lingua Monensis (Abecedarium Latinum),Q12175,Q8229,gv,manx1243,https://glottolog.org/resource/languoid/id/manx1243,glv,https://iso639-3.sil.org/code/glv,,,
285,60,19,hau-Latn,__i_hau__is_latn,+i_hau+is_latn,Lingua Haussana (Abecedarium Latinum),Q56475,Q8229,ha,haus1257,https://glottolog.org/resource/languoid/id/haus1257,hau,https://iso639-3.sil.org/code/hau,,,
286,60,19,hat-Latn,__i_hat__is_latn,+i_hat+is_latn,Lingua creola Haitiana (Abecedarium Latinum),Q33491,Q8229,ht,hait1244,https://glottolog.org/resource/languoid/id/hait1244,hat,https://iso639-3.sil.org/code/hat,,,
287,60,19,xmf-Geor,__i_xmf__is_geor,+i_xmf+is_geor,Lingua Mingrelica (Abecedarium Georgianum),Q13359,Q161428,xmf,ming1252,https://glottolog.org/resource/languoid/id/ming1252,xmf,https://iso639-3.sil.org/code/xmf,,,
288,60,19,kaz-Zyyy,__i_kaz__is_zyyy,+i_kaz+is_zyyy,Lingua Kazachica (/ISO 15924 Zyyy/),Q9252,,kk,kaza1248,https://glottolog.org/resource/languoid/id/kaza1248,kaz,https://iso639-3.sil.org/code/kaz,,,
289,60,19,kaz-Arab,__i_kaz__is_arab,+i_kaz+is_arab,Lingua Kazachica (Abecedarium Arabicum),Q64362991,Q8196,kk-arab,kaza1248,https://glottolog.org/resource/languoid/id/kaza1248,kaz,https://iso639-3.sil.org/code/kaz,,,
290,60,19,kaz-Cyrl,__i_kaz__is_cyrl,+i_kaz+is_cyrl,Lingua Kazachica (Abecedarium Cyrillicum),Q64362992,Q8209,kk-cyrl,kaza1248,https://glottolog.org/resource/languoid/id/kaza1248,kaz,https://iso639-3.sil.org/code/kaz,,,
