#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:152:3:6117,6117,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:61,1603:45:16:152:3:6117,San Vicente,CL06117,,,,Cachapoal,CL061,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6201,6201,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:62,1603:45:16:152:3:6201,Pichilemu,CL06201,,,,Cardenal Caro,CL062,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6202,6202,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:62,1603:45:16:152:3:6202,La Estrella,CL06202,,,,Cardenal Caro,CL062,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6203,6203,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:62,1603:45:16:152:3:6203,Litueche,CL06203,,,,Cardenal Caro,CL062,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6204,6204,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:62,1603:45:16:152:3:6204,Marchigüe,CL06204,Marchigue,,,Cardenal Caro,CL062,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6205,6205,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:62,1603:45:16:152:3:6205,Navidad,CL06205,Navidad,,,Cardenal Caro,CL062,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6206,6206,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:62,1603:45:16:152:3:6206,Paredones,CL06206,,,,Cardenal Caro,CL062,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6301,6301,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6301,San Fernando,CL06301,,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6302,6302,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6302,Chépica,CL06302,Chepica,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6303,6303,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6303,Chimbarongo,CL06303,,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6304,6304,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6304,Lolol,CL06304,,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6305,6305,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6305,Nancagua,CL06305,,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6306,6306,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6306,Palmilla,CL06306,,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6307,6307,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6307,Peralillo,CL06307,,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6308,6308,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6308,Placilla,CL06308,,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6309,6309,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6309,Pumanque,CL06309,,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:6310,6310,1603:45:16:152:0,1603:45:16:152:1:6,1603:45:16:152:2:63,1603:45:16:152:3:6310,Santa Cruz,CL06310,,,,Colchagua,CL063,Región del Libertador Bernardo O'Higgins,CL06,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7101,7101,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7101,Talca,CL07101,,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7102,7102,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7102,Constitución,CL07102,Constitucion,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7103,7103,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7103,Curepto,CL07103,,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7104,7104,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7104,Empedrado,CL07104,,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7105,7105,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7105,Maule,CL07105,,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7106,7106,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7106,Pelarco,CL07106,,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7107,7107,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7107,Pencahue,CL07107,,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7108,7108,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7108,Río Claro,CL07108,Rio Claro,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7109,7109,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7109,San Clemente,CL07109,,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7110,7110,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:71,1603:45:16:152:3:7110,San Rafael,CL07110,,,,Talca,CL071,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7201,7201,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:72,1603:45:16:152:3:7201,Cauquenes,CL07201,,,,Cauquenes,CL072,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7202,7202,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:72,1603:45:16:152:3:7202,Chanco,CL07202,,,,Cauquenes,CL072,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7203,7203,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:72,1603:45:16:152:3:7203,Pelluhue,CL07203,,,,Cauquenes,CL072,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7301,7301,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,1603:45:16:152:3:7301,Curicó,CL07301,Curico,,,Curicó,CL073,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7302,7302,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,1603:45:16:152:3:7302,Hualañé,CL07302,Hualane,,,Curicó,CL073,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7303,7303,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,1603:45:16:152:3:7303,Licantén,CL07303,Licanten,,,Curicó,CL073,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7304,7304,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,1603:45:16:152:3:7304,Molina,CL07304,,,,Curicó,CL073,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7305,7305,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,1603:45:16:152:3:7305,Rauco,CL07305,,,,Curicó,CL073,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7306,7306,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,1603:45:16:152:3:7306,Romeral,CL07306,,,,Curicó,CL073,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7307,7307,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,1603:45:16:152:3:7307,Sagrada Familia,CL07307,,,,Curicó,CL073,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7308,7308,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,1603:45:16:152:3:7308,Teno,CL07308,,,,Curicó,CL073,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7309,7309,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:73,1603:45:16:152:3:7309,Vichuquén,CL07309,Vichuquen,,,Curicó,CL073,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7401,7401,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:74,1603:45:16:152:3:7401,Linares,CL07401,,,,Linares,CL074,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7402,7402,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:74,1603:45:16:152:3:7402,Colbún,CL07402,Colbun,,,Linares,CL074,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7403,7403,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:74,1603:45:16:152:3:7403,Longaví,CL07403,Longavi,,,Linares,CL074,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7404,7404,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:74,1603:45:16:152:3:7404,Parral,CL07404,,,,Linares,CL074,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7405,7405,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:74,1603:45:16:152:3:7405,Retiro,CL07405,,,,Linares,CL074,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7406,7406,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:74,1603:45:16:152:3:7406,San Javier,CL07406,San Javier,,,Linares,CL074,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7407,7407,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:74,1603:45:16:152:3:7407,Villa Alegre,CL07407,,,,Linares,CL074,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:7408,7408,1603:45:16:152:0,1603:45:16:152:1:7,1603:45:16:152:2:74,1603:45:16:152:3:7408,Yerbas Buenas,CL07408,,,,Linares,CL074,Región del Maule,CL07,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8101,8101,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8101,Concepción,CL08101,Concepcion,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8102,8102,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8102,Coronel,CL08102,,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8103,8103,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8103,Chiguayante,CL08103,,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8104,8104,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8104,Florida,CL08104,,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8105,8105,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8105,Hualqui,CL08105,,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8106,8106,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8106,Lota,CL08106,,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8107,8107,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8107,Penco,CL08107,,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8108,8108,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8108,San Pedro de la Paz,CL08108,,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8109,8109,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8109,Santa Juana,CL08109,,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8110,8110,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8110,Talcahuano,CL08110,,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8111,8111,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8111,Tomé,CL08111,Tome,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8112,8112,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:81,1603:45:16:152:3:8112,Hualpén,CL08112,Hualpen,,,Concepción,CL081,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8201,8201,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:82,1603:45:16:152:3:8201,Lebu,CL08201,,,,Arauco,CL082,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8202,8202,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:82,1603:45:16:152:3:8202,Arauco,CL08202,,,,Arauco,CL082,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8203,8203,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:82,1603:45:16:152:3:8203,Cañete,CL08203,Canete,,,Arauco,CL082,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8204,8204,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:82,1603:45:16:152:3:8204,Contulmo,CL08204,,,,Arauco,CL082,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8205,8205,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:82,1603:45:16:152:3:8205,Curanilahue,CL08205,,,,Arauco,CL082,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8206,8206,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:82,1603:45:16:152:3:8206,Los Alamos,CL08206,,,,Arauco,CL082,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8207,8207,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:82,1603:45:16:152:3:8207,Tirúa,CL08207,Tirua,,,Arauco,CL082,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8301,8301,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8301,Los Angeles,CL08301,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8302,8302,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8302,Antuco,CL08302,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8303,8303,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8303,Cabrero,CL08303,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8304,8304,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8304,Laja,CL08304,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8305,8305,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8305,Mulchén,CL08305,Mulchen,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8306,8306,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8306,Nacimiento,CL08306,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8307,8307,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8307,Negrete,CL08307,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8308,8308,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8308,Quilaco,CL08308,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8309,8309,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8309,Quilleco,CL08309,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8310,8310,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8310,San Rosendo,CL08310,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8311,8311,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8311,Santa Bárbara,CL08311,Santa Barbara,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8312,8312,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8312,Tucapel,CL08312,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8313,8313,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8313,Yumbel,CL08313,,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:8314,8314,1603:45:16:152:0,1603:45:16:152:1:8,1603:45:16:152:2:83,1603:45:16:152:3:8314,Alto Biobío,CL08314,Alto Biobio,,,Bío-Bío,CL083,Región del Bío-Bío,CL08,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9101,9101,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9101,Temuco,CL09101,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9102,9102,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9102,Carahue,CL09102,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9103,9103,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9103,Cunco,CL09103,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9104,9104,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9104,Curarrehue,CL09104,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9105,9105,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9105,Freire,CL09105,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9106,9106,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9106,Galvarino,CL09106,Galvarino,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9107,9107,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9107,Gorbea,CL09107,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9108,9108,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9108,Lautaro,CL09108,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9109,9109,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9109,Loncoche,CL09109,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9110,9110,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9110,Melipeuco,CL09110,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9111,9111,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9111,Nueva Imperial,CL09111,Nueva Imperial,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9112,9112,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9112,Padre Las Casas,CL09112,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9113,9113,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9113,Perquenco,CL09113,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9114,9114,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9114,Pitrufquén,CL09114,Pitrufquen,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9115,9115,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9115,Pucón,CL09115,Pucon,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9116,9116,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9116,Saavedra,CL09116,Saavedra,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9117,9117,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9117,Teodoro Schmidt,CL09117,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9118,9118,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9118,Toltén,CL09118,Tolten,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9119,9119,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9119,Vilcún,CL09119,Vilcun,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9120,9120,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9120,Villarrica,CL09120,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
1603:45:16:152:3:9121,9121,1603:45:16:152:0,1603:45:16:152:1:9,1603:45:16:152:2:91,1603:45:16:152:3:9121,Cholchol,CL09121,,,,Cautín,CL091,Región de La Araucanía,CL09,Chile,CL,2021-08-03,2021-11-13,
