#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:604:2:1312,1312,1603:45:16:604:0,1603:45:16:604:1:13,1603:45:16:604:2:1312,Viru,PE1312,,,,La Libertad,PE13,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1401,1401,1603:45:16:604:0,1603:45:16:604:1:14,1603:45:16:604:2:1401,Chiclayo,PE1401,,,,Lambayeque,PE14,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1402,1402,1603:45:16:604:0,1603:45:16:604:1:14,1603:45:16:604:2:1402,Ferreñafe,PE1402,Ferrenafe,,,Lambayeque,PE14,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1403,1403,1603:45:16:604:0,1603:45:16:604:1:14,1603:45:16:604:2:1403,Lambayeque,PE1403,,,,Lambayeque,PE14,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1501,1501,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1501,Lima,PE1501,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1502,1502,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1502,Barranca,PE1502,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1503,1503,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1503,Cajatambo,PE1503,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1504,1504,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1504,Canta,PE1504,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1505,1505,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1505,Cañete,PE1505,Canete,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1506,1506,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1506,Huaral,PE1506,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1507,1507,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1507,Huarochiri,PE1507,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1508,1508,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1508,Huaura,PE1508,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1509,1509,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1509,Oyon,PE1509,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1510,1510,1603:45:16:604:0,1603:45:16:604:1:15,1603:45:16:604:2:1510,Yauyos,PE1510,,,,Lima,PE15,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1601,1601,1603:45:16:604:0,1603:45:16:604:1:16,1603:45:16:604:2:1601,Maynas,PE1601,,,,Loreto,PE16,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1602,1602,1603:45:16:604:0,1603:45:16:604:1:16,1603:45:16:604:2:1602,Alto Amazonas,PE1602,,,,Loreto,PE16,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1603,1603,1603:45:16:604:0,1603:45:16:604:1:16,1603:45:16:604:2:1603,Loreto,PE1603,,,,Loreto,PE16,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1604,1604,1603:45:16:604:0,1603:45:16:604:1:16,1603:45:16:604:2:1604,Mariscal Ramon Castilla,PE1604,,,,Loreto,PE16,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1605,1605,1603:45:16:604:0,1603:45:16:604:1:16,1603:45:16:604:2:1605,Requena,PE1605,,,,Loreto,PE16,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1606,1606,1603:45:16:604:0,1603:45:16:604:1:16,1603:45:16:604:2:1606,Ucayali,PE1606,,,,Loreto,PE16,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1607,1607,1603:45:16:604:0,1603:45:16:604:1:16,1603:45:16:604:2:1607,Datem del Marañon,PE1607,Datem del Maranon,,,Loreto,PE16,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1608,1608,1603:45:16:604:0,1603:45:16:604:1:16,1603:45:16:604:2:1608,Putumayo,PE1608,,,,Loreto,PE16,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1701,1701,1603:45:16:604:0,1603:45:16:604:1:17,1603:45:16:604:2:1701,Tambopata,PE1701,,,,Madre de Dios,PE17,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1702,1702,1603:45:16:604:0,1603:45:16:604:1:17,1603:45:16:604:2:1702,Manu,PE1702,,,,Madre de Dios,PE17,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1703,1703,1603:45:16:604:0,1603:45:16:604:1:17,1603:45:16:604:2:1703,Tahuamanu,PE1703,,,,Madre de Dios,PE17,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1801,1801,1603:45:16:604:0,1603:45:16:604:1:18,1603:45:16:604:2:1801,Mariscal Nieto,PE1801,,,,Moquegua,PE18,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1802,1802,1603:45:16:604:0,1603:45:16:604:1:18,1603:45:16:604:2:1802,General Sanchez Cerro,PE1802,,,,Moquegua,PE18,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1803,1803,1603:45:16:604:0,1603:45:16:604:1:18,1603:45:16:604:2:1803,Ilo,PE1803,,,,Moquegua,PE18,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1901,1901,1603:45:16:604:0,1603:45:16:604:1:19,1603:45:16:604:2:1901,Pasco,PE1901,,,,Pasco,PE19,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1902,1902,1603:45:16:604:0,1603:45:16:604:1:19,1603:45:16:604:2:1902,Daniel Alcides Carrion,PE1902,,,,Pasco,PE19,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:1903,1903,1603:45:16:604:0,1603:45:16:604:1:19,1603:45:16:604:2:1903,Oxapampa,PE1903,,,,Pasco,PE19,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2001,2001,1603:45:16:604:0,1603:45:16:604:1:20,1603:45:16:604:2:2001,Piura,PE2001,,,,Piura,PE20,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2002,2002,1603:45:16:604:0,1603:45:16:604:1:20,1603:45:16:604:2:2002,Ayabaca,PE2002,,,,Piura,PE20,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2003,2003,1603:45:16:604:0,1603:45:16:604:1:20,1603:45:16:604:2:2003,Huancabamba,PE2003,,,,Piura,PE20,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2004,2004,1603:45:16:604:0,1603:45:16:604:1:20,1603:45:16:604:2:2004,Morropon,PE2004,,,,Piura,PE20,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2005,2005,1603:45:16:604:0,1603:45:16:604:1:20,1603:45:16:604:2:2005,Paita,PE2005,,,,Piura,PE20,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2006,2006,1603:45:16:604:0,1603:45:16:604:1:20,1603:45:16:604:2:2006,Sullana,PE2006,,,,Piura,PE20,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2007,2007,1603:45:16:604:0,1603:45:16:604:1:20,1603:45:16:604:2:2007,Talara,PE2007,,,,Piura,PE20,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2008,2008,1603:45:16:604:0,1603:45:16:604:1:20,1603:45:16:604:2:2008,Sechura,PE2008,,,,Piura,PE20,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2101,2101,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2101,Puno,PE2101,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2102,2102,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2102,Azangaro,PE2102,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2103,2103,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2103,Carabaya,PE2103,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2104,2104,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2104,Chucuito,PE2104,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2105,2105,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2105,El Collao,PE2105,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2106,2106,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2106,Huancane,PE2106,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2107,2107,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2107,Lampa,PE2107,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2108,2108,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2108,Melgar,PE2108,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2109,2109,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2109,Moho,PE2109,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2110,2110,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2110,San Antonio de Putina,PE2110,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2111,2111,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2111,San Roman,PE2111,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2112,2112,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2112,Sandia,PE2112,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2113,2113,1603:45:16:604:0,1603:45:16:604:1:21,1603:45:16:604:2:2113,Yunguyo,PE2113,,,,Puno,PE21,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2201,2201,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2201,Moyobamba,PE2201,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2202,2202,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2202,Bellavista,PE2202,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2203,2203,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2203,El Dorado,PE2203,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2204,2204,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2204,Huallaga,PE2204,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2205,2205,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2205,Lamas,PE2205,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2206,2206,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2206,Mariscal Caceres,PE2206,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2207,2207,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2207,Picota,PE2207,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2208,2208,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2208,Rioja,PE2208,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2209,2209,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2209,San Martin,PE2209,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2210,2210,1603:45:16:604:0,1603:45:16:604:1:22,1603:45:16:604:2:2210,Tocache,PE2210,,,,San Martin,PE22,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2301,2301,1603:45:16:604:0,1603:45:16:604:1:23,1603:45:16:604:2:2301,Tacna,PE2301,,,,Tacna,PE23,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2302,2302,1603:45:16:604:0,1603:45:16:604:1:23,1603:45:16:604:2:2302,Candarave,PE2302,,,,Tacna,PE23,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2303,2303,1603:45:16:604:0,1603:45:16:604:1:23,1603:45:16:604:2:2303,Jorge Basadre,PE2303,,,,Tacna,PE23,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2304,2304,1603:45:16:604:0,1603:45:16:604:1:23,1603:45:16:604:2:2304,Tarata,PE2304,,,,Tacna,PE23,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2401,2401,1603:45:16:604:0,1603:45:16:604:1:24,1603:45:16:604:2:2401,Tumbes,PE2401,,,,Tumbes,PE24,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2402,2402,1603:45:16:604:0,1603:45:16:604:1:24,1603:45:16:604:2:2402,Contralmirante Villar,PE2402,,,,Tumbes,PE24,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2403,2403,1603:45:16:604:0,1603:45:16:604:1:24,1603:45:16:604:2:2403,Zarumilla,PE2403,,,,Tumbes,PE24,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2501,2501,1603:45:16:604:0,1603:45:16:604:1:25,1603:45:16:604:2:2501,Coronel Portillo,PE2501,,,,Ucayali,PE25,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2502,2502,1603:45:16:604:0,1603:45:16:604:1:25,1603:45:16:604:2:2502,Atalaya,PE2502,,,,Ucayali,PE25,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2503,2503,1603:45:16:604:0,1603:45:16:604:1:25,1603:45:16:604:2:2503,Padre Abad,PE2503,,,,Ucayali,PE25,Perú (el),PE,2015-07-24,2020-07-17,
1603:45:16:604:2:2504,2504,1603:45:16:604:0,1603:45:16:604:1:25,1603:45:16:604:2:2504,Purus,PE2504,,,,Ucayali,PE25,Perú (el),PE,2015-07-24,2020-07-17,
