#item+conceptum+numerordinatio,#item+conceptum+codicem,#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wikip297,#item+rem+i_qcc+is_zxxx+ix_wikip577,#item+rem+i_qcc+is_zxxx+ix_wikip813,#item+rem+i_qcc+is_zxxx+ix_wikip2669
1603:45:16:450:4:21224190015,21224190015,Andrainjato,MG21224190015,,,,Andranovorivato,MG21224190,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224190016,21224190016,Ambalavohimay,MG21224190016,,,,Andranovorivato,MG21224190,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224210001,21224210001,Sahavoha,MG21224210001,,,,Vohibato Ouest,MG21224210,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224210002,21224210002,Ambohimanarivo,MG21224210002,,,,Vohibato Ouest,MG21224210,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224210003,21224210003,Antsiobe,MG21224210003,,,,Vohibato Ouest,MG21224210,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224210004,21224210004,Vohitraivo,MG21224210004,,,,Vohibato Ouest,MG21224210,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230001,21224230001,Manatenasoa I,MG21224230001,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230002,21224230002,Vohibato Seranana,MG21224230002,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230003,21224230003,Andreana Vohibato,MG21224230003,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230004,21224230004,Tanitsihomehy,MG21224230004,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230005,21224230005,Mamarina Tsileondahy,MG21224230005,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230006,21224230006,Soanierana,MG21224230006,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230007,21224230007,Ranomena,MG21224230007,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230008,21224230008,Antarambiby,MG21224230008,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230009,21224230009,Ikongo Ouest,MG21224230009,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230010,21224230010,Manatenasoa II,MG21224230010,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230011,21224230011,Marokona II,MG21224230011,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230012,21224230012,Marokona I,MG21224230012,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224230013,21224230013,Marokona IIi,MG21224230013,,,,Andranomiditra,MG21224230,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224250001,21224250001,Imarotavy,MG21224250001,,,,Soaindrana,MG21224250,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224250002,21224250002,Lalazana Ambony,MG21224250002,,,,Soaindrana,MG21224250,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224250003,21224250003,Lalazana Ambany,MG21224250003,,,,Soaindrana,MG21224250,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224250004,21224250004,Iharanany Andrefana,MG21224250004,,,,Soaindrana,MG21224250,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224250005,21224250005,Sahamena,MG21224250005,,,,Soaindrana,MG21224250,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270001,21224270001,Asabotsy Moralina,MG21224270001,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270002,21224270002,Anjanomanana,MG21224270002,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270003,21224270003,Midongy Andrefana,MG21224270003,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270004,21224270004,Vatomitantana Ambatoteraka,MG21224270004,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270005,21224270005,Ambohibory Moralina,MG21224270005,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270006,21224270006,Tambohosoa Monongona,MG21224270006,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270007,21224270007,Vohitraveotra,MG21224270007,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270008,21224270008,Ambalavao Fihahia,MG21224270008,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270009,21224270009,Maromiandra,MG21224270009,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270010,21224270010,Tsimaitohasoa Nord,MG21224270010,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270011,21224270011,Tsimaitohasoa Est,MG21224270011,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21224270012,21224270012,Ambalamarina,MG21224270012,,,,Mahaditra,MG21224270,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010001,21225010001,Isorana,MG21225010001,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010002,21225010002,Mandanona,MG21225010002,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010003,21225010003,Amboakitsy,MG21225010003,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010004,21225010004,Andohareana,MG21225010004,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010005,21225010005,Sabotsy Itomboana,MG21225010005,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010006,21225010006,Sahasoa Itomboana,MG21225010006,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010007,21225010007,Tanantsoa,MG21225010007,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010008,21225010008,Vatambe,MG21225010008,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010009,21225010009,Tambohobe Vohitsisaky,MG21225010009,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225010010,21225010010,Marolahy,MG21225010010,,,,Isorana,MG21225010,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225030001,21225030001,Benangana,MG21225030001,,,,Anjoma Itsara,MG21225030,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225030002,21225030002,Ambohimahasoa,MG21225030002,,,,Anjoma Itsara,MG21225030,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225030003,21225030003,Ikando,MG21225030003,,,,Anjoma Itsara,MG21225030,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225030004,21225030004,Tambohobe,MG21225030004,,,,Anjoma Itsara,MG21225030,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225030005,21225030005,Lavatrafo,MG21225030005,,,,Anjoma Itsara,MG21225030,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050001,21225050001,Alatsinainy,MG21225050001,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050002,21225050002,Vatomaitso,MG21225050002,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050003,21225050003,Irano Anosilava,MG21225050003,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050004,21225050004,Vohitenina,MG21225050004,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050005,21225050005,Ampanenjanana,MG21225050005,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050006,21225050006,Soamanakova,MG21225050006,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050007,21225050007,Andovoka,MG21225050007,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050008,21225050008,Ranomaitso,MG21225050008,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050009,21225050009,Ambalamisaotra,MG21225050009,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050010,21225050010,Ambalatondroina,MG21225050010,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050011,21225050011,Andreamitsioka,MG21225050011,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050012,21225050012,Mahavanona,MG21225050012,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050013,21225050013,Itohy,MG21225050013,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050014,21225050014,Betapoaka,MG21225050014,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050015,21225050015,Ambohitrasoavina,MG21225050015,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050016,21225050016,Antaniditra,MG21225050016,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050017,21225050017,Andranomiboaka,MG21225050017,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050018,21225050018,Mitsinjorano,MG21225050018,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050019,21225050019,Ambalaseva,MG21225050019,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050020,21225050020,Mahalay,MG21225050020,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050021,21225050021,Tanamarina Laobato,MG21225050021,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050022,21225050022,Vohimanombo,MG21225050022,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225050023,21225050023,Ambalabetsila,MG21225050023,,,,Andoharanomaitso,MG21225050,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070001,21225070001,Ambondrona,MG21225070001,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070002,21225070002,Tranovondrona,MG21225070002,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070003,21225070003,Tsarafidy,MG21225070003,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070004,21225070004,Antsiravaza,MG21225070004,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070005,21225070005,Tambohoniomby,MG21225070005,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070006,21225070006,Ambalafila,MG21225070006,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070007,21225070007,Ambalamahatsinjo Sakaroa,MG21225070007,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070008,21225070008,Fierana,MG21225070008,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070009,21225070009,Ambalafanovana,MG21225070009,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070010,21225070010,Fenoarivo,MG21225070010,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225070011,21225070011,Ankofafamavo,MG21225070011,,,,Ambondrona,MG21225070,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225090001,21225090001,Ambalamidera II,MG21225090001,,,,Ambalamidera II,MG21225090,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225090002,21225090002,Ambatolahitelo,MG21225090002,,,,Ambalamidera II,MG21225090,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225090003,21225090003,Tanantsoa Ambohimila,MG21225090003,,,,Ambalamidera II,MG21225090,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225090004,21225090004,Ambatolahifolaka,MG21225090004,,,,Ambalamidera II,MG21225090,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225090005,21225090005,Antoetra I,MG21225090005,,,,Ambalamidera II,MG21225090,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225110001,21225110001,Ankarinarivo Centre,MG21225110001,,,,Ankarinarivo Manirisoa,MG21225110,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225110002,21225110002,Ambohifirariantsoa,MG21225110002,,,,Ankarinarivo Manirisoa,MG21225110,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225110003,21225110003,Fivoarantsoa,MG21225110003,,,,Ankarinarivo Manirisoa,MG21225110,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225110004,21225110004,Tandrokininosy,MG21225110004,,,,Ankarinarivo Manirisoa,MG21225110,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225110005,21225110005,Analalava Mahasoa,MG21225110005,,,,Ankarinarivo Manirisoa,MG21225110,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225110006,21225110006,Ambalamarina Ankaranosy,MG21225110006,,,,Ankarinarivo Manirisoa,MG21225110,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225110007,21225110007,Ambalavao Andohony,MG21225110007,,,,Ankarinarivo Manirisoa,MG21225110,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225110008,21225110008,Soanierana,MG21225110008,,,,Ankarinarivo Manirisoa,MG21225110,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225130001,21225130001,Soatanana,MG21225130001,,,,Soatanana,MG21225130,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225130002,21225130002,Ampolatany,MG21225130002,,,,Soatanana,MG21225130,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225130003,21225130003,Iarinarivo,MG21225130003,,,,Soatanana,MG21225130,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225130004,21225130004,Ambalalovana,MG21225130004,,,,Soatanana,MG21225130,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225130005,21225130005,Ambalamarina Tsianda,MG21225130005,,,,Soatanana,MG21225130,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225130006,21225130006,Ambalatsileo,MG21225130006,,,,Soatanana,MG21225130,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225130007,21225130007,Sonjoandrano,MG21225130007,,,,Soatanana,MG21225130,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225130008,21225130008,Samilahy,MG21225130008,,,,Soatanana,MG21225130,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225130009,21225130009,Tandemoka,MG21225130009,,,,Soatanana,MG21225130,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225150001,21225150001,Nasandratrony,MG21225150001,,,,Nasandratrony,MG21225150,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225150002,21225150002,Andrefan'iavomanitra,MG21225150002,,,,Nasandratrony,MG21225150,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225150003,21225150003,Iavomanitra,MG21225150003,,,,Nasandratrony,MG21225150,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225150004,21225150004,Soanierana Ivinga,MG21225150004,,,,Nasandratrony,MG21225150,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225150005,21225150005,Ambohipihaonana,MG21225150005,,,,Nasandratrony,MG21225150,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225150006,21225150006,Ambalamirarisoa,MG21225150006,,,,Nasandratrony,MG21225150,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225150007,21225150007,Tsaramandroso Anara,MG21225150007,,,,Nasandratrony,MG21225150,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225150008,21225150008,Soamiandrizafy,MG21225150008,,,,Nasandratrony,MG21225150,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225170001,21225170001,Mahazoarivo,MG21225170001,,,,Mahazoarivo,MG21225170,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225170002,21225170002,Ambatolahilava,MG21225170002,,,,Mahazoarivo,MG21225170,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225170003,21225170003,Morafeno,MG21225170003,,,,Mahazoarivo,MG21225170,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225170004,21225170004,Ambalafanompoana,MG21225170004,,,,Mahazoarivo,MG21225170,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225170005,21225170005,Ankazotana,MG21225170005,,,,Mahazoarivo,MG21225170,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225170006,21225170006,Lavahatsara,MG21225170006,,,,Mahazoarivo,MG21225170,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225170007,21225170007,Ambaibo,MG21225170007,,,,Mahazoarivo,MG21225170,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190001,21225190001,Fanjakana,MG21225190001,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190002,21225190002,Antanimena Manody,MG21225190002,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190003,21225190003,Lazaina,MG21225190003,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190004,21225190004,Fiva,MG21225190004,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190005,21225190005,Ambohipihaonana,MG21225190005,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190006,21225190006,Ranomena,MG21225190006,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190007,21225190007,Ambohimahaihova,MG21225190007,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190008,21225190008,Ambalamarina Est,MG21225190008,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190009,21225190009,Ambodisandra,MG21225190009,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225190010,21225190010,Ambatolahinandriamanalina,MG21225190010,,,,Fanjakana,MG21225190,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:4:21225210001,21225210001,Manantenasoa Handroso,MG21225210001,,,,Iavonomby Vohibola,MG21225210,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
