#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5001,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_kaz+is_zyyy+rdf_p_skos_preflabel_s5000,#item+rem+i_rus+is_cyrl+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:398:2:192600,192600,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:192600,Tekeli,Текелі ,Текели,KZ192600,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:193200,193200,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:193200,Aksu,Ақсу ,Аксуский,KZ193200,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:193400,193400,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:193400,Alakol,Алакөл ,Алакольский,KZ193400,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:193600,193600,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:193600,Balkhash,Балқаш ,Балхашский,KZ193600,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:194000,194000,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:194000,Enbekshikazakh,Еңбекшіқазақ ,Енбекшиказахский,KZ194000,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:194200,194200,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:194200,Zhambyl,Жамбыл ,Жамбылский,KZ194200,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:194400,194400,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:194400,Kegen,Кеген,Кегенский,KZ194400,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:194600,194600,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:194600,Kerbulak,Кербұлақ ,Кербулакский,KZ194600,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:194800,194800,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:194800,Koksu,Көксу ,Коксуский,KZ194800,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:195000,195000,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:195000,Karatal,Қаратал ,Каратальский,KZ195000,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:195200,195200,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:195200,Karasay,Қарасай ,Карасайский,KZ195200,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:195600,195600,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:195600,Panfilov,Панфилов ,Панфиловский,KZ195600,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:195800,195800,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:195800,Raiymbek,Райымбек ,Райымбекский,KZ195800,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:196000,196000,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:196000,Sarkand,Сарқант ,Саркандский,KZ196000,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:196200,196200,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:196200,Talgar,Талғар ,Талгарский,KZ196200,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:196400,196400,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:196400,Eskeldi,Ескелді ,Ескельдинский,KZ196400,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:196600,196600,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:196600,Uygur,Ұйғыр ,Уйгурский,KZ196600,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:196800,196800,1603:45:16:398:0,1603:45:16:398:1:19,1603:45:16:398:2:196800,Ile,Іле ,Илийский,KZ196800,,,,,,,,Almaty,Алматы,Алматинская ,KZ19,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:231000,231000,1603:45:16:398:0,1603:45:16:398:1:23,1603:45:16:398:2:231000,Atyrau,Атырау,Атырау,KZ231000,,,,,,,,Atyrau,Атырау ,Атырауская ,KZ23,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:233600,233600,1603:45:16:398:0,1603:45:16:398:1:23,1603:45:16:398:2:233600,Zhylyoi,Жылыой ,Жылыойский,KZ233600,,,,,,,,Atyrau,Атырау ,Атырауская ,KZ23,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:234000,234000,1603:45:16:398:0,1603:45:16:398:1:23,1603:45:16:398:2:234000,Inder,Индер ,Индерский,KZ234000,,,,,,,,Atyrau,Атырау ,Атырауская ,KZ23,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:234200,234200,1603:45:16:398:0,1603:45:16:398:1:23,1603:45:16:398:2:234200,Isatay,Исатай ,Исатайский,KZ234200,,,,,,,,Atyrau,Атырау ,Атырауская ,KZ23,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
1603:45:16:398:2:234600,234600,1603:45:16:398:0,1603:45:16:398:1:23,1603:45:16:398:2:234600,Kurmangazy,Құрманғазы ,Курмангазинский,KZ234600,,,,,,,,Atyrau,Атырау ,Атырауская ,KZ23,Republic of Kazakhstan,Қазақстан Республикасы,Республика Казахстан,KZ,2019-09-10,2019-09-10,
