#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:180:2:1000,1000,1603:45:16:180:0,1603:45:16:180:1:10,1603:45:16:180:2:1000,Kinshasa,CD1000,,,,Kinshasa,CD10,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6207,6207,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6207,Walungu,CD6207,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6208,6208,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6208,Uvira,CD6208,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6210,6210,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6210,Fizi,CD6210,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6211,6211,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6211,Baraka,CD6211,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6212,6212,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6212,Mwenga,CD6212,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6213,6213,1603:45:16:180:0,1603:45:16:180:1:62,1603:45:16:180:2:6213,Kamituga,CD6213,,,,Sud-Kivu,CD62,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6301,6301,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6301,Kindu,CD6301,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6302,6302,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6302,Kailo,CD6302,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6303,6303,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6303,Punia,CD6303,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6305,6305,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6305,Lubutu,CD6305,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6307,6307,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6307,Pangi,CD6307,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6308,6308,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6308,Kalima,CD6308,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6309,6309,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6309,Kabambare,CD6309,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6310,6310,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6310,Namoya,CD6310,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6311,6311,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6311,Kasongo,CD6311,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:6313,6313,1603:45:16:180:0,1603:45:16:180:1:63,1603:45:16:180:2:6313,Kibombo,CD6313,,,,Maniema,CD63,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7101,7101,1603:45:16:180:0,1603:45:16:180:1:71,1603:45:16:180:2:7101,Lubumbashi,CD7101,,,,Haut-Katanga,CD71,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7102,7102,1603:45:16:180:0,1603:45:16:180:1:71,1603:45:16:180:2:7102,Kipushi,CD7102,,,,Haut-Katanga,CD71,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7104,7104,1603:45:16:180:0,1603:45:16:180:1:71,1603:45:16:180:2:7104,Sakania,CD7104,,,,Haut-Katanga,CD71,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7105,7105,1603:45:16:180:0,1603:45:16:180:1:71,1603:45:16:180:2:7105,Kambove,CD7105,,,,Haut-Katanga,CD71,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7106,7106,1603:45:16:180:0,1603:45:16:180:1:71,1603:45:16:180:2:7106,Likasi,CD7106,,,,Haut-Katanga,CD71,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7107,7107,1603:45:16:180:0,1603:45:16:180:1:71,1603:45:16:180:2:7107,Kasenga,CD7107,,,,Haut-Katanga,CD71,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7108,7108,1603:45:16:180:0,1603:45:16:180:1:71,1603:45:16:180:2:7108,Mitwaba,CD7108,,,,Haut-Katanga,CD71,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7109,7109,1603:45:16:180:0,1603:45:16:180:1:71,1603:45:16:180:2:7109,Pweto,CD7109,,,,Haut-Katanga,CD71,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7201,7201,1603:45:16:180:0,1603:45:16:180:1:72,1603:45:16:180:2:7201,Kolwezi,CD7201,,,,Lualaba,CD72,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7202,7202,1603:45:16:180:0,1603:45:16:180:1:72,1603:45:16:180:2:7202,Mutshatsha,CD7202,,,,Lualaba,CD72,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7203,7203,1603:45:16:180:0,1603:45:16:180:1:72,1603:45:16:180:2:7203,Lubudi,CD7203,,,,Lualaba,CD72,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7204,7204,1603:45:16:180:0,1603:45:16:180:1:72,1603:45:16:180:2:7204,Kasaji,CD7204,,,,Lualaba,CD72,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7205,7205,1603:45:16:180:0,1603:45:16:180:1:72,1603:45:16:180:2:7205,Dilolo,CD7205,,,,Lualaba,CD72,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7206,7206,1603:45:16:180:0,1603:45:16:180:1:72,1603:45:16:180:2:7206,Sandoa,CD7206,,,,Lualaba,CD72,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7207,7207,1603:45:16:180:0,1603:45:16:180:1:72,1603:45:16:180:2:7207,Kapanga,CD7207,,,,Lualaba,CD72,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7302,7302,1603:45:16:180:0,1603:45:16:180:1:73,1603:45:16:180:2:7302,Kamina,CD7302,,,,Haut-Lomami,CD73,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7303,7303,1603:45:16:180:0,1603:45:16:180:1:73,1603:45:16:180:2:7303,Kaniama,CD7303,,,,Haut-Lomami,CD73,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7304,7304,1603:45:16:180:0,1603:45:16:180:1:73,1603:45:16:180:2:7304,Kabongo,CD7304,,,,Haut-Lomami,CD73,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7305,7305,1603:45:16:180:0,1603:45:16:180:1:73,1603:45:16:180:2:7305,Malemba-Nkulu,CD7305,,,,Haut-Lomami,CD73,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7306,7306,1603:45:16:180:0,1603:45:16:180:1:73,1603:45:16:180:2:7306,Bukama,CD7306,,,,Haut-Lomami,CD73,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7402,7402,1603:45:16:180:0,1603:45:16:180:1:74,1603:45:16:180:2:7402,Kalemie,CD7402,,,,Tanganyika,CD74,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7403,7403,1603:45:16:180:0,1603:45:16:180:1:74,1603:45:16:180:2:7403,Kaoze,CD7403,,,,Tanganyika,CD74,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7404,7404,1603:45:16:180:0,1603:45:16:180:1:74,1603:45:16:180:2:7404,Moba,CD7404,,,,Tanganyika,CD74,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7406,7406,1603:45:16:180:0,1603:45:16:180:1:74,1603:45:16:180:2:7406,Manono,CD7406,,,,Tanganyika,CD74,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7407,7407,1603:45:16:180:0,1603:45:16:180:1:74,1603:45:16:180:2:7407,Kabalo,CD7407,,,,Tanganyika,CD74,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7409,7409,1603:45:16:180:0,1603:45:16:180:1:74,1603:45:16:180:2:7409,Kongolo,CD7409,,,,Tanganyika,CD74,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:7410,7410,1603:45:16:180:0,1603:45:16:180:1:74,1603:45:16:180:2:7410,Nyunzu,CD7410,,,,Tanganyika,CD74,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8102,8102,1603:45:16:180:0,1603:45:16:180:1:81,1603:45:16:180:2:8102,Kabinda,CD8102,,,,Lomami,CD81,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8103,8103,1603:45:16:180:0,1603:45:16:180:1:81,1603:45:16:180:2:8103,Mwene-Ditu,CD8103,,,,Lomami,CD81,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8104,8104,1603:45:16:180:0,1603:45:16:180:1:81,1603:45:16:180:2:8104,Luilu,CD8104,,,,Lomami,CD81,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8105,8105,1603:45:16:180:0,1603:45:16:180:1:81,1603:45:16:180:2:8105,Kamiji,CD8105,,,,Lomami,CD81,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8106,8106,1603:45:16:180:0,1603:45:16:180:1:81,1603:45:16:180:2:8106,Ngandajika,CD8106,,,,Lomami,CD81,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8108,8108,1603:45:16:180:0,1603:45:16:180:1:81,1603:45:16:180:2:8108,Lubao,CD8108,,,,Lomami,CD81,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8201,8201,1603:45:16:180:0,1603:45:16:180:1:82,1603:45:16:180:2:8201,Mbuji-Mayi,CD8201,,,,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8202,8202,1603:45:16:180:0,1603:45:16:180:1:82,1603:45:16:180:2:8202,Tshilenge,CD8202,,,,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8204,8204,1603:45:16:180:0,1603:45:16:180:1:82,1603:45:16:180:2:8204,Lukalaba,CD8204,,,,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8205,8205,1603:45:16:180:0,1603:45:16:180:1:82,1603:45:16:180:2:8205,Miabi,CD8205,,,,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8207,8207,1603:45:16:180:0,1603:45:16:180:1:82,1603:45:16:180:2:8207,Kabeya-Kamwanga,CD8207,,,,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8208,8208,1603:45:16:180:0,1603:45:16:180:1:82,1603:45:16:180:2:8208,Lupatapata,CD8208,,,,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8209,8209,1603:45:16:180:0,1603:45:16:180:1:82,1603:45:16:180:2:8209,Katanda,CD8209,,,,Kasaï-Oriental,CD82,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8302,8302,1603:45:16:180:0,1603:45:16:180:1:83,1603:45:16:180:2:8302,Lusambo,CD8302,,,,Sankuru,CD83,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8303,8303,1603:45:16:180:0,1603:45:16:180:1:83,1603:45:16:180:2:8303,Lodja,CD8303,,,,Sankuru,CD83,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8305,8305,1603:45:16:180:0,1603:45:16:180:1:83,1603:45:16:180:2:8305,Bena-Dibele,CD8305,,,,Sankuru,CD83,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8306,8306,1603:45:16:180:0,1603:45:16:180:1:83,1603:45:16:180:2:8306,Kole,CD8306,,,,Sankuru,CD83,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8307,8307,1603:45:16:180:0,1603:45:16:180:1:83,1603:45:16:180:2:8307,Lomela,CD8307,,,,Sankuru,CD83,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8308,8308,1603:45:16:180:0,1603:45:16:180:1:83,1603:45:16:180:2:8308,Katako-Kombe,CD8308,,,,Sankuru,CD83,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8309,8309,1603:45:16:180:0,1603:45:16:180:1:83,1603:45:16:180:2:8309,Lubefu,CD8309,,,,Sankuru,CD83,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:8311,8311,1603:45:16:180:0,1603:45:16:180:1:83,1603:45:16:180:2:8311,Tshumbe,CD8311,,,,Sankuru,CD83,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9101,9101,1603:45:16:180:0,1603:45:16:180:1:91,1603:45:16:180:2:9101,Kananga,CD9101,,,,Kasaï-Central,CD91,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9102,9102,1603:45:16:180:0,1603:45:16:180:1:91,1603:45:16:180:2:9102,Dibaya,CD9102,,,,Kasaï-Central,CD91,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9103,9103,1603:45:16:180:0,1603:45:16:180:1:91,1603:45:16:180:2:9103,Tshimbulu,CD9103,,,,Kasaï-Central,CD91,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9104,9104,1603:45:16:180:0,1603:45:16:180:1:91,1603:45:16:180:2:9104,Luiza,CD9104,,,,Kasaï-Central,CD91,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9105,9105,1603:45:16:180:0,1603:45:16:180:1:91,1603:45:16:180:2:9105,Kazumba,CD9105,,,,Kasaï-Central,CD91,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9106,9106,1603:45:16:180:0,1603:45:16:180:1:91,1603:45:16:180:2:9106,Demba,CD9106,,,,Kasaï-Central,CD91,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9107,9107,1603:45:16:180:0,1603:45:16:180:1:91,1603:45:16:180:2:9107,Dimbelenge,CD9107,,,,Kasaï-Central,CD91,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9201,9201,1603:45:16:180:0,1603:45:16:180:1:92,1603:45:16:180:2:9201,Tshikapa,CD9201,,,,Kasaï,CD92,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9202,9202,1603:45:16:180:0,1603:45:16:180:1:92,1603:45:16:180:2:9202,Kamonia,CD9202,,,,Kasaï,CD92,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9204,9204,1603:45:16:180:0,1603:45:16:180:1:92,1603:45:16:180:2:9204,Luebo,CD9204,,,,Kasaï,CD92,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9205,9205,1603:45:16:180:0,1603:45:16:180:1:92,1603:45:16:180:2:9205,Ilebo,CD9205,,,,Kasaï,CD92,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9207,9207,1603:45:16:180:0,1603:45:16:180:1:92,1603:45:16:180:2:9207,Mweka,CD9207,,,,Kasaï,CD92,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
1603:45:16:180:2:9208,9208,1603:45:16:180:0,1603:45:16:180:1:92,1603:45:16:180:2:9208,Dekese,CD9208,,,,Kasaï,CD92,République démocratique du Congo (la),CD,2019-09-12,2019-09-13,
