id	digit	arabic_indic	extended_arabic_indic	nko	devanagari	bengali	gurmukhi	gujarati	oriya	tamil	telugu	kannada	malayalam	sinhala_lith	thai	lao	tibetan	myanmar	myanmar_shan	khmer	mongolian	limbu	new_tai_lue	tai_tham_hora	tai_tham_tham	balinese	sundanese	lepcha	ol_chiki	vai	saurashtra	kayah_li	javanese	myanmar_tai_laing	cham	meetei_mayek	fullwidth	osmanya	hanifi_rohingya	brahmi	sora_sompeng	chakma	sharada	khudawadi	newa	tirhuta	modi	takri	ahom	warang_citi	dives_akuru	bhaiksuki	masaram_gondi	gunjala_gondi	mro	tangsa	pahawh_hmong	nyiakeng_puachue_hmong	wancho	adlam	segmented
32	32	٣٢	۳۲	߃߂	३२	৩২	੩੨	૩૨	୩୨	௩௨	౩౨	೩೨	൩൨	෩෨	๓๒	໓໒	༣༢	၃၂	႓႒	៣២	᠓᠒	᥉᥈	᧓᧒	᪃᪂	᪓᪒	᭓᭒	᮳᮲	᱃᱂	᱓᱒	꘣꘢	꣓꣒	꤃꤂	꧓꧒	꧳꧲	꩓꩒	꯳꯲	３２	𐒣𐒢	𐴳𐴲	𑁩𑁨	𑃳𑃲	𑄹𑄸	𑇓𑇒	𑋳𑋲	𑑓𑑒	𑓓𑓒	𑙓𑙒	𑛃𑛂	𑜳𑜲	𑣣𑣢	𑥓𑥒	𑱓𑱒	𑵓𑵒	𑶣𑶢	𖩣𖩢	𖫃𖫂	𖭓𖭒	𞅃𞅂	𞋳𞋲	𞥓𞥒	🯳🯲
33	33	٣٣	۳۳	߃߃	३३	৩৩	੩੩	૩૩	୩୩	௩௩	౩౩	೩೩	൩൩	෩෩	๓๓	໓໓	༣༣	၃၃	႓႓	៣៣	᠓᠓	᥉᥉	᧓᧓	᪃᪃	᪓᪓	᭓᭓	᮳᮳	᱃᱃	᱓᱓	꘣꘣	꣓꣓	꤃꤃	꧓꧓	꧳꧳	꩓꩓	꯳꯳	３３	𐒣𐒣	𐴳𐴳	𑁩𑁩	𑃳𑃳	𑄹𑄹	𑇓𑇓	𑋳𑋳	𑑓𑑓	𑓓𑓓	𑙓𑙓	𑛃𑛃	𑜳𑜳	𑣣𑣣	𑥓𑥓	𑱓𑱓	𑵓𑵓	𑶣𑶣	𖩣𖩣	𖫃𖫃	𖭓𖭓	𞅃𞅃	𞋳𞋳	𞥓𞥓	🯳🯳
34	34	٣٤	۳۴	߃߄	३४	৩৪	੩੪	૩૪	୩୪	௩௪	౩౪	೩೪	൩൪	෩෪	๓๔	໓໔	༣༤	၃၄	႓႔	៣៤	᠓᠔	᥉᥊	᧓᧔	᪃᪄	᪓᪔	᭓᭔	᮳᮴	᱃᱄	᱓᱔	꘣꘤	꣓꣔	꤃꤄	꧓꧔	꧳꧴	꩓꩔	꯳꯴	３４	𐒣𐒤	𐴳𐴴	𑁩𑁪	𑃳𑃴	𑄹𑄺	𑇓𑇔	𑋳𑋴	𑑓𑑔	𑓓𑓔	𑙓𑙔	𑛃𑛄	𑜳𑜴	𑣣𑣤	𑥓𑥔	𑱓𑱔	𑵓𑵔	𑶣𑶤	𖩣𖩤	𖫃𖫄	𖭓𖭔	𞅃𞅄	𞋳𞋴	𞥓𞥔	🯳🯴
35	35	٣٥	۳۵	߃߅	३५	৩৫	੩੫	૩૫	୩୫	௩௫	౩౫	೩೫	൩൫	෩෫	๓๕	໓໕	༣༥	၃၅	႓႕	៣៥	᠓᠕	᥉᥋	᧓᧕	᪃᪅	᪓᪕	᭓᭕	᮳᮵	᱃᱅	᱓᱕	꘣꘥	꣓꣕	꤃꤅	꧓꧕	꧳꧵	꩓꩕	꯳꯵	３５	𐒣𐒥	𐴳𐴵	𑁩𑁫	𑃳𑃵	𑄹𑄻	𑇓𑇕	𑋳𑋵	𑑓𑑕	𑓓𑓕	𑙓𑙕	𑛃𑛅	𑜳𑜵	𑣣𑣥	𑥓𑥕	𑱓𑱕	𑵓𑵕	𑶣𑶥	𖩣𖩥	𖫃𖫅	𖭓𖭕	𞅃𞅅	𞋳𞋵	𞥓𞥕	🯳🯵
36	36	٣٦	۳۶	߃߆	३६	৩৬	੩੬	૩૬	୩୬	௩௬	౩౬	೩೬	൩൬	෩෬	๓๖	໓໖	༣༦	၃၆	႓႖	៣៦	᠓᠖	᥉᥌	᧓᧖	᪃᪆	᪓᪖	᭓᭖	᮳᮶	᱃᱆	᱓᱖	꘣꘦	꣓꣖	꤃꤆	꧓꧖	꧳꧶	꩓꩖	꯳꯶	３６	𐒣𐒦	𐴳𐴶	𑁩𑁬	𑃳𑃶	𑄹𑄼	𑇓𑇖	𑋳𑋶	𑑓𑑖	𑓓𑓖	𑙓𑙖	𑛃𑛆	𑜳𑜶	𑣣𑣦	𑥓𑥖	𑱓𑱖	𑵓𑵖	𑶣𑶦	𖩣𖩦	𖫃𖫆	𖭓𖭖	𞅃𞅆	𞋳𞋶	𞥓𞥖	🯳🯶
37	37	٣٧	۳۷	߃߇	३७	৩৭	੩੭	૩૭	୩୭	௩௭	౩౭	೩೭	൩൭	෩෭	๓๗	໓໗	༣༧	၃၇	႓႗	៣៧	᠓᠗	᥉᥍	᧓᧗	᪃᪇	᪓᪗	᭓᭗	᮳᮷	᱃᱇	᱓᱗	꘣꘧	꣓꣗	꤃꤇	꧓꧗	꧳꧷	꩓꩗	꯳꯷	３７	𐒣𐒧	𐴳𐴷	𑁩𑁭	𑃳𑃷	𑄹𑄽	𑇓𑇗	𑋳𑋷	𑑓𑑗	𑓓𑓗	𑙓𑙗	𑛃𑛇	𑜳𑜷	𑣣𑣧	𑥓𑥗	𑱓𑱗	𑵓𑵗	𑶣𑶧	𖩣𖩧	𖫃𖫇	𖭓𖭗	𞅃𞅇	𞋳𞋷	𞥓𞥗	🯳🯷
38	38	٣٨	۳۸	߃߈	३८	৩৮	੩੮	૩૮	୩୮	௩௮	౩౮	೩೮	൩൮	෩෮	๓๘	໓໘	༣༨	၃၈	႓႘	៣៨	᠓᠘	᥉᥎	᧓᧘	᪃᪈	᪓᪘	᭓᭘	᮳᮸	᱃᱈	᱓᱘	꘣꘨	꣓꣘	꤃꤈	꧓꧘	꧳꧸	꩓꩘	꯳꯸	３８	𐒣𐒨	𐴳𐴸	𑁩𑁮	𑃳𑃸	𑄹𑄾	𑇓𑇘	𑋳𑋸	𑑓𑑘	𑓓𑓘	𑙓𑙘	𑛃𑛈	𑜳𑜸	𑣣𑣨	𑥓𑥘	𑱓𑱘	𑵓𑵘	𑶣𑶨	𖩣𖩨	𖫃𖫈	𖭓𖭘	𞅃𞅈	𞋳𞋸	𞥓𞥘	🯳🯸
39	39	٣٩	۳۹	߃߉	३९	৩৯	੩੯	૩૯	୩୯	௩௯	౩౯	೩೯	൩൯	෩෯	๓๙	໓໙	༣༩	၃၉	႓႙	៣៩	᠓᠙	᥉᥏	᧓᧙	᪃᪉	᪓᪙	᭓᭙	᮳᮹	᱃᱉	᱓᱙	꘣꘩	꣓꣙	꤃꤉	꧓꧙	꧳꧹	꩓꩙	꯳꯹	３９	𐒣𐒩	𐴳𐴹	𑁩𑁯	𑃳𑃹	𑄹𑄿	𑇓𑇙	𑋳𑋹	𑑓𑑙	𑓓𑓙	𑙓𑙙	𑛃𑛉	𑜳𑜹	𑣣𑣩	𑥓𑥙	𑱓𑱙	𑵓𑵙	𑶣𑶩	𖩣𖩩	𖫃𖫉	𖭓𖭙	𞅃𞅉	𞋳𞋹	𞥓𞥙	🯳🯹
40	40	٤٠	۴۰	߄߀	४०	৪০	੪੦	૪૦	୪୦	௪௦	౪౦	೪೦	൪൦	෪෦	๔๐	໔໐	༤༠	၄၀	႔႐	៤០	᠔᠐	᥊᥆	᧔᧐	᪄᪀	᪔᪐	᭔᭐	᮴᮰	᱄᱀	᱔᱐	꘤꘠	꣔꣐	꤄꤀	꧔꧐	꧴꧰	꩔꩐	꯴꯰	４０	𐒤𐒠	𐴴𐴰	𑁪𑁦	𑃴𑃰	𑄺𑄶	𑇔𑇐	𑋴𑋰	𑑔𑑐	𑓔𑓐	𑙔𑙐	𑛄𑛀	𑜴𑜰	𑣤𑣠	𑥔𑥐	𑱔𑱐	𑵔𑵐	𑶤𑶠	𖩤𖩠	𖫄𖫀	𖭔𖭐	𞅄𞅀	𞋴𞋰	𞥔𞥐	🯴🯰
41	41	٤١	۴۱	߄߁	४१	৪১	੪੧	૪૧	୪୧	௪௧	౪౧	೪೧	൪൧	෪෧	๔๑	໔໑	༤༡	၄၁	႔႑	៤១	᠔᠑	᥊᥇	᧔᧑	᪄᪁	᪔᪑	᭔᭑	᮴᮱	᱄᱁	᱔᱑	꘤꘡	꣔꣑	꤄꤁	꧔꧑	꧴꧱	꩔꩑	꯴꯱	４１	𐒤𐒡	𐴴𐴱	𑁪𑁧	𑃴𑃱	𑄺𑄷	𑇔𑇑	𑋴𑋱	𑑔𑑑	𑓔𑓑	𑙔𑙑	𑛄𑛁	𑜴𑜱	𑣤𑣡	𑥔𑥑	𑱔𑱑	𑵔𑵑	𑶤𑶡	𖩤𖩡	𖫄𖫁	𖭔𖭑	𞅄𞅁	𞋴𞋱	𞥔𞥑	🯴🯱
42	42	٤٢	۴۲	߄߂	४२	৪২	੪੨	૪૨	୪୨	௪௨	౪౨	೪೨	൪൨	෪෨	๔๒	໔໒	༤༢	၄၂	႔႒	៤២	᠔᠒	᥊᥈	᧔᧒	᪄᪂	᪔᪒	᭔᭒	᮴᮲	᱄᱂	᱔᱒	꘤꘢	꣔꣒	꤄꤂	꧔꧒	꧴꧲	꩔꩒	꯴꯲	４２	𐒤𐒢	𐴴𐴲	𑁪𑁨	𑃴𑃲	𑄺𑄸	𑇔𑇒	𑋴𑋲	𑑔𑑒	𑓔𑓒	𑙔𑙒	𑛄𑛂	𑜴𑜲	𑣤𑣢	𑥔𑥒	𑱔𑱒	𑵔𑵒	𑶤𑶢	𖩤𖩢	𖫄𖫂	𖭔𖭒	𞅄𞅂	𞋴𞋲	𞥔𞥒	🯴🯲
43	43	٤٣	۴۳	߄߃	४३	৪৩	੪੩	૪૩	୪୩	௪௩	౪౩	೪೩	൪൩	෪෩	๔๓	໔໓	༤༣	၄၃	႔႓	៤៣	᠔᠓	᥊᥉	᧔᧓	᪄᪃	᪔᪓	᭔᭓	᮴᮳	᱄᱃	᱔᱓	꘤꘣	꣔꣓	꤄꤃	꧔꧓	꧴꧳	꩔꩓	꯴꯳	４３	𐒤𐒣	𐴴𐴳	𑁪𑁩	𑃴𑃳	𑄺𑄹	𑇔𑇓	𑋴𑋳	𑑔𑑓	𑓔𑓓	𑙔𑙓	𑛄𑛃	𑜴𑜳	𑣤𑣣	𑥔𑥓	𑱔𑱓	𑵔𑵓	𑶤𑶣	𖩤𖩣	𖫄𖫃	𖭔𖭓	𞅄𞅃	𞋴𞋳	𞥔𞥓	🯴🯳
44	44	٤٤	۴۴	߄߄	४४	৪৪	੪੪	૪૪	୪୪	௪௪	౪౪	೪೪	൪൪	෪෪	๔๔	໔໔	༤༤	၄၄	႔႔	៤៤	᠔᠔	᥊᥊	᧔᧔	᪄᪄	᪔᪔	᭔᭔	᮴᮴	᱄᱄	᱔᱔	꘤꘤	꣔꣔	꤄꤄	꧔꧔	꧴꧴	꩔꩔	꯴꯴	４４	𐒤𐒤	𐴴𐴴	𑁪𑁪	𑃴𑃴	𑄺𑄺	𑇔𑇔	𑋴𑋴	𑑔𑑔	𑓔𑓔	𑙔𑙔	𑛄𑛄	𑜴𑜴	𑣤𑣤	𑥔𑥔	𑱔𑱔	𑵔𑵔	𑶤𑶤	𖩤𖩤	𖫄𖫄	𖭔𖭔	𞅄𞅄	𞋴𞋴	𞥔𞥔	🯴🯴
45	45	٤٥	۴۵	߄߅	४५	৪৫	੪੫	૪૫	୪୫	௪௫	౪౫	೪೫	൪൫	෪෫	๔๕	໔໕	༤༥	၄၅	႔႕	៤៥	᠔᠕	᥊᥋	᧔᧕	᪄᪅	᪔᪕	᭔᭕	᮴᮵	᱄᱅	᱔᱕	꘤꘥	꣔꣕	꤄꤅	꧔꧕	꧴꧵	꩔꩕	꯴꯵	４５	𐒤𐒥	𐴴𐴵	𑁪𑁫	𑃴𑃵	𑄺𑄻	𑇔𑇕	𑋴𑋵	𑑔𑑕	𑓔𑓕	𑙔𑙕	𑛄𑛅	𑜴𑜵	𑣤𑣥	𑥔𑥕	𑱔𑱕	𑵔𑵕	𑶤𑶥	𖩤𖩥	𖫄𖫅	𖭔𖭕	𞅄𞅅	𞋴𞋵	𞥔𞥕	🯴🯵
46	46	٤٦	۴۶	߄߆	४६	৪৬	੪੬	૪૬	୪୬	௪௬	౪౬	೪೬	൪൬	෪෬	๔๖	໔໖	༤༦	၄၆	႔႖	៤៦	᠔᠖	᥊᥌	᧔᧖	᪄᪆	᪔᪖	᭔᭖	᮴᮶	᱄᱆	᱔᱖	꘤꘦	꣔꣖	꤄꤆	꧔꧖	꧴꧶	꩔꩖	꯴꯶	４６	𐒤𐒦	𐴴𐴶	𑁪𑁬	𑃴𑃶	𑄺𑄼	𑇔𑇖	𑋴𑋶	𑑔𑑖	𑓔𑓖	𑙔𑙖	𑛄𑛆	𑜴𑜶	𑣤𑣦	𑥔𑥖	𑱔𑱖	𑵔𑵖	𑶤𑶦	𖩤𖩦	𖫄𖫆	𖭔𖭖	𞅄𞅆	𞋴𞋶	𞥔𞥖	🯴🯶
47	47	٤٧	۴۷	߄߇	४७	৪৭	੪੭	૪૭	୪୭	௪௭	౪౭	೪೭	൪൭	෪෭	๔๗	໔໗	༤༧	၄၇	႔႗	៤៧	᠔᠗	᥊᥍	᧔᧗	᪄᪇	᪔᪗	᭔᭗	᮴᮷	᱄᱇	᱔᱗	꘤꘧	꣔꣗	꤄꤇	꧔꧗	꧴꧷	꩔꩗	꯴꯷	４７	𐒤𐒧	𐴴𐴷	𑁪𑁭	𑃴𑃷	𑄺𑄽	𑇔𑇗	𑋴𑋷	𑑔𑑗	𑓔𑓗	𑙔𑙗	𑛄𑛇	𑜴𑜷	𑣤𑣧	𑥔𑥗	𑱔𑱗	𑵔𑵗	𑶤𑶧	𖩤𖩧	𖫄𖫇	𖭔𖭗	𞅄𞅇	𞋴𞋷	𞥔𞥗	🯴🯷
48	48	٤٨	۴۸	߄߈	४८	৪৮	੪੮	૪૮	୪୮	௪௮	౪౮	೪೮	൪൮	෪෮	๔๘	໔໘	༤༨	၄၈	႔႘	៤៨	᠔᠘	᥊᥎	᧔᧘	᪄᪈	᪔᪘	᭔᭘	᮴᮸	᱄᱈	᱔᱘	꘤꘨	꣔꣘	꤄꤈	꧔꧘	꧴꧸	꩔꩘	꯴꯸	４８	𐒤𐒨	𐴴𐴸	𑁪𑁮	𑃴𑃸	𑄺𑄾	𑇔𑇘	𑋴𑋸	𑑔𑑘	𑓔𑓘	𑙔𑙘	𑛄𑛈	𑜴𑜸	𑣤𑣨	𑥔𑥘	𑱔𑱘	𑵔𑵘	𑶤𑶨	𖩤𖩨	𖫄𖫈	𖭔𖭘	𞅄𞅈	𞋴𞋸	𞥔𞥘	🯴🯸
49	49	٤٩	۴۹	߄߉	४९	৪৯	੪੯	૪૯	୪୯	௪௯	౪౯	೪೯	൪൯	෪෯	๔๙	໔໙	༤༩	၄၉	႔႙	៤៩	᠔᠙	᥊᥏	᧔᧙	᪄᪉	᪔᪙	᭔᭙	᮴᮹	᱄᱉	᱔᱙	꘤꘩	꣔꣙	꤄꤉	꧔꧙	꧴꧹	꩔꩙	꯴꯹	４９	𐒤𐒩	𐴴𐴹	𑁪𑁯	𑃴𑃹	𑄺𑄿	𑇔𑇙	𑋴𑋹	𑑔𑑙	𑓔𑓙	𑙔𑙙	𑛄𑛉	𑜴𑜹	𑣤𑣩	𑥔𑥙	𑱔𑱙	𑵔𑵙	𑶤𑶩	𖩤𖩩	𖫄𖫉	𖭔𖭙	𞅄𞅉	𞋴𞋹	𞥔𞥙	🯴🯹
50	50	٥٠	۵۰	߅߀	५०	৫০	੫੦	૫૦	୫୦	௫௦	౫౦	೫೦	൫൦	෫෦	๕๐	໕໐	༥༠	၅၀	႕႐	៥០	᠕᠐	᥋᥆	᧕᧐	᪅᪀	᪕᪐	᭕᭐	᮵᮰	᱅᱀	᱕᱐	꘥꘠	꣕꣐	꤅꤀	꧕꧐	꧵꧰	꩕꩐	꯵꯰	５０	𐒥𐒠	𐴵𐴰	𑁫𑁦	𑃵𑃰	𑄻𑄶	𑇕𑇐	𑋵𑋰	𑑕𑑐	𑓕𑓐	𑙕𑙐	𑛅𑛀	𑜵𑜰	𑣥𑣠	𑥕𑥐	𑱕𑱐	𑵕𑵐	𑶥𑶠	𖩥𖩠	𖫅𖫀	𖭕𖭐	𞅅𞅀	𞋵𞋰	𞥕𞥐	🯵🯰
51	51	٥١	۵۱	߅߁	५१	৫১	੫੧	૫૧	୫୧	௫௧	౫౧	೫೧	൫൧	෫෧	๕๑	໕໑	༥༡	၅၁	႕႑	៥១	᠕᠑	᥋᥇	᧕᧑	᪅᪁	᪕᪑	᭕᭑	᮵᮱	᱅᱁	᱕᱑	꘥꘡	꣕꣑	꤅꤁	꧕꧑	꧵꧱	꩕꩑	꯵꯱	５１	𐒥𐒡	𐴵𐴱	𑁫𑁧	𑃵𑃱	𑄻𑄷	𑇕𑇑	𑋵𑋱	𑑕𑑑	𑓕𑓑	𑙕𑙑	𑛅𑛁	𑜵𑜱	𑣥𑣡	𑥕𑥑	𑱕𑱑	𑵕𑵑	𑶥𑶡	𖩥𖩡	𖫅𖫁	𖭕𖭑	𞅅𞅁	𞋵𞋱	𞥕𞥑	🯵🯱
52	52	٥٢	۵۲	߅߂	५२	৫২	੫੨	૫૨	୫୨	௫௨	౫౨	೫೨	൫൨	෫෨	๕๒	໕໒	༥༢	၅၂	႕႒	៥២	᠕᠒	᥋᥈	᧕᧒	᪅᪂	᪕᪒	᭕᭒	᮵᮲	᱅᱂	᱕᱒	꘥꘢	꣕꣒	꤅꤂	꧕꧒	꧵꧲	꩕꩒	꯵꯲	５２	𐒥𐒢	𐴵𐴲	𑁫𑁨	𑃵𑃲	𑄻𑄸	𑇕𑇒	𑋵𑋲	𑑕𑑒	𑓕𑓒	𑙕𑙒	𑛅𑛂	𑜵𑜲	𑣥𑣢	𑥕𑥒	𑱕𑱒	𑵕𑵒	𑶥𑶢	𖩥𖩢	𖫅𖫂	𖭕𖭒	𞅅𞅂	𞋵𞋲	𞥕𞥒	🯵🯲
53	53	٥٣	۵۳	߅߃	५३	৫৩	੫੩	૫૩	୫୩	௫௩	౫౩	೫೩	൫൩	෫෩	๕๓	໕໓	༥༣	၅၃	႕႓	៥៣	᠕᠓	᥋᥉	᧕᧓	᪅᪃	᪕᪓	᭕᭓	᮵᮳	᱅᱃	᱕᱓	꘥꘣	꣕꣓	꤅꤃	꧕꧓	꧵꧳	꩕꩓	꯵꯳	５３	𐒥𐒣	𐴵𐴳	𑁫𑁩	𑃵𑃳	𑄻𑄹	𑇕𑇓	𑋵𑋳	𑑕𑑓	𑓕𑓓	𑙕𑙓	𑛅𑛃	𑜵𑜳	𑣥𑣣	𑥕𑥓	𑱕𑱓	𑵕𑵓	𑶥𑶣	𖩥𖩣	𖫅𖫃	𖭕𖭓	𞅅𞅃	𞋵𞋳	𞥕𞥓	🯵🯳
54	54	٥٤	۵۴	߅߄	५४	৫৪	੫੪	૫૪	୫୪	௫௪	౫౪	೫೪	൫൪	෫෪	๕๔	໕໔	༥༤	၅၄	႕႔	៥៤	᠕᠔	᥋᥊	᧕᧔	᪅᪄	᪕᪔	᭕᭔	᮵᮴	᱅᱄	᱕᱔	꘥꘤	꣕꣔	꤅꤄	꧕꧔	꧵꧴	꩕꩔	꯵꯴	５４	𐒥𐒤	𐴵𐴴	𑁫𑁪	𑃵𑃴	𑄻𑄺	𑇕𑇔	𑋵𑋴	𑑕𑑔	𑓕𑓔	𑙕𑙔	𑛅𑛄	𑜵𑜴	𑣥𑣤	𑥕𑥔	𑱕𑱔	𑵕𑵔	𑶥𑶤	𖩥𖩤	𖫅𖫄	𖭕𖭔	𞅅𞅄	𞋵𞋴	𞥕𞥔	🯵🯴
55	55	٥٥	۵۵	߅߅	५५	৫৫	੫੫	૫૫	୫୫	௫௫	౫౫	೫೫	൫൫	෫෫	๕๕	໕໕	༥༥	၅၅	႕႕	៥៥	᠕᠕	᥋᥋	᧕᧕	᪅᪅	᪕᪕	᭕᭕	᮵᮵	᱅᱅	᱕᱕	꘥꘥	꣕꣕	꤅꤅	꧕꧕	꧵꧵	꩕꩕	꯵꯵	５５	𐒥𐒥	𐴵𐴵	𑁫𑁫	𑃵𑃵	𑄻𑄻	𑇕𑇕	𑋵𑋵	𑑕𑑕	𑓕𑓕	𑙕𑙕	𑛅𑛅	𑜵𑜵	𑣥𑣥	𑥕𑥕	𑱕𑱕	𑵕𑵕	𑶥𑶥	𖩥𖩥	𖫅𖫅	𖭕𖭕	𞅅𞅅	𞋵𞋵	𞥕𞥕	🯵🯵
56	56	٥٦	۵۶	߅߆	५६	৫৬	੫੬	૫૬	୫୬	௫௬	౫౬	೫೬	൫൬	෫෬	๕๖	໕໖	༥༦	၅၆	႕႖	៥៦	᠕᠖	᥋᥌	᧕᧖	᪅᪆	᪕᪖	᭕᭖	᮵᮶	᱅᱆	᱕᱖	꘥꘦	꣕꣖	꤅꤆	꧕꧖	꧵꧶	꩕꩖	꯵꯶	５６	𐒥𐒦	𐴵𐴶	𑁫𑁬	𑃵𑃶	𑄻𑄼	𑇕𑇖	𑋵𑋶	𑑕𑑖	𑓕𑓖	𑙕𑙖	𑛅𑛆	𑜵𑜶	𑣥𑣦	𑥕𑥖	𑱕𑱖	𑵕𑵖	𑶥𑶦	𖩥𖩦	𖫅𖫆	𖭕𖭖	𞅅𞅆	𞋵𞋶	𞥕𞥖	🯵🯶
57	57	٥٧	۵۷	߅߇	५७	৫৭	੫੭	૫૭	୫୭	௫௭	౫౭	೫೭	൫൭	෫෭	๕๗	໕໗	༥༧	၅၇	႕႗	៥៧	᠕᠗	᥋᥍	᧕᧗	᪅᪇	᪕᪗	᭕᭗	᮵᮷	᱅᱇	᱕᱗	꘥꘧	꣕꣗	꤅꤇	꧕꧗	꧵꧷	꩕꩗	꯵꯷	５７	𐒥𐒧	𐴵𐴷	𑁫𑁭	𑃵𑃷	𑄻𑄽	𑇕𑇗	𑋵𑋷	𑑕𑑗	𑓕𑓗	𑙕𑙗	𑛅𑛇	𑜵𑜷	𑣥𑣧	𑥕𑥗	𑱕𑱗	𑵕𑵗	𑶥𑶧	𖩥𖩧	𖫅𖫇	𖭕𖭗	𞅅𞅇	𞋵𞋷	𞥕𞥗	🯵🯷
58	58	٥٨	۵۸	߅߈	५८	৫৮	੫੮	૫૮	୫୮	௫௮	౫౮	೫೮	൫൮	෫෮	๕๘	໕໘	༥༨	၅၈	႕႘	៥៨	᠕᠘	᥋᥎	᧕᧘	᪅᪈	᪕᪘	᭕᭘	᮵᮸	᱅᱈	᱕᱘	꘥꘨	꣕꣘	꤅꤈	꧕꧘	꧵꧸	꩕꩘	꯵꯸	５８	𐒥𐒨	𐴵𐴸	𑁫𑁮	𑃵𑃸	𑄻𑄾	𑇕𑇘	𑋵𑋸	𑑕𑑘	𑓕𑓘	𑙕𑙘	𑛅𑛈	𑜵𑜸	𑣥𑣨	𑥕𑥘	𑱕𑱘	𑵕𑵘	𑶥𑶨	𖩥𖩨	𖫅𖫈	𖭕𖭘	𞅅𞅈	𞋵𞋸	𞥕𞥘	🯵🯸
59	59	٥٩	۵۹	߅߉	५९	৫৯	੫੯	૫૯	୫୯	௫௯	౫౯	೫೯	൫൯	෫෯	๕๙	໕໙	༥༩	၅၉	႕႙	៥៩	᠕᠙	᥋᥏	᧕᧙	᪅᪉	᪕᪙	᭕᭙	᮵᮹	᱅᱉	᱕᱙	꘥꘩	꣕꣙	꤅꤉	꧕꧙	꧵꧹	꩕꩙	꯵꯹	５９	𐒥𐒩	𐴵𐴹	𑁫𑁯	𑃵𑃹	𑄻𑄿	𑇕𑇙	𑋵𑋹	𑑕𑑙	𑓕𑓙	𑙕𑙙	𑛅𑛉	𑜵𑜹	𑣥𑣩	𑥕𑥙	𑱕𑱙	𑵕𑵙	𑶥𑶩	𖩥𖩩	𖫅𖫉	𖭕𖭙	𞅅𞅉	𞋵𞋹	𞥕𞥙	🯵🯹
60	60	٦٠	۶۰	߆߀	६०	৬০	੬੦	૬૦	୬୦	௬௦	౬౦	೬೦	൬൦	෬෦	๖๐	໖໐	༦༠	၆၀	႖႐	៦០	᠖᠐	᥌᥆	᧖᧐	᪆᪀	᪖᪐	᭖᭐	᮶᮰	᱆᱀	᱖᱐	꘦꘠	꣖꣐	꤆꤀	꧖꧐	꧶꧰	꩖꩐	꯶꯰	６０	𐒦𐒠	𐴶𐴰	𑁬𑁦	𑃶𑃰	𑄼𑄶	𑇖𑇐	𑋶𑋰	𑑖𑑐	𑓖𑓐	𑙖𑙐	𑛆𑛀	𑜶𑜰	𑣦𑣠	𑥖𑥐	𑱖𑱐	𑵖𑵐	𑶦𑶠	𖩦𖩠	𖫆𖫀	𖭖𖭐	𞅆𞅀	𞋶𞋰	𞥖𞥐	🯶🯰
61	61	٦١	۶۱	߆߁	६१	৬১	੬੧	૬૧	୬୧	௬௧	౬౧	೬೧	൬൧	෬෧	๖๑	໖໑	༦༡	၆၁	႖႑	៦១	᠖᠑	᥌᥇	᧖᧑	᪆᪁	᪖᪑	᭖᭑	᮶᮱	᱆᱁	᱖᱑	꘦꘡	꣖꣑	꤆꤁	꧖꧑	꧶꧱	꩖꩑	꯶꯱	６１	𐒦𐒡	𐴶𐴱	𑁬𑁧	𑃶𑃱	𑄼𑄷	𑇖𑇑	𑋶𑋱	𑑖𑑑	𑓖𑓑	𑙖𑙑	𑛆𑛁	𑜶𑜱	𑣦𑣡	𑥖𑥑	𑱖𑱑	𑵖𑵑	𑶦𑶡	𖩦𖩡	𖫆𖫁	𖭖𖭑	𞅆𞅁	𞋶𞋱	𞥖𞥑	🯶🯱
62	62	٦٢	۶۲	߆߂	६२	৬২	੬੨	૬૨	୬୨	௬௨	౬౨	೬೨	൬൨	෬෨	๖๒	໖໒	༦༢	၆၂	႖႒	៦២	᠖᠒	᥌᥈	᧖᧒	᪆᪂	᪖᪒	᭖᭒	᮶᮲	᱆᱂	᱖᱒	꘦꘢	꣖꣒	꤆꤂	꧖꧒	꧶꧲	꩖꩒	꯶꯲	６２	𐒦𐒢	𐴶𐴲	𑁬𑁨	𑃶𑃲	𑄼𑄸	𑇖𑇒	𑋶𑋲	𑑖𑑒	𑓖𑓒	𑙖𑙒	𑛆𑛂	𑜶𑜲	𑣦𑣢	𑥖𑥒	𑱖𑱒	𑵖𑵒	𑶦𑶢	𖩦𖩢	𖫆𖫂	𖭖𖭒	𞅆𞅂	𞋶𞋲	𞥖𞥒	🯶🯲
63	63	٦٣	۶۳	߆߃	६३	৬৩	੬੩	૬૩	୬୩	௬௩	౬౩	೬೩	൬൩	෬෩	๖๓	໖໓	༦༣	၆၃	႖႓	៦៣	᠖᠓	᥌᥉	᧖᧓	᪆᪃	᪖᪓	᭖᭓	᮶᮳	᱆᱃	᱖᱓	꘦꘣	꣖꣓	꤆꤃	꧖꧓	꧶꧳	꩖꩓	꯶꯳	６３	𐒦𐒣	𐴶𐴳	𑁬𑁩	𑃶𑃳	𑄼𑄹	𑇖𑇓	𑋶𑋳	𑑖𑑓	𑓖𑓓	𑙖𑙓	𑛆𑛃	𑜶𑜳	𑣦𑣣	𑥖𑥓	𑱖𑱓	𑵖𑵓	𑶦𑶣	𖩦𖩣	𖫆𖫃	𖭖𖭓	𞅆𞅃	𞋶𞋳	𞥖𞥓	🯶🯳
