#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+code+v_pcode,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+rem+i_qcc+is_zxxx+ix_ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:50:3:201931,201931,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201931,Chauddagram,BD201931,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201933,201933,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201933,Comilla Sadar Dakshin,BD201933,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201936,201936,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201936,Daudkandi,BD201936,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201940,201940,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201940,Debidwar,BD201940,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201954,201954,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201954,Homna,BD201954,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201967,201967,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201967,Comilla Adarsha Sadar,BD201967,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201972,201972,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201972,Laksam,BD201972,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201974,201974,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201974,Manoharganj,BD201974,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201975,201975,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201975,Meghna,BD201975,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201981,201981,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201981,Muradnagar,BD201981,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201987,201987,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201987,Nangalkot,BD201987,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:201994,201994,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2019,1603:45:16:50:3:201994,Titas,BD201994,,,,Comilla,BD2019,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:202216,202216,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2022,1603:45:16:50:3:202216,Chakaria,BD202216,,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:202224,202224,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2022,1603:45:16:50:3:202224,Cox's Bazar Sadar,BD202224,Coxs Bazar Sadar,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:202245,202245,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2022,1603:45:16:50:3:202245,Kutubdia,BD202245,,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:202249,202249,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2022,1603:45:16:50:3:202249,Maheshkhali,BD202249,,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:202256,202256,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2022,1603:45:16:50:3:202256,Pekua,BD202256,,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:202266,202266,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2022,1603:45:16:50:3:202266,Ramu,BD202266,,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:202290,202290,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2022,1603:45:16:50:3:202290,Teknaf,BD202290,,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:202294,202294,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2022,1603:45:16:50:3:202294,Ukhia,BD202294,,,,Cox's Bazar,BD2022,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:203014,203014,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2030,1603:45:16:50:3:203014,Chhagalnaiya,BD203014,,,,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:203025,203025,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2030,1603:45:16:50:3:203025,Daganbhuiyan,BD203025,,,,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:203029,203029,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2030,1603:45:16:50:3:203029,Feni Sadar,BD203029,,,,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:203041,203041,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2030,1603:45:16:50:3:203041,Fulgazi,BD203041,,,,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:203051,203051,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2030,1603:45:16:50:3:203051,Parshuram,BD203051,,,,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:203094,203094,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2030,1603:45:16:50:3:203094,Sonagazi,BD203094,,,,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:204643,204643,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2046,1603:45:16:50:3:204643,Dighinala,BD204643,,,,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:204649,204649,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2046,1603:45:16:50:3:204649,Khagrachhari Sadar,BD204649,,,,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:204661,204661,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2046,1603:45:16:50:3:204661,Lakshmichhari,BD204661,,,,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:204665,204665,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2046,1603:45:16:50:3:204665,Mahalchhari,BD204665,,,,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:204667,204667,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2046,1603:45:16:50:3:204667,Manikchhari,BD204667,,,,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:204670,204670,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2046,1603:45:16:50:3:204670,Matiranga,BD204670,,,,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:204677,204677,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2046,1603:45:16:50:3:204677,Panchhari,BD204677,,,,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:204680,204680,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2046,1603:45:16:50:3:204680,Ramgarh,BD204680,,,,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:205133,205133,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2051,1603:45:16:50:3:205133,Kamalnagar,BD205133,,,,Lakshmipur,BD2051,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:205143,205143,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2051,1603:45:16:50:3:205143,Lakshmipur Sadar,BD205143,,,,Lakshmipur,BD2051,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:205158,205158,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2051,1603:45:16:50:3:205158,Roypur,BD205158,,,,Lakshmipur,BD2051,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:205165,205165,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2051,1603:45:16:50:3:205165,Ramganj,BD205165,,,,Lakshmipur,BD2051,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:205173,205173,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2051,1603:45:16:50:3:205173,Ramgati,BD205173,,,,Lakshmipur,BD2051,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:207507,207507,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,1603:45:16:50:3:207507,Begumganj,BD207507,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:207510,207510,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,1603:45:16:50:3:207510,Chatkhil,BD207510,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:207521,207521,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,1603:45:16:50:3:207521,Companiganj,BD207521,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:207536,207536,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,1603:45:16:50:3:207536,Hatiya,BD207536,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:207547,207547,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,1603:45:16:50:3:207547,Kabirhat,BD207547,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:207580,207580,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,1603:45:16:50:3:207580,Senbagh,BD207580,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:207583,207583,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,1603:45:16:50:3:207583,Sonaimuri,BD207583,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:207585,207585,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,1603:45:16:50:3:207585,Subarnachar,BD207585,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:207587,207587,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2075,1603:45:16:50:3:207587,Noakhali Sadar (Sudharam),BD207587,,,,Noakhali,BD2075,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208407,208407,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208407,Baghai Chhari,BD208407,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208421,208421,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208421,Barkal,BD208421,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208425,208425,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208425,Kawkhali (Betbunia),BD208425,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208429,208429,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208429,Belai Chhari,BD208429,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208436,208436,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208436,Kaptai,BD208436,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208447,208447,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208447,Jurai Chhari,BD208447,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208458,208458,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208458,Langadu,BD208458,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208475,208475,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208475,Naniarchar,BD208475,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208478,208478,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208478,Rajasthali,BD208478,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:208487,208487,1603:45:16:50:0,1603:45:16:50:1:20,1603:45:16:50:2:2084,1603:45:16:50:3:208487,Rangamati Sadar,BD208487,,,,Rangamati,BD2084,Chittagong,BD20,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302602,302602,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302602,Adabor,BD302602,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302604,302604,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302604,Badda,BD302604,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302605,302605,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302605,Bangshal,BD302605,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302606,302606,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302606,Biman Bandar,BD302606,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302608,302608,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302608,Cantonment,BD302608,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302609,302609,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302609,Chak Bazar,BD302609,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302610,302610,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302610,Dakshinkhan,BD302610,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302611,302611,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302611,Darus Salam,BD302611,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302612,302612,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302612,Demra,BD302612,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302614,302614,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302614,Dhamrai,BD302614,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302616,302616,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302616,Dhanmondi,BD302616,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302618,302618,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302618,Dohar,BD302618,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302624,302624,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302624,Gendaria,BD302624,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302626,302626,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302626,Gulshan,BD302626,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302628,302628,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302628,Hazaribagh,BD302628,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302629,302629,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302629,Jatrabari,BD302629,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302630,302630,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302630,Kafrul,BD302630,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302632,302632,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302632,Kadamtali,BD302632,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302633,302633,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302633,Kalabagan,BD302633,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302634,302634,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302634,Kamrangir Char,BD302634,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302636,302636,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302636,Khilgaon,BD302636,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302637,302637,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302637,Khilkhet,BD302637,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302638,302638,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302638,Keraniganj,BD302638,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302640,302640,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302640,Kotwali,BD302640,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302642,302642,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302642,Lalbagh,BD302642,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302648,302648,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302648,Mirpur,BD302648,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302650,302650,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302650,Mohammadpur,BD302650,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302654,302654,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302654,Motijheel,BD302654,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302662,302662,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302662,Nawabganj,BD302662,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302663,302663,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302663,New Market,BD302663,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302664,302664,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302664,Pallabi,BD302664,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302665,302665,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302665,Paltan,BD302665,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302666,302666,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302666,Ramna,BD302666,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302667,302667,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302667,Rampura,BD302667,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302668,302668,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302668,Sabujbagh,BD302668,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302672,302672,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302672,Savar,BD302672,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302674,302674,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302674,Shah Ali,BD302674,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302675,302675,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302675,Shahbagh,BD302675,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302676,302676,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302676,Shyampur,BD302676,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302680,302680,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302680,Sher-e-bangla Nagar,BD302680,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302688,302688,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302688,Sutrapur,BD302688,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
1603:45:16:50:3:302690,302690,1603:45:16:50:0,1603:45:16:50:1:30,1603:45:16:50:2:3026,1603:45:16:50:3:302690,Tejgaon,BD302690,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2018-04-25,2020-12-18,
