#adm2+name+i_eng+is_latn,#adm2+name+i_rus+is_cyrl,#adm2+name+i_kir+is_zyyy,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_rus+is_cyrl,#adm2+name+alt2+i_rus+is_cyrl,#adm2+name+alt1+i_kir+is_zyyy,#adm2+name+alt2+i_kir+is_zyyy,#adm1+name+i_eng+is_latn,#adm1+name+i_rus+is_cyrl,#adm1+name+i_kir+is_zyyy,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_rus+is_cyrl,#country+name+i_kir+is_zyyy,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end,#meta+admin2+type_en,#meta+admin2+type_ru,#meta+admin2+type_ky
Chon-Alai,Чон-Алайский,Чоӊ-Алай,KG06259000000,,,,,,,,Osh,Ошская,Ош,KG06000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Kara-Buura,Кара-Бууринский,Кара-Буура,KG07215000000,,,,,,,,Talas,Таласская,Талас,KG07000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Bakai-Ata,Бакай-Атинский,Бакай-Ата,KG07220000000,,,,,,,,Talas,Таласская,Талас,KG07000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Manas,Манасский,Манас,KG07225000000,,,,,,,,Talas,Таласская,Талас,KG07000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Talas,Таласский,Талас,KG07232000000,,,,,,,,Talas,Таласская,Талас,KG07000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Talas (city),г.Талас,Талас ш.,KG07400000010,,,,,,,,Talas,Таласская,Талас,KG07000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,города областного значения,шаар
Alamudun,Аламудунский,Аламүдүн,KG08203000000,,,,,,,,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Ysyk-Ata,Ысык-Атинский,Ысык-Ата,KG08206000000,,,,,,,,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Jaiyl,Жайылский,Жайыл,KG08209000000,,,,,,,,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Kemin,Кеминский,Кемин,KG08213000000,,,,,,,,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Moscow,Московский,Москва,KG08217000000,,,,,,,,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Panfilov,Панфиловский,Панфилов,KG08219000000,,,,,,,,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Sokuluk,Сокулукский,Сокулук,KG08222000000,,,,,,,,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Chui,Чуйский,Чүй,KG08223000000,,,,,,,,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,district,район,району 
Tokmok (city),г.Токмок,Токмок ш.,KG08400000010,,,,,,,,Chui,Чуйская,Чүй,KG08000000000,Kyrgyzstan,Кыргызская Республика,Кыргыз Республикасы,KG,2018-08-28,2018-11-19,,independent city,города областного значения,шаар
