#adm3+name+i_eng+is_latn,#adm3+name+i_sin+is_sinh,#adm3+name+i_tam+is_taml,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm3+name+alt1+i_sin+is_sinh,#adm3+name+alt2+i_sin+is_sinh,#adm3+name+alt1+i_tam+is_taml,#adm3+name+alt2+i_tam+is_taml,#adm2+name+i_eng+is_latn,#adm2+name+i_sin+is_sinh,#adm2+name+i_tam+is_taml,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+name+i_sin+is_sinh,#adm1+name+i_tam+is_taml,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_sin+is_sinh,#country+name+i_tam+is_taml,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bulathsinhala,බුලත්සිංහල,புலத்சிங்கள,LK1312,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Madurawala,මදුරාවෙල,மதுராவெலை,LK1315,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Millaniya,මිල්ලනිය,மில்லனிய,LK1318,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Kalutara,කඵතර,களுத்துறை,LK1321,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Beruwala,බේරුවල,பேருவளை,LK1324,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Dodangoda,දොඩංගොඩ,தொடாங்கொடை,LK1327,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Matugama,මතුගම,மதுகமை,LK1330,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Agalawatta,අගලවත්ත,அகலவத்தை,LK1333,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Palindanuwara,පාලින්දනුවර,பாலிந்தநுவரை,LK1336,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Walallawita,වලල්ලාවිට,வலல்லாவிட்டை,LK1339,,,,,,,,Kalutara,කඵතර දිස්ත්‍රික්කය,களுத்துறை மாவட்டம்,LK13,Western,බස්නාහිර පළාත,மேல் மாகாணம் ,LK1,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Tumpane,තුම්පනේ,தும்பனை,LK2103,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Poojapitiya,පූජාපිටිය,பூஜாப்பிட்டிய,LK2106,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Akurana,අකුරණ,அக்குரணை,LK2109,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Pathadumbara,පාතදුම්බර,பாத்ததும்பறை,LK2112,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Panvila,පන්විල,பன்விலை,LK2115,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Ududumbara,උඩදුම්බර,உடதும்பறை,LK2118,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Minipe,මිනිපේ,மினிப்பே,LK2121,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Medadumbara,මැදදුම්බර,மெடதும்பறை,LK2124,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
Kundasale,කුන්ඩසාලේ,குண்டசாலை,LK2127,,,,,,,,Kandy,මහනුවර දිස්ත්‍රික්කය,கண்டி மாவட்டம்,LK21,Central,මධ්‍යම පළාත,மத்திய மாகாணம்,LK2,Sri Lanka,ශ්‍රී ලංකා,இலங்கை,LK,2019-04-09,2020-03-20,
