#adm3+name+i_fra+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Bama,BF530101,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Bobo-Dioulasso,BF530102,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Dandé,BF530103,Dande,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Faramana,BF530104,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Fo,BF530105,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Karangasso-Sambla,BF530106,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Karangasso-Vigué,BF530107,Karangasso-Vigue,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Koundougou,BF530108,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Lèna,BF530109,Lena,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Padéma,BF530110,Padema,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Péni,BF530111,Peni,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Satiri,BF530112,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Toussiana,BF530113,,,,Houet,BF5301,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Banzon,BF530201,,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Djigouèra,BF530202,Djigouera,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Kangala,BF530203,,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Kayan,BF530204,,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Kôlôkô,BF530205,Koloko,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Kourinion,BF530206,,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Kourouma,BF530207,,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Morlaba,BF530208,,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Ndôrôla,BF530209,Ndorola,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Orodara,BF530210,,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Samôgôyiri,BF530211,Samogoyiri,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Samôgôgouan,BF530212,Samogogouan,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Sindo,BF530213,,,,Kénédougou,BF5302,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Békui,BF530301,Bekui,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Béréba,BF530302,Bereba,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Boni,BF530303,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Founzan,BF530304,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Houndé,BF530305,Hounde,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Koti,BF530306,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Koumbia,BF530307,,,,Tuy,BF5303,Hauts-Bassins,BF53,Burkina Faso,BF,2020-03-18,2020-03-23,
Bahn,BF540101,,,,Loroum,BF5401,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Ouindigui,BF540102,,,,Loroum,BF5401,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Sollé,BF540103,Solle,,,Loroum,BF5401,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Titao,BF540104,,,,Loroum,BF5401,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Arbollé,BF540201,Arbolle,,,Passoré,BF5402,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Bagaré,BF540202,Bagare,,,Passoré,BF5402,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Boken,BF540204,,,,Passoré,BF5402,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Gomponsom,BF540205,,,,Passoré,BF5402,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Kirsi,BF540206,,,,Passoré,BF5402,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
La-Toden,BF540207,,,,Passoré,BF5402,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Pilimpikou,BF540208,,,,Passoré,BF5402,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Samba,BF540209,,,,Passoré,BF5402,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Yako,BF540210,,,,Passoré,BF5402,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Barga,BF540301,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Kaïn,BF540302,Kain,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Kalsaka,BF540303,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Kossouka,BF540304,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Koumbri,BF540305,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Namissiguima,BF540306,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Ouahigouya,BF540307,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Oula,BF540308,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Rambo,BF540309,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Senguènèga,BF540310,Senguenega,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Tangaye,BF540311,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Thiou,BF540312,,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Zogoré,BF540313,Zogore,,,Yatenga,BF5403,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Bassi,BF540401,,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Boussou,BF540402,,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Goursi,BF540403,,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Lèba,BF540404,Leba,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Tougo,BF540405,,,,Zondoma,BF5404,Nord,BF54,Burkina Faso,BF,2020-03-18,2020-03-23,
Boudri,BF550101,,,,Ganzourgou,BF5501,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Kogho,BF550102,,,,Ganzourgou,BF5501,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Mégué,BF550103,Megue,,,Ganzourgou,BF5501,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Môgtédo,BF550104,Mogtedo,,,Ganzourgou,BF5501,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Saolgo,BF550105,,,,Ganzourgou,BF5501,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Zam,BF550106,,,,Ganzourgou,BF5501,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Zôrgho,BF550107,Zorgho,,,Ganzourgou,BF5501,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Zoungou,BF550108,,,,Ganzourgou,BF5501,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Boussé,BF550201,Bousse,,,Kourwéogo,BF5502,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Laye,BF550202,,,,Kourwéogo,BF5502,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Niou,BF550203,,,,Kourwéogo,BF5502,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Sourgoubila,BF550204,,,,Kourwéogo,BF5502,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Toèguen,BF550205,Toeguen,,,Kourwéogo,BF5502,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Ambsouya,BF550301,,,,Oubritenga,BF5503,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Dapeolgo,BF550302,,,,Oubritenga,BF5503,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Loumbila,BF550303,,,,Oubritenga,BF5503,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Nagréongo,BF550304,Nagreongo,,,Oubritenga,BF5503,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Ourgou-Manéga,BF550305,Ourgou-Manega,,,Oubritenga,BF5503,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Ziniaré,BF550306,Ziniare,,,Oubritenga,BF5503,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Zitenga,BF550307,,,,Oubritenga,BF5503,Plateau-Central,BF55,Burkina Faso,BF,2020-03-18,2020-03-23,
Déou,BF560101,Deou,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Gorom-Gorom,BF560102,,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Markoye,BF560103,,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Oursi,BF560104,,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Tin-Akoff,BF560105,,,,Oudalan,BF5601,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Bani,BF560201,,,,Séno,BF5602,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Dori,BF560202,,,,Séno,BF5602,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Falagountou,BF560203,,,,Séno,BF5602,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Gorgadji,BF560204,,,,Séno,BF5602,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Sampelga,BF560205,,,,Séno,BF5602,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Seytenga,BF560206,,,,Séno,BF5602,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Arbinda,BF560301,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Baraboulé,BF560302,Baraboule,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Diguel,BF560303,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Djibo,BF560304,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Kelbo,BF560305,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Koutougou,BF560306,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Nassoumbou,BF560307,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Pobé-Mengao,BF560308,Pobe-Mengao,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Tongomayel,BF560309,,,,Soum,BF5603,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Boundoré,BF560401,Boundore,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Mansila,BF560402,,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Sebba,BF560403,,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Solhan,BF560404,,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Tankougounadié,BF560405,Tankougounadie,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Titabè,BF560406,Titabe,,,Yagha,BF5604,Sahel,BF56,Burkina Faso,BF,2020-03-18,2020-03-23,
Gbondjigui,BF570101,,,,Bougouriba,BF5701,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Diébougou,BF570102,Diebougou,,,Bougouriba,BF5701,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Dolo,BF570103,,,,Bougouriba,BF5701,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Iôlôniôrô,BF570104,Iolonioro,,,Bougouriba,BF5701,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Tiankoura,BF570105,,,,Bougouriba,BF5701,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Dano,BF570201,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Dissihn,BF570202,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Guéguéré,BF570203,Gueguere,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Koper,BF570204,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Niégo,BF570205,Niego,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Oronkua,BF570206,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Ouéssa,BF570207,Ouessa,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Zambo,BF570208,,,,Ioba,BF5702,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Batié,BF570301,Batie,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Boussou-Koula,BF570302,,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Kpuéré,BF570303,Kpuere,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Legmoin,BF570304,,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Midebdo,BF570305,,,,Noumbiel,BF5703,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Bouroum-Bouroum,BF570401,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Bousséra,BF570402,Boussera,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Djigouè,BF570403,Djigoue,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Gaoua,BF570404,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Gbomblora,BF570405,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Kampti,BF570406,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Loropéni,BF570407,Loropeni,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Malba,BF570408,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Nako,BF570409,,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
Périgban,BF570410,Perigban,,,Poni,BF5704,Sud-Ouest,BF57,Burkina Faso,BF,2020-03-18,2020-03-23,
