#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Dalefage,ET020504,,,,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Hadelela,ET020505,,,,Hari /Zone 5,ET0205,Afar,ET02,Ethiopia,ET,2020-10-13,2021-12-16,
Addi Arekay,ET030101,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Beyeda,ET030102,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Janamora,ET030103,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Debark,ET030104,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Dabat,ET030105,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Dabat town,ET030106,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Telemt,ET030119,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Debark town,ET030198,,,,North Gondar,ET0301,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Ebenat,ET030201,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Libokemekem,ET030202,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Fogera,ET030203,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Farta,ET030204,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Lay Gayint,ET030205,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Tach Gayint,ET030206,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Semada,ET030207,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
East Esite,ET030208,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Dera (AM),ET030209,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Debre Tabor town,ET030210,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Andabet/ West Esite,ET030211,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Guna Begemider,ET030212,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Mena Meketewa,ET030213,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Sede Muja,ET030214,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Nefas Mewicha town,ET030215,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Wegeda town,ET030216,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Ebenat town,ET030217,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Hamusit town,ET030218,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Woreta town,ET030293,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Mekan Eyesuse,ET030298,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Adiss Zemen town,ET030299,,,,South Gondar,ET0302,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Bugna,ET030301,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
Raya Kobo,ET030302,,,,North Wello,ET0303,Amhara,ET03,Ethiopia,ET,2020-10-13,2021-12-16,
