#adm4+name+i_eng+is_latn,#adm4+code+v_pcode,#adm4+name+alt1+i_eng+is_latn,#adm4+name+alt2+i_eng+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Vaama,SL01021005,,,Niawa,SL010210,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Faama,SL01021101,,,Nomo,SL010211,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Ngiebu,SL01021102,,,Nomo,SL010211,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Ngiewoma-Njeigor,SL01021103,,,Nomo,SL010211,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Dagbanya,SL01021201,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Dakpana,SL01021202,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gbo Kakajama B,SL01021203,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gbo Lambayama B,SL01021204,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kagbado Kamboima,SL01021205,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kagbado Njeigbla,SL01021206,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kona Foiya,SL01021207,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kona Kpindibu,SL01021208,,,Nongowa,SL010212,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Bundoryama,SL01021301,,,Simbaru,SL010213,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Fallay,SL01021302,,,Simbaru,SL010213,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Fonde,SL01021303,,,Simbaru,SL010213,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Yalenga,SL01021304,,,Simbaru,SL010213,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Fallay,SL01021401,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gorama,SL01021402,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Kamboma,SL01021403,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Niawa,SL01021404,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Sowa,SL01021405,,,Small Bo,SL010214,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Daru,SL01021501,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gegbwema,SL01021502,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Giewoma,SL01021503,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Gorahun,SL01021504,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
Jewahun,SL01021505,,,Tunkia,SL010215,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2017-08-16,2022-01-04,
