#adm3+name+i_fra+is_latn,#adm3+name+i_eng+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm3+name+alt1+i_eng+is_latn,#adm3+name+alt2+i_eng+is_latn,#adm2+name+i_fra+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+name+i_eng+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Mokolo,,CM004006006,,,,,,Mayo-Tsanaga,,CM004006,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Soulede-Roua,,CM004006007,,,,,,Mayo-Tsanaga,,CM004006,Extrême-Nord,Far-North,CM004,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bare-Bakem,,CM005001001,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dibombari,,CM005001002,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Fiko,,CM005001003,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Loum,,CM005001004,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Manjo,,CM005001005,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbanga,,CM005001006,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Melong,,CM005001007,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mombo,,CM005001008,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Njombe-Penja,,CM005001009,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkongsamba 1er,,CM005001010,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkongsamba 2e,,CM005001011,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkongsamba 3e,,CM005001012,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nlonako,,CM005001013,,,,,,Moungo,,CM005001,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkondjock,,CM005002001,,,,,,Nkam,,CM005002,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nord-Makombe,,CM005002002,,,,,,Nkam,,CM005002,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yabassi,,CM005002003,,,,,,Nkam,,CM005002,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Yingui,,CM005002004,,,,,,Nkam,,CM005002,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dibamba,,CM005003001,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dizangue,,CM005003002,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Edea 1er,,CM005003003,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Edea 2e,,CM005003004,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Massock-Songloulou,,CM005003005,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mouanko,,CM005003006,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ndom,,CM005003007,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngambe,,CM005003008,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngwei,,CM005003009,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nyanon,,CM005003010,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Pouma,,CM005003011,,,,,,Sanaga-Maritime,,CM005003,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Douala 1er,,CM005004001,,,,,,Wouri,,CM005004,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Douala 2e,,CM005004002,,,,,,Wouri,,CM005004,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Douala 3e,,CM005004003,,,,,,Wouri,,CM005004,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Douala 4e,,CM005004004,,,,,,Wouri,,CM005004,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Douala 5e,,CM005004005,,,,,,Wouri,,CM005004,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Douala 6e,,CM005004006,,,,,,Wouri,,CM005004,Littoral,Littoral,CM005,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bascheo,,CM006001001,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bibemi,,CM006001002,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dembo,,CM006001003,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Demsa,,CM006001004,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Garoua 1er,,CM006001005,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Garoua 2e,,CM006001006,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Garoua 3e,,CM006001007,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Lagdo,,CM006001008,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Hourna,,CM006001009,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Pitoa,,CM006001010,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Tcheboa,,CM006001011,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Touroua,,CM006001012,,,,,,Bénoué,,CM006001,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Beka,,CM006002001,,,,,,Faro,,CM006002,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Poli,,CM006002002,,,,,,Faro,,CM006002,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Figuil,,CM006003001,,,,,,Mayo-Louti,,CM006003,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Guider,,CM006003002,,,,,,Mayo-Louti,,CM006003,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mayo-Oulo,,CM006003003,,,,,,Mayo-Louti,,CM006003,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Madingring,,CM006004001,,,,,,Mayo-Rey,,CM006004,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Rey-Bouba,,CM006004002,,,,,,Mayo-Rey,,CM006004,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Tchollire,,CM006004003,,,,,,Mayo-Rey,,CM006004,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Touboro,,CM006004004,,,,,,Mayo-Rey,,CM006004,Nord,North,CM006,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Belo,,CM007001001,,,,,,Boyo,,CM007001,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bum,,CM007001002,,,,,,Boyo,,CM007001,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Fundong,,CM007001003,,,,,,Boyo,,CM007001,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Njinikom,,CM007001004,,,,,,Boyo,,CM007001,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Jakiri,,CM007002001,,,,,,Bui,,CM007002,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kumbo,,CM007002002,,,,,,Bui,,CM007002,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbven,,CM007002003,,,,,,Bui,,CM007002,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkum,,CM007002004,,,,,,Bui,,CM007002,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Noni,,CM007002005,,,,,,Bui,,CM007002,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Oku,,CM007002006,,,,,,Bui,,CM007002,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ako,,CM007003001,,,,,,Donga-Mantung,,CM007003,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Misaje,,CM007003002,,,,,,Donga-Mantung,,CM007003,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ndu,,CM007003003,,,,,,Donga-Mantung,,CM007003,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkambe,,CM007003004,,,,,,Donga-Mantung,,CM007003,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nwa,,CM007003005,,,,,,Donga-Mantung,,CM007003,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Fungom,,CM007004001,,,,,,Menchum,,CM007004,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Furu-Awa,,CM007004002,,,,,,Menchum,,CM007004,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Menchum-Valley,,CM007004003,,,,,,Menchum,,CM007004,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Wum,,CM007004004,,,,,,Menchum,,CM007004,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bafut,,CM007005001,,,,,,Mezam,,CM007005,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bali,,CM007005002,,,,,,Mezam,,CM007005,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bamenda 1st,,CM007005003,,,,,,Mezam,,CM007005,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bamenda 2nd,,CM007005004,,,,,,Mezam,,CM007005,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bamenda 3rd,,CM007005005,,,,,,Mezam,,CM007005,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Santa,,CM007005006,,,,,,Mezam,,CM007005,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Tubah,,CM007005007,,,,,,Mezam,,CM007005,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Batibo,,CM007006001,,,,,,Momo,,CM007006,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbengwi,,CM007006002,,,,,,Momo,,CM007006,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngie,,CM007006003,,,,,,Momo,,CM007006,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Njikwa,,CM007006004,,,,,,Momo,,CM007006,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Widikum,,CM007006005,,,,,,Momo,,CM007006,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Babessi,,CM007007001,,,,,,Ngo-Ketunjia,,CM007007,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Balikumbat,,CM007007002,,,,,,Ngo-Ketunjia,,CM007007,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ndop,,CM007007003,,,,,,Ngo-Ketunjia,,CM007007,Nord-Ouest,North-West,CM007,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Babadjou,,CM008001001,,,,,,Bamboutos,,CM008001,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Batcham,,CM008001002,,,,,,Bamboutos,,CM008001,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Galim,,CM008001003,,,,,,Bamboutos,,CM008001,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mbouda,,CM008001004,,,,,,Bamboutos,,CM008001,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bafang,,CM008002001,,,,,,Haut-Nkam,,CM008002,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bakou,,CM008002002,,,,,,Haut-Nkam,,CM008002,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bana,,CM008002003,,,,,,Haut-Nkam,,CM008002,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bandja,,CM008002004,,,,,,Haut-Nkam,,CM008002,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Banka,,CM008002005,,,,,,Haut-Nkam,,CM008002,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Banwa,,CM008002006,,,,,,Haut-Nkam,,CM008002,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kekem,,CM008002007,,,,,,Haut-Nkam,,CM008002,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Baham,,CM008003001,,,,,,Hauts-Plateaux,,CM008003,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bamendjou,,CM008003002,,,,,,Hauts-Plateaux,,CM008003,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bangou,,CM008003003,,,,,,Hauts-Plateaux,,CM008003,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Batie,,CM008003004,,,,,,Hauts-Plateaux,,CM008003,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bayangam,,CM008004001,,,,,,Koung-Khi,,CM008004,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Djebem,,CM008004002,,,,,,Koung-Khi,,CM008004,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Poumougne,,CM008004003,,,,,,Koung-Khi,,CM008004,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Dschang,,CM008005001,,,,,,Menoua,,CM008005,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Fokoue,,CM008005002,,,,,,Menoua,,CM008005,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Fongo-Tongo,,CM008005003,,,,,,Menoua,,CM008005,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nkong-Ni,,CM008005004,,,,,,Menoua,,CM008005,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Penka-Michel,,CM008005005,,,,,,Menoua,,CM008005,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Santchou,,CM008005006,,,,,,Menoua,,CM008005,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bafoussam 1er,,CM008006001,,,,,,Mifi,,CM008006,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bafoussam 2e,,CM008006002,,,,,,Mifi,,CM008006,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bafoussam 3e,,CM008006003,,,,,,Mifi,,CM008006,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bangangte,,CM008007001,,,,,,Ndé,,CM008007,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bassamba,,CM008007002,,,,,,Ndé,,CM008007,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bazou,,CM008007003,,,,,,Ndé,,CM008007,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Tonga,,CM008007004,,,,,,Ndé,,CM008007,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bangourain,,CM008008001,,,,,,Noun,,CM008008,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Foumban,,CM008008002,,,,,,Noun,,CM008008,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Foumbot,,CM008008003,,,,,,Noun,,CM008008,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kouoptamo,,CM008008004,,,,,,Noun,,CM008008,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Koutaba,,CM008008005,,,,,,Noun,,CM008008,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Magba,,CM008008006,,,,,,Noun,,CM008008,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Malantouen,,CM008008007,,,,,,Noun,,CM008008,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Massangam,,CM008008008,,,,,,Noun,,CM008008,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Njimom,,CM008008009,,,,,,Noun,,CM008008,Ouest,West,CM008,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bengbis,,CM009001001,,,,,,Dja-et-Lobo,,CM009001,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Djoum,,CM009001002,,,,,,Dja-et-Lobo,,CM009001,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Meyomessala,,CM009001003,,,,,,Dja-et-Lobo,,CM009001,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Meyomessi,,CM009001004,,,,,,Dja-et-Lobo,,CM009001,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mintom,,CM009001005,,,,,,Dja-et-Lobo,,CM009001,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Oveng,,CM009001006,,,,,,Dja-et-Lobo,,CM009001,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Sangmelima,,CM009001007,,,,,,Dja-et-Lobo,,CM009001,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Zoetele,,CM009001008,,,,,,Dja-et-Lobo,,CM009001,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Biwong-Bane,,CM009002001,,,,,,Mvila,,CM009002,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Biwong-Bulu,,CM009002002,,,,,,Mvila,,CM009002,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ebolowa 1er,,CM009002003,,,,,,Mvila,,CM009002,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ebolowa 2e,,CM009002004,,,,,,Mvila,,CM009002,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Efoulan,,CM009002005,,,,,,Mvila,,CM009002,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mengong,,CM009002006,,,,,,Mvila,,CM009002,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mvangane,,CM009002007,,,,,,Mvila,,CM009002,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ngoulemakong,,CM009002008,,,,,,Mvila,,CM009002,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Akom 2,,CM009003001,,,,,,Océan,,CM009003,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bipindi,,CM009003002,,,,,,Océan,,CM009003,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Campo,,CM009003003,,,,,,Océan,,CM009003,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kribi 1er,,CM009003004,,,,,,Océan,,CM009003,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kribi 2e,,CM009003005,,,,,,Océan,,CM009003,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Lokoundje,,CM009003006,,,,,,Océan,,CM009003,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Lolodorf,,CM009003007,,,,,,Océan,,CM009003,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mvengue,,CM009003008,,,,,,Océan,,CM009003,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Niete,,CM009003009,,,,,,Océan,,CM009003,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Ambam,,CM009004001,,,,,,Vallée-du-Ntem,,CM009004,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kye-Ossi,,CM009004002,,,,,,Vallée-du-Ntem,,CM009004,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Maan,,CM009004003,,,,,,Vallée-du-Ntem,,CM009004,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Olamze,,CM009004004,,,,,,Vallée-du-Ntem,,CM009004,Sud,South,CM009,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Buea,,CM010001001,,,,,,Fako,,CM010001,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Limbe 1st,,CM010001002,,,,,,Fako,,CM010001,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Limbe 2nd,,CM010001003,,,,,,Fako,,CM010001,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Limbe 3rd,,CM010001004,,,,,,Fako,,CM010001,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Muyuka,,CM010001005,,,,,,Fako,,CM010001,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Tiko,,CM010001006,,,,,,Fako,,CM010001,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
West-Coast,,CM010001007,,,,,,Fako,,CM010001,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Bangem,,CM010002001,,,,,,Kupe-Manenguba,,CM010002,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Nguti,,CM010002002,,,,,,Kupe-Manenguba,,CM010002,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Tombel,,CM010002003,,,,,,Kupe-Manenguba,,CM010002,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Alou,,CM010003001,,,,,,Lebialem,,CM010003,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Fontem,,CM010003002,,,,,,Lebialem,,CM010003,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Wabane,,CM010003003,,,,,,Lebialem,,CM010003,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Akwaya,,CM010004001,,,,,,Manyu,,CM010004,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Eyumodjock,,CM010004002,,,,,,Manyu,,CM010004,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Mamfe,,CM010004003,,,,,,Manyu,,CM010004,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Upper Bayang,,CM010004004,,,,,,Manyu,,CM010004,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Konye,,CM010005001,,,,,,Meme,,CM010005,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kumba 1st,,CM010005002,,,,,,Meme,,CM010005,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
Kumba 2nd,,CM010005003,,,,,,Meme,,CM010005,Sud-Ouest,South-West,CM010,Cameroun (le),Cameroon,CM,2018-12-17,2019-02-27,
