#adm3+name+i_fra+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fra+is_latn,#adm3+name+alt2+i_fra+is_latn,#adm2+name+i_fra+is_latn,#adm2+code+v_pcode,#adm1+name+i_fra+is_latn,#adm1+code+v_pcode,#country+name+i_fra+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Aderbissinat,NE001001001,,,,Aderbissinat,NE001001,Agadez,NE001,Niger,NE,2006-01-01,2019-09-12,
Dantchiao,NE007006002,,,,Magaria,NE007006,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Kwaya,NE007006003,,,,Magaria,NE007006,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Magaria,NE007006004,,,,Magaria,NE007006,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Sassoumbroum,NE007006005,,,,Magaria,NE007006,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Wacha,NE007006006,,,,Magaria,NE007006,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Yekoua,NE007006007,,,,Magaria,NE007006,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Dogo,NE007007001,,,,Mirriah,NE007007,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Droum,NE007007002,,,,Mirriah,NE007007,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Gaffati,NE007007003,,,,Mirriah,NE007007,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Gouna,NE007007004,,,,Mirriah,NE007007,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Hamdara,NE007007005,,,,Mirriah,NE007007,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Kolleram,NE007007006,,,,Mirriah,NE007007,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Mirriah,NE007007007,,,,Mirriah,NE007007,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Zermou,NE007007008,,,,Mirriah,NE007007,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Dakoussa,NE007008001,,,,Takeita,NE007008,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Garagoumsa,NE007008002,,,,Takeita,NE007008,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Tirmini,NE007008003,,,,Takeita,NE007008,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Falenko,NE007009001,,,,Tanout,NE007009,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Gangara (Tanour),NE007009002,,,,Tanout,NE007009,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Ollelewa,NE007009003,,,,Tanout,NE007009,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Tanout,NE007009004,,,,Tanout,NE007009,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Tenhya,NE007009005,,,,Tanout,NE007009,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Tesker,NE007010001,,,,Tesker,NE007010,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Zinder Arrondissement 1,NE007011001,,,,Ville De Zinder,NE007011,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Zinder Arrondissement 2,NE007011002,,,,Ville De Zinder,NE007011,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Zinder Arrondissement 3,NE007011003,,,,Ville De Zinder,NE007011,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Zinder Arrondissement 4,NE007011004,,,,Ville De Zinder,NE007011,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
Zinder Arrondissement 5,NE007011005,,,,Ville De Zinder,NE007011,Zinder,NE007,Niger,NE,2006-01-01,2019-09-12,
NY ARRONDISSEMENT 1,NE008001001,,,,Ville De Niamey,NE008001,Niamey,NE008,Niger,NE,2006-01-01,2019-09-12,
NY ARRONDISSEMENT 2,NE008001002,,,,Ville De Niamey,NE008001,Niamey,NE008,Niger,NE,2006-01-01,2019-09-12,
NY ARRONDISSEMENT 3,NE008001003,,,,Ville De Niamey,NE008001,Niamey,NE008,Niger,NE,2006-01-01,2019-09-12,
NY ARRONDISSEMENT 4,NE008001004,,,,Ville De Niamey,NE008001,Niamey,NE008,Niger,NE,2006-01-01,2019-09-12,
NY ARRONDISSEMENT 5,NE008001005,,,,Ville De Niamey,NE008001,Niamey,NE008,Niger,NE,2006-01-01,2019-09-12,
