#adm2+name+i_eng+is_latn,#adm2+name+i_zho+is_zyyy,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_zho+is_zyyy,#adm2+name+alt2+i_zho+is_zyyy,#adm1+name+i_eng+is_latn,#adm1+name+i_zho+is_zyyy,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_zho+is_zyyy,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Zhaoqing,肇庆市,CN044190,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Zhongshan,中山市,CN044200,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Zhuhai,珠海市,CN044210,,,,,,Guangdong Province,广东省,CN044,China,中国,CN,2020-09-10,2020-09-10,
Baise,百色市,CN045010,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Beihai,北海市,CN045020,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Chongzuo,崇左市,CN045030,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Fangchenggang,防城港市,CN045040,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Guigang,贵港市,CN045050,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Guilin,桂林市,CN045060,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Hechi,河池市,CN045070,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Hezhou,贺州市,CN045080,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Laibin,来宾市,CN045090,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Liuzhou,柳州市,CN045100,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
NanNing,南宁市,CN045110,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Qinzhou,钦州市,CN045120,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Wuzhou,梧州市,CN045130,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Yulin,玉林市,CN045140,,,,,,Guangxi Zhuang Autonomous Region,广西壮族自治区,CN045,China,中国,CN,2020-09-10,2020-09-10,
Baisha Li Autonomous County,白沙黎族自治县[2],CN046010,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Baoting Li and Miao Autonomous County,保亭黎族苗族自治县[2],CN046020,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Changjiang Li Autonomous County,昌江黎族自治县[2],CN046030,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Chengmai County,澄迈县[2],CN046040,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Danzhou,儋州市,CN046050,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Ding'an County,定安县[2],CN046060,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Dongfang City,东方市[1],CN046070,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Haikou,海口市,CN046080,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Ledong Li Autonomous County,乐东黎族自治县[2],CN046090,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Lingao County,临高县[2],CN046100,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Lingshui Li Autonomous County,陵水黎族自治县[2],CN046110,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Qionghai City,琼海市[1],CN046120,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Qiongzhong Li and Miao Autonomous County,琼中黎族苗族自治县[2],CN046130,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Sansha,三沙市,CN046140,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Sanya,三亚市,CN046150,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Tunchang County,屯昌县[1],CN046160,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Wanning City,万宁市[1],CN046170,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Wuzhishan City,五指山市[1],CN046180,,,,,,Hainan Province,海南省,CN046,China,中国,CN,2020-09-10,2020-09-10,
Chongqing Municipality,重庆市,CN050010,,,,,,Chongqing Municipality,重庆市,CN050,China,中国,CN,2020-09-10,2020-09-10,
Bazhong,巴中市,CN051010,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Chengdu,成都市,CN051020,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Dazhou,达州市,CN051030,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Deyang,德阳市,CN051040,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Garzê Tibetan Autonomous Prefecture,甘孜藏族自治州,CN051050,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Guang'an,广安市,CN051060,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Guangyuan,广元市,CN051070,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Leshan,乐山市,CN051080,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Liangshan Yi Autonomous Prefecture,凉山彝族自治州,CN051090,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Luzhou,泸州市,CN051100,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Meishan,眉山市,CN051110,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Mianyang,绵阳市,CN051120,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Nanchong,南充市,CN051130,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Neijiang,内江市,CN051140,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Ngawa Tibetan and Qiang Autonomous Prefecture,阿坝藏族羌族自治州,CN051150,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Panzhihua,攀枝花市,CN051160,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Suining,遂宁市,CN051170,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Ya'an,雅安市,CN051180,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Yibin,宜宾市,CN051190,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Zigong,自贡市,CN051200,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Ziyang,资阳市,CN051210,,,,,,Sichuan Province,四川省,CN051,China,中国,CN,2020-09-10,2020-09-10,
Anshun,安顺市,CN052010,,,,,,Guizhou Province,贵州省,CN052,China,中国,CN,2020-09-10,2020-09-10,
Bijie,毕节市,CN052020,,,,,,Guizhou Province,贵州省,CN052,China,中国,CN,2020-09-10,2020-09-10,
Guiyang,贵阳市,CN052030,,,,,,Guizhou Province,贵州省,CN052,China,中国,CN,2020-09-10,2020-09-10,
Liupanshui,六盘水市,CN052040,,,,,,Guizhou Province,贵州省,CN052,China,中国,CN,2020-09-10,2020-09-10,
Qiandongnan Miao and Dong Autonomous Prefecture,黔东南苗族侗族自治州,CN052050,,,,,,Guizhou Province,贵州省,CN052,China,中国,CN,2020-09-10,2020-09-10,
Qiannan Buyi and Miao Autonomous Prefecture,黔南布依族苗族自治州,CN052060,,,,,,Guizhou Province,贵州省,CN052,China,中国,CN,2020-09-10,2020-09-10,
Qianxinan Buyi and Miao Autonomous Prefecture,黔西南布依族苗族自治州,CN052070,,,,,,Guizhou Province,贵州省,CN052,China,中国,CN,2020-09-10,2020-09-10,
Tongren,铜仁市,CN052080,,,,,,Guizhou Province,贵州省,CN052,China,中国,CN,2020-09-10,2020-09-10,
Zunyi,遵义市,CN052090,,,,,,Guizhou Province,贵州省,CN052,China,中国,CN,2020-09-10,2020-09-10,
Baoshan,保山市,CN053010,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Chuxiong Yi Autonomous Prefecture,楚雄彝族自治州,CN053020,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Dêqên Tibetan Autonomous Prefecture,迪庆藏族自治州,CN053030,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Dali Bai Autonomous Prefecture,大理白族自治州,CN053040,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Dehong Dai and Jingpo Autonomous Prefecture,德宏傣族景颇族自治州,CN053050,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Honghe Hani and Yi Autonomous Prefecture,红河哈尼族彝族自治州,CN053060,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Kunming,昆明市,CN053070,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Lijiang,丽江市,CN053080,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Lincang,临沧市,CN053090,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Nujiang Lisu Autonomous Prefecture,怒江傈僳族自治州,CN053100,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Pu'er,普洱市,CN053110,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Qujing,曲靖市,CN053120,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Wenshan Zhuang and Miao Autonomous Prefecture,文山壮族苗族自治州,CN053130,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Xishuangbanna Dai Autonomous Prefecture,西双版纳傣族自治州,CN053140,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Yuxi,玉溪市,CN053150,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Zhaotong,昭通市,CN053160,,,,,,Yunnan Province,云南省,CN053,China,中国,CN,2020-09-10,2020-09-10,
Lhasa,拉萨市,CN054010,,,,,,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN,2020-09-10,2020-09-10,
Lhoka,山南市,CN054020,,,,,,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN,2020-09-10,2020-09-10,
Nagqu Prefecture,那曲地区,CN054030,,,,,,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN,2020-09-10,2020-09-10,
Ngari Prefecture,阿里地区,CN054040,,,,,,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN,2020-09-10,2020-09-10,
Nyingchi,林芝市,CN054050,,,,,,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN,2020-09-10,2020-09-10,
Qamdo,昌都市,CN054060,,,,,,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN,2020-09-10,2020-09-10,
Xigazê,日喀则市,CN054070,,,,,,Tibet Autonomous Region,西藏自治区,CN054,China,中国,CN,2020-09-10,2020-09-10,
Ankang,安康市,CN061010,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Baoji,宝鸡市,CN061020,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Hanzhong,汉中市,CN061030,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Shangluo,商洛市,CN061040,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Tongchuan,铜川市,CN061050,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Weinan,渭南市,CN061060,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Xi'an,西安市,CN061070,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Xianyang,咸阳市,CN061080,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Yan'an,延安市,CN061090,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Yulin,榆林市,CN061100,,,,,,Shaanxi Province,陕西省,CN061,China,中国,CN,2020-09-10,2020-09-10,
Baiyin,白银市,CN062010,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Dingxi,定西市,CN062020,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Gannan Tibetan Autonomous Prefecture,甘南藏族自治州,CN062030,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Jiayuguan,嘉峪关市,CN062040,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Jinchang,金昌市,CN062050,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Jiuquan,酒泉市,CN062060,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Lanzhou,兰州市,CN062070,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Linxia Hui Autonomous Prefecture,临夏回族自治州,CN062080,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Longnan,陇南市,CN062090,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Pingliang,平凉市,CN062100,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Qingyang,庆阳市,CN062110,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Tianshui,天水市,CN062120,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Wuwei,武威市,CN062130,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Zhangye,张掖市,CN062140,,,,,,Gansu province,甘肃省,CN062,China,中国,CN,2020-09-10,2020-09-10,
Golog Tibetan Autonomous Prefecture,果洛藏族自治州,CN063010,,,,,,Qinghai Province,青海省,CN063,China,中国,CN,2020-09-10,2020-09-10,
Haibei Tibetan Autonomous Prefecture,海北藏族自治州,CN063020,,,,,,Qinghai Province,青海省,CN063,China,中国,CN,2020-09-10,2020-09-10,
Haidong,海东市,CN063030,,,,,,Qinghai Province,青海省,CN063,China,中国,CN,2020-09-10,2020-09-10,
Hainan Tibetan Autonomous Prefecture,海南藏族自治州,CN063040,,,,,,Qinghai Province,青海省,CN063,China,中国,CN,2020-09-10,2020-09-10,
Haixi Mongolian Autonomous Prefecture,海西蒙古族自治州,CN063050,,,,,,Qinghai Province,青海省,CN063,China,中国,CN,2020-09-10,2020-09-10,
Huangnan Tibetan Autonomous Prefecture,黄南藏族自治州,CN063060,,,,,,Qinghai Province,青海省,CN063,China,中国,CN,2020-09-10,2020-09-10,
Xining,西宁市,CN063070,,,,,,Qinghai Province,青海省,CN063,China,中国,CN,2020-09-10,2020-09-10,
Yushu Tibetan Autonomous Prefecture,玉树藏族自治州,CN063080,,,,,,Qinghai Province,青海省,CN063,China,中国,CN,2020-09-10,2020-09-10,
Guyuan,固原市,CN064010,,,,,,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN,2020-09-10,2020-09-10,
Shizuishan,石嘴山市,CN064020,,,,,,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN,2020-09-10,2020-09-10,
Wuzhong,吴忠市,CN064030,,,,,,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN,2020-09-10,2020-09-10,
Yinchuan,银川市,CN064040,,,,,,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN,2020-09-10,2020-09-10,
Zhongwei,中卫市,CN064050,,,,,,Ningxia Hui Autonomous Region,宁夏回族自治区,CN064,China,中国,CN,2020-09-10,2020-09-10,
Ürümqi,乌鲁木齐市,CN065010,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Aksu Prefecture,阿克苏地区,CN065020,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Altay Prefecture,阿勒泰地区,CN065030,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Bayingolin Mongolia Autonomous Prefecture,巴音郭楞蒙古自治州,CN065040,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Bortala Mongol Autonomous Prefecture,博尔塔拉蒙古自治州,CN065050,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Changji Hui Autonomous Prefecture,昌吉回族自治州,CN065060,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Hami,哈密市,CN065070,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Hotan Prefecture,和田地区,CN065080,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Ili Kazak Autonomous Prefecture,伊犁哈萨克自治州[5],CN065090,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Karamay,克拉玛依市,CN065100,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Kashi Prefecture,喀什地区,CN065110,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Kizilsu Kirgiz Autonomous Prefecture,克孜勒苏柯尔克孜自治州,CN065120,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Shihezi,石河子市[1],CN065130,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Tarbaĝatay Prefecture,塔城地区,CN065140,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
Turpan,吐鲁番市,CN065150,,,,,,Xinjiang Uygur Autonomous Region,新疆维吾尔自治区,CN065,China,中国,CN,2020-09-10,2020-09-10,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
