#adm2+name+i_eng+is_latn,#adm2+name+i_vie+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_vie+is_latn,#adm2+name+alt2+i_vie+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_vie+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_vie+is_latn,#country+code+v_iso3166p1a2,#date+start,#date+updated,#date+end
Dinh Lap,Huyện Đình Lập,VN20919,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Huu Lung,Huyện Hữu Lũng,VN20921,,,,,,Lang Son,Lạng Sơn,VN209,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tuyen Quang,TP. Tuyên Quang,VN21101,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Na Hang,Huyện Na Hang,VN21103,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Chiem Hoa,Huyện Chiêm Hóa,VN21105,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ham Yen,Huyện Hàm Yên,VN21107,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Son,Huyện Yên Sơn,VN21109,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Son Duong,Huyện Sơn Dương,VN21111,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lam Binh,Huyện Lâm Bình,VN21112,,,,,,Tuyen Quang,Tuyên Quang,VN211,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Bai,TP. Yên Bái,VN21301,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nghia Lo,Thị xã Nghĩa Lộ,VN21303,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Luc Yen,Huyện Lục Yên,VN21305,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Van Yen,Huyện Văn Yên,VN21307,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Mu Cang Chai,Huyện Mù Cang Chải,VN21309,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tran Yen,Huyện Trấn Yên,VN21311,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Binh,Huyện Yên Bình,VN21313,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Van Chan,Huyện Văn Chấn,VN21315,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tram Tau,Huyện Trạm Tấu,VN21317,,,,,,Yen Bai,Yên Bái,VN213,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thai Nguyen,TP. Thái Nguyên,VN21501,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Song Cong,Thị xã Sông Công,VN21503,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dinh Hoa,Huyện Định Hóa,VN21505,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Vo Nhai,Huyện Võ Nhai,VN21507,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Phu Luong,Huyện Phú Lương,VN21509,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dong Hy,Huyện Đồng Hỷ,VN21511,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dai Tu,Huyện Đại Từ,VN21513,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Phu Binh,Huyện Phú Bình,VN21515,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Pho Yen,Huyện Phổ Yên,VN21517,,,,,,Thai Nguyen,Thái Nguyên,VN215,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Viet Tri,TP. Việt Trì,VN21701,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Phu Tho,Thị xã Phú Thọ,VN21703,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Doan Hung,Huyện Đoan Hùng,VN21705,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ha Hoa,Huyện Hạ Hòa,VN21707,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thanh Ba,Huyện Thanh Ba,VN21709,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Phu Ninh,Huyện Phù Ninh,VN21711,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lam Thao,Huyện Lâm Thao,VN21712,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Cam Khe,Huyện Cẩm Khê,VN21713,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Lap,Huyện Yên Lập,VN21715,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tam Nong,Huyện Tam Nông,VN21717,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thanh Thuy,Huyện Thanh Thủy,VN21718,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thanh Son,Huyện Thanh Sơn,VN21719,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tan Son,Huyện Tân Sơn,VN21720,,,,,,Phu Tho,Phú Thọ,VN217,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Bac Giang,TP. Bắc Giang,VN22101,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen The,Huyện Yên Thế,VN22103,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tan Yen,Huyện Tân Yên,VN22105,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Luc Ngan,Huyện Lục Ngạn,VN22107,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hiep Hoa,Huyện Hiệp Hòa,VN22109,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lang Giang,Huyện Lạng Giang,VN22111,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Son Dong,Huyện Sơn Động,VN22113,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Luc Nam,Huyện Lục Nam,VN22115,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Viet Yen,Huyện Việt Yên,VN22117,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Dung,Huyện Yên Dũng,VN22119,,,,,,Bac Giang,Bắc Giang,VN221,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ha Long,TP. Hạ Long,VN22501,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Cam Pha,TP. Cẩm Phả,VN22503,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Uong Bi,TP. Uông Bí,VN22505,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Mong Cai,TP. Móng Cái,VN22506,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Binh Lieu,Huyện Bình Liêu,VN22507,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hai Ha,Huyện Hải Hà,VN22511,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dam Ha,Huyện Đầm Hà,VN22512,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tien Yen,Huyện Tiên Yên,VN22513,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ba Che,Huyện Ba Chẽ,VN22515,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Van Don,Huyện Vân Đồn,VN22517,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hoanh Bo,Huyện Hoành Bồ,VN22519,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dong Trieu,Huyện Đông Triều,VN22521,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Co To,Huyện Cô Tô,VN22523,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quang Yen,Thị xã Quảng Yên,VN22525,,,,,,Quang Ninh,Quảng Ninh,VN225,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nam Nhun,Huyện Nậm Nhùn,VN30101,,,,,,Lai Chau,Lai Châu,VN301,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lai Chau,TP. Lai Châu,VN30103,,,,,,Lai Chau,Lai Châu,VN301,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Muong Te,Huyện Mường Tè,VN30105,,,,,,Lai Chau,Lai Châu,VN301,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Phong Tho,Huyện Phong Thổ,VN30107,,,,,,Lai Chau,Lai Châu,VN301,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tam Duong,Huyện Tam Đường,VN30108,,,,,,Lai Chau,Lai Châu,VN301,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Sin Ho,Huyện Sìn Hồ,VN30109,,,,,,Lai Chau,Lai Châu,VN301,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Than Uyen,Huyện Than Uyên,VN30117,,,,,,Lai Chau,Lai Châu,VN301,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tan Uyen,Huyện Tân Uyên,VN30118,,,,,,Lai Chau,Lai Châu,VN301,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dien Bien Phu,TP. Điện Biên Phủ,VN30201,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nam Po,Huyện Nậm Pồ,VN30202,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Muong Lay,Thị xã Mường Lay,VN30203,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Muong Nhe,Huyện Mường Nhé,VN30204,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Muong Cha,Huyện Mường Chà,VN30211,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tua Chua,Huyện Tủa Chùa,VN30213,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tuan Giao,Huyện Tuần Giáo,VN30215,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Muong Ang,Huyện Mường Ảng,VN30216,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dien Bien,Huyện Điện Biên,VN30217,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dien Bien Dong,Huyện Điện Biên Đông,VN30219,,,,,,Dien Bien,Điện Biên,VN302,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Son La,TP. Sơn La,VN30301,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quynh Nhai,Huyện Quỳnh Nhai,VN30303,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Muong La,Huyện Mường La,VN30305,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thuan Chau,Huyện Thuận Châu,VN30307,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Bac Yen,Huyện Bắc Yên,VN30309,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Phu Yen,Huyện Phù Yên,VN30311,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Mai Son,Huyện Mai Sơn,VN30313,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Song Ma,Huyện Sông Mã,VN30315,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Sop Cop,Huyện Sốp Cộp,VN30316,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Chau,Huyện Yên Châu,VN30317,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Moc Chau,Huyện Mộc Châu,VN30319,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Van Ho,Huyện Vân Hồ,VN30320,,,,,,Son La,Sơn La,VN303,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hoa Binh,TP. Hòa Bình,VN30501,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Da Bac,Huyện Đà Bắc,VN30503,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Mai Chau,Huyện Mai Châu,VN30505,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ky Son,Huyện Kỳ Sơn,VN30507,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Luong Son,Huyện Lương Sơn,VN30509,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Cao Phong,Huyện Cao Phong,VN30510,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Kim Boi,Huyện Kim Bôi,VN30511,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tan Lac,Huyện Tân Lạc,VN30513,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lac Son,Huyện Lạc Sơn,VN30515,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lac Thuy,Huyện Lạc Thủy,VN30517,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Thuy,Huyện Yên Thủy,VN30519,,,,,,Hoa Binh,Hòa Bình,VN305,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thanh Hoa,Huyện Thạnh Hóa,VN40101,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Bim Son,Thị xã Bỉm Sơn,VN40103,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Sam Son,Thị xã Sầm Sơn,VN40105,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Muong Lat,Huyện Mường Lát,VN40107,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quan Hoa,Huyện Quan Hóa,VN40109,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quan Son,Huyện Quan Sơn,VN40111,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ba Thuoc,Huyện Bá Thước,VN40113,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Cam Thuy,Huyện Cẩm Thủy,VN40115,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Lang Chanh,Huyện Lang Chánh,VN40117,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thach Thanh,Huyện Thạch Thành,VN40119,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ngoc Lac,Huyện Ngọc Lặc,VN40121,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thuong Xuan,Huyện Thường Xuân,VN40123,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nhu Xuan,Huyện Như Xuân,VN40125,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nhu Thanh,Huyện Như Thanh,VN40127,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Vinh Loc,Huyện Vĩnh Lộc,VN40129,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ha Trung,Huyện Hà Trung,VN40131,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nga Son,Huyện Nga Sơn,VN40133,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Dinh,Huyện Yên Định,VN40135,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tho Xuan,Huyện Thọ Xuân,VN40137,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hau Loc,Huyện Hậu Lộc,VN40139,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thieu Hoa,Huyện Thiệu Hóa,VN40141,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hoang Hoa,Huyện Hoằng Hóa,VN40143,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dong Son,Huyện Đông Sơn,VN40145,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Trieu Son,Huyện Triệu Sơn,VN40147,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quang Xuong,Huyện Quảng Xương,VN40149,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nong Cong,Huyện Nông Cống,VN40151,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tinh Gia,Huyện Tĩnh Gia,VN40153,,,,,,Thanh Hoa,Thanh Hóa,VN401,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Vinh,TP. Vinh,VN40301,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Cua Lo,Thị xã Cửa Lò,VN40303,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Que Phong,Huyện Quế Phong,VN40305,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quy Chau,Huyện Quỳ Châu,VN40307,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ky Son,Huyện Kỳ Sơn,VN40309,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quy Hop,Huyện Quỳ Hợp,VN40311,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nghia Dan,Huyện Nghĩa Đàn,VN40313,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thai Hoa,Thị xã Thái Hòa,VN40314,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tuong Duong,Huyện Tương Dương,VN40315,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Quynh Luu,Huyện Quỳnh Lưu,VN40317,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tan Ky,Huyện Tân Kỳ,VN40319,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Con Cuong,Huyện Con Cuông,VN40321,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Yen Thanh,Huyện Yên Thành,VN40323,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dien Chau,Huyện Diễn Châu,VN40325,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Anh Son,Huyện Anh Sơn,VN40327,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Do Luong,Huyện Đô Lương,VN40329,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thanh Chuong,Huyện Thanh Chương,VN40331,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nghi Loc,Huyện Nghi Lộc,VN40333,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nam Dan,Huyện Nam Đàn,VN40335,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hung Nguyen,Huyện Hưng Nguyên,VN40337,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hoang Mai,Thị xã Hoàng Mai,VN40338,,,,,,Nghe An,Nghệ An,VN403,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ha Tinh,TP. Hà Tĩnh,VN40501,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Hong Linh,Thị xã Hồng Lĩnh,VN40503,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Nghi Xuan,Huyện Nghi Xuân,VN40505,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Duc Tho,Huyện Đức Thọ,VN40507,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Huong Son,Huyện Hương Sơn,VN40509,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Vu Quang,Huyện Vũ Quang,VN40510,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Can Loc,Huyện Can Lộc,VN40511,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Loc Ha,Huyện Lộc Hà,VN40512,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Thach Ha,Huyện Thạch Hà,VN40513,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Cam Xuyen,Huyện Cẩm Xuyên,VN40515,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Huong Khe,Huyện Hương Khê,VN40517,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ky Anh,Huyện Kỳ Anh,VN40519,,,,,,Ha Tinh,Hà Tĩnh,VN405,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Dong Hoi,TP. Đồng Hới,VN40701,,,,,,Quang Binh,Quảng Bình,VN407,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Tuyen Hoa,Huyện Tuyên Hóa,VN40703,,,,,,Quang Binh,Quảng Bình,VN407,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Minh Hoa,Huyện Minh Hóa,VN40705,,,,,,Quang Binh,Quảng Bình,VN407,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Ba Don,Thị xã Ba Đồn,VN40707,,,,,,Quang Binh,Quảng Bình,VN407,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
Bo Trach,Huyện Bố Trạch,VN40709,,,,,,Quang Binh,Quảng Bình,VN407,Viet Nam,Việt Nam,VN,2020-01-08,2020-10-27,
