qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,eng-Latn-r-pSKOS-pprefLabel-ps5002,ara-Arab-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,ara-Arab-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,ara-Arab-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:818:2:213,213,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:213,Al Amreia,قسم  العامرية,EG0213,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:214,214,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:214,Burg al-Arab,قسم  برج العرب,EG0214,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:215,215,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:215,Port Alexandria Police Department,اداره شرطه ميناء الأسكندريه,EG0215,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:216,216,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:216,Burg Al-Arab City,مدينه برج العرب الجديده,EG0216,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:217,217,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:217,Kesm than Al Raml,قسم ثان الرمل,EG0217,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:218,218,1603:45:16:818:0,1603:45:16:818:1:2,1603:45:16:818:2:218,North Coast,الساحل الشمالى,EG0218,Alexandria,الاسكندرية,EG02,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:301,301,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:301,Al-Sharq,قسم الشرق,EG0301,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:302,302,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:302,Al-Arab,قسم العرب,EG0302,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:303,303,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:303,Al-Munakh,قسم المناخ,EG0303,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
1603:45:16:818:2:304,304,1603:45:16:818:0,1603:45:16:818:1:3,1603:45:16:818:2:304,Port Fuad,قسم بور فؤاد,EG0304,Port Said,بورسعيد,EG03,Egypt,مِصر,EG,2017-08-14,2020-12-01,
