#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:140:3:1111,1111,1603:45:16:140:0,1603:45:16:140:1:11,1603:45:16:140:2:111,1603:45:16:140:3:1111,Bimbo,CF1111,Bimbo,,,Bimbo,CF111,Ombella M'Poko,CF11,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3254,3254,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:325,1603:45:16:140:3:3254,Fafa Boungou,CF3254,Fafa Boungou,,,Bouca,CF325,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3261,3261,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:326,1603:45:16:140:3:3261,Batangafo,CF3261,Batangafo,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3262,3262,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:326,1603:45:16:140:3:3262,Bédé,CF3262,Bede,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3263,3263,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:326,1603:45:16:140:3:3263,Hama,CF3263,Hama,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3264,3264,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:326,1603:45:16:140:3:3264,Ouassi,CF3264,Ouassi,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3265,3265,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:326,1603:45:16:140:3:3265,Bakassa,CF3265,Bakassa,,,Batangafo,CF326,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3271,3271,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:327,1603:45:16:140:3:3271,Sido,CF3271,Sido,,,Kabo,CF327,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:3272,3272,1603:45:16:140:0,1603:45:16:140:1:32,1603:45:16:140:2:327,1603:45:16:140:3:3272,Ouaki,CF3272,Ouaki,,,Kabo,CF327,Ouham,CF32,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4111,4111,1603:45:16:140:0,1603:45:16:140:1:41,1603:45:16:140:2:411,1603:45:16:140:3:4111,Sibut,CF4111,Sibut,,,Sibut,CF411,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4112,4112,1603:45:16:140:0,1603:45:16:140:1:41,1603:45:16:140:2:411,1603:45:16:140:3:4112,Ngoumbele,CF4112,Ngoumbele,,,Sibut,CF411,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4121,4121,1603:45:16:140:0,1603:45:16:140:1:41,1603:45:16:140:2:412,1603:45:16:140:3:4121,Dekoa,CF4121,Dekoa,,,Dékoa,CF412,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4122,4122,1603:45:16:140:0,1603:45:16:140:1:41,1603:45:16:140:2:412,1603:45:16:140:3:4122,Tilo,CF4122,Tilo,,,Dékoa,CF412,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4123,4123,1603:45:16:140:0,1603:45:16:140:1:41,1603:45:16:140:2:412,1603:45:16:140:3:4123,Guiffa,CF4123,Guiffa,,,Dékoa,CF412,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4131,4131,1603:45:16:140:0,1603:45:16:140:1:41,1603:45:16:140:2:413,1603:45:16:140:3:4131,Mala,CF4131,Mala,,,Mala,CF413,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4141,4141,1603:45:16:140:0,1603:45:16:140:1:41,1603:45:16:140:2:414,1603:45:16:140:3:4141,Galafondo,CF4141,Galafondo,,,Ndjoukou,CF414,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4142,4142,1603:45:16:140:0,1603:45:16:140:1:41,1603:45:16:140:2:414,1603:45:16:140:3:4142,Galabadja,CF4142,Galabadja,,,Ndjoukou,CF414,Kémo,CF41,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4211,4211,1603:45:16:140:0,1603:45:16:140:1:42,1603:45:16:140:2:421,1603:45:16:140:3:4211,Kaga-Bandoro,CF4211,Kaga-Bandoro,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4212,4212,1603:45:16:140:0,1603:45:16:140:1:42,1603:45:16:140:2:421,1603:45:16:140:3:4212,Botto,CF4212,Botto,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4213,4213,1603:45:16:140:0,1603:45:16:140:1:42,1603:45:16:140:2:421,1603:45:16:140:3:4213,Nana-Outa,CF4213,Nana-Outa,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4214,4214,1603:45:16:140:0,1603:45:16:140:1:42,1603:45:16:140:2:421,1603:45:16:140:3:4214,Grivaï-Pamia,CF4214,Grivai-Pamia,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4215,4215,1603:45:16:140:0,1603:45:16:140:1:42,1603:45:16:140:2:421,1603:45:16:140:3:4215,Ndenga,CF4215,Ndenga,,,Kaga-Bandoro,CF421,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4221,4221,1603:45:16:140:0,1603:45:16:140:1:42,1603:45:16:140:2:422,1603:45:16:140:3:4221,Mbrés,CF4221,Mbres,,,Mbrès,CF422,Nana-Gribizi,CF42,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4311,4311,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:431,1603:45:16:140:3:4311,Bambari,CF4311,Bambari,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4312,4312,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:431,1603:45:16:140:3:4312,Danga-Gboudou,CF4312,Danga-Gboudou,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4313,4313,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:431,1603:45:16:140:3:4313,Ngougbia,CF4313,Ngougbia,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4314,4314,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:431,1603:45:16:140:3:4314,Pladama-Ouaka,CF4314,Pladama-Ouaka,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4315,4315,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:431,1603:45:16:140:3:4315,Haute Baïdou,CF4315,Haute Baidou,,,Bambari,CF431,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4321,4321,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:432,1603:45:16:140:3:4321,Koudou-Bégo,CF4321,Koudou-Bego,,,Bakala,CF432,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4331,4331,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:433,1603:45:16:140:3:4331,Grimari,CF4331,Grimari,,,Grimari,CF433,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4332,4332,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:433,1603:45:16:140:3:4332,Kobadja,CF4332,Kobadja,,,Grimari,CF433,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4333,4333,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:433,1603:45:16:140:3:4333,Lissa,CF4333,Lissa,,,Grimari,CF433,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4334,4334,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:433,1603:45:16:140:3:4334,Pouyamba,CF4334,Pouyamba,,,Grimari,CF433,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4341,4341,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:434,1603:45:16:140:3:4341,Kouango,CF4341,Kouango,,,Kouango,CF434,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4342,4342,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:434,1603:45:16:140:3:4342,Azéngué-Mindou,CF4342,Azengue-Mindou,,,Kouango,CF434,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4343,4343,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:434,1603:45:16:140:3:4343,Cochio-Toulou,CF4343,Cochio-Toulou,,,Kouango,CF434,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4351,4351,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:435,1603:45:16:140:3:4351,Ippy,CF4351,Ippy,,,Ippy,CF435,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4352,4352,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:435,1603:45:16:140:3:4352,Yéngou,CF4352,Yengou,,,Ippy,CF435,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:4353,4353,1603:45:16:140:0,1603:45:16:140:1:43,1603:45:16:140:2:435,1603:45:16:140:3:4353,Baïdou-Ngoumbourou,CF4353,Baidou-Ngoumbourou,,,Ippy,CF435,Ouaka,CF43,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5111,5111,1603:45:16:140:0,1603:45:16:140:1:51,1603:45:16:140:2:511,1603:45:16:140:3:5111,Dar El Kouti,CF5111,Dar El Kouti,,,Ndélé,CF511,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5112,5112,1603:45:16:140:0,1603:45:16:140:1:51,1603:45:16:140:2:511,1603:45:16:140:3:5112,Mbolo-Pata,CF5112,Mbolo-Pata,,,Ndélé,CF511,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5121,5121,1603:45:16:140:0,1603:45:16:140:1:51,1603:45:16:140:2:512,1603:45:16:140:3:5121,Vassako,CF5121,Vassako,,,Bamingui,CF512,Bamingui-Bangoran,CF51,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5211,5211,1603:45:16:140:0,1603:45:16:140:1:52,1603:45:16:140:2:521,1603:45:16:140:3:5211,Samba-Boungou,CF5211,Samba-Boungou,,,Bria,CF521,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5212,5212,1603:45:16:140:0,1603:45:16:140:1:52,1603:45:16:140:2:521,1603:45:16:140:3:5212,Daba Nydou,CF5212,Daba Nydou,,,Bria,CF521,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5213,5213,1603:45:16:140:0,1603:45:16:140:1:52,1603:45:16:140:2:521,1603:45:16:140:3:5213,Daho-Mboutou,CF5213,Daho-Mboutou,,,Bria,CF521,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5221,5221,1603:45:16:140:0,1603:45:16:140:1:52,1603:45:16:140:2:522,1603:45:16:140:3:5221,Ouadda,CF5221,Ouadda,,,Ouadda,CF522,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5222,5222,1603:45:16:140:0,1603:45:16:140:1:52,1603:45:16:140:2:522,1603:45:16:140:3:5222,Ouandja Kotto,CF5222,Ouandja Kotto,,,Ouadda,CF522,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5231,5231,1603:45:16:140:0,1603:45:16:140:1:52,1603:45:16:140:2:523,1603:45:16:140:3:5231,Yalinga,CF5231,Yalinga,,,Yalinga,CF523,Haute-Kotto,CF52,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5311,5311,1603:45:16:140:0,1603:45:16:140:1:53,1603:45:16:140:2:531,1603:45:16:140:3:5311,Ridina,CF5311,Ridina,,,Birao,CF531,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5312,5312,1603:45:16:140:0,1603:45:16:140:1:53,1603:45:16:140:2:531,1603:45:16:140:3:5312,Ouandja,CF5312,Ouandja,,,Birao,CF531,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:5321,5321,1603:45:16:140:0,1603:45:16:140:1:53,1603:45:16:140:2:532,1603:45:16:140:3:5321,Vokouma,CF5321,Vokouma,,,Ouanda-Djallé,CF532,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6111,6111,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:611,1603:45:16:140:3:6111,Mobaye,CF6111,Mobaye,,,Mobaye,CF611,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6112,6112,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:611,1603:45:16:140:3:6112,Mbéima,CF6112,Mbeima,,,Mobaye,CF611,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6121,6121,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:612,1603:45:16:140:3:6121,Alindao,CF6121,Alindao,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6122,6122,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:612,1603:45:16:140:3:6122,Guiligui,CF6122,Guiligui,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6123,6123,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:612,1603:45:16:140:3:6123,Bangui-Ketté,CF6123,Bangui-Kette,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6124,6124,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:612,1603:45:16:140:3:6124,Bakou,CF6124,Bakou,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6125,6125,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:612,1603:45:16:140:3:6125,Yambélé-Ewou,CF6125,Yambeie-Ewou,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6131,6131,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:613,1603:45:16:140:3:6131,Kembé,CF6131,Kembe,,,Kembé,CF613,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6132,6132,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:613,1603:45:16:140:3:6132,Mboui,CF6132,Mboui,,,Kembé,CF613,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6141,6141,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:614,1603:45:16:140:3:6141,Siriki,CF6141,Siriki,,,Mingala,CF614,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6142,6142,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:614,1603:45:16:140:3:6142,Kotto,CF6142,Kotto,,,Mingala,CF614,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6143,6143,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:614,1603:45:16:140:3:6143,Séliba,CF6143,Seliba,,,Mingala,CF614,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6151,6151,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:615,1603:45:16:140:3:6151,Ouambé,CF6151,Ouambe,,,Zangba,CF615,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6152,6152,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:615,1603:45:16:140:3:6152,Yabongo,CF6152,Yabongo,,,Zangba,CF615,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6161,6161,1603:45:16:140:0,1603:45:16:140:1:61,1603:45:16:140:2:616,1603:45:16:140:3:6161,Kotto-Oubangui,CF6161,Kotto-Oubangui,,,Satéma,CF616,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6211,6211,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:621,1603:45:16:140:3:6211,Bangassou,CF6211,Bangassou,,,Bangassou,CF621,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6212,6212,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:621,1603:45:16:140:3:6212,Sayo Niakari,CF6212,Sayo Niakari,,,Bangassou,CF621,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6213,6213,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:621,1603:45:16:140:3:6213,Voungba-Balifondo,CF6213,Voungba-Balifondo,,,Bangassou,CF621,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6214,6214,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:621,1603:45:16:140:3:6214,Zangandou,CF6214,Zangandou,,,Bangassou,CF621,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6221,6221,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:622,1603:45:16:140:3:6221,Ouango,CF6221,Ouango,,,Ouango,CF622,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6222,6222,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:622,1603:45:16:140:3:6222,Ngbandinga,CF6222,Ngbandinga,,,Ouango,CF622,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6231,6231,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:623,1603:45:16:140:3:6231,Gambo,CF6231,Gambo,,,Gambo,CF623,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6232,6232,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:623,1603:45:16:140:3:6232,Ngandou,CF6232,Ngandou,,,Gambo,CF623,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6241,6241,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:624,1603:45:16:140:3:6241,Rafai,CF6241,Rafai,,,Rafai,CF624,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6251,6251,1603:45:16:140:0,1603:45:16:140:1:62,1603:45:16:140:2:625,1603:45:16:140:3:6251,Bakouma,CF6251,Bakouma,,,Bakouma,CF625,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6311,6311,1603:45:16:140:0,1603:45:16:140:1:63,1603:45:16:140:2:631,1603:45:16:140:3:6311,Obo,CF6311,Obo,,,Obo,CF631,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6312,6312,1603:45:16:140:0,1603:45:16:140:1:63,1603:45:16:140:2:631,1603:45:16:140:3:6312,Mboki,CF6312,Mboki,,,Obo,CF631,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6321,6321,1603:45:16:140:0,1603:45:16:140:1:63,1603:45:16:140:2:632,1603:45:16:140:3:6321,Lili,CF6321,Lili,,,Bambouti,CF632,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6331,6331,1603:45:16:140:0,1603:45:16:140:1:63,1603:45:16:140:2:633,1603:45:16:140:3:6331,Zémio,CF6331,Zemio,,,Zémio,CF633,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:6341,6341,1603:45:16:140:0,1603:45:16:140:1:63,1603:45:16:140:2:634,1603:45:16:140:3:6341,Djéma,CF6341,Djema,,,Djéma,CF634,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:7111,7111,1603:45:16:140:0,1603:45:16:140:1:71,1603:45:16:140:2:711,1603:45:16:140:3:7111,Arrondissement 1,CF7111,Arrondissement 1,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:7112,7112,1603:45:16:140:0,1603:45:16:140:1:71,1603:45:16:140:2:711,1603:45:16:140:3:7112,Arrondissement 2,CF7112,Arrondissement 2,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:7113,7113,1603:45:16:140:0,1603:45:16:140:1:71,1603:45:16:140:2:711,1603:45:16:140:3:7113,Arrondissement 3,CF7113,Arrondissement 3,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:7114,7114,1603:45:16:140:0,1603:45:16:140:1:71,1603:45:16:140:2:711,1603:45:16:140:3:7114,Arrondissement 4,CF7114,Arrondissement 4,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:7115,7115,1603:45:16:140:0,1603:45:16:140:1:71,1603:45:16:140:2:711,1603:45:16:140:3:7115,Arrondissement 5,CF7115,Arrondissement 5,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:7116,7116,1603:45:16:140:0,1603:45:16:140:1:71,1603:45:16:140:2:711,1603:45:16:140:3:7116,Arrondissement 6,CF7116,Arrondissement 6,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:7117,7117,1603:45:16:140:0,1603:45:16:140:1:71,1603:45:16:140:2:711,1603:45:16:140:3:7117,Arrondissement 7,CF7117,Arrondissement 7,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
1603:45:16:140:3:7118,7118,1603:45:16:140:0,1603:45:16:140:1:71,1603:45:16:140:2:711,1603:45:16:140:3:7118,Arrondissement 8,CF7118,Arrondissement 8,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2020-12-01,
