#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:450:3:11101001,11101001,1603:45:16:450:0,1603:45:16:450:1:11,1603:45:16:450:2:11101001,1603:45:16:450:3:11101001,1er Arrondissement,MG11101001,,,,1er Arrondissement,MG11101001A,Analamanga,MG11,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111052,14111052,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111052,Maritampona,MG14111052,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111070,14111070,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111070,Bevato,MG14111070,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111090,14111090,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111090,Ankadinondry Sakay,MG14111090,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111110,14111110,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111110,Ankerana Avaratra,MG14111110,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111130,14111130,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111130,Miandrarivo,MG14111130,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111150,14111150,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111150,Tsinjoarivo Imanga,MG14111150,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111170,14111170,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111170,Soanierana,MG14111170,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111190,14111190,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111190,Anosy,MG14111190,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111210,14111210,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111210,Ambararatabe,MG14111210,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111230,14111230,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111230,Belobaka,MG14111230,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111250,14111250,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111250,Ambalanirana,MG14111250,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111270,14111270,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111270,Mahasolo,MG14111270,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111290,14111290,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111290,Bemahatazana,MG14111290,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111310,14111310,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111310,Fierenana,MG14111310,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14111330,14111330,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14111,1603:45:16:450:3:14111330,Maroharona,MG14111330,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14119010,14119010,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14119,1603:45:16:450:3:14119010,Fenoarivo Centre,MG14119010,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14119031,14119031,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14119,1603:45:16:450:3:14119031,Firavahana,MG14119031,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14119032,14119032,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14119,1603:45:16:450:3:14119032,Morarano Maritampona,MG14119032,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14119051,14119051,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14119,1603:45:16:450:3:14119051,Kiranomena,MG14119051,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14119052,14119052,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14119,1603:45:16:450:3:14119052,Tsinjoarivo 22,MG14119052,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14119053,14119053,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14119,1603:45:16:450:3:14119053,Mahajeby,MG14119053,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14119071,14119071,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14119,1603:45:16:450:3:14119071,Ambohitromby,MG14119071,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:14119072,14119072,1603:45:16:450:0,1603:45:16:450:1:14,1603:45:16:450:2:14119,1603:45:16:450:3:14119072,Ambatomainty Atsimo,MG14119072,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21201001,21201001,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21201,1603:45:16:450:3:21201001,Tanana Ambony,MG21201001,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21201002,21201002,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21201,1603:45:16:450:3:21201002,Tanana Ambany,MG21201002,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21201003,21201003,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21201,1603:45:16:450:3:21201003,Andrainjato Avaratra,MG21201003,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21201004,21201004,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21201,1603:45:16:450:3:21201004,Andrainjato Sud,MG21201004,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21201005,21201005,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21201,1603:45:16:450:3:21201005,Manolafaka,MG21201005,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21201006,21201006,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21201,1603:45:16:450:3:21201006,Lalazana,MG21201006,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21201007,21201007,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21201,1603:45:16:450:3:21201007,Vatosola,MG21201007,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205010,21205010,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205010,Ambalavao,MG21205010,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205030,21205030,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205030,Manamisoa,MG21205030,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205050,21205050,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205050,Iarintsena,MG21205050,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205071,21205071,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205071,Ambohimandroso,MG21205071,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205072,21205072,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205072,Andrainjato,MG21205072,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205090,21205090,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205090,Anjoma,MG21205090,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205110,21205110,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205110,Kirano,MG21205110,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205130,21205130,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205130,Sendrisoa,MG21205130,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205150,21205150,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205150,Besoa,MG21205150,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205170,21205170,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205170,Mahazony,MG21205170,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205190,21205190,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205190,Ambinanindovoka,MG21205190,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205211,21205211,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205211,Ankaramena,MG21205211,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205212,21205212,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205212,Ambinaniroa,MG21205212,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205230,21205230,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205230,Ambohimahamasina,MG21205230,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205250,21205250,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205250,Miarinarivo,MG21205250,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205270,21205270,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205270,Vohitsaoka,MG21205270,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21205290,21205290,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21205,1603:45:16:450:3:21205290,Fenoarivo,MG21205290,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208010,21208010,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208010,Ambohimahasoa,MG21208010,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208030,21208030,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208030,Ampitana,MG21208030,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208050,21208050,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208050,Ankerana,MG21208050,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208071,21208071,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208071,Manandroy,MG21208071,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208072,21208072,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208072,Ambalakindresy,MG21208072,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208090,21208090,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208090,Ankafina Tsarafidy,MG21208090,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208110,21208110,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208110,Sahave,MG21208110,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208130,21208130,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208130,Morafeno,MG21208130,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208150,21208150,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208150,Ikalalao,MG21208150,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208170,21208170,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208170,Vohiposa,MG21208170,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208190,21208190,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208190,Ambatosoa,MG21208190,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208211,21208211,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208211,Isaka,MG21208211,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208212,21208212,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208212,Vohitrarivo,MG21208212,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208230,21208230,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208230,Ambohinamboarina,MG21208230,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208251,21208251,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208251,Sahatona,MG21208251,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208252,21208252,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208252,Camp Robin,MG21208252,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208270,21208270,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208270,Befeta,MG21208270,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21208290,21208290,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21208,1603:45:16:450:3:21208290,Fiadanana,MG21208290,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21219010,21219010,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21219,1603:45:16:450:3:21219010,Ikalamavony,MG21219010,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21219030,21219030,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21219,1603:45:16:450:3:21219030,Mangidy,MG21219030,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21219050,21219050,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21219,1603:45:16:450:3:21219050,Solila,MG21219050,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21219070,21219070,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21219,1603:45:16:450:3:21219070,Ambatomainty,MG21219070,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21219090,21219090,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21219,1603:45:16:450:3:21219090,Fitampito,MG21219090,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21219110,21219110,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21219,1603:45:16:450:3:21219110,Tanamarina Sakay,MG21219110,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21219130,21219130,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21219,1603:45:16:450:3:21219130,Tsitondroina,MG21219130,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21219150,21219150,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21219,1603:45:16:450:3:21219150,Tanamarina Bekisopa,MG21219150,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220011,21220011,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220011,Andrainjato Centre,MG21220011,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220012,21220012,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220012,Andrainjato Est,MG21220012,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220030,21220030,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220030,Ambalakely,MG21220030,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220070,21220070,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220070,Ivoamba,MG21220070,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220090,21220090,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220090,Taindambo,MG21220090,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220111,21220111,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220111,Mahatsinjony,MG21220111,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220112,21220112,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220112,Sahambavy,MG21220112,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220210,21220210,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220210,Ambalamahasoa,MG21220210,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220250,21220250,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220250,Alakamisy Ambohimaha,MG21220250,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220330,21220330,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220330,Androy,MG21220330,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220350,21220350,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220350,Alatsinainy Ialamarina,MG21220350,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220430,21220430,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220430,Fandrandava,MG21220430,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21220630,21220630,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21220,1603:45:16:450:3:21220630,Ialananindro,MG21220630,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21224010,21224010,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21224,1603:45:16:450:3:21224010,Mahasoabe,MG21224010,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21224030,21224030,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21224,1603:45:16:450:3:21224030,Vinanitelo,MG21224030,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21224050,21224050,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21224,1603:45:16:450:3:21224050,Alakamisy Itenina,MG21224050,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21224070,21224070,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21224,1603:45:16:450:3:21224070,Talata Ampano,MG21224070,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21224090,21224090,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21224,1603:45:16:450:3:21224090,Ihazoara,MG21224090,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21224110,21224110,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21224,1603:45:16:450:3:21224110,Ankaromalaza Mifanasoa,MG21224110,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
1603:45:16:450:3:21224130,21224130,1603:45:16:450:0,1603:45:16:450:1:21,1603:45:16:450:2:21224,1603:45:16:450:3:21224130,Vohimarina,MG21224130,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
