#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_spa+is_latn,#adm2+name+i_eng+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_spa+is_latn,#adm2+name+alt2+i_spa+is_latn,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm1+name+i_spa+is_latn,#adm1+name+i_eng+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#country+name+i_eng+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:862:2:101,101,1603:45:16:862:0,1603:45:16:862:1:1,1603:45:16:862:2:101,Libertador,,VE0101,,,,,,Distrito Federal,,VE01,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:909,909,1603:45:16:862:0,1603:45:16:862:1:9,1603:45:16:862:2:909,Tinaco,,VE0909,,,,,,Cojedes,,VE09,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1001,1001,1603:45:16:862:0,1603:45:16:862:1:10,1603:45:16:862:2:1001,Antonio Diaz,,VE1001,,,,,,Delta Amacuro,,VE10,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1002,1002,1603:45:16:862:0,1603:45:16:862:1:10,1603:45:16:862:2:1002,Casacoima,,VE1002,,,,,,Delta Amacuro,,VE10,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1003,1003,1603:45:16:862:0,1603:45:16:862:1:10,1603:45:16:862:2:1003,Pedernales,,VE1003,,,,,,Delta Amacuro,,VE10,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1004,1004,1603:45:16:862:0,1603:45:16:862:1:10,1603:45:16:862:2:1004,Tucupita,,VE1004,,,,,,Delta Amacuro,,VE10,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1101,1101,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1101,Acosta,,VE1101,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1102,1102,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1102,Bolivar,,VE1102,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1103,1103,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1103,Buchivacoa,,VE1103,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1104,1104,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1104,Cacique Manaure,,VE1104,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1105,1105,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1105,Carirubana,,VE1105,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1106,1106,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1106,Colina,,VE1106,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1107,1107,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1107,Dabajuro,,VE1107,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1108,1108,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1108,Democracia,,VE1108,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1109,1109,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1109,Falcon,,VE1109,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1110,1110,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1110,Federacion,,VE1110,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1111,1111,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1111,Jacura,,VE1111,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1112,1112,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1112,Los Taques,,VE1112,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1113,1113,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1113,Mauroa,,VE1113,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1114,1114,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1114,Miranda,,VE1114,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1115,1115,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1115,Monseñor Iturriza,,VE1115,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1116,1116,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1116,Palmasola,,VE1116,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1117,1117,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1117,Petit,,VE1117,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1118,1118,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1118,Piritu,,VE1118,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1119,1119,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1119,San Francisco,,VE1119,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1120,1120,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1120,Silva,,VE1120,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1121,1121,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1121,Sucre,,VE1121,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1122,1122,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1122,Tocopero,,VE1122,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1123,1123,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1123,Union,,VE1123,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1124,1124,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1124,Urumaco,,VE1124,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1125,1125,1603:45:16:862:0,1603:45:16:862:1:11,1603:45:16:862:2:1125,Zamora,,VE1125,,,,,,Falcon,,VE11,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1201,1201,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1201,Camaguan,,VE1201,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1202,1202,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1202,Chaguaramas,,VE1202,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1203,1203,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1203,El Socorro,,VE1203,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1204,1204,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1204,San Geronimo De Gu,,VE1204,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1205,1205,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1205,Leonardo Infante,,VE1205,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1206,1206,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1206,Las Mercedes,,VE1206,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1207,1207,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1207,Julian Mellado,,VE1207,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1208,1208,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1208,Francisco De Miran,,VE1208,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1209,1209,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1209,Jose Tadeo Monagas,,VE1209,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1210,1210,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1210,Ortiz,,VE1210,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1211,1211,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1211,Jose Felix Rivas,,VE1211,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1212,1212,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1212,Juan German Roscio,,VE1212,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1213,1213,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1213,San Jose De Guarib,,VE1213,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1214,1214,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1214,Santa Maria De Ipi,,VE1214,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1215,1215,1603:45:16:862:0,1603:45:16:862:1:12,1603:45:16:862:2:1215,Zaraza,,VE1215,,,,,,Guarico,,VE12,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1301,1301,1603:45:16:862:0,1603:45:16:862:1:13,1603:45:16:862:2:1301,Andres Eloy Blanco,,VE1301,,,,,,Lara,,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1302,1302,1603:45:16:862:0,1603:45:16:862:1:13,1603:45:16:862:2:1302,Crespo,,VE1302,,,,,,Lara,,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1303,1303,1603:45:16:862:0,1603:45:16:862:1:13,1603:45:16:862:2:1303,Iribarren,,VE1303,,,,,,Lara,,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1304,1304,1603:45:16:862:0,1603:45:16:862:1:13,1603:45:16:862:2:1304,Jimenez,,VE1304,,,,,,Lara,,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1305,1305,1603:45:16:862:0,1603:45:16:862:1:13,1603:45:16:862:2:1305,Moran,,VE1305,,,,,,Lara,,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1306,1306,1603:45:16:862:0,1603:45:16:862:1:13,1603:45:16:862:2:1306,Palavecino,,VE1306,,,,,,Lara,,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1307,1307,1603:45:16:862:0,1603:45:16:862:1:13,1603:45:16:862:2:1307,Simon Planas,,VE1307,,,,,,Lara,,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1308,1308,1603:45:16:862:0,1603:45:16:862:1:13,1603:45:16:862:2:1308,Torres,,VE1308,,,,,,Lara,,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1309,1309,1603:45:16:862:0,1603:45:16:862:1:13,1603:45:16:862:2:1309,Urdaneta,,VE1309,,,,,,Lara,,VE13,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1401,1401,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1401,Alberto Adriani,,VE1401,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1402,1402,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1402,Andres Bello,,VE1402,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1403,1403,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1403,Antonio Pinto Sali,,VE1403,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1404,1404,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1404,Aricagua,,VE1404,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1405,1405,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1405,Arzobispo Chacon,,VE1405,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1406,1406,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1406,Campo Elias,,VE1406,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1407,1407,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1407,Caracciolo Parra O,,VE1407,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1408,1408,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1408,Cardenal Quintero,,VE1408,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1409,1409,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1409,Guaraque,,VE1409,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1410,1410,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1410,Julio Cesar Salas,,VE1410,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1411,1411,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1411,Justo Briceño,,VE1411,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1412,1412,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1412,Libertador,,VE1412,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1413,1413,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1413,Miranda,,VE1413,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1414,1414,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1414,Obispo Ramos De Lo,,VE1414,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1415,1415,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1415,Padre Noguera,,VE1415,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1416,1416,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1416,Pueblo Llano,,VE1416,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1417,1417,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1417,Rangel,,VE1417,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1418,1418,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1418,Rivas Davila,,VE1418,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1419,1419,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1419,Santos Marquina,,VE1419,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1420,1420,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1420,Sucre,,VE1420,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1421,1421,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1421,Tovar,,VE1421,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1422,1422,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1422,Tulio Febres Corde,,VE1422,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1423,1423,1603:45:16:862:0,1603:45:16:862:1:14,1603:45:16:862:2:1423,Zea,,VE1423,,,,,,Merida,,VE14,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1501,1501,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1501,Acevedo,,VE1501,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1502,1502,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1502,Andres Bello,,VE1502,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1503,1503,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1503,Baruta,,VE1503,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1504,1504,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1504,Brion,,VE1504,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1505,1505,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1505,Buroz,,VE1505,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1506,1506,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1506,Carrizal,,VE1506,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1507,1507,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1507,Chacao,,VE1507,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1508,1508,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1508,Cristobal Rojas,,VE1508,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1509,1509,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1509,El Hatillo,,VE1509,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1510,1510,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1510,Guaicaipuro,,VE1510,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1511,1511,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1511,Independencia,,VE1511,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1512,1512,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1512,Lander,,VE1512,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1513,1513,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1513,Los Salias,,VE1513,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1514,1514,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1514,Paez,,VE1514,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1515,1515,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1515,Paz Castillo,,VE1515,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1516,1516,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1516,Pedro Gual,,VE1516,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1517,1517,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1517,Plaza,,VE1517,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1518,1518,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1518,Simon Bolivar,,VE1518,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1519,1519,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1519,Sucre,,VE1519,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1520,1520,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1520,Urdaneta,,VE1520,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1521,1521,1603:45:16:862:0,1603:45:16:862:1:15,1603:45:16:862:2:1521,Zamora,,VE1521,,,,,,Miranda,,VE15,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1601,1601,1603:45:16:862:0,1603:45:16:862:1:16,1603:45:16:862:2:1601,Acosta,,VE1601,,,,,,Monagas,,VE16,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1602,1602,1603:45:16:862:0,1603:45:16:862:1:16,1603:45:16:862:2:1602,Aguasay,,VE1602,,,,,,Monagas,,VE16,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
1603:45:16:862:2:1603,1603,1603:45:16:862:0,1603:45:16:862:1:16,1603:45:16:862:2:1603,Bolivar,,VE1603,,,,,,Monagas,,VE16,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2021-02-27,
