#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_ukr+is_cyrl,#adm2+name+i_rus+is_cyrl,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_ukr+is_cyrl,#adm2+name+alt2+i_ukr+is_cyrl,#adm2+name+alt1+i_rus+is_cyrl,#adm2+name+alt2+i_rus+is_cyrl,#adm1+name+i_eng+is_latn,#adm1+name+i_ukr+is_cyrl,#adm1+name+i_rus+is_cyrl,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_ukr+is_cyrl,#country+name+i_rus+is_cyrl,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:804:2:5104,5104,1603:45:16:804:0,1603:45:16:804:1:51,1603:45:16:804:2:5104,Bilhorod-Dnistrovskyi,Білгород-Дністровський,Белгород-Днестровский,UA5104,,,,,,,,Odeska,Одеська,Одесская,UA51,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5106,5106,1603:45:16:804:0,1603:45:16:804:1:51,1603:45:16:804:2:5106,Bolhradskyi,Болградський,Болградский,UA5106,,,,,,,,Odeska,Одеська,Одесская,UA51,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5108,5108,1603:45:16:804:0,1603:45:16:804:1:51,1603:45:16:804:2:5108,Izmailskyi,Ізмаїльський,Измаильский,UA5108,,,,,,,,Odeska,Одеська,Одесская,UA51,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5110,5110,1603:45:16:804:0,1603:45:16:804:1:51,1603:45:16:804:2:5110,Odeskyi,Одеський,Одесский,UA5110,,,,,,,,Odeska,Одеська,Одесская,UA51,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5112,5112,1603:45:16:804:0,1603:45:16:804:1:51,1603:45:16:804:2:5112,Podilskyi,Подільський,Подольский,UA5112,,,,,,,,Odeska,Одеська,Одесская,UA51,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5114,5114,1603:45:16:804:0,1603:45:16:804:1:51,1603:45:16:804:2:5114,Rozdilnianskyi,Роздільнянський,Раздельнянский,UA5114,,,,,,,,Odeska,Одеська,Одесская,UA51,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5302,5302,1603:45:16:804:0,1603:45:16:804:1:53,1603:45:16:804:2:5302,Kremenchutskyi,Кременчуцький,Кременчугский,UA5302,,,,,,,,Poltavska,Полтавська,Полтавская,UA53,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5304,5304,1603:45:16:804:0,1603:45:16:804:1:53,1603:45:16:804:2:5304,Lubenskyi,Лубенський,Лубенский,UA5304,,,,,,,,Poltavska,Полтавська,Полтавская,UA53,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5306,5306,1603:45:16:804:0,1603:45:16:804:1:53,1603:45:16:804:2:5306,Myrhorodskyi,Миргородський,Миргородский,UA5306,,,,,,,,Poltavska,Полтавська,Полтавская,UA53,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5308,5308,1603:45:16:804:0,1603:45:16:804:1:53,1603:45:16:804:2:5308,Poltavskyi,Полтавський,Полтавский,UA5308,,,,,,,,Poltavska,Полтавська,Полтавская,UA53,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5602,5602,1603:45:16:804:0,1603:45:16:804:1:56,1603:45:16:804:2:5602,Varaskyi,Вараський,Варашский,UA5602,,,,,,,,Rivnenska,Рівненська,Ровенская,UA56,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5604,5604,1603:45:16:804:0,1603:45:16:804:1:56,1603:45:16:804:2:5604,Dubenskyi,Дубенський,Дубенский,UA5604,,,,,,,,Rivnenska,Рівненська,Ровенская,UA56,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5606,5606,1603:45:16:804:0,1603:45:16:804:1:56,1603:45:16:804:2:5606,Rivnenskyi,Рівненський,Ровенский,UA5606,,,,,,,,Rivnenska,Рівненська,Ровенская,UA56,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5608,5608,1603:45:16:804:0,1603:45:16:804:1:56,1603:45:16:804:2:5608,Sarnenskyi,Сарненський,Сарненский,UA5608,,,,,,,,Rivnenska,Рівненська,Ровенская,UA56,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5902,5902,1603:45:16:804:0,1603:45:16:804:1:59,1603:45:16:804:2:5902,Konotopskyi,Конотопський,Конотопский,UA5902,,,,,,,,Sumska,Сумська,Сумская,UA59,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5904,5904,1603:45:16:804:0,1603:45:16:804:1:59,1603:45:16:804:2:5904,Okhtyrskyi,Охтирський,Ахтырский,UA5904,,,,,,,,Sumska,Сумська,Сумская,UA59,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5906,5906,1603:45:16:804:0,1603:45:16:804:1:59,1603:45:16:804:2:5906,Romenskyi,Роменський,Роменский,UA5906,,,,,,,,Sumska,Сумська,Сумская,UA59,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5908,5908,1603:45:16:804:0,1603:45:16:804:1:59,1603:45:16:804:2:5908,Sumskyi,Сумський,Сумский,UA5908,,,,,,,,Sumska,Сумська,Сумская,UA59,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:5910,5910,1603:45:16:804:0,1603:45:16:804:1:59,1603:45:16:804:2:5910,Shostkynskyi,Шосткинський,Шосткинский,UA5910,,,,,,,,Sumska,Сумська,Сумская,UA59,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6102,6102,1603:45:16:804:0,1603:45:16:804:1:61,1603:45:16:804:2:6102,Kremenetskyi,Кременецький,Кременецкий,UA6102,,,,,,,,Ternopilska,Тернопільська,Тернопольская,UA61,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6104,6104,1603:45:16:804:0,1603:45:16:804:1:61,1603:45:16:804:2:6104,Ternopilskyi,Тернопільський,Тернопольский,UA6104,,,,,,,,Ternopilska,Тернопільська,Тернопольская,UA61,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6106,6106,1603:45:16:804:0,1603:45:16:804:1:61,1603:45:16:804:2:6106,Chortkivskyi,Чортківський,Чортковский,UA6106,,,,,,,,Ternopilska,Тернопільська,Тернопольская,UA61,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6302,6302,1603:45:16:804:0,1603:45:16:804:1:63,1603:45:16:804:2:6302,Bohodukhivskyi,Богодухівський,Богодуховский,UA6302,,,,,,,,Kharkivska,Харківська,Харьковская,UA63,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6304,6304,1603:45:16:804:0,1603:45:16:804:1:63,1603:45:16:804:2:6304,Iziumskyi,Ізюмський,Изюмский,UA6304,,,,,,,,Kharkivska,Харківська,Харьковская,UA63,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6306,6306,1603:45:16:804:0,1603:45:16:804:1:63,1603:45:16:804:2:6306,Krasnohradskyi,Красноградський,Красноградский,UA6306,,,,,,,,Kharkivska,Харківська,Харьковская,UA63,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6308,6308,1603:45:16:804:0,1603:45:16:804:1:63,1603:45:16:804:2:6308,Kupianskyi,Куп'янський,Купянский,UA6308,,,,,,,,Kharkivska,Харківська,Харьковская,UA63,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6310,6310,1603:45:16:804:0,1603:45:16:804:1:63,1603:45:16:804:2:6310,Lozivskyi,Лозівський,Лозовский,UA6310,,,,,,,,Kharkivska,Харківська,Харьковская,UA63,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6312,6312,1603:45:16:804:0,1603:45:16:804:1:63,1603:45:16:804:2:6312,Kharkivskyi,Харківський,Харьковский,UA6312,,,,,,,,Kharkivska,Харківська,Харьковская,UA63,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6314,6314,1603:45:16:804:0,1603:45:16:804:1:63,1603:45:16:804:2:6314,Chuhuivskyi,Чугуївський,Чугуевский,UA6314,,,,,,,,Kharkivska,Харківська,Харьковская,UA63,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6502,6502,1603:45:16:804:0,1603:45:16:804:1:65,1603:45:16:804:2:6502,Beryslavskyi,Бериславський,Бериславский,UA6502,,,,,,,,Khersonska,Херсонська,Херсонская,UA65,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6504,6504,1603:45:16:804:0,1603:45:16:804:1:65,1603:45:16:804:2:6504,Henicheskyi,Генічеський,Генический,UA6504,,,,,,,,Khersonska,Херсонська,Херсонская,UA65,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6506,6506,1603:45:16:804:0,1603:45:16:804:1:65,1603:45:16:804:2:6506,Kakhovskyi,Каховський,Каховский,UA6506,,,,,,,,Khersonska,Херсонська,Херсонская,UA65,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6508,6508,1603:45:16:804:0,1603:45:16:804:1:65,1603:45:16:804:2:6508,Skadovskyi,Скадовський,Скадовский,UA6508,,,,,,,,Khersonska,Херсонська,Херсонская,UA65,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6510,6510,1603:45:16:804:0,1603:45:16:804:1:65,1603:45:16:804:2:6510,Khersonskyi,Херсонський,Херсонский,UA6510,,,,,,,,Khersonska,Херсонська,Херсонская,UA65,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6802,6802,1603:45:16:804:0,1603:45:16:804:1:68,1603:45:16:804:2:6802,Kamianets-Podilskyi,Кам'янець-Подільський,Каменец-Подольский,UA6802,,,,,,,,Khmelnytska,Хмельницька,Хмельницкая,UA68,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6804,6804,1603:45:16:804:0,1603:45:16:804:1:68,1603:45:16:804:2:6804,Khmelnytskyi,Хмельницький,Хмельницкий,UA6804,,,,,,,,Khmelnytska,Хмельницька,Хмельницкая,UA68,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:6806,6806,1603:45:16:804:0,1603:45:16:804:1:68,1603:45:16:804:2:6806,Shepetivskyi,Шепетівський,Шепетовский,UA6806,,,,,,,,Khmelnytska,Хмельницька,Хмельницкая,UA68,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7102,7102,1603:45:16:804:0,1603:45:16:804:1:71,1603:45:16:804:2:7102,Zvenyhorodskyi,Звенигородський,Звенигородский,UA7102,,,,,,,,Cherkaska,Черкаська,Черкасская,UA71,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7104,7104,1603:45:16:804:0,1603:45:16:804:1:71,1603:45:16:804:2:7104,Zolotoniskyi,Золотоніський,Золотоношский,UA7104,,,,,,,,Cherkaska,Черкаська,Черкасская,UA71,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7106,7106,1603:45:16:804:0,1603:45:16:804:1:71,1603:45:16:804:2:7106,Umanskyi,Уманський,Уманский,UA7106,,,,,,,,Cherkaska,Черкаська,Черкасская,UA71,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7108,7108,1603:45:16:804:0,1603:45:16:804:1:71,1603:45:16:804:2:7108,Cherkaskyi,Черкаський,Черкасский,UA7108,,,,,,,,Cherkaska,Черкаська,Черкасская,UA71,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7302,7302,1603:45:16:804:0,1603:45:16:804:1:73,1603:45:16:804:2:7302,Vyzhnytskyi,Вижницький,Вижницкий,UA7302,,,,,,,,Chernivetska,Чернівецька,Черновицкая,UA73,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7304,7304,1603:45:16:804:0,1603:45:16:804:1:73,1603:45:16:804:2:7304,Dnistrovskyi,Дністровський,Днестровский,UA7304,,,,,,,,Chernivetska,Чернівецька,Черновицкая,UA73,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7306,7306,1603:45:16:804:0,1603:45:16:804:1:73,1603:45:16:804:2:7306,Cnernivetskyi,Чернівецький,Черновицкий,UA7306,,,,,,,,Chernivetska,Чернівецька,Черновицкая,UA73,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7402,7402,1603:45:16:804:0,1603:45:16:804:1:74,1603:45:16:804:2:7402,Koriukivskyi,Корюківський,Корюковский,UA7402,,,,,,,,Chernihivska,Чернігівська,Черниговская,UA74,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7404,7404,1603:45:16:804:0,1603:45:16:804:1:74,1603:45:16:804:2:7404,Nizhynskyi,Ніжинський,Нежинский,UA7404,,,,,,,,Chernihivska,Чернігівська,Черниговская,UA74,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7406,7406,1603:45:16:804:0,1603:45:16:804:1:74,1603:45:16:804:2:7406,Novhorod-Siverskyi,Новгород-Сіверський,Новгород-Северский,UA7406,,,,,,,,Chernihivska,Чернігівська,Черниговская,UA74,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7408,7408,1603:45:16:804:0,1603:45:16:804:1:74,1603:45:16:804:2:7408,Prylutskyi,Прилуцький,Прилукский,UA7408,,,,,,,,Chernihivska,Чернігівська,Черниговская,UA74,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:7410,7410,1603:45:16:804:0,1603:45:16:804:1:74,1603:45:16:804:2:7410,Chernihivskyi,Чернігівський,Черниговский,UA7410,,,,,,,,Chernihivska,Чернігівська,Черниговская,UA74,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:8000,8000,1603:45:16:804:0,1603:45:16:804:1:80,1603:45:16:804:2:8000,Kyivska,Київська,Киевский,UA8000,,,,,,,,Kyivska,Київська,Киевская,UA80,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
1603:45:16:804:2:8500,8500,1603:45:16:804:0,1603:45:16:804:1:85,1603:45:16:804:2:8500,Sevastopilska,Севастопільська,Севастопольский,UA8500,,,,,,,,Sevastopilska,Севастопільська,Севастопольский,UA85,Ukraine,Україна,Украина,UA,2022-01-18,2022-01-31,
