#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:626:3:30501,30501,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:305,1603:45:16:626:3:30501,Vemase,TL030501,,,,Vemasse,TL0305,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30502,30502,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:305,1603:45:16:626:3:30502,Ostico,TL030502,,,,Vemasse,TL0305,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30503,30503,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:305,1603:45:16:626:3:30503,Ossoala,TL030503,,,,Vemasse,TL0305,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30504,30504,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:305,1603:45:16:626:3:30504,Loilubo,TL030504,,,,Vemasse,TL0305,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30505,30505,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:305,1603:45:16:626:3:30505,Uaigae,TL030505,,,,Vemasse,TL0305,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30506,30506,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:305,1603:45:16:626:3:30506,Uatu-Lari,TL030506,,,,Vemasse,TL0305,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30507,30507,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:305,1603:45:16:626:3:30507,Caicua,TL030507,,,,Vemasse,TL0305,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30601,30601,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:306,1603:45:16:626:3:30601,Bado Ho'o,TL030601,Bado Hoo,,,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30602,30602,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:306,1603:45:16:626:3:30602,Baha Mori,TL030602,,,,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30603,30603,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:306,1603:45:16:626:3:30603,Uailaha,TL030603,,,,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30604,30604,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:306,1603:45:16:626:3:30604,Uaiolo,TL030604,,,,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30605,30605,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:306,1603:45:16:626:3:30605,Uma Ana Ico,TL030605,,,,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30606,30606,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:306,1603:45:16:626:3:30606,Uma Ana Ulu,TL030606,,,,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30607,30607,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:306,1603:45:16:626:3:30607,Fatulia,TL030607,,,,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:30608,30608,1603:45:16:626:0,1603:45:16:626:1:3,1603:45:16:626:2:306,1603:45:16:626:3:30608,Uataco,TL030608,,,,Venilale,TL0306,Baucau,TL03,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40101,40101,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:401,1603:45:16:626:3:40101,Lahomea,TL040101,,,,Maliana,TL0401,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40102,40102,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:401,1603:45:16:626:3:40102,Rraifun,TL040102,,,,Maliana,TL0401,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40103,40103,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:401,1603:45:16:626:3:40103,Ritabou,TL040103,,,,Maliana,TL0401,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40104,40104,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:401,1603:45:16:626:3:40104,Odomau,TL040104,,,,Maliana,TL0401,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40105,40105,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:401,1603:45:16:626:3:40105,Holsa,TL040105,,,,Maliana,TL0401,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40106,40106,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:401,1603:45:16:626:3:40106,Tapo/Memo,TL040106,,,,Maliana,TL0401,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40107,40107,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:401,1603:45:16:626:3:40107,Saburai,TL040107,,,,Maliana,TL0401,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40201,40201,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:402,1603:45:16:626:3:40201,Rraiheu,TL040201,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40202,40202,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:402,1603:45:16:626:3:40202,Goulolo,TL040202,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40203,40203,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:402,1603:45:16:626:3:40203,Meligo,TL040203,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40204,40204,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:402,1603:45:16:626:3:40204,Atudara,TL040204,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40205,40205,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:402,1603:45:16:626:3:40205,Ppurugoa,TL040205,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40206,40206,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:402,1603:45:16:626:3:40206,Dau Udo,TL040206,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40207,40207,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:402,1603:45:16:626:3:40207,Guenu Lai,TL040207,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40208,40208,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:402,1603:45:16:626:3:40208,Manapa,TL040208,,,,Cailaco,TL0402,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40301,40301,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:403,1603:45:16:626:3:40301,Balibo Vila,TL040301,,,,Balibo,TL0403,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40302,40302,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:403,1603:45:16:626:3:40302,Leohito,TL040302,,,,Balibo,TL0403,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40303,40303,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:403,1603:45:16:626:3:40303,Cowa,TL040303,,,,Balibo,TL0403,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40304,40304,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:403,1603:45:16:626:3:40304,Leolima,TL040304,,,,Balibo,TL0403,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40305,40305,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:403,1603:45:16:626:3:40305,Sanirin,TL040305,,,,Balibo,TL0403,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40306,40306,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:403,1603:45:16:626:3:40306,Batugade,TL040306,,,,Balibo,TL0403,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40401,40401,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:404,1603:45:16:626:3:40401,Aidabaleten,TL040401,,,,Atabae,TL0404,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40402,40402,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:404,1603:45:16:626:3:40402,Atabae,TL040402,,,,Atabae,TL0404,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40403,40403,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:404,1603:45:16:626:3:40403,Rairobo,TL040403,,,,Atabae,TL0404,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40404,40404,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:404,1603:45:16:626:3:40404,Hataz,TL040404,,,,Atabae,TL0404,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40501,40501,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:405,1603:45:16:626:3:40501,Opa,TL040501,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40502,40502,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:405,1603:45:16:626:3:40502,Lupal,TL040502,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40503,40503,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:405,1603:45:16:626:3:40503,Guda,TL040503,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40504,40504,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:405,1603:45:16:626:3:40504,Deudet,TL040504,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40505,40505,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:405,1603:45:16:626:3:40505,Lebos,TL040505,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40506,40506,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:405,1603:45:16:626:3:40506,Lontas,TL040506,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40507,40507,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:405,1603:45:16:626:3:40507,Gildapil,TL040507,,,,Lolotoe,TL0405,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40601,40601,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40601,Ai-Assa,TL040601,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40602,40602,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40602,Atu-Aben,TL040602,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40603,40603,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40603,Bobonaro,TL040603,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40604,40604,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40604,Carabau,TL040604,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40605,40605,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40605,Colimau,TL040605,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40606,40606,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40606,Cotabot,TL040606,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40607,40607,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40607,Lourba,TL040607,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40608,40608,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40608,Lour,TL040608,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40609,40609,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40609,Leber,TL040609,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40610,40610,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40610,Malilait,TL040610,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40611,40611,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40611,Molop,TL040611,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40612,40612,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40612,Male-Ubu,TL040612,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40613,40613,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40613,Oe-leu,TL040613,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40614,40614,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40614,Soilesu,TL040614,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40615,40615,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40615,Sibuni,TL040615,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40616,40616,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40616,Tapo,TL040616,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40617,40617,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40617,Tebabui,TL040617,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:40618,40618,1603:45:16:626:0,1603:45:16:626:1:4,1603:45:16:626:2:406,1603:45:16:626:3:40618,Ilat-Laun,TL040618,,,,Bobonaro,TL0406,Bobonaro,TL04,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50101,50101,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:501,1603:45:16:626:3:50101,Fatululic,TL050101,,,,Fatululic,TL0501,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50102,50102,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:501,1603:45:16:626:3:50102,Taroman,TL050102,,,,Fatululic,TL0501,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50201,50201,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:502,1603:45:16:626:3:50201,Fatumea,TL050201,,,,Fatumean,TL0502,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50202,50202,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:502,1603:45:16:626:3:50202,Belulik Leten,TL050202,,,,Fatumean,TL0502,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50203,50203,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:502,1603:45:16:626:3:50203,Nanu,TL050203,,,,Fatumean,TL0502,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50301,50301,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:503,1603:45:16:626:3:50301,Fohoren,TL050301,,,,Forohem,TL0503,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50302,50302,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:503,1603:45:16:626:3:50302,Lactos,TL050302,,,,Forohem,TL0503,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50303,50303,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:503,1603:45:16:626:3:50303,Dato Rua,TL050303,,,,Forohem,TL0503,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50304,50304,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:503,1603:45:16:626:3:50304,Dato Tolu,TL050304,,,,Forohem,TL0503,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50401,50401,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:504,1603:45:16:626:3:50401,Holpilat,TL050401,,,,Maukatar,TL0504,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50402,50402,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:504,1603:45:16:626:3:50402,Ogues,TL050402,,,,Maukatar,TL0504,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50403,50403,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:504,1603:45:16:626:3:50403,Matai,TL050403,,,,Maukatar,TL0504,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50404,50404,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:504,1603:45:16:626:3:50404,Belecasac,TL050404,,,,Maukatar,TL0504,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50501,50501,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:505,1603:45:16:626:3:50501,Beco,TL050501,,,,Suai,TL0505,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50502,50502,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:505,1603:45:16:626:3:50502,Debos,TL050502,,,,Suai,TL0505,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50503,50503,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:505,1603:45:16:626:3:50503,Suai Loro,TL050503,,,,Suai,TL0505,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50504,50504,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:505,1603:45:16:626:3:50504,Camenaça,TL050504,Camenaca,,,Suai,TL0505,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50505,50505,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:505,1603:45:16:626:3:50505,Labarai,TL050505,,,,Suai,TL0505,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50601,50601,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:506,1603:45:16:626:3:50601,Foholulic,TL050601,,,,Tilomar,TL0506,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50602,50602,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:506,1603:45:16:626:3:50602,Lalawa,TL050602,,,,Tilomar,TL0506,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50603,50603,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:506,1603:45:16:626:3:50603,Maudemo,TL050603,,,,Tilomar,TL0506,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50604,50604,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:506,1603:45:16:626:3:50604,Casabauc,TL050604,,,,Tilomar,TL0506,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50701,50701,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:507,1603:45:16:626:3:50701,Raimea,TL050701,,,,Zumalai,TL0507,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50702,50702,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:507,1603:45:16:626:3:50702,Zulo,TL050702,,,,Zumalai,TL0507,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50703,50703,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:507,1603:45:16:626:3:50703,Lour,TL050703,,,,Zumalai,TL0507,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50704,50704,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:507,1603:45:16:626:3:50704,Fatuleto,TL050704,,,,Zumalai,TL0507,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50705,50705,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:507,1603:45:16:626:3:50705,Mape,TL050705,,,,Zumalai,TL0507,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50706,50706,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:507,1603:45:16:626:3:50706,Lepo,TL050706,,,,Zumalai,TL0507,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50707,50707,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:507,1603:45:16:626:3:50707,Ucecai,TL050707,,,,Zumalai,TL0507,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:50708,50708,1603:45:16:626:0,1603:45:16:626:1:5,1603:45:16:626:2:507,1603:45:16:626:3:50708,Tashilin,TL050708,,,,Zumalai,TL0507,Covalima,TL05,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:60101,60101,1603:45:16:626:0,1603:45:16:626:1:6,1603:45:16:626:2:601,1603:45:16:626:3:60101,Lahane Ocidental,TL060101,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:60102,60102,1603:45:16:626:0,1603:45:16:626:1:6,1603:45:16:626:2:601,1603:45:16:626:3:60102,Vila Verde,TL060102,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:60103,60103,1603:45:16:626:0,1603:45:16:626:1:6,1603:45:16:626:2:601,1603:45:16:626:3:60103,Macarenhas,TL060103,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:60104,60104,1603:45:16:626:0,1603:45:16:626:1:6,1603:45:16:626:2:601,1603:45:16:626:3:60104,Caicoli,TL060104,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:60105,60105,1603:45:16:626:0,1603:45:16:626:1:6,1603:45:16:626:2:601,1603:45:16:626:3:60105,Colmera,TL060105,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:60106,60106,1603:45:16:626:0,1603:45:16:626:1:6,1603:45:16:626:2:601,1603:45:16:626:3:60106,Motael,TL060106,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
1603:45:16:626:3:60107,60107,1603:45:16:626:0,1603:45:16:626:1:6,1603:45:16:626:2:601,1603:45:16:626:3:60107,Dare,TL060107,,,,Vera Cruz,TL0601,Dili,TL06,Timor-Leste,TL,2006-12-10,2020-09-16,
