qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,spa-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:591:3:20510,20510,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20510,Santa Rosa,PA020510,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20511,20511,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20511,Santo Domingo,PA020511,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20512,20512,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20512,Sortová,PA020512,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20513,20513,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20513,Volcán,PA020513,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20601,20601,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20601,Bijagual,PA020601,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20602,20602,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20602,Chiriquí,PA020602,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20603,20603,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20603,Cochea,PA020603,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20604,20604,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20604,David,PA020604,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20605,20605,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20605,Guacá,PA020605,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20606,20606,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20606,Las Lomas,PA020606,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
