#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_spa+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:591:3:20506,20506,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20506,La Concepción,PA020506,La Concepcion,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20507,20507,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20507,La Estrella,PA020507,La Estrella,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20508,20508,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20508,San Andrés,PA020508,San Andres,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20509,20509,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20509,Santa Marta,PA020509,Santa Marta,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20510,20510,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20510,Santa Rosa,PA020510,Santa Rosa,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20511,20511,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20511,Santo Domingo,PA020511,Santo Domingo,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20512,20512,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20512,Sortová,PA020512,Sortova,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20513,20513,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:205,1603:45:16:591:3:20513,Volcán,PA020513,Volcan,,,Bugaba,PA0205,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20601,20601,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20601,Bijagual,PA020601,,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
1603:45:16:591:3:20602,20602,1603:45:16:591:0,1603:45:16:591:1:2,1603:45:16:591:2:206,1603:45:16:591:3:20602,Chiriquí,PA020602,Chiriqui,,,David,PA0206,Chiriquí,PA02,Panamá,PA,2020-06-15,2021-10-27,
