#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5003,#meta+rem+i_qcc+is_zxxx+ix_ERROR+adm3+name,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5002,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5002,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5001,#item+rem+i_qcc+is_zxxx+ix_wdataq7200235+rdf_p_wdata_q7200235_s5001,#item+rem+i_eng+is_latn+rdf_p_skos_preflabel_s5000,#item+rem+i_qcc+is_zxxx+ix_p297+rdf_p_p_p297_s5000,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:231:3:10409,10409,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10409,Maichew town,ET010409,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10410,10410,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10410,Korem town,ET010410,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10411,10411,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10411,Alamata town,ET010411,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10412,10412,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10412,Mekhoni town,ET010412,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10413,10413,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10413,Zata,ET010413,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10414,10414,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:104,1603:45:16:231:3:10414,Chercher,ET010414,,,,Southern,ET0104,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10501,10501,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:105,1603:45:16:231:3:10501,Kafta Humera,ET010501,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10502,10502,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:105,1603:45:16:231:3:10502,Welkait,ET010502,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10503,10503,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:105,1603:45:16:231:3:10503,Tsegede (TG),ET010503,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
1603:45:16:231:3:10504,10504,1603:45:16:231:0,1603:45:16:231:1:1,1603:45:16:231:2:105,1603:45:16:231:3:10504,Setit Humera,ET010504,,,,Western,ET0105,Tigray,ET01,Ethiopia,ET,2020-10-13,2021-12-16,
