#item+conceptum+numerordinatio,#item+conceptum+codicem,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5001+rdf_s_u2200_s5000,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5000+rdf_s_u2200_s5001,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5002+rdf_p_obo_bfo171_s5001+rdf_s_u2200_s5002,#item+rem+i_qcc+is_zxxx+rdf_a_obo_bfo29+rdf_p_obo_bfo124_s5003+rdf_p_obo_bfo171_s5002+rdf_s_u2200_s5003,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt0,#meta+ERROR+adm3+code+v_pcode,#meta+ERROR+adm3+name,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt1,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5003+ix_alt2,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5002,#meta+ERROR+adm2+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5001,#meta+ERROR+adm1+code+v_pcode,#item+rem+i_fra+is_latn+rdf_p_skos_preflabel_s5000,#meta+ERROR+country+code+v_iso3166p1a2,#item+rem+i_qcc+is_zxxx+rdf_p_p_p577_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p813_s1603+rdf_t_xsd_datetime,#item+rem+i_qcc+is_zxxx+rdf_p_p_p2699_s1603+rdf_t_xsd_datetime
1603:45:16:562:3:1001001,1001001,1603:45:16:562:0,1603:45:16:562:1:1,1603:45:16:562:2:1001,1603:45:16:562:3:1001001,Aderbissinat,NE001001001,,,,Aderbissinat,NE001001,Agadez,NE001,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4006002,4006002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4006,1603:45:16:562:3:4006002,Djiratawa,NE004006002,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4006003,4006003,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4006,1603:45:16:562:3:4006003,Gabi,NE004006003,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4006004,4006004,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4006,1603:45:16:562:3:4006004,Madarounfa,NE004006004,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4006005,4006005,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4006,1603:45:16:562:3:4006005,Safo,NE004006005,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4006006,4006006,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4006,1603:45:16:562:3:4006006,Sarkin Yamma,NE004006006,,,,Madarounfa,NE004006,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4007001,4007001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4007,1603:45:16:562:3:4007001,Maradi Arrondissement 1,NE004007001,,,,Ville De Maradi,NE004007,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4007002,4007002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4007,1603:45:16:562:3:4007002,Maradi Arrondissement 2,NE004007002,,,,Ville De Maradi,NE004007,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4007003,4007003,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4007,1603:45:16:562:3:4007003,Maradi Arrondissement 3,NE004007003,,,,Ville De Maradi,NE004007,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4008001,4008001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4008,1603:45:16:562:3:4008001,Anttantane,NE004008001,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4008002,4008002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4008,1603:45:16:562:3:4008002,El Allassane Maireyrey,NE004008002,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4008003,4008003,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4008,1603:45:16:562:3:4008003,Guidan Amoumoune,NE004008003,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4008004,4008004,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4008,1603:45:16:562:3:4008004,Issawane,NE004008004,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4008005,4008005,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4008,1603:45:16:562:3:4008005,Kanan-Bakache,NE004008005,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4008006,4008006,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4008,1603:45:16:562:3:4008006,Mayahi,NE004008006,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4008007,4008007,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4008,1603:45:16:562:3:4008007,Sarkin Haoussa,NE004008007,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4008008,4008008,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4008,1603:45:16:562:3:4008008,Tchake,NE004008008,,,,Mayahi,NE004008,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4009001,4009001,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4009,1603:45:16:562:3:4009001,Baoudetta,NE004009001,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4009002,4009002,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4009,1603:45:16:562:3:4009002,Hawan Dawaki,NE004009002,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4009003,4009003,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4009,1603:45:16:562:3:4009003,Koona,NE004009003,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4009004,4009004,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4009,1603:45:16:562:3:4009004,Korgom,NE004009004,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4009005,4009005,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4009,1603:45:16:562:3:4009005,Maijirgui,NE004009005,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4009006,4009006,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4009,1603:45:16:562:3:4009006,Ourafane,NE004009006,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:4009007,4009007,1603:45:16:562:0,1603:45:16:562:1:4,1603:45:16:562:2:4009,1603:45:16:562:3:4009007,Tessaoua,NE004009007,,,,Tessaoua,NE004009,Maradi,NE004,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5001001,5001001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5001,1603:45:16:562:3:5001001,Abalak,NE005001001,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5001002,5001002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5001,1603:45:16:562:3:5001002,Akoubounou,NE005001002,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5001003,5001003,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5001,1603:45:16:562:3:5001003,Azeye,NE005001003,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5001004,5001004,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5001,1603:45:16:562:3:5001004,Tabalak,NE005001004,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5001005,5001005,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5001,1603:45:16:562:3:5001005,Tamaya,NE005001005,,,,Abalak,NE005001,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5002001,5002001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5002,1603:45:16:562:3:5002001,Bagaroua,NE005002001,,,,Bagaroua,NE005002,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5003001,5003001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5003,1603:45:16:562:3:5003001,Allela,NE005003001,,,,Birni N'Konni,NE005003,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5003002,5003002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5003,1603:45:16:562:3:5003002,Bagaza,NE005003002,,,,Birni N'Konni,NE005003,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5003003,5003003,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5003,1603:45:16:562:3:5003003,Birni N'Konni,NE005003003,,,,Birni N'Konni,NE005003,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5003004,5003004,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5003,1603:45:16:562:3:5003004,Tsernaoua,NE005003004,,,,Birni N'Konni,NE005003,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5004001,5004001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5004,1603:45:16:562:3:5004001,Allakaye,NE005004001,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5004002,5004002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5004,1603:45:16:562:3:5004002,Babankatami,NE005004002,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5004003,5004003,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5004,1603:45:16:562:3:5004003,Bouza,NE005004003,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5004004,5004004,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5004,1603:45:16:562:3:5004004,Deoule,NE005004004,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5004005,5004005,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5004,1603:45:16:562:3:5004005,Karofane,NE005004005,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5004006,5004006,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5004,1603:45:16:562:3:5004006,Tabotaki,NE005004006,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5004007,5004007,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5004,1603:45:16:562:3:5004007,Tama,NE005004007,,,,Bouza,NE005004,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5005001,5005001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5005,1603:45:16:562:3:5005001,Badaguichiri,NE005005001,,,,Illela,NE005005,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5005002,5005002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5005,1603:45:16:562:3:5005002,Illela,NE005005002,,,,Illela,NE005005,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5005003,5005003,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5005,1603:45:16:562:3:5005003,Tajae,NE005005003,,,,Illela,NE005005,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5006001,5006001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5006,1603:45:16:562:3:5006001,Garhanga,NE005006001,,,,Keita,NE005006,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5006002,5006002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5006,1603:45:16:562:3:5006002,Ibohamane,NE005006002,,,,Keita,NE005006,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5006003,5006003,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5006,1603:45:16:562:3:5006003,Keita,NE005006003,,,,Keita,NE005006,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5006004,5006004,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5006,1603:45:16:562:3:5006004,Tamaske,NE005006004,,,,Keita,NE005006,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5007001,5007001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5007,1603:45:16:562:3:5007001,Azarori,NE005007001,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5007002,5007002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5007,1603:45:16:562:3:5007002,Bangui,NE005007002,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5007003,5007003,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5007,1603:45:16:562:3:5007003,Galma Koudawatche,NE005007003,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5007004,5007004,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5007,1603:45:16:562:3:5007004,Madaoua,NE005007004,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5007005,5007005,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5007,1603:45:16:562:3:5007005,Ourno,NE005007005,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5007006,5007006,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5007,1603:45:16:562:3:5007006,Sabon Guida,NE005007006,,,,Madaoua,NE005007,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5008001,5008001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5008,1603:45:16:562:3:5008001,Doguerawa,NE005008001,,,,Malbaza,NE005008,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5008002,5008002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5008,1603:45:16:562:3:5008002,Malbaza,NE005008002,,,,Malbaza,NE005008,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5009001,5009001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5009,1603:45:16:562:3:5009001,Affala,NE005009001,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5009002,5009002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5009,1603:45:16:562:3:5009002,Bambeye,NE005009002,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5009003,5009003,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5009,1603:45:16:562:3:5009003,Barmou,NE005009003,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5009004,5009004,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5009,1603:45:16:562:3:5009004,Kalfou,NE005009004,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5009005,5009005,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5009,1603:45:16:562:3:5009005,Takanamat,NE005009005,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5009006,5009006,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5009,1603:45:16:562:3:5009006,Tebaram,NE005009006,,,,Tahoua,NE005009,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5010001,5010001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5010,1603:45:16:562:3:5010001,Tassara,NE005010001,,,,Tassara,NE005010,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5011001,5011001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5011,1603:45:16:562:3:5011001,Kao,NE005011001,,,,Tchintabaraden,NE005011,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5011002,5011002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5011,1603:45:16:562:3:5011002,Tchintabaraden,NE005011002,,,,Tchintabaraden,NE005011,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5012001,5012001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5012,1603:45:16:562:3:5012001,Tillia,NE005012001,,,,Tillia,NE005012,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5013001,5013001,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5013,1603:45:16:562:3:5013001,Tahoua Arrondissement 1,NE005013001,,,,Ville De Tahoua,NE005013,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:5013002,5013002,1603:45:16:562:0,1603:45:16:562:1:5,1603:45:16:562:2:5013,1603:45:16:562:3:5013002,Tahoua Arrondissement 2,NE005013002,,,,Ville De Tahoua,NE005013,Tahoua,NE005,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6001001,6001001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6001,1603:45:16:562:3:6001001,Abala,NE006001001,,,,Abala,NE006001,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6001002,6001002,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6001,1603:45:16:562:3:6001002,Sanam,NE006001002,,,,Abala,NE006001,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6002001,6002001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6002,1603:45:16:562:3:6002001,Ayerou,NE006002001,,,,Ayerou,NE006002,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6002002,6002002,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6002,1603:45:16:562:3:6002002,Inates,NE006002002,,,,Ayerou,NE006002,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6003001,6003001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6003,1603:45:16:562:3:6003001,Tagazar,NE006003001,,,,Balleyara,NE006003,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6004001,6004001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6004,1603:45:16:562:3:6004001,Banibangou,NE006004001,,,,Banibangou,NE006004,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6005001,6005001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6005,1603:45:16:562:3:6005001,Bankilare,NE006005001,,,,Bankilare,NE006005,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6006001,6006001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6006,1603:45:16:562:3:6006001,FILINGUE,NE006006001,,,,Filingue,NE006006,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6006002,6006002,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6006,1603:45:16:562:3:6006002,Imanan,NE006006002,,,,Filingue,NE006006,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6006003,6006003,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6006,1603:45:16:562:3:6006003,Kourfeye Centre,NE006006003,,,,Filingue,NE006006,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6006004,6006004,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6006,1603:45:16:562:3:6006004,Tondikandia,NE006006004,,,,Filingue,NE006006,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6007001,6007001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6007,1603:45:16:562:3:6007001,Dargol,NE006007001,,,,Gotheye,NE006007,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6007002,6007002,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6007,1603:45:16:562:3:6007002,Gotheye,NE006007002,,,,Gotheye,NE006007,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008001,6008001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008001,Bitinkodji,NE006008001,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008002,6008002,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008002,Diantchandou,NE006008002,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008003,6008003,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008003,Hamdallaye,NE006008003,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008004,6008004,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008004,Karma,NE006008004,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008005,6008005,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008005,Kirtachi,NE006008005,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008006,6008006,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008006,Kollo,NE006008006,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008007,6008007,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008007,Koure,NE006008007,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008008,6008008,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008008,Libore,NE006008008,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008009,6008009,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008009,Namaro,NE006008009,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008010,6008010,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008010,N'Dounga,NE006008010,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6008011,6008011,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6008,1603:45:16:562:3:6008011,Youri,NE006008011,,,,Kollo,NE006008,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6009001,6009001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6009,1603:45:16:562:3:6009001,Dingazi,NE006009001,,,,Ouallam,NE006009,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6009002,6009002,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6009,1603:45:16:562:3:6009002,Ouallam,NE006009002,,,,Ouallam,NE006009,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6009003,6009003,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6009,1603:45:16:562:3:6009003,Simiri,NE006009003,,,,Ouallam,NE006009,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6009004,6009004,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6009,1603:45:16:562:3:6009004,Tondikiwindi,NE006009004,,,,Ouallam,NE006009,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6010001,6010001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6010,1603:45:16:562:3:6010001,Ouro Gueladjo,NE006010001,,,,Say,NE006010,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6010002,6010002,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6010,1603:45:16:562:3:6010002,Say,NE006010002,,,,Say,NE006010,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6010003,6010003,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6010,1603:45:16:562:3:6010003,Tamou,NE006010003,,,,Say,NE006010,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
1603:45:16:562:3:6011001,6011001,1603:45:16:562:0,1603:45:16:562:1:6,1603:45:16:562:2:6011,1603:45:16:562:3:6011001,Diagourou,NE006011001,,,,Tera,NE006011,Tillaberi,NE006,Niger,NE,2006-01-01,2021-09-29,
