qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,qcc-Zxxx-r-sU2200-s5003-snop,qcc-Zxxx-r-sU2200-s5004-snop,eng-Latn-r-pSKOS-pprefLabel-ps5004,qcc-Zxxx-r-pWDATA-pq7200235-ps5004-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5003,qcc-Zxxx-r-pWDATA-pq7200235-ps5003-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,eng-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:694:4:2010606,2010606,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20106,1603:45:16:694:4:2010606,Mambiama,SL02010606,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010607,2010607,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20106,1603:45:16:694:4:2010607,Manjahagha,SL02010607,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010608,2010608,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20106,1603:45:16:694:4:2010608,Sokudala,SL02010608,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010609,2010609,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20106,1603:45:16:694:4:2010609,Yana,SL02010609,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010701,2010701,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010701,Gborbana,SL02010701,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010702,2010702,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010702,Mabanta,SL02010702,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010703,2010703,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010703,Magbenteh,SL02010703,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010704,2010704,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010704,Mangay,SL02010704,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010705,2010705,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010705,Mankene,SL02010705,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010706,2010706,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010706,Masongbo A,SL02010706,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010707,2010707,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010707,Masongbo B,SL02010707,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010708,2010708,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010708,Punthun,SL02010708,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010709,2010709,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010709,Rosint,SL02010709,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010710,2010710,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010710,Tonkoba,SL02010710,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010711,2010711,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20107,1603:45:16:694:4:2010711,Yainkassa,SL02010711,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010801,2010801,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20108,1603:45:16:694:4:2010801,Kathanthan,SL02010801,Paki Masabong,SL020108,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010802,2010802,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20108,1603:45:16:694:4:2010802,Kathegeya,SL02010802,Paki Masabong,SL020108,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010803,2010803,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20108,1603:45:16:694:4:2010803,Mapaki,SL02010803,Paki Masabong,SL020108,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010804,2010804,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20108,1603:45:16:694:4:2010804,Masabong,SL02010804,Paki Masabong,SL020108,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010805,2010805,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20108,1603:45:16:694:4:2010805,Mayagba,SL02010805,Paki Masabong,SL020108,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010806,2010806,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20108,1603:45:16:694:4:2010806,Rosanda,SL02010806,Paki Masabong,SL020108,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010901,2010901,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20109,1603:45:16:694:4:2010901,Binkolo,SL02010901,Safroko Limba,SL020109,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010902,2010902,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20109,1603:45:16:694:4:2010902,Bombali Bana,SL02010902,Safroko Limba,SL020109,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010903,2010903,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20109,1603:45:16:694:4:2010903,Kabonka,SL02010903,Safroko Limba,SL020109,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010904,2010904,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20109,1603:45:16:694:4:2010904,Kasengbeh,SL02010904,Safroko Limba,SL020109,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010905,2010905,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20109,1603:45:16:694:4:2010905,Kayassi,SL02010905,Safroko Limba,SL020109,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010906,2010906,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20109,1603:45:16:694:4:2010906,Mabamba,SL02010906,Safroko Limba,SL020109,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2010907,2010907,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20109,1603:45:16:694:4:2010907,Masapi,SL02010907,Safroko Limba,SL020109,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011001,2011001,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011001,Banka,SL02011001,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011002,2011002,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011002,Benia,SL02011002,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011003,2011003,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011003,Kaindema,SL02011003,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011004,2011004,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011004,Kamalu,SL02011004,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011005,2011005,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011005,Kania,SL02011005,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011006,2011006,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011006,Kindia,SL02011006,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011007,2011007,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011007,Laminaya,SL02011007,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011008,2011008,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011008,Madina,SL02011008,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011009,2011009,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011009,Maharibo,SL02011009,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011010,2011010,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011010,Makapa,SL02011010,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011011,2011011,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011011,Makwie Loko,SL02011011,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011012,2011012,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011012,Manathi,SL02011012,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011013,2011013,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011013,Maparay,SL02011013,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011014,2011014,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011014,Rothatha,SL02011014,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011015,2011015,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20110,1603:45:16:694:4:2011015,Timbo,SL02011015,Sanda Loko,SL020110,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011101,2011101,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011101,Kalangba,SL02011101,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011102,2011102,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011102,Kukuna,SL02011102,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011103,2011103,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011103,Marampa,SL02011103,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011104,2011104,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011104,Masisan,SL02011104,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011105,2011105,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011105,Mateboi,SL02011105,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011106,2011106,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011106,Rogbin,SL02011106,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011107,2011107,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011107,Rogboreh,SL02011107,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011108,2011108,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011108,Rosos,SL02011108,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011109,2011109,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011109,Sendugu,SL02011109,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011110,2011110,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20111,1603:45:16:694:4:2011110,Yankabala,SL02011110,Sanda Tendaran,SL020111,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011201,2011201,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20112,1603:45:16:694:4:2011201,Kamakwie,SL02011201,Sella Limba,SL020112,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011202,2011202,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20112,1603:45:16:694:4:2011202,Kamankoh,SL02011202,Sella Limba,SL020112,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011203,2011203,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20112,1603:45:16:694:4:2011203,Kayimbor,SL02011203,Sella Limba,SL020112,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011204,2011204,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20112,1603:45:16:694:4:2011204,Magbonkoni I,SL02011204,Sella Limba,SL020112,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011205,2011205,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20112,1603:45:16:694:4:2011205,Magbonkoni II,SL02011205,Sella Limba,SL020112,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011206,2011206,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20112,1603:45:16:694:4:2011206,Manonkoh,SL02011206,Sella Limba,SL020112,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011207,2011207,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20112,1603:45:16:694:4:2011207,Samia,SL02011207,Sella Limba,SL020112,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011301,2011301,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20113,1603:45:16:694:4:2011301,Dugutha,SL02011301,Tambakha,SL020113,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011302,2011302,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20113,1603:45:16:694:4:2011302,Moria,SL02011302,Tambakha,SL020113,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011303,2011303,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20113,1603:45:16:694:4:2011303,Paramount Chief Se,SL02011303,Tambakha,SL020113,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011304,2011304,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20113,1603:45:16:694:4:2011304,Simibue,SL02011304,Tambakha,SL020113,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2011305,2011305,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20113,1603:45:16:694:4:2011305,Thalla,SL02011305,Tambakha,SL020113,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2019101,2019101,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20191,1603:45:16:694:4:2019101,Bombali Sebora - B,SL02019101,Makeni Town,SL020191,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2019102,2019102,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20191,1603:45:16:694:4:2019102,Bombali Sebora - K,SL02019102,Makeni Town,SL020191,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2019103,2019103,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20191,1603:45:16:694:4:2019103,Bombali Sebora - Makeni,SL02019103,Makeni Town,SL020191,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2019107,2019107,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20191,1603:45:16:694:4:2019107,Bombali Sebora - R,SL02019107,Makeni Town,SL020191,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2019108,2019108,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20191,1603:45:16:694:4:2019108,Bombali Sebora - T,SL02019108,Makeni Town,SL020191,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2019109,2019109,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20191,1603:45:16:694:4:2019109,Bombali Sebora - W,SL02019109,Makeni Town,SL020191,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2019110,2019110,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20191,1603:45:16:694:4:2019110,Makari Gbanti - Mi,SL02019110,Makeni Town,SL020191,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2019111,2019111,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:201,1603:45:16:694:3:20191,1603:45:16:694:4:2019111,Makari Gbanti -Mas,SL02019111,Makeni Town,SL020191,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020101,2020101,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020101,Banguraia,SL02020101,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020102,2020102,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020102,Bassia,SL02020102,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020103,2020103,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020103,Bugami,SL02020103,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020104,2020104,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020104,Duramania,SL02020104,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020105,2020105,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020105,Filligungee,SL02020105,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020106,2020106,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020106,Fortumboyie,SL02020106,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020107,2020107,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020107,Gberekhuray,SL02020107,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020108,2020108,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020108,Gbolon,SL02020108,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020109,2020109,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020109,Kabaya,SL02020109,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020110,2020110,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020110,Kanku Bramaia,SL02020110,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020111,2020111,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020111,Konta,SL02020111,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020112,2020112,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020112,Kua Bramaia,SL02020112,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
1603:45:16:694:4:2020113,2020113,1603:45:16:694:0,1603:45:16:694:1:2,1603:45:16:694:2:202,1603:45:16:694:3:20201,1603:45:16:694:4:2020113,Kufuru,SL02020113,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,2017-08-16,2022-01-04,
