item__conceptum__codicem,item__rem__i_qcc__is_zxxx__ix_wikiq,item__rem__i_qcc__is_zxxx__ix_iso3166p2,item__rem__i_qcc__is_zxxx__ix_xzosmrel,item__rem__i_qcc__is_zxxx__ix_xzgeonames,item__rem__i_qcc__is_zxxx__ix_jpgeolod,item__rem__i_qcc__is_zxxx__ix_usworldnet,item__rem__i_qcc__is_zxxx__ix_zzwgs84point,item__rem__i_qcc__is_zxxx__ix_zzgeojson
844713,Q844713,,,,,,,
848613,Q848613,PK-IS,358002,1162015,,,Point(73.1475 33.7375),
852089,Q852089,KH-23,2200024,1830937,,,Point(104.3 10.4833)|Point(104.31667 10.5125),http://commons.wikimedia.org/data/main/Data:Cambodia/Kep.map
912843,Q912843,,,,,,,
919017,Q919017,PA-KY,5740658,3701537,,,Point(-78.344166666 9.296111111),http://commons.wikimedia.org/data/main/Data:Panama/Kuna+Yala.map
934644,Q934644,CS-SR,,,,,,
934644,Q934644,YU-SR,,,,,,
944737,Q944737,,,,,,,
1002525,Q1002525,,,934570,,,Point(57.516666666 -20.316666666)|Point(57.52028 -20.31472),http://commons.wikimedia.org/data/main/Data:Mauritius/Curepipe.map
1050475,Q1050475,SL-W,,2403068,,,Point(-13.0 8.333333333),http://commons.wikimedia.org/data/main/Data:Sierra+Leone/Western.map
1129783,Q1129783,PA-NB,5740663,7303688,,,Point(-81.733888888 8.769722222),http://commons.wikimedia.org/data/main/Data:Panama/Ng%C3%B6be+Bugl%C3%A9.map
1141041,Q1141041,PA-EM,5740657,7303686,,,Point(-77.541666666 8.534166666),http://commons.wikimedia.org/data/main/Data:Panama/Ember%C3%A1.map
1150680,Q1150680,CS-CG,,,,,,
1150680,Q1150680,YU-CG,,,,,,
1324482,Q1324482,,,,,,Point(36.216666666 49.983333333),
1341194,Q1341194,,,934131,,,Point(57.466666666 -20.25),http://commons.wikimedia.org/data/main/Data:Mauritius/Quatre+Bornes.map
1809806,Q1809806,,,6417230,,,Point(-2.52278 49.4928)|Point(-2.51388889 49.49972222),
2391916,Q2391916,,,6417226,,,Point(-2.578055555 49.448055555),
2499228,Q2499228,DO-01,53161,3496024,,,Point(-69.983333333 18.5),http://commons.wikimedia.org/data/main/Data:Dominican+Republic/Distrito+Nacional.map
3044818,Q3044818,GD-10,12335403,,,,Point(-61.4617 12.4833),http://commons.wikimedia.org/data/main/Data:Grenada/Carriacou+and+Petite+Martinique.map
12102038,Q12102038,,,,,,,
12717926,Q12717926,,,,,,,
16532593,Q16532593,,,,,,,
17176229,Q17176229,MD-CU,1691801,618069,,,Point(28.83333 47.0),http://commons.wikimedia.org/data/main/Data:Moldova/Chi%C5%9Fin%C4%83u.map
