#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm3+code+v_numerodinatio,#adm3+name+i_spa+is_latn,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_spa+is_latn,#adm3+name+alt2+i_spa+is_latn,#adm2+name+i_spa+is_latn,#adm2+code+v_pcode,#adm1+name+i_spa+is_latn,#adm1+code+v_pcode,#country+name+i_spa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:68:3:20606,20606,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:206,1603:45:16:68:3:20606,Tipuani,BO020606,,,,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20607,20607,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:206,1603:45:16:68:3:20607,Mapiri,BO020607,,,,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20608,20608,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:206,1603:45:16:68:3:20608,Teoponte,BO020608,,,,Larecaja,BO0206,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20701,20701,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:207,1603:45:16:68:3:20701,Apolo,BO020701,,,,Franz Tamayo,BO0207,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20702,20702,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:207,1603:45:16:68:3:20702,Pelechuco,BO020702,,,,Franz Tamayo,BO0207,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20801,20801,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:208,1603:45:16:68:3:20801,Viacha,BO020801,,,,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20802,20802,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:208,1603:45:16:68:3:20802,Puerto Mayor de Guaqui,BO020802,,,,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20803,20803,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:208,1603:45:16:68:3:20803,Tiahuanacu,BO020803,,,,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20804,20804,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:208,1603:45:16:68:3:20804,Desaguadero,BO020804,,,,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:3:20805,20805,1603:45:16:68:0,1603:45:16:68:1:2,1603:45:16:68:2:208,1603:45:16:68:3:20805,La (Marka) San Andrés de Machaca,BO020805,La (Marka) San Andres de Machaca,,,Ingavi,BO0208,La Paz,BO02,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
