#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Ridina,CF5311,Ridina,,,Birao,CF531,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouandja,CF5312,Ouandja,,,Birao,CF531,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2015-06-15,
Vokouma,CF5321,Vokouma,,,Ouanda-Djallé,CF532,Vakaga,CF53,République centrafricaine,CF,2014-08-02,2015-06-15,
Mobaye,CF6111,Mobaye,,,Mobaye,CF611,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Mbéima,CF6112,Mbeima,,,Mobaye,CF611,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Alindao,CF6121,Alindao,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Guiligui,CF6122,Guiligui,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Bangui-Ketté,CF6123,Bangui-Kette,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Bakou,CF6124,Bakou,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Yambélé-Ewou,CF6125,Yambeie-Ewou,,,Alindao,CF612,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Kembé,CF6131,Kembe,,,Kembé,CF613,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Mboui,CF6132,Mboui,,,Kembé,CF613,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Siriki,CF6141,Siriki,,,Mingala,CF614,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Kotto,CF6142,Kotto,,,Mingala,CF614,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Séliba,CF6143,Seliba,,,Mingala,CF614,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouambé,CF6151,Ouambe,,,Zangba,CF615,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Yabongo,CF6152,Yabongo,,,Zangba,CF615,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Kotto-Oubangui,CF6161,Kotto-Oubangui,,,Satéma,CF616,Basse-Kotto,CF61,République centrafricaine,CF,2014-08-02,2015-06-15,
Bangassou,CF6211,Bangassou,,,Bangassou,CF621,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Sayo Niakari,CF6212,Sayo Niakari,,,Bangassou,CF621,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Voungba-Balifondo,CF6213,Voungba-Balifondo,,,Bangassou,CF621,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Zangandou,CF6214,Zangandou,,,Bangassou,CF621,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Ouango,CF6221,Ouango,,,Ouango,CF622,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Ngbandinga,CF6222,Ngbandinga,,,Ouango,CF622,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Gambo,CF6231,Gambo,,,Gambo,CF623,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Ngandou,CF6232,Ngandou,,,Gambo,CF623,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Rafai,CF6241,Rafai,,,Rafai,CF624,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Bakouma,CF6251,Bakouma,,,Bakouma,CF625,Mbomou,CF62,République centrafricaine,CF,2014-08-02,2015-06-15,
Obo,CF6311,Obo,,,Obo,CF631,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2015-06-15,
Mboki,CF6312,Mboki,,,Obo,CF631,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2015-06-15,
Lili,CF6321,Lili,,,Bambouti,CF632,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2015-06-15,
Zémio,CF6331,Zemio,,,Zémio,CF633,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2015-06-15,
Djéma,CF6341,Djema,,,Djéma,CF634,Haut-Mbomou,CF63,République centrafricaine,CF,2014-08-02,2015-06-15,
Arrondissement 1,CF7111,Arrondissement 1,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2015-06-15,
Arrondissement 2,CF7112,Arrondissement 2,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2015-06-15,
Arrondissement 3,CF7113,Arrondissement 3,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2015-06-15,
Arrondissement 4,CF7114,Arrondissement 4,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2015-06-15,
Arrondissement 5,CF7115,Arrondissement 5,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2015-06-15,
Arrondissement 6,CF7116,Arrondissement 6,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2015-06-15,
Arrondissement 7,CF7117,Arrondissement 7,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2015-06-15,
Arrondissement 8,CF7118,Arrondissement 8,,,Bangui,CF711,Bangui,CF71,République centrafricaine,CF,2014-08-02,2015-06-15,
