#adm2+name+i_en,#adm2+name+i_ar,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ar,#adm2+name+alt2+i_ar,#adm1+name+i_en,#adm1+name+i_ar,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ar,#country+code+v_iso2,#date+start,#date+updated,#date+end
At Tadamon - BN,التضامن - ن ق,SD08108,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Geisan,قيسان,SD08109,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Wad Al Mahi,ود الماحي,SD08110,,,,,,Blue Nile,النيل الأزرق,SD08,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Ad Diwaim,الدويم,SD09044,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Um Rimta,أم رمتة,SD09045,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Rabak,ربك,SD09046,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Kosti,كوستي,SD09047,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Tendalti,تندلتي,SD09048,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
As Salam / Ar Rawat,السلام / الراوات,SD09049,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Gitaina,القطينة,SD09050,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Aj Jabalain,الجبلين,SD09051,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Guli,قلي,SD09052,,,,,,White Nile,النيل الأبيض,SD09,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Dordieb,درديب,SD10063,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Port Sudan,بورتسودان,SD10064,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Tawkar,طوكر,SD10065,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Hala'ib,حلايب,SD10066,Halaib,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Jubayt Elma'aadin,جبيت المعادن,SD10067,Jubayt Elmaaadin,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sawakin,سواكن,SD10068,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Al Ganab,القنب,SD10069,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Haya,هيا,SD10070,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Sinkat,سنكات,SD10071,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Agig,عقيق,SD10072,,,,,,Red Sea,البحر الأحمر,SD10,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Halfa Aj Jadeedah,حلفا الجديدة,SD11052,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Madeinat Kassala,مدينة كسلا,SD11053,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Reifi Gharb Kassala,ريفى غرب كسلا,SD11054,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
Reifi Aroma,ريفى أروما,SD11055,,,,,,Kassala,كسلا,SD11,Sudan (the),السودان‎,SD,2020-09-03,2020-09-03,
