#adm3+name+i_es,#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_es,#adm3+name+alt2+i_es,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_es,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_es,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_es,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Municipio Cambita Garabitos,,DO090304,Municipio Cambita Garabitos,,,,,Provincia San Cristóbal,,DO0903,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa Altagracia,,DO090305,Municipio Villa Altagracia,,,,,Provincia San Cristóbal,,DO0903,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Yaguate,,DO090306,Municipio Yaguate,,,,,Provincia San Cristóbal,,DO0903,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio San Gregorio de Nigua,,DO090307,Municipio San Gregorio de Nigua,,,,,Provincia San Cristóbal,,DO0903,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Los Cacaos,,DO090308,Municipio Los Cacaos,,,,,Provincia San Cristóbal,,DO0903,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio San José de Ocoa,,DO090401,Municipio San Jose de Ocoa,,,,,Provincia San José de Ocoa,,DO0904,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Sabana Larga,,DO090402,Municipio Sabana Larga,,,,,Provincia San José de Ocoa,,DO0904,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Rancho Arriba,,DO090403,Municipio Rancho Arriba,,,,,Provincia San José de Ocoa,,DO0904,Región Valdesia,,DO09,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio El Seibo,,DO100101,Municipio El Seibo,,,,,Provincia El Seibo,,DO1001,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Miches,,DO100102,Municipio Miches,,,,,Provincia El Seibo,,DO1001,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Higüey,,DO100201,Municipio Higuey,,,,,Provincia La Altagracia,,DO1002,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio San Rafael del Yuma,,DO100202,Municipio San Rafael del Yuma,,,,,Provincia La Altagracia,,DO1002,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio La Romana,,DO100301,Municipio La Romana,,,,,Provincia La Romana,,DO1003,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Guaymate,,DO100302,Municipio Guaymate,,,,,Provincia La Romana,,DO1003,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
Municipio Villa Hermosa,,DO100303,Municipio Villa Hermosa,,,,,Provincia La Romana,,DO1003,Región Yuma,,DO10,República Dominicana,Dominican Republic,DO,2017-09-06,2020-01-21,
