#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Gaborone,BW010101,,,,Gaborone,BW0101,Gaborone,BW01,Botswana,BW,2021-05-18,2021-05-18,
Mookane,BW120203,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mmaphashalala,BW120204,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Taupye,BW120205,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Dibete Station,BW120206,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Dovedale,BW120207,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Kudumatse,BW120208,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Makwate,BW120209,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Shakwe,BW120210,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Moshopha,BW120211,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Machaneng,BW120212,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Sefhare,BW120213,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Chadibe,BW120214,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Bonwapitse,BW120215,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mmutlana,BW120216,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mokobeng,BW120217,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Ngwapa,BW120218,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tumasera,BW120219,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Ramokgonami,BW120220,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Maape,BW120221,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Pilikwe,BW120222,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mhalapitsa,BW120223,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Borotsi,BW120224,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tewane,BW120225,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Kalamare,BW120226,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mokgenene,BW120227,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Shoshong,BW120228,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Moralane,BW120229,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mosolotshane,BW120230,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Kodibeleng,BW120231,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Ikongwe,BW120232,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Poloka,BW120233,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Otse,BW120234,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Matlhako,BW120235,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mokoswane,BW120236,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Seleka,BW120237,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tuli,BW120238,,,,Mahalapye,BW1202,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Bobonong,BW120301,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tsetsebjwe,BW120302,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tshokwe,BW120303,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mathathane,BW120304,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Lentswelemoriti,BW120305,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Semolale,BW120306,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Kobojango,BW120307,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Lepokole,BW120308,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Molalatau,BW120309,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tobane,BW120310,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Sefophe,BW120311,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mabolwe,BW120312,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mmadinare,BW120313,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Robelela,BW120314,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Damochojena,BW120315,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Motlhabaneng,BW120316,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Moletemane,BW120317,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tuli,BW120318,,,,Bobonong,BW1203,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Letlhakane,BW120401,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mosu,BW120402,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mmatshumo,BW120403,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mopipi,BW120404,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Xhumo,BW120405,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Kedia,BW120406,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tsienyane/Rakops,BW120407,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Toromoja,BW120408,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Moreomaoto,BW120409,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Makalamabedi,BW120410,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Khwee,BW120411,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Kumaga,BW120412,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Motopi,BW120413,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mmadikola,BW120414,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mokoboxane,BW120415,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Xere,BW120416,,,,Boteti,BW1204,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Maitengwe,BW120501,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Nata,BW120502,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Dagwi,BW120503,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Nkange,BW120504,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Senete,BW120505,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Changate,BW120506,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tutume,BW120507,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Matobo,BW120508,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Goshwe,BW120509,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mosetse,BW120510,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Nswazwi,BW120511,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Nshakashokwe,BW120512,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Sebina,BW120513,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Marobela,BW120514,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mathangwane,BW120515,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Marapong,BW120516,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Chadibe,BW120517,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Matsitama,BW120518,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Borolong,BW120519,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Dukwi,BW120520,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mafongo/Hobona,BW120521,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mokubilo,BW120522,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tonota,BW120523,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Borotsi,BW120524,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mandunyane,BW120525,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Natale,BW120526,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Shashe/Semotswane,BW120527,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Shashe-Mooke,BW120528,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Gweta,BW120529,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Zoroga,BW120530,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Lepashe,BW120531,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mmanxotae,BW120532,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Sepako,BW120533,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Semitwe,BW120534,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Makobo,BW120535,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mabesekwa,BW120536,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Jamataka,BW120537,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Tshokatshaa,BW120538,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Makuta,BW120539,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Maposa,BW120540,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Kutamogree,BW120541,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mmeya,BW120542,,,,Tutume,BW1205,Central,BW12,Botswana,BW,2021-05-18,2021-05-18,
Mbalambi,BW130101,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Gambule,BW130102,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Gulubane,BW130103,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Gungwe,BW130104,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Jackalas 1,BW130105,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Jackalas 2,BW130106,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Kalakamati,BW130107,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Letsholathebe,BW130108,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Makaleng,BW130109,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Mulambakwena,BW130110,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Mambo,BW130111,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Mapoka,BW130112,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Masingwaneng,BW130113,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Masunga,BW130114,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Matsiloje,BW130115,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Moroka,BW130116,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Mosojane,BW130117,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Nlakhwane,BW130118,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Ramokgwebana,BW130119,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Sechele,BW130120,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Sekakangwe,BW130121,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Senyawe,BW130122,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Siviya,BW130123,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Tati Siding,BW130124,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Themashanga,BW130125,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Tsamaya,BW130126,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Tshesebe,BW130127,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Zwenshambe,BW130128,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Butale,BW130129,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Masukwane,BW130130,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Shashe Bridge,BW130131,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Matshelagabedi,BW130132,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Ditladi,BW130133,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Botalaote,BW130134,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Toteng,BW130135,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Matenge,BW130136,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Vukwi,BW130137,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Pole,BW130138,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Kgari,BW130139,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Mowana,BW130140,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Mabudzane,BW130141,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Matopi,BW130142,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Patayamatebele,BW130143,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Haskins Farm,BW130144,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Johannes Kachejohn,BW130145,,,,North East,BW1301,North East,BW13,Botswana,BW,2021-05-18,2021-05-18,
Maun,BW140101,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Makalamabedi,BW140102,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Shorobe,BW140103,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Toteng,BW140104,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Tsao,BW140105,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Sehithwa,BW140106,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Kareng,BW140107,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Matsaudi/Sakapnae,BW140108,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Matlapana,BW140109,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Phuduhudu,BW140110,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Komana,BW140111,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Sankuyo,BW140112,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Mababe,BW140113,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Chanoga,BW140114,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Bodibeng,BW140115,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Botlhatlogo,BW140116,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Semboyo,BW140117,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Kgakge/Makakung,BW140118,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Habu,BW140119,,,,Ngamiland East,BW1401,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Seronga,BW140201,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Ngarange,BW140202,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Beetsha,BW140203,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Gonutsuga,BW140204,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Mokgacha,BW140205,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Qangwa,BW140206,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Xakao,BW140207,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Kauxwhi,BW140208,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Etsha 6,BW140209,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Ikoga,BW140210,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Sepopa,BW140211,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Nxamasere,BW140212,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Shakawe,BW140213,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Nxaunxau,BW140214,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Mohembo West,BW140215,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Etsha 13,BW140216,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Nokaneng,BW140217,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Gani,BW140218,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Tubu,BW140219,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Gumare,BW140220,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Xaxa,BW140221,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Mohembo East,BW140222,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Tobere,BW140223,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Sekondomboro,BW140224,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Samochema,BW140225,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Xhauga,BW140226,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Mogomotho,BW140227,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Eretsha,BW140228,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Chukumuchu,BW140229,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Gudingwa,BW140230,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Etsha 1,BW140231,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Kajaja,BW140232,,,,Ngamiland West,BW1402,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Ngamiland Delta,BW140301,,,,Ngamiland Delta,BW1403,North West,BW14,Botswana,BW,2021-05-18,2021-05-18,
Kachikau,BW150101,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Kasane,BW150102,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Kazungula,BW150103,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Kavimba,BW150104,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Lesoma,BW150105,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Muchinje/Mabele,BW150106,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Parakarungu,BW150107,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Pandamatenga,BW150108,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Satau,BW150109,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Kataba,BW150110,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Number Seven,BW150111,,,,Chobe,BW1501,Chobe,BW15,Botswana,BW,2021-05-18,2021-05-18,
Ghanzi,BW160101,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Dekar,BW160102,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Tsootsha,BW160103,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Karakobis,BW160104,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Chobokwane,BW160105,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
West Hanahai,BW160106,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Charles Hill,BW160107,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Makunda,BW160108,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Kule,BW160109,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Ncojane,BW160110,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Groote Laagte,BW160111,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
New Xanagas,BW160112,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
East Hanahai,BW160113,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Kacgae,BW160114,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Bere,BW160115,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Qabo,BW160116,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
New Xade,BW160117,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Dect Etin,BW160118,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Charles Sheldon,BW160119,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Jerung,BW160120,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
B. Visser,BW160121,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
John Farm,BW160122,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Masire'S Farm,BW160123,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
J. Ransall,BW160124,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Hans Metzler,BW160125,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Magono Magono,BW160126,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
Janki Janki,BW160127,,,,Ghanzi,BW1601,Ghanzi,BW16,Botswana,BW,2021-05-18,2021-05-18,
