#adm2+name+i_en,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Kalinga,PH143200000,,,,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2018-02-09,2021-12-24,
Mountain Province,PH144400000,,,,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2018-02-09,2021-12-24,
Apayao,PH148100000,,,,Cordillera Administrative Region,PH140000000,Philippines (the),PH,2018-02-09,2021-12-24,
Basilan,PH150700000,,,,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2018-02-09,2021-12-24,
Lanao del Sur,PH153600000,,,,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2018-02-09,2021-12-24,
Maguindanao,PH153800000,,,,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2018-02-09,2021-12-24,
Sulu,PH156600000,,,,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2018-02-09,2021-12-24,
Tawi-Tawi,PH157000000,,,,Autonomous Region in Muslim Mindanao,PH150000000,Philippines (the),PH,2018-02-09,2021-12-24,
Agusan del Norte,PH160200000,,,,Region XIII,PH160000000,Philippines (the),PH,2018-02-09,2021-12-24,
Agusan del Sur,PH160300000,,,,Region XIII,PH160000000,Philippines (the),PH,2018-02-09,2021-12-24,
Surigao del Norte,PH166700000,,,,Region XIII,PH160000000,Philippines (the),PH,2018-02-09,2021-12-24,
Surigao del Sur,PH166800000,,,,Region XIII,PH160000000,Philippines (the),PH,2018-02-09,2021-12-24,
Dinagat Islands,PH168500000,,,,Region XIII,PH160000000,Philippines (the),PH,2018-02-09,2021-12-24,
Marinduque,PH174000000,,,,Region IV-B,PH170000000,Philippines (the),PH,2018-02-09,2021-12-24,
Occidental Mindoro,PH175100000,,,,Region IV-B,PH170000000,Philippines (the),PH,2018-02-09,2021-12-24,
Oriental Mindoro,PH175200000,,,,Region IV-B,PH170000000,Philippines (the),PH,2018-02-09,2021-12-24,
Palawan,PH175300000,,,,Region IV-B,PH170000000,Philippines (the),PH,2018-02-09,2021-12-24,
Romblon,PH175900000,,,,Region IV-B,PH170000000,Philippines (the),PH,2018-02-09,2021-12-24,
