#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Delduar,BD309323,,,,Tangail,BD3093,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Demra,BD302612,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Derai,BD609029,,,,Sunamganj,BD6090,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Dewanganj,BD453915,,,,Jamalpur,BD4539,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Dhamoirhat,BD506428,,,,Naogaon,BD5064,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Dhamrai,BD302614,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Dhanbari,BD309325,,,,Tangail,BD3093,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Dhanmondi,BD302616,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Dharampasha,BD609032,,,,Sunamganj,BD6090,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Dhobaura,BD456116,,,,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Dhunat,BD501027,,,,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Dhupchanchia,BD501033,,,,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Dighalia,BD404740,,,,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Dighinala,BD204643,,,,Khagrachhari,BD2046,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Dimla,BD557312,,,,Nilphamari,BD5573,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Dinajpur Sadar,BD552764,,,,Dinajpur,BD5527,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Dohar,BD302618,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Domar,BD557315,,,,Nilphamari,BD5573,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Double Mooring,BD201528,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Dowarabazar,BD609033,,,,Sunamganj,BD6090,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Dumki,BD107855,,,,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Dumuria,BD404730,,,,Khulna,BD4047,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Durgapur,BD457218,,,,Netrakona,BD4572,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Durgapur,BD508131,,,,Rajshahi,BD5081,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Fakirhat,BD400134,,,,Bagerhat,BD4001,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Faridganj,BD201345,,,,Chandpur,BD2013,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Faridpur,BD507633,,,,Pabna,BD5076,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Faridpur Sadar,BD302947,,,,Faridpur,BD3029,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Fatikchhari,BD201533,,,,Chittagong,BD2015,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Fenchuganj,BD609135,,,,Sylhet,BD6091,Sylhet,BD60,Bangladesh,BD,2015-01-01,2020-11-13,
Feni Sadar,BD203029,,,,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Fulbari,BD552738,,,,Dinajpur,BD5527,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Fulbaria,BD456120,,,,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Fulchhari,BD553221,,,,Gaibandha,BD5532,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Fulgazi,BD203041,,,,Feni,BD2030,Chittagong,BD20,Bangladesh,BD,2015-01-01,2020-11-13,
Gabtali,BD501040,,,,Bogra,BD5010,Rajshahi,BD50,Bangladesh,BD,2015-01-01,2020-11-13,
Gaffargaon,BD456122,,,,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Gaibandha Sadar,BD553224,,,,Gaibandha,BD5532,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Galachipa,BD107857,,,,Patuakhali,BD1078,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Gangachara,BD558527,,,,Rangpur,BD5585,Rangpur,BD55,Bangladesh,BD,2015-01-01,2020-11-13,
Gangni,BD405747,,,,Meherpur,BD4057,Khulna,BD40,Bangladesh,BD,2015-01-01,2020-11-13,
Gauripur,BD456123,,,,Mymensingh,BD4561,Mymensingh,BD45,Bangladesh,BD,2015-01-01,2020-11-13,
Gaurnadi,BD100632,,,,Barisal,BD1006,Barisal,BD10,Bangladesh,BD,2015-01-01,2020-11-13,
Gazaria,BD305924,,,,Munshiganj,BD3059,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Gazipur Sadar,BD303330,,,,Gazipur,BD3033,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Gendaria,BD302624,,,,Dhaka,BD3026,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Ghatail,BD309328,,,,Tangail,BD3093,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
Ghior,BD305622,,,,Manikganj,BD3056,Dhaka,BD30,Bangladesh,BD,2015-01-01,2020-11-13,
