#adm3+name+i_fr,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_fr,#adm3+name+alt2+i_fr,#adm2+name+i_fr,#adm2+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Koudougou,BF500105,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Nanoro,BF500106,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Nandiala,BF500107,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Pella,BF500108,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Poa,BF500109,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Ramongo,BF500110,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Sabou,BF500111,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Siglé,BF500112,Sigle,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Soa,BF500113,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Sourgou,BF500114,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Thiou,BF500115,,,,Boulkiemdé,BF5001,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Dassa,BF500201,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Didyr,BF500202,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Godyr,BF500203,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Kordié,BF500204,Kordie,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Kyon,BF500205,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Pouni,BF500206,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Réo,BF500207,Reo,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Ténado,BF500208,Tenado,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Zamo,BF500209,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Zawara,BF500210,,,,Sanguié,BF5002,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Bieha,BF500301,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Boura,BF500302,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Léo,BF500303,Leo,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Nébiélianayou,BF500304,Nebielianayou,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Niabouri,BF500305,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Silly,BF500306,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
To,BF500307,,,,Sissili,BF5003,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Bakata,BF500401,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Bougnounou,BF500402,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Kassou,BF500403,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Dalô,BF500404,Dalo,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Gaô,BF500405,Gao,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Sapouy,BF500406,,,,Ziro,BF5004,Centre-Ouest,BF50,Burkina Faso,BF,2020-03-26,2020-03-26,
Doulougou,BF510101,,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Gaongo,BF510102,,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Ipelsé,BF510103,Ipelse,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Kayao,BF510104,,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Kombissiri,BF510105,,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Saponé,BF510106,Sapone,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Toécé,BF510107,Toece,,,Bazèga,BF5101,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Guiaro,BF510201,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
Po,BF510202,,,,Nahouri,BF5102,Centre-Sud,BF51,Burkina Faso,BF,2020-03-26,2020-03-26,
