#adm4+name+i_fr,#adm4+code+v_pcode,#adm4+name,#adm4+name+alt1+i_fr,#adm4+name+alt2+i_fr,#adm3+name+i_fr,#adm3+code+v_pcode,#adm1+name+i_fr,#adm1+code+v_pcode,#adm2+name+i_fr,#adm2+code+v_pcode,#country+name+i_fr,#country+code+v_iso2,#date+start,#date+updated,#date+end
Saint Paul II,CF711708,Saint Paul II,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711709_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711710_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711711_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711712_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711713_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711714_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711715_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711716_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711717_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711718_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711719_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711720_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711721_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711722_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
 ,CF711723_1, ,,,Arrondissement 7,CF7117,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Galabadja I,CF711801,Galabadja I,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Galabadja II,CF711802_1,Galabadja II,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngongonon IV,CF711802_2,Ngongonon IV,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Galabadja IV,CF711803,Galabadja IV,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Galabadja VI,CF711804,Galabadja VI,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Galabadja Sinistrés,CF711805,Galabadja Sinistres,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lipia II,CF711806,Lipia II,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Lipia III,CF711807,Lipia III,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngongonon I,CF711808,Ngongonon I,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngongonon II,CF711809_1,Ngongonon II,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngongonon II,CF711809_2,Ngongonon II,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngongonon III,CF711810,Ngongonon III,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngongonon IV,CF711811,Ngongonon IV,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngongonon V,CF711812,Ngongonon V,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngongonon VI,CF711813,Ngongonon VI,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
Ngongonon VII,CF711814,Ngongonon VII,,,Arrondissement 8,CF7118,Bangui,CF71,Bangui,CF711,République centrafricaine,CF,2015-03-31,2015-06-15,
