admin4Name_en,admin4Pcode,admin4RefName_en,admin4AltName1_en,admin4AltName2_en,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,date,validOn,validTo
Gbo Kakajama A-Nja,SL01029107,Gbo Kakajama A-Nja,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Kakajama A-Kpa,SL01029108,Gbo Kakajama A-Kpa,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Kakajama A-Kis,SL01029109,Gbo Kakajama A-Kis,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Kakajama A-Shi,SL01029110,Gbo Kakajama A-Shi,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Lambayama A-Ny,SL01029111,Gbo Lambayama A-Ny,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Lambayama A-Nd,SL01029112,Gbo Lambayama A-Nd,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Lambayama A-Fo,SL01029113,Gbo Lambayama A-Fo,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Kakajama A-Lam,SL01029114,Gbo Kakajama A-Lam,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Lambayama A-Go,SL01029115,Gbo Lambayama A-Go,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Lambayama A-RT,SL01029116,Gbo Lambayama A-RT,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbo Lambayama A-Ko,SL01029117,Gbo Lambayama A-Ko,,,Kenema Town,SL010291,Kenema,SL0102,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dumbia,SL01030101,Dumbia,,,Fiama,SL010301,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Fiama,SL01030102,Fiama,,,Fiama,SL010301,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kokar,SL01030103,Kokar,,,Fiama,SL010301,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kooma,SL01030104,Kooma,,,Fiama,SL010301,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Yorkor,SL01030105,Yorkor,,,Fiama,SL010301,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbane Yemao,SL01030201,Gbane Yemao,,,Gbane,SL010302,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbikidakor,SL01030202,Gbikidakor,,,Gbane,SL010302,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kamara,SL01030203,Kamara,,,Gbane,SL010302,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Maikandor,SL01030204,Maikandor,,,Gbane,SL010302,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mongo,SL01030205,Mongo,,,Gbane,SL010302,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbane Kandor,SL01030301,Gbane Kandor,,,Gbane Kandor,SL010303,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbane Kour,SL01030302,Gbane Kour,,,Gbane Kandor,SL010303,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbane Tetema,SL01030303,Gbane Tetema,,,Gbane Kandor,SL010303,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbendekor,SL01030304,Gbendekor,,,Gbane Kandor,SL010303,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Yanbidu,SL01030305,Yanbidu,,,Gbane Kandor,SL010303,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Banfinfeh,SL01030401,Banfinfeh,,,Gbense,SL010304,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Banyafeh,SL01030402,Banyafeh,,,Gbense,SL010304,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Banyakor,SL01030403,Banyakor,,,Gbense,SL010304,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Moindefeh,SL01030404,Moindefeh,,,Gbense,SL010304,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Moindekor,SL01030405,Moindekor,,,Gbense,SL010304,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bunabu,SL01030501,Bunabu,,,Gorama Kono,SL010305,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kangama,SL01030502,Kangama,,,Gorama Kono,SL010305,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Selokoma,SL01030503,Selokoma,,,Gorama Kono,SL010305,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dangbaidu,SL01030601,Dangbaidu,,,Kamara,SL010306,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbondu,SL01030602,Gbondu,,,Kamara,SL010306,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kongofinja,SL01030603,Kongofinja,,,Kamara,SL010306,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sukudu,SL01030604,Sukudu,,,Kamara,SL010306,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dia,SL01030701,Dia,,,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kamara,SL01030702,Kamara,,,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kensay,SL01030703,Kensay,,,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Koaro,SL01030704,Koaro,,,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Lei,SL01030705,Lei,,,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sangbada,SL01030706,Sangbada,,,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tankoro,SL01030707,Tankoro,,,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tingi-Kor,SL01030708,Tingi-Kor,,,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Yawai,SL01030709,Yawai,,,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kamiendor,SL01030801,Kamiendor,,,Mafindor,SL010308,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kutey,SL01030802,Kutey,,,Mafindor,SL010308,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mafindor,SL01030803,Mafindor,,,Mafindor,SL010308,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bafinfeh,SL01030901,Bafinfeh,,,Nimikoro,SL010309,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bandafafeh,SL01030902,Bandafafeh,,,Nimikoro,SL010309,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbogboafeh,SL01030903,Gbogboafeh,,,Nimikoro,SL010309,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Jaiama,SL01030904,Jaiama,,,Nimikoro,SL010309,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Masayiefeh,SL01030905,Masayiefeh,,,Nimikoro,SL010309,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bafinfeh,SL01031001,Bafinfeh,,,Nimiyama,SL010310,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Njagbakahun,SL01031002,Njagbakahun,,,Nimiyama,SL010310,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Njaifeh,SL01031003,Njaifeh,,,Nimiyama,SL010310,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Peyifeh,SL01031004,Peyifeh,,,Nimiyama,SL010310,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tama,SL01031005,Tama,,,Nimiyama,SL010310,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bafinfeh,SL01031101,Bafinfeh,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Dangbaidu,SL01031102,Dangbaidu,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Fakongofeh,SL01031103,Fakongofeh,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kawafeh,SL01031104,Kawafeh,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Njeikor,SL01031105,Njeikor,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Samgbafeh,SL01031106,Samgbafeh,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sinkongofeh,SL01031107,Sinkongofeh,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sumunjifeh,SL01031108,Sumunjifeh,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tharma Forest,SL01031109,Tharma Forest,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Yawatanda,SL01031110,Yawatanda,,,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Foidu Mongor,SL01031201,Foidu Mongor,,,Soa,SL010312,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kokongokuma,SL01031202,Kokongokuma,,,Soa,SL010312,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Maindu,SL01031203,Maindu,,,Soa,SL010312,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Mofinkor,SL01031204,Mofinkor,,,Soa,SL010312,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sawa Buma,SL01031205,Sawa Buma,,,Soa,SL010312,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Sawa Fiama,SL01031206,Sawa Fiama,,,Soa,SL010312,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tensekor,SL01031207,Tensekor,,,Soa,SL010312,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tensendakor,SL01031208,Tensendakor,,,Soa,SL010312,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Njama,SL01031301,Njama,,,Tankoro,SL010313,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tankoro,SL01031302,Tankoro,,,Tankoro,SL010313,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Woafeh,SL01031303,Woafeh,,,Tankoro,SL010313,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bawadu,SL01031401,Bawadu,,,Toli,SL010314,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Komadu,SL01031402,Komadu,,,Toli,SL010314,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Kwidu,SL01031403,Kwidu,,,Toli,SL010314,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbense-Sina Town,SL01039101,Gbense-Sina Town,,,Koidu Town,SL010391,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbense-Moindekor,SL01039102,Gbense-Moindekor,,,Koidu Town,SL010391,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbense-Moindefeh,SL01039103,Gbense-Moindefeh,,,Koidu Town,SL010391,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tankoro-Kinsey,SL01039104,Tankoro-Kinsey,,,Koidu Town,SL010391,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tankoro-New Sembeh,SL01039105,Tankoro-New Sembeh,,,Koidu Town,SL010391,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tankoro-Lebanon,SL01039106,Tankoro-Lebanon,,,Koidu Town,SL010391,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Tankoro-Kwaquima,SL01039107,Tankoro-Kwaquima,,,Koidu Town,SL010391,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,2016-08-01,2017-08-16,
Bumban,SL02010101,Bumban,,,Biriwa,SL020101,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Bumbandain,SL02010102,Bumbandain,,,Biriwa,SL020101,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kabakeh/Balandugu,SL02010103,Kabakeh/Balandugu,,,Biriwa,SL020101,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kagbankuna,SL02010104,Kagbankuna,,,Biriwa,SL020101,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kamabai,SL02010105,Kamabai,,,Biriwa,SL020101,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Karassa,SL02010106,Karassa,,,Biriwa,SL020101,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Karina,SL02010107,Karina,,,Biriwa,SL020101,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kayonkoro,SL02010108,Kayonkoro,,,Biriwa,SL020101,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kafala,SL02010201,Kafala,,,Bombali Sebora,SL020102,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kagbaran Dokom B,SL02010202,Kagbaran Dokom B,,,Bombali Sebora,SL020102,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Konta,SL02010203,Konta,,,Bombali Sebora,SL020102,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Matotoka,SL02010204,Matotoka,,,Bombali Sebora,SL020102,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbenkfay,SL02010301,Gbenkfay,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbonkobana,SL02010302,Gbonkobana,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kamaranka,SL02010303,Kamaranka,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kambia,SL02010304,Kambia,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kayourgbor,SL02010305,Kayourgbor,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Laminaya,SL02010306,Laminaya,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makulon,SL02010307,Makulon,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makumray A,SL02010308,Makumray A,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makumray B,SL02010309,Makumray B,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Rogberay,SL02010310,Rogberay,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Romaneh,SL02010311,Romaneh,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Royeama A,SL02010312,Royeama A,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Royeama B,SL02010313,Royeama B,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sakuma A,SL02010314,Sakuma A,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sakuma B,SL02010315,Sakuma B,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sendugu A,SL02010316,Sendugu A,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sendugu B,SL02010317,Sendugu B,,,Gbanti Kamaranka,SL020103,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Garanganwa,SL02010401,Garanganwa,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Gbendembu,SL02010402,Gbendembu,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kalangba,SL02010403,Kalangba,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kania,SL02010404,Kania,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Lobanga,SL02010405,Lobanga,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Lohindie,SL02010406,Lohindie,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Loko-Madina,SL02010407,Loko-Madina,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makai,SL02010408,Makai,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makarihiteh,SL02010409,Makarihiteh,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makeregbohun,SL02010410,Makeregbohun,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makump,SL02010411,Makump,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mamaka,SL02010412,Mamaka,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mamukay,SL02010413,Mamukay,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Masongbo,SL02010414,Masongbo,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Matehun,SL02010415,Matehun,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mayorthan,SL02010416,Mayorthan,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sahun,SL02010417,Sahun,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Tambiama,SL02010418,Tambiama,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Tanyehun,SL02010419,Tanyehun,,,Gbendembu Ngowa,SL020104,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Batkanu,SL02010501,Batkanu,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mafonda,SL02010502,Mafonda,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Magbaingba,SL02010503,Magbaingba,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Magbanamba,SL02010504,Magbanamba,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makaiba,SL02010505,Makaiba,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makayrembay,SL02010506,Makayrembay,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mandawahun,SL02010507,Mandawahun,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Manyakoi,SL02010508,Manyakoi,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mayankay,SL02010509,Mayankay,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Robaka,SL02010510,Robaka,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Rotha-Tha,SL02010511,Rotha-Tha,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Simbaya,SL02010512,Simbaya,,,Libeisaygahun,SL020105,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Hunduwa,SL02010601,Hunduwa,,,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kababala,SL02010602,Kababala,,,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kagberay,SL02010603,Kagberay,,,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kawungulu,SL02010604,Kawungulu,,,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Makendema,SL02010605,Makendema,,,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mambiama,SL02010606,Mambiama,,,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Manjahagha,SL02010607,Manjahagha,,,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Sokudala,SL02010608,Sokudala,,,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Yana,SL02010609,Yana,,,Magbaimba Ndorh,SL020106,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Gborbana,SL02010701,Gborbana,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mabanta,SL02010702,Mabanta,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Magbenteh,SL02010703,Magbenteh,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mangay,SL02010704,Mangay,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mankene,SL02010705,Mankene,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Masongbo A,SL02010706,Masongbo A,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Masongbo B,SL02010707,Masongbo B,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Punthun,SL02010708,Punthun,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Rosint,SL02010709,Rosint,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Tonkoba,SL02010710,Tonkoba,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Yainkassa,SL02010711,Yainkassa,,,Makari Gbanti,SL020107,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kathanthan,SL02010801,Kathanthan,,,Paki Masabong,SL020108,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Kathegeya,SL02010802,Kathegeya,,,Paki Masabong,SL020108,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
Mapaki,SL02010803,Mapaki,,,Paki Masabong,SL020108,Bombali,SL0201,Northern,SL02,Sierra Leone,SL,2016-08-01,2017-08-16,
