#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Valabetokana,MG12116170,,,,Faratsiho,MG12116,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambano,MG12118010,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Belazao,MG12118030,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Alakamisy,MG12118050,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antanimandry,MG12118070,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Vinaninkarena,MG12118090,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Andranomanelatra,MG12118110,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohidranandriana,MG12118130,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimiarivo,MG12118150,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitsimanova,MG12118170,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Mangarano,MG12118190,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Manandona,MG12118210,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antsoatany,MG12118230,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Alatsinainy Ibity,MG12118250,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Sahanivotry Manandona,MG12118270,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Soanindrariny,MG12118290,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomena,MG12118310,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohibary,MG12118331,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Mandrosohasina,MG12118332,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Tsarahonenana Sahanivotry,MG12118350,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antanambao,MG12118370,,,,Antsirabe II,MG12118,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Mandoto,MG12120010,,,,Mandoto,MG12120,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Betsohana,MG12120030,,,,Mandoto,MG12120,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antanambao Ambary,MG12120050,,,,Mandoto,MG12120,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Anjoma Ramartina,MG12120070,,,,Mandoto,MG12120,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ankazomiriotra,MG12120090,,,,Mandoto,MG12120,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Fidirana,MG12120110,,,,Mandoto,MG12120,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Vasiana,MG12120130,,,,Mandoto,MG12120,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Vinany,MG12120150,,,,Mandoto,MG12120,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Arivonimamo I,MG13105010,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Arivonimamo II,MG13105030,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitrambo,MG13105050,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ampahimanga,MG13105070,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Amboanana,MG13105090,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Morafeno,MG13105110,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Imerintsiatosika,MG13105130,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Morarano,MG13105150,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomirahavavy,MG13105170,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomanga,MG13105190,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Manalalondo,MG13105211,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Antenimbe,MG13105212,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Alakamisikely,MG13105213,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Mahatsinjo Est,MG13105214,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Marofangady,MG13105215,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Rambolamasoandro Andranomiely,MG13105216,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimandry,MG13105230,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Antambolo,MG13105250,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimasina,MG13105270,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ambohipandrano,MG13105291,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Miandrandra,MG13105292,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Miantsoarivo,MG13105310,,,,Arivonimamo,MG13105,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Miarinarivo I,MG13112010,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Miarinarivo II,MG13112030,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomanjaka,MG13112050,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Manazary,MG13112071,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Antoby Est,MG13112072,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Soamahamanina,MG13112090,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Analavory,MG13112111,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Alatsinainikely,MG13112112,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Mandiavato,MG13112130,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Anosibe Ifanja,MG13112151,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Sarobaratra Ifanja,MG13112152,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Zoma Bealoka,MG13112170,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Soavimbazaha,MG13112190,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Andolofotsy,MG13112210,,,,Miarinarivo,MG13112,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Soavinandriana,MG13113011,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Dondona,MG13113012,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ampary,MG13113030,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Mananasy,MG13113050,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Masindray,MG13113071,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Amparibohitra,MG13113072,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ampefy,MG13113090,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Antanetibe,MG13113110,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Amparaky,MG13113131,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Amberomanga,MG13113132,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ankaranana,MG13113150,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Mahavelona,MG13113170,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ankisabe,MG13113190,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Ambatoasana Centre,MG13113210,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Tamponala,MG13113230,,,,Soavinandriana,MG13113,Itasy,MG13,Madagascar,MG,2010-12-31,2020-02-20,
Tsiroanomandidy Ville,MG14111010,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Tsiroanomandidy Fihaonana,MG14111030,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Ambatolampy,MG14111051,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Maritampona,MG14111052,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Bevato,MG14111070,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Ankadinondry Sakay,MG14111090,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Ankerana Avaratra,MG14111110,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Miandrarivo,MG14111130,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Tsinjoarivo Imanga,MG14111150,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Soanierana,MG14111170,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Anosy,MG14111190,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Ambararatabe,MG14111210,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Belobaka,MG14111230,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Ambalanirana,MG14111250,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Mahasolo,MG14111270,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Bemahatazana,MG14111290,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Fierenana,MG14111310,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Maroharona,MG14111330,,,,Tsiroanomandidy,MG14111,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Fenoarivo Centre,MG14119010,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Firavahana,MG14119031,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Morarano Maritampona,MG14119032,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Kiranomena,MG14119051,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Tsinjoarivo 22,MG14119052,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Mahajeby,MG14119053,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitromby,MG14119071,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomainty Atsimo,MG14119072,,,,Fenoarivobe,MG14119,Bongolava,MG14,Madagascar,MG,2010-12-31,2020-02-20,
Tanana Ambony,MG21201001,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Tanana Ambany,MG21201002,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Andrainjato Avaratra,MG21201003,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Andrainjato Sud,MG21201004,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Manolafaka,MG21201005,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Lalazana,MG21201006,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Vatosola,MG21201007,,,,Fianarantsoa I,MG21201,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambalavao,MG21205010,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Manamisoa,MG21205030,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Iarintsena,MG21205050,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimandroso,MG21205071,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Andrainjato,MG21205072,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Anjoma,MG21205090,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Kirano,MG21205110,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Sendrisoa,MG21205130,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Besoa,MG21205150,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Mahazony,MG21205170,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambinanindovoka,MG21205190,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ankaramena,MG21205211,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambinaniroa,MG21205212,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimahamasina,MG21205230,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Miarinarivo,MG21205250,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Vohitsaoka,MG21205270,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Fenoarivo,MG21205290,,,,Ambalavao,MG21205,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimahasoa,MG21208010,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ampitana,MG21208030,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ankerana,MG21208050,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Manandroy,MG21208071,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambalakindresy,MG21208072,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ankafina Tsarafidy,MG21208090,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Sahave,MG21208110,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Morafeno,MG21208130,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ikalalao,MG21208150,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Vohiposa,MG21208170,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambatosoa,MG21208190,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Isaka,MG21208211,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Vohitrarivo,MG21208212,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambohinamboarina,MG21208230,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Sahatona,MG21208251,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Camp Robin,MG21208252,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Befeta,MG21208270,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Fiadanana,MG21208290,,,,Ambohimahasoa,MG21208,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ikalamavony,MG21219010,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Mangidy,MG21219030,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Solila,MG21219050,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomainty,MG21219070,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Fitampito,MG21219090,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Tanamarina Sakay,MG21219110,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Tsitondroina,MG21219130,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Tanamarina Bekisopa,MG21219150,,,,Ikalamavony,MG21219,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Andrainjato Centre,MG21220011,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Andrainjato Est,MG21220012,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambalakely,MG21220030,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ivoamba,MG21220070,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Taindambo,MG21220090,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Mahatsinjony,MG21220111,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Sahambavy,MG21220112,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambalamahasoa,MG21220210,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Alakamisy Ambohimaha,MG21220250,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Androy,MG21220330,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Alatsinainy Ialamarina,MG21220350,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Fandrandava,MG21220430,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ialananindro,MG21220630,,,,Lalangina,MG21220,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Mahasoabe,MG21224010,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Vinanitelo,MG21224030,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Alakamisy Itenina,MG21224050,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Talata Ampano,MG21224070,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ihazoara,MG21224090,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ankaromalaza Mifanasoa,MG21224110,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Vohimarina,MG21224130,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Maneva,MG21224150,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Vohitrafeno,MG21224170,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Andranovorivato,MG21224190,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Vohibato Ouest,MG21224210,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Andranomiditra,MG21224230,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Soaindrana,MG21224250,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Mahaditra,MG21224270,,,,Vohibato,MG21224,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Isorana,MG21225010,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Anjoma Itsara,MG21225030,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Andoharanomaitso,MG21225050,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambondrona,MG21225070,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambalamidera II,MG21225090,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ankarinarivo Manirisoa,MG21225110,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Soatanana,MG21225130,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Nasandratrony,MG21225150,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Mahazoarivo,MG21225170,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Fanjakana,MG21225190,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Iavonomby Vohibola,MG21225210,,,,Isandra,MG21225,Haute Matsiatra,MG21,Madagascar,MG,2010-12-31,2020-02-20,
Ambatofinandrahana,MG22202010,,,,Ambatofinandrahana,MG22202,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Itremo,MG22202030,,,,Ambatofinandrahana,MG22202,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Fenoarivo,MG22202050,,,,Ambatofinandrahana,MG22202,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Soavina,MG22202070,,,,Ambatofinandrahana,MG22202,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Ambondromisotra,MG22202090,,,,Ambatofinandrahana,MG22202,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomifanongoa,MG22202110,,,,Ambatofinandrahana,MG22202,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Amborompotsy,MG22202130,,,,Ambatofinandrahana,MG22202,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Mandrosonoro,MG22202150,,,,Ambatofinandrahana,MG22202,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Mangataboahangy,MG22202170,,,,Ambatofinandrahana,MG22202,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Ambositra I,MG22203010,,,,Ambositra,MG22203,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Ambositra II,MG22203030,,,,Ambositra,MG22203,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Ankazoambo,MG22203050,,,,Ambositra,MG22203,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Ivony Miaramiasa,MG22203070,,,,Ambositra,MG22203,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Andina,MG22203090,,,,Ambositra,MG22203,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
Imerina Imady,MG22203110,,,,Ambositra,MG22203,Amoron I Mania,MG22,Madagascar,MG,2010-12-31,2020-02-20,
