#adm3+name+i_en,#adm3+code+v_pcode,#adm3+name,#adm3+name+alt1+i_en,#adm3+name+alt2+i_en,#adm2+name+i_en,#adm2+code+v_pcode,#adm1+name+i_en,#adm1+code+v_pcode,#country+name+i_en,#country+code+v_iso2,#date+start,#date+updated,#date+end
Antanifotsy,MG12114010,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambatolahy,MG12114030,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ampitatafika,MG12114050,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambatomiady,MG12114079,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Andranofito,MG12114090,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohimandroso,MG12114110,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambatotsipihina,MG12114150,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohitompoina,MG12114171,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Belanitra,MG12114172,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antsahalava,MG12114199,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambodiriana,MG12114230,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antsampandrano,MG12114290,,,,Antanifotsy,MG12114,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Faratsiho,MG12116010,,,,Faratsiho,MG12116,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Antsampanimahazo,MG12116030,,,,Faratsiho,MG12116,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Faravohitra,MG12116050,,,,Faratsiho,MG12116,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ramainandro,MG12116070,,,,Faratsiho,MG12116,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Andranomiady,MG12116090,,,,Faratsiho,MG12116,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Vinaninony Atsimo,MG12116110,,,,Faratsiho,MG12116,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Ambohiborona,MG12116130,,,,Faratsiho,MG12116,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
Miandrarivo,MG12116150,,,,Faratsiho,MG12116,Vakinankaratra,MG12,Madagascar,MG,2010-12-31,2020-02-20,
