admin2Name_es,admin2Pcode,admin2RefName,admin2AltName1_es,admin2AltName2_es,admin1Name_es,admin1Pcode,admin0Name_es,admin0Pcode,date,validOn,validTo
#adm2+name+i_es,#adm2+code+pcode,,#adm2+name+i_es,#adm2+name+i_es,#adm1+name+i_es,#adm1+code+pcode,#adm0+name+i_es,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Apizaco,MX29005,,,,Tlaxcala,MX29,México,MX,2018-02-02,2020-06-18,
Apodaca,MX19006,,,,Nuevo León,MX19,México,MX,2018-02-02,2020-06-18,
Aporo,MX16007,,,,Michoacán de Ocampo,MX16,México,MX,2018-02-02,2020-06-18,
Apozol,MX32001,,,,Zacatecas,MX32,México,MX,2018-02-02,2020-06-18,
Apulco,MX32002,,,,Zacatecas,MX32,México,MX,2018-02-02,2020-06-18,
Aquila,MX16008,,,,Michoacán de Ocampo,MX16,México,MX,2018-02-02,2020-06-18,
Aquila,MX30018,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Aquiles Serdán,MX08004,Aquiles Serdan,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Aquismón,MX24003,Aquismon,,,San Luis Potosí,MX24,México,MX,2018-02-02,2020-06-18,
Aquixtla,MX21016,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Aramberri,MX19007,,,,Nuevo León,MX19,México,MX,2018-02-02,2020-06-18,
Arandas,MX14008,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Arcelia,MX12007,,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Ario,MX16009,,,,Michoacán de Ocampo,MX16,México,MX,2018-02-02,2020-06-18,
Arivechi,MX26005,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Arizpe,MX26006,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Armadillo de los Infante,MX24004,,,,San Luis Potosí,MX24,México,MX,2018-02-02,2020-06-18,
Armería,MX06001,Armeria,,,Colima,MX06,México,MX,2018-02-02,2020-06-18,
Arriaga,MX07009,,,,Chiapas,MX07,México,MX,2018-02-02,2020-06-18,
Arroyo Seco,MX22003,,,,Querétaro de Arteaga,MX22,México,MX,2018-02-02,2020-06-18,
Arteaga,MX05004,,,,Coahuila de Zaragoza,MX05,México,MX,2018-02-02,2020-06-18,
Arteaga,MX16010,,,,Michoacán de Ocampo,MX16,México,MX,2018-02-02,2020-06-18,
Ascensión,MX08005,Ascension,,,Chihuahua,MX08,México,MX,2018-02-02,2020-06-18,
Asientos,MX01002,,,,Aguascalientes,MX01,México,MX,2018-02-02,2020-06-18,
Astacinga,MX30019,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Asunción Cacalotepec,MX20003,Asuncion Cacalotepec,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Asunción Cuyotepeji,MX20004,Asuncion Cuyotepeji,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Asunción Ixtaltepec,MX20005,Asuncion Ixtaltepec,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Asunción Nochixtlán,MX20006,Asuncion Nochixtlan,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Asunción Ocotlán,MX20007,Asuncion Ocotlan,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Asunción Tlacolulita,MX20008,Asuncion Tlacolulita,,,Oaxaca,MX20,México,MX,2018-02-02,2020-06-18,
Atarjea,MX11006,,,,Guanajuato,MX11,México,MX,2018-02-02,2020-06-18,
Atemajac de Brizuela,MX14010,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Atempan,MX21017,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Atenango del Río,MX12008,Atenango del Rio,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Atenco,MX15011,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Atengo,MX14011,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Atenguillo,MX14012,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Atexcal,MX21018,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Atil,MX26007,,,,Sonora,MX26,México,MX,2018-02-02,2020-06-18,
Atitalaquia,MX13010,,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Atizapán,MX15012,Atizapan,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Atizapán de Zaragoza,MX15013,Atizapan de Zaragoza,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Atlacomulco,MX15014,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Atlahuilco,MX30020,,,,Veracruz de Ignacio de la Llave,MX30,México,MX,2018-02-02,2020-06-18,
Atlamajalcingo del Monte,MX12009,,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Atlangatepec,MX29003,,,,Tlaxcala,MX29,México,MX,2018-02-02,2020-06-18,
Atlapexco,MX13011,,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Atlatlahucan,MX17002,,,,Morelos,MX17,México,MX,2018-02-02,2020-06-18,
Atlautla,MX15015,,,,México,MX15,México,MX,2018-02-02,2020-06-18,
Atlequizayan,MX21080,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Atlixco,MX21019,,,,Puebla,MX21,México,MX,2018-02-02,2020-06-18,
Atlixtac,MX12010,,,,Guerrero,MX12,México,MX,2018-02-02,2020-06-18,
Atltzayanca,MX29004,,,,Tlaxcala,MX29,México,MX,2018-02-02,2020-06-18,
Atolinga,MX32003,,,,Zacatecas,MX32,México,MX,2018-02-02,2020-06-18,
Atotonilco de Tula,MX13013,,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
Atotonilco el Alto,MX14013,,,,Jalisco,MX14,México,MX,2018-02-02,2020-06-18,
Atotonilco el Grande,MX13012,,,,Hidalgo,MX13,México,MX,2018-02-02,2020-06-18,
