#adm2+name+i_en,#adm2+name+i_ru,#adm2+name+i_uz,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_en,#adm2+name+alt2+i_en,#adm2+name+alt1+i_ru,#adm2+name+alt2+i_ru,#adm2+name+alt1+i_uz,#adm2+name+alt2+i_uz,#adm1+name+i_en,#adm1+name+i_ru,#adm1+name+i_uz,#adm1+code+v_pcode,#country+name+i_en,#country+name+i_ru,#country+name+i_uz,#country+code+v_iso2,#date+start,#date+updated,#date+end
Mubarek,Мубарекский,Muborak,UZ10234,,,,,,,,Kashkadarya,Кашкадарьинская,Qashqadaryo,UZ10,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Karaulbazar,Караулбазарский,Qorovulbozor,UZ06232,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Nurabad,Нурабадский,Nurobod,UZ18235,,,,,,,,Samarkand,Самаркандская,Samarqand,UZ18,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Shafirkan,Шафирканский,Shofirkon,UZ06258,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Rаmitan,Ромитанский,Romitan,UZ06242,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Peshku,Пешкунский,Peshku,UZ06240,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kagan,Каганский,Kogon,UZ06219,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kiziltepa,Кызылтепинский,Qiziltepa,UZ12216,,,,,,,,Navoi,Навоийская,Navoiy,UZ12,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Kagan city,г.Каган,Kogon ш.,UZ06403,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
Bukhara city,г.Бухара,Buxoro ш.,UZ06401,,,,,,,,Bukhara,Бухарская,Buxoro,UZ06,Uzbekistan,Республика Узбекистан,O'zbekiston Respublikasi,UZ,2018-07-12,2020-05-27,
