admin3Name_es,admin3Name_en,admin3Pcode,admin3RefName,admin3AltName1_es,admin3AltName2_es,admin3AltName1_en,admin3AltName2_en,admin2Name_es,admin2Name_en,admin2Pcode,admin1Name_es,admin1Name_en,admin1Pcode,admin0Name_es,admin0Name_en,admin0Pcode,date,validOn,validTo
#adm3+name+i_es,#adm3+name+i_en,#adm3+code+pcode,,#adm3+name+i_es,#adm3+name+i_es,#adm3+name+i_en,#adm3+name+i_en,#adm2+name+i_es,#adm2+name+i_en,#adm2+code+pcode,#adm1+name+i_es,#adm1+name+i_en,#adm1+code+pcode,#adm0+name+i_es,#adm0+name+i_en,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Guasdualito,,VE040401,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Aramendi,,VE040402,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
El Amparo,,VE040403,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Camilo,,VE040404,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Urdaneta,,VE040405,,,,,,Paez,,VE0404,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Juan De Payara,,VE040501,,,,,,Pedro Camejo,,VE0405,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Codazzi,,VE040502,,,,,,Pedro Camejo,,VE0405,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Cunaviche,,VE040503,,,,,,Pedro Camejo,,VE0405,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Elorza,,VE040601,,,,,,Romulo Gallegos,,VE0406,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
La Trinidad,,VE040602,,,,,,Romulo Gallegos,,VE0406,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Fernando,,VE040701,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
El Recreo,,VE040702,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Peñalver,,VE040703,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Rafael De Atamaica,,VE040704,,,,,,San Fernando,,VE0407,Apure,,VE04,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Bolivar,,VE050101,,,,,,Bolivar,,VE0501,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Camatagua,,VE050201,,,,,,Camatagua,,VE0502,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Carmen De Cura,,VE050202,,,,,,Camatagua,,VE0502,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Choroni,,VE050302,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Las Delicias,,VE050303,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Madre Maria De San Jose,,VE050304,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Joaquin Crespo,,VE050305,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Pedro Jose Ovalles,,VE050306,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Jose Casanova Godoy,,VE050307,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Andres Eloy Blanco,,VE050308,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Los Tacariguas,,VE050309,,,,,,Girardot,,VE0503,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Jose Angel Lamas,,VE050400,,,,,,Jose Angel Lamas,,VE0504,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Jose Felix Ribas,,VE050501,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Castor Nieves Rios,,VE050502,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Las Guacamayas,,VE050503,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Pao De Zarate,,VE050504,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Zuata,,VE050505,,,,,,Jose Felix Ribas,,VE0505,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Jose Rafael Reveng,,VE050600,,,,,,Jose Rafael Reveng,,VE0506,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Libertador,,VE050701,,,,,,Libertador,,VE0507,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
San Martin De Porres,,VE050702,,,,,,Libertador,,VE0507,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital Mario Briceño Irag,,VE050801,,,,,,Mario Briceño Irag,,VE0508,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Caña De Azucar,,VE050802,,,,,,Mario Briceño Irag,,VE0508,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Capital San Casimiro,,VE050901,,,,,,San Casimiro,,VE0509,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
Gõiripa,,VE050902,,,,,,San Casimiro,,VE0509,Aragua,,VE05,Venezuela (República Bolivariana de),Venezuela (Bolivarian Republic of),VE,2018-05-02,2019-11-10,
