admin2Name_en,admin2Name_mn,admin2Pcode,admin2RefName,admin2AltName1_en,admin2AltName2_en,admin2AltName1_mn,admin2AltName2_mn,admin1Name_en,admin1Name_mn,admin1Pcode,admin0Name_en,admin0Name_mn,admin0Pcode,date,validOn,validTo
#adm2+name+i_en,#adm2+name+i_mn,#adm2+code+pcode,,#adm2+name+i_en,#adm2+name+i_en,#adm2+name+i_mn,#adm2+name+i_mn,#adm1+name+i_en,#adm1+name+i_mn,#adm1+code+pcode,#adm0+name+i_en,#adm0+name+i_mn,#adm0+code+pcode,#date,#date+valid_on,#date+valid_to
Bugat,Бугат,MN8313,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bulgan,Булган,MN2113,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bulgan,Булган,MN4610,,,,,,Omnogovi,Өмнөговь,MN46,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bulgan,Булган,MN6301,,,,,,Bulgan,Булган,MN63,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bulgan,Булган,MN6507,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bulgan,Булган,MN8316,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Bulgan,Булган,MN8407,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Buucagaan,Бууцагаан,MN6431,,,,,,Bayankhongor,Баянхонгор,MN64,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Buyant,Буянт,MN8319,,,,,,Bayan-Olgii,Баян-Өлгий,MN83,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Buyant,Буянт,MN8410,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cagaan-Ovoo,Цагаан-Овоо,MN2134,,,,,,Dornod,Дорнод,MN21,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cagaan-U'ur,Цагаан-Үүр,MN6755,Cagaan-Uur,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cagaan-Uul,Цагаан-Уул,MN6752,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cagaanchuluut,Цагаанчулуут,MN8158,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cagaandelger,Цагаандэлгэр,MN4840,,,,,,Dundgovi,Дундговь,MN48,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cagaannuur,Цагааннуур,MN4346,,,,,,Selenge,Сэлэнгэ,MN43,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cagaannuur,Цагааннуур,MN6749,,,,,,Khovsgol,Хөвсгөл,MN67,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cagaanxairxan,Цагаанхайрхан,MN8155,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cagaanxairxan,Цагаанхайрхан,MN8555,,,,,,Uvs,Увс,MN85,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Caxir,Цахир,MN6543,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Ceceg,Цэцэг,MN8443,,,,,,Khovd,Ховд,MN84,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cecen-Uul,Цэцэн-Уул,MN8161,,,,,,Zavkhan,Завхан,MN81,Mongolia,монгол,MN,2016-12-01,2020-10-19,
Cecerleg,Цэцэрлэг,MN6549,,,,,,Arxangai,Архангай,MN65,Mongolia,монгол,MN,2016-12-01,2020-10-19,
