qcc-Zxxx-r-sU2200-s1603-snop,qcc-Zxxx-r-aMDCIII-alatcodicem-anop,qcc-Zxxx-r-sU2200-s5000-snop,qcc-Zxxx-r-sU2200-s5001-snop,qcc-Zxxx-r-sU2200-s5002-snop,spa-Latn-r-pSKOS-pprefLabel-ps5002,qcc-Zxxx-r-pWDATA-pq7200235-ps5002-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5001,qcc-Zxxx-r-pWDATA-pq7200235-ps5001-x-wdataq7200235,spa-Latn-r-pSKOS-pprefLabel-ps5000,qcc-Zxxx-r-pP-pp297-ps5000-x-p297,qcc-Zxxx-r-pP-pp577-ps1603,qcc-Zxxx-r-pP-pp813-ps1603,qcc-Zxxx-r-pP-pp2699-ps1603
1603:45:16:68:2:316,316,1603:45:16:68:0,1603:45:16:68:1:3,1603:45:16:68:2:316,Tiraque,BO0316,Cochabamba,BO03,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:401,401,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:401,Cercado,BO0401,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:402,402,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:402,Abaroa,BO0402,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:403,403,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:403,Carangas,BO0403,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:404,404,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:404,Sajama,BO0404,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:405,405,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:405,Litoral,BO0405,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:406,406,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:406,Poopó,BO0406,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:407,407,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:407,Pantaleón Dalence,BO0407,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:408,408,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:408,Ladislao Cabrera,BO0408,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
1603:45:16:68:2:409,409,1603:45:16:68:0,1603:45:16:68:1:4,1603:45:16:68:2:409,Sabaya,BO0409,Oruro,BO04,Bolivia (Estado Plurinacional de),BO,2019-01-29,2021-09-21,
