#item+conceptum+numerordinatio,#item+conceptum+codicem,#country+code+v_numerodinatio,#adm1+code+v_numerodinatio,#adm2+code+v_numerodinatio,#adm2+name+i_eng+is_latn,#adm2+name+i_swa+is_latn,#adm2+code+v_pcode,#adm2+name,#adm2+name+alt1+i_eng+is_latn,#adm2+name+alt2+i_eng+is_latn,#adm2+name+alt1+i_swa+is_latn,#adm2+name+alt2+i_swa+is_latn,#adm1+name+i_eng+is_latn,#adm1+name+i_swa+is_latn,#adm1+code+v_pcode,#country+name+i_eng+is_latn,#country+name+i_swa+is_latn,#item+rem+i_qcc+is_zxxx+ix_wdatap297,#item+rem+i_qcc+is_zxxx+ix_wdatap577,#item+rem+i_qcc+is_zxxx+ix_wdatap813,#item+rem+i_qcc+is_zxxx+ix_wdatap2669
1603:45:16:834:2:1605,1605,1603:45:16:834:0,1603:45:16:834:1:16,1603:45:16:834:2:1605,Uvinza,,TZ1605,,,,,,Kigoma,,TZ16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1606,1606,1603:45:16:834:0,1603:45:16:834:1:16,1603:45:16:834:2:1606,Buhigwe,,TZ1606,,,,,,Kigoma,,TZ16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1607,1607,1603:45:16:834:0,1603:45:16:834:1:16,1603:45:16:834:2:1607,Kakonko,,TZ1607,,,,,,Kigoma,,TZ16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1608,1608,1603:45:16:834:0,1603:45:16:834:1:16,1603:45:16:834:2:1608,Kasulu Township Authority,,TZ1608,,,,,,Kigoma,,TZ16,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1701,1701,1603:45:16:834:0,1603:45:16:834:1:17,1603:45:16:834:2:1701,Shinyanga Urban,,TZ1701,,,,,,Shinyanga,,TZ17,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1702,1702,1603:45:16:834:0,1603:45:16:834:1:17,1603:45:16:834:2:1702,Kishapu,,TZ1702,,,,,,Shinyanga,,TZ17,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1703,1703,1603:45:16:834:0,1603:45:16:834:1:17,1603:45:16:834:2:1703,Shinyanga,,TZ1703,,,,,,Shinyanga,,TZ17,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1704,1704,1603:45:16:834:0,1603:45:16:834:1:17,1603:45:16:834:2:1704,Kahama,,TZ1704,,,,,,Shinyanga,,TZ17,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1705,1705,1603:45:16:834:0,1603:45:16:834:1:17,1603:45:16:834:2:1705,Kahama Township Authority,,TZ1705,,,,,,Shinyanga,,TZ17,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1801,1801,1603:45:16:834:0,1603:45:16:834:1:18,1603:45:16:834:2:1801,Karagwe,,TZ1801,,,,,,Kagera,,TZ18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1802,1802,1603:45:16:834:0,1603:45:16:834:1:18,1603:45:16:834:2:1802,Bukoba,,TZ1802,,,,,,Kagera,,TZ18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1803,1803,1603:45:16:834:0,1603:45:16:834:1:18,1603:45:16:834:2:1803,Muleba,,TZ1803,,,,,,Kagera,,TZ18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1804,1804,1603:45:16:834:0,1603:45:16:834:1:18,1603:45:16:834:2:1804,Biharamulo,,TZ1804,,,,,,Kagera,,TZ18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1805,1805,1603:45:16:834:0,1603:45:16:834:1:18,1603:45:16:834:2:1805,Ngara,,TZ1805,,,,,,Kagera,,TZ18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1806,1806,1603:45:16:834:0,1603:45:16:834:1:18,1603:45:16:834:2:1806,Bukoba Urban,,TZ1806,,,,,,Kagera,,TZ18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1807,1807,1603:45:16:834:0,1603:45:16:834:1:18,1603:45:16:834:2:1807,Missenyi,,TZ1807,,,,,,Kagera,,TZ18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1808,1808,1603:45:16:834:0,1603:45:16:834:1:18,1603:45:16:834:2:1808,Kyerwa,,TZ1808,,,,,,Kagera,,TZ18,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1901,1901,1603:45:16:834:0,1603:45:16:834:1:19,1603:45:16:834:2:1901,Ukerewe,,TZ1901,,,,,,Mwanza,,TZ19,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1902,1902,1603:45:16:834:0,1603:45:16:834:1:19,1603:45:16:834:2:1902,Magu,,TZ1902,,,,,,Mwanza,,TZ19,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1903,1903,1603:45:16:834:0,1603:45:16:834:1:19,1603:45:16:834:2:1903,Nyamagana,,TZ1903,,,,,,Mwanza,,TZ19,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1904,1904,1603:45:16:834:0,1603:45:16:834:1:19,1603:45:16:834:2:1904,Kwimba,,TZ1904,,,,,,Mwanza,,TZ19,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1905,1905,1603:45:16:834:0,1603:45:16:834:1:19,1603:45:16:834:2:1905,Sengerema,,TZ1905,,,,,,Mwanza,,TZ19,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1906,1906,1603:45:16:834:0,1603:45:16:834:1:19,1603:45:16:834:2:1906,Ilemela,,TZ1906,,,,,,Mwanza,,TZ19,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:1907,1907,1603:45:16:834:0,1603:45:16:834:1:19,1603:45:16:834:2:1907,Misungwi,,TZ1907,,,,,,Mwanza,,TZ19,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2001,2001,1603:45:16:834:0,1603:45:16:834:1:20,1603:45:16:834:2:2001,Tarime,,TZ2001,,,,,,Mara,,TZ20,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2002,2002,1603:45:16:834:0,1603:45:16:834:1:20,1603:45:16:834:2:2002,Serengeti,,TZ2002,,,,,,Mara,,TZ20,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2003,2003,1603:45:16:834:0,1603:45:16:834:1:20,1603:45:16:834:2:2003,Musoma,,TZ2003,,,,,,Mara,,TZ20,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2004,2004,1603:45:16:834:0,1603:45:16:834:1:20,1603:45:16:834:2:2004,Bunda,,TZ2004,,,,,,Mara,,TZ20,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2005,2005,1603:45:16:834:0,1603:45:16:834:1:20,1603:45:16:834:2:2005,Musoma Urban,,TZ2005,,,,,,Mara,,TZ20,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2006,2006,1603:45:16:834:0,1603:45:16:834:1:20,1603:45:16:834:2:2006,Rorya,,TZ2006,,,,,,Mara,,TZ20,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2007,2007,1603:45:16:834:0,1603:45:16:834:1:20,1603:45:16:834:2:2007,Butiam,,TZ2007,,,,,,Mara,,TZ20,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2101,2101,1603:45:16:834:0,1603:45:16:834:1:21,1603:45:16:834:2:2101,Babati,,TZ2101,,,,,,Manyara,,TZ21,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2102,2102,1603:45:16:834:0,1603:45:16:834:1:21,1603:45:16:834:2:2102,Hanang,,TZ2102,,,,,,Manyara,,TZ21,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2103,2103,1603:45:16:834:0,1603:45:16:834:1:21,1603:45:16:834:2:2103,Mbulu,,TZ2103,,,,,,Manyara,,TZ21,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2104,2104,1603:45:16:834:0,1603:45:16:834:1:21,1603:45:16:834:2:2104,Simanjiro,,TZ2104,,,,,,Manyara,,TZ21,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2105,2105,1603:45:16:834:0,1603:45:16:834:1:21,1603:45:16:834:2:2105,Kiteto,,TZ2105,,,,,,Manyara,,TZ21,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2106,2106,1603:45:16:834:0,1603:45:16:834:1:21,1603:45:16:834:2:2106,Babati Urban,,TZ2106,,,,,,Manyara,,TZ21,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2201,2201,1603:45:16:834:0,1603:45:16:834:1:22,1603:45:16:834:2:2201,Njombe Urban,,TZ2201,,,,,,Njombe,,TZ22,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2202,2202,1603:45:16:834:0,1603:45:16:834:1:22,1603:45:16:834:2:2202,Wanging'ombe,,TZ2202,,,,,,Njombe,,TZ22,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2203,2203,1603:45:16:834:0,1603:45:16:834:1:22,1603:45:16:834:2:2203,Makete,,TZ2203,,,,,,Njombe,,TZ22,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2204,2204,1603:45:16:834:0,1603:45:16:834:1:22,1603:45:16:834:2:2204,Njombe,,TZ2204,,,,,,Njombe,,TZ22,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2205,2205,1603:45:16:834:0,1603:45:16:834:1:22,1603:45:16:834:2:2205,Ludewa,,TZ2205,,,,,,Njombe,,TZ22,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2206,2206,1603:45:16:834:0,1603:45:16:834:1:22,1603:45:16:834:2:2206,Makambako Township Authority,,TZ2206,,,,,,Njombe,,TZ22,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2301,2301,1603:45:16:834:0,1603:45:16:834:1:23,1603:45:16:834:2:2301,Mpanda Urban,,TZ2301,,,,,,Katavi,,TZ23,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2302,2302,1603:45:16:834:0,1603:45:16:834:1:23,1603:45:16:834:2:2302,Mpanda,,TZ2302,,,,,,Katavi,,TZ23,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2303,2303,1603:45:16:834:0,1603:45:16:834:1:23,1603:45:16:834:2:2303,Mlele,,TZ2303,,,,,,Katavi,,TZ23,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2401,2401,1603:45:16:834:0,1603:45:16:834:1:24,1603:45:16:834:2:2401,Bariadi,,TZ2401,,,,,,Simiyu,,TZ24,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2402,2402,1603:45:16:834:0,1603:45:16:834:1:24,1603:45:16:834:2:2402,Itilima,,TZ2402,,,,,,Simiyu,,TZ24,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2403,2403,1603:45:16:834:0,1603:45:16:834:1:24,1603:45:16:834:2:2403,Meatu,,TZ2403,,,,,,Simiyu,,TZ24,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2404,2404,1603:45:16:834:0,1603:45:16:834:1:24,1603:45:16:834:2:2404,Maswa,,TZ2404,,,,,,Simiyu,,TZ24,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2405,2405,1603:45:16:834:0,1603:45:16:834:1:24,1603:45:16:834:2:2405,Busega,,TZ2405,,,,,,Simiyu,,TZ24,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2501,2501,1603:45:16:834:0,1603:45:16:834:1:25,1603:45:16:834:2:2501,Geita,,TZ2501,,,,,,Geita,,TZ25,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2502,2502,1603:45:16:834:0,1603:45:16:834:1:25,1603:45:16:834:2:2502,Nyang'hwale,,TZ2502,,,,,,Geita,,TZ25,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2503,2503,1603:45:16:834:0,1603:45:16:834:1:25,1603:45:16:834:2:2503,Mbogwe,,TZ2503,,,,,,Geita,,TZ25,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2504,2504,1603:45:16:834:0,1603:45:16:834:1:25,1603:45:16:834:2:2504,Bukombe,,TZ2504,,,,,,Geita,,TZ25,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2505,2505,1603:45:16:834:0,1603:45:16:834:1:25,1603:45:16:834:2:2505,Chato,,TZ2505,,,,,,Geita,,TZ25,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2601,2601,1603:45:16:834:0,1603:45:16:834:1:26,1603:45:16:834:2:2601,Songwe,,TZ2601,,,,,,Songwe,,TZ26,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2605,2605,1603:45:16:834:0,1603:45:16:834:1:26,1603:45:16:834:2:2605,Ileje,,TZ2605,,,,,,Songwe,,TZ26,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2606,2606,1603:45:16:834:0,1603:45:16:834:1:26,1603:45:16:834:2:2606,Mbozi,,TZ2606,,,,,,Songwe,,TZ26,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2609,2609,1603:45:16:834:0,1603:45:16:834:1:26,1603:45:16:834:2:2609,Momba,,TZ2609,,,,,,Songwe,,TZ26,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:2610,2610,1603:45:16:834:0,1603:45:16:834:1:26,1603:45:16:834:2:2610,Tunduma,,TZ2610,,,,,,Songwe,,TZ26,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5101,5101,1603:45:16:834:0,1603:45:16:834:1:51,1603:45:16:834:2:5101,Kaskazini A,,TZ5101,,,,,,Kaskazini Unguja,,TZ51,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5102,5102,1603:45:16:834:0,1603:45:16:834:1:51,1603:45:16:834:2:5102,Kaskazini B,,TZ5102,,,,,,Kaskazini Unguja,,TZ51,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5201,5201,1603:45:16:834:0,1603:45:16:834:1:52,1603:45:16:834:2:5201,Kati,,TZ5201,,,,,,Kusini Unguja,,TZ52,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5202,5202,1603:45:16:834:0,1603:45:16:834:1:52,1603:45:16:834:2:5202,Kusini,,TZ5202,,,,,,Kusini Unguja,,TZ52,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5301,5301,1603:45:16:834:0,1603:45:16:834:1:53,1603:45:16:834:2:5301,Magharibi,,TZ5301,,,,,,Mjini Magharibi,,TZ53,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5302,5302,1603:45:16:834:0,1603:45:16:834:1:53,1603:45:16:834:2:5302,Mjini,,TZ5302,,,,,,Mjini Magharibi,,TZ53,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5401,5401,1603:45:16:834:0,1603:45:16:834:1:54,1603:45:16:834:2:5401,Wete,,TZ5401,,,,,,Kaskazini Pemba,,TZ54,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5402,5402,1603:45:16:834:0,1603:45:16:834:1:54,1603:45:16:834:2:5402,Micheweni,,TZ5402,,,,,,Kaskazini Pemba,,TZ54,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5501,5501,1603:45:16:834:0,1603:45:16:834:1:55,1603:45:16:834:2:5501,Chake Chake,,TZ5501,,,,,,Kusini Pemba,,TZ55,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
1603:45:16:834:2:5502,5502,1603:45:16:834:0,1603:45:16:834:1:55,1603:45:16:834:2:5502,Mkoani,,TZ5502,,,,,,Kusini Pemba,,TZ55,United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,2018-10-19,2018-10-22,
